rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,srs,epa_rating,games,blend_weight
1,Alabama,,28.3,2-0,2,0,38.3,12.6,26.8,24.6,2,0.3
2,LSU,,22.7,1-1,1,1,38.5,16.3,13.9,21.0,1,0.15
3,Georgia,,21.0,2-0,2,0,38.7,18.7,14.0,19.1,1,0.15
4,Clemson,,20.7,2-0,2,0,35.5,16.0,16.9,18.6,2,0.3
5,Oregon,,19.5,2-0,2,0,43.4,24.0,14.3,18.4,1,0.15
6,Ole Miss,,18.7,1-1,1,1,37.4,18.9,13.6,17.7,1,0.15
7,Baylor,,18.6,2-0,2,0,39.7,22.3,17.0,16.6,1,0.15
8,Florida State,,16.0,2-0,2,0,39.4,23.4,13.4,15.1,1,0.15
9,TCU,,15.5,1-1,1,1,33.7,18.2,11.5,14.8,1,0.15
10,Ohio State,,15.2,2-0,2,0,36.9,22.8,19.1,13.6,2,0.3
11,Stanford,,13.6,1-0,1,0,36.0,22.5,14.5,12.9,1,0.15
12,Louisville,,13.6,2-0,2,0,34.4,20.9,6.2,12.9,2,0.3
13,Oklahoma,,13.5,1-1,1,1,35.8,22.5,11.5,12.7,2,0.3
14,USC,,12.2,1-1,1,1,33.9,21.9,9.3,11.4,2,0.3
15,Michigan,,12.2,2-0,2,0,32.2,19.2,7.6,12.4,2,0.3
16,Washington,,11.9,2-0,2,0,30.8,19.0,7.6,11.3,2,0.3
17,Auburn,,11.9,1-1,1,1,36.7,24.9,8.8,11.3,2,0.3
18,Michigan State,,11.7,Preseason,0,0,30.9,19.4,14.5,11.0,0,0.0
19,Arkansas,,11.4,2-0,2,0,36.1,24.8,8.9,10.8,2,0.3
20,UCLA,,11.1,1-1,1,1,34.3,23.4,8.0,10.4,2,0.3
21,Mississippi State,,11.0,1-1,1,1,34.8,24.2,10.6,10.1,2,0.3
22,West Virginia,,10.6,2-0,2,0,31.7,22.1,8.6,9.2,1,0.15
23,Tennessee,,10.1,2-0,2,0,32.8,23.8,11.1,8.7,2,0.3
24,Texas A&M,,10.0,2-0,2,0,33.2,23.8,10.9,9.0,1,0.15
25,Georgia Tech,,9.9,2-0,2,0,38.6,30.0,9.6,8.2,1,0.15
26,Nebraska,,9.7,2-0,2,0,33.5,25.2,9.3,7.9,2,0.3
27,Texas,,9.1,2-0,2,0,28.6,21.3,8.4,7.1,2,0.3
28,Notre Dame,,8.9,1-1,1,1,37.7,30.3,12.9,7.1,2,0.3
29,Oklahoma State,,8.8,1-1,1,1,34.1,25.5,6.3,8.2,1,0.15
30,Washington State,,8.7,0-2,0,2,34.0,26.1,5.8,7.5,1,0.15
31,Pittsburgh,,7.7,2-0,2,0,34.8,27.7,5.8,6.8,1,0.15
32,BYU,,7.6,1-1,1,1,31.7,24.2,5.6,7.1,1,0.15
33,Florida,,7.6,2-0,2,0,26.8,19.1,6.0,7.5,2,0.3
34,Wisconsin,,7.4,2-0,2,0,30.1,22.7,7.7,7.0,2,0.3
35,Iowa,,5.9,2-0,2,0,30.1,24.3,5.3,5.5,2,0.3
36,Utah,,5.7,2-0,2,0,25.5,20.0,8.2,5.4,1,0.15
37,Boise State,,5.6,2-0,2,0,31.3,25.7,4.8,5.2,2,0.3
38,App State,,5.6,1-1,1,1,30.0,25.2,1.7,4.5,2,0.3
39,Boston College,,5.2,1-1,1,1,24.3,19.6,2.7,4.4,2,0.3
40,Miami,,4.7,2-0,2,0,33.1,28.5,5.1,4.4,1,0.15
41,North Carolina,,4.6,1-1,1,1,35.1,30.6,6.0,4.3,2,0.3
42,Virginia Tech,,4.6,1-1,1,1,24.8,19.6,3.2,5.0,1,0.15
43,Kansas State,,4.5,0-1,0,1,33.2,28.8,6.0,4.2,1,0.15
44,Texas Tech,,4.3,1-1,1,1,40.0,35.9,1.7,3.9,1,0.15
45,Marshall,,4.1,Preseason,0,0,30.5,26.5,5.1,3.8,0,0.0
46,Minnesota,,4.1,2-0,2,0,32.1,28.1,2.1,3.8,1,0.15
47,Western Kentucky,,4.0,1-1,1,1,36.2,32.6,5.0,3.4,2,0.3
48,Cincinnati,,3.8,2-0,2,0,34.2,30.5,0.6,3.5,1,0.15
49,Arizona,,3.8,Preseason,0,0,34.0,30.3,5.1,3.5,0,0.0
50,NC State,,3.8,1-1,1,1,31.0,27.4,2.4,3.5,1,0.15
51,Houston,,3.6,2-0,2,0,30.6,28.0,8.8,2.5,1,0.15
52,San Diego State,,3.2,2-0,2,0,23.9,21.8,3.5,2.0,1,0.15
53,Missouri,,3.2,1-1,1,1,25.0,21.8,4.8,2.9,2,0.3
54,South Florida,,2.4,2-0,2,0,27.3,25.8,0.4,1.5,1,0.15
55,Penn State,,2.3,1-1,1,1,25.5,23.4,2.0,2.0,2,0.3
56,Arizona State,,2.1,2-0,2,0,29.6,27.6,8.2,1.9,1,0.15
57,Virginia,,2.0,0-2,0,2,27.4,25.5,0.0,1.8,1,0.15
58,Colorado,,1.9,2-0,2,0,28.1,27.2,-1.5,1.0,1,0.15
59,Bowling Green,,1.7,1-1,1,1,31.7,30.3,1.7,1.5,1,0.15
60,Western Michigan,,1.5,2-0,2,0,33.6,32.2,-1.2,1.3,1,0.15
61,Navy,,1.5,2-0,2,0,34.9,33.6,6.1,1.3,1,0.15
62,Indiana,,1.4,2-0,2,0,30.9,30.0,1.5,0.8,2,0.3
63,Georgia Southern,,0.9,2-0,2,0,32.5,32.6,6.3,-0.1,1,0.15
64,Syracuse,,0.9,1-1,1,1,27.7,26.6,-2.5,1.0,1,0.15
65,California,,0.8,1-1,1,1,32.8,33.2,2.1,-0.7,2,0.3
66,Northwestern,,0.7,0-2,0,2,24.0,23.5,1.8,0.5,1,0.15
67,Toledo,,0.4,2-0,2,0,31.9,31.5,3.5,0.3,1,0.15
68,Maryland,,0.4,2-0,2,0,27.6,28.1,-0.4,-0.5,1,0.15
69,South Carolina,,0.3,1-1,1,1,32.1,32.3,3.5,-0.1,2,0.3
70,Memphis,,0.1,Preseason,0,0,25.6,25.7,5.1,-0.0,0,0.0
71,Rutgers,,-0.4,1-1,1,1,30.5,30.9,-3.8,-0.4,1,0.15
72,East Carolina,,-0.7,2-0,2,0,29.3,30.2,1.4,-0.8,1,0.15
73,Louisiana Tech,,-0.8,1-1,1,1,28.4,29.4,0.8,-0.9,1,0.15
74,Central Michigan,,-1.1,2-0,2,0,27.5,28.6,-3.2,-1.1,1,0.15
75,Duke,,-1.5,1-1,1,1,28.3,29.7,2.7,-1.2,1,0.15
76,Air Force,,-1.6,2-0,2,0,26.9,29.3,-0.1,-2.3,1,0.15
77,Iowa State,,-1.9,0-2,0,2,28.3,30.2,-3.0,-1.9,1,0.15
78,Vanderbilt,,-2.3,1-1,1,1,21.5,23.0,-5.7,-1.5,2,0.3
79,Oregon State,,-2.4,0-1,0,1,28.8,31.4,-4.0,-2.4,1,0.15
80,Southern Miss,,-2.5,2-0,2,0,28.2,30.2,-7.0,-2.0,1,0.15
81,Temple,,-2.5,1-1,1,1,23.7,25.6,-1.3,-1.9,1,0.15
82,Northern Illinois,,-3.0,0-2,0,2,28.3,30.3,-3.9,-1.9,2,0.3
83,Kentucky,,-3.2,0-2,0,2,28.2,30.7,-4.9,-2.5,2,0.3
84,Wake Forest,,-3.9,2-0,2,0,21.5,25.5,-3.8,-3.8,2,0.3
85,Utah State,,-4.0,1-1,1,1,25.4,28.4,-1.9,-2.9,1,0.15
86,Illinois,,-4.3,1-1,1,1,27.1,30.5,-5.2,-3.3,1,0.15
87,Colorado State,,-4.4,1-1,1,1,29.5,34.1,-2.3,-4.3,2,0.3
88,Middle Tennessee,,-5.0,1-1,1,1,28.4,32.2,-7.7,-3.6,1,0.15
89,Purdue,,-5.3,1-1,1,1,25.4,30.9,-8.1,-5.2,1,0.15
90,UConn,,-5.4,1-1,1,1,21.6,27.1,-7.4,-5.3,1,0.15
91,Nevada,,-6.1,1-1,1,1,27.9,33.6,-6.1,-5.5,1,0.15
92,Tulsa,,-6.1,1-1,1,1,27.9,34.0,-7.0,-5.8,2,0.3
93,UCF,,-7.1,1-1,1,1,22.6,29.1,-8.9,-6.2,1,0.15
94,UAB,,-8.2,Preseason,0,0,26.2,34.5,-6.9,-7.9,0,0.0
95,San José State,,-8.2,1-1,1,1,27.8,34.6,-12.0,-6.5,1,0.15
96,Ball State,,-9.2,1-1,1,1,25.0,34.5,-5.3,-9.0,2,0.3
97,SMU,,-9.3,1-1,1,1,25.9,35.4,-9.6,-9.0,2,0.3
98,Arkansas State,,-9.6,0-2,0,2,23.9,32.4,-6.8,-8.2,2,0.3
99,Ohio,,-9.6,1-1,1,1,22.3,32.0,-4.2,-9.2,2,0.3
100,Army,,-9.9,2-0,2,0,23.9,33.4,-10.2,-9.2,2,0.3
101,Buffalo,,-10.1,Preseason,0,0,22.2,32.4,-8.0,-9.7,0,0.0
102,Kansas,,-10.6,1-1,1,1,19.2,29.2,-12.6,-9.5,1,0.15
103,New Mexico,,-10.7,1-1,1,1,27.1,37.0,-12.0,-9.5,1,0.15
104,Florida Atlantic,,-10.9,1-1,1,1,20.0,31.0,-8.9,-10.5,1,0.15
105,Wyoming,,-10.9,1-1,1,1,24.2,34.5,-11.6,-9.8,2,0.3
106,Old Dominion,,-11.2,1-1,1,1,27.4,37.8,-15.7,-9.9,1,0.15
107,Akron,,-11.5,1-1,1,1,19.3,30.4,-7.4,-10.6,1,0.15
108,South Alabama,,-11.5,1-1,1,1,20.3,32.9,-3.9,-12.0,2,0.3
109,Louisiana,,-11.8,1-1,1,1,23.8,35.0,-11.2,-10.7,1,0.15
110,Rice,,-12.6,0-2,0,2,24.6,36.3,-10.4,-11.3,2,0.3
111,Miami (OH),,-13.2,0-2,0,2,20.2,33.5,-13.8,-12.7,1,0.15
112,Georgia State,,-13.4,0-2,0,2,21.2,33.4,-13.4,-11.7,2,0.3
113,Troy,,-14.1,1-1,1,1,22.8,37.2,-8.6,-13.7,1,0.15
114,Massachusetts,,-14.1,0-2,0,2,19.9,33.8,-10.0,-13.2,2,0.3
115,Hawai'i,,-14.3,1-2,1,2,20.4,34.7,-12.6,-13.7,2,0.3
116,UTSA,,-14.5,1-1,1,1,18.7,32.4,-13.5,-13.1,1,0.15
117,Kent State,,-14.7,0-2,0,2,15.0,29.4,-13.4,-13.7,1,0.15
118,Idaho,,-14.8,1-1,1,1,25.3,40.2,-15.2,-14.4,1,0.15
119,UTEP,,-15.3,1-1,1,1,18.5,33.3,-12.2,-14.2,2,0.3
120,Florida International,,-15.4,0-2,0,2,19.8,34.7,-11.8,-14.3,2,0.3
121,Tulane,,-15.9,1-1,1,1,14.3,30.6,-11.5,-15.5,1,0.15
122,Fresno State,,-16.1,1-1,1,1,19.6,35.7,-9.8,-15.3,1,0.15
123,Charlotte,,-17.3,1-1,1,1,14.7,32.3,-20.1,-16.8,1,0.15
124,UNLV,,-17.6,1-1,1,1,21.9,39.1,-13.9,-16.4,1,0.15
125,UL Monroe,,-17.7,1-1,1,1,16.5,33.3,-16.3,-16.0,1,0.15
126,New Mexico State,,-18.6,1-1,1,1,23.7,41.1,-19.1,-16.7,2,0.3
127,Texas State,,-19.5,1-0,1,0,19.8,40.1,-11.0,-19.3,1,0.15
128,North Texas,,-20.2,1-1,1,1,15.9,35.1,-16.0,-18.3,1,0.15
129,Eastern Michigan,,-23.0,1-1,1,1,20.8,43.0,-21.6,-21.2,1,0.15
