rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,srs,epa_rating,games,blend_weight
1,Alabama,,26.4,5-0,5,0,49.0,22.1,23.2,26.8,5,0.75
2,Clemson,,25.6,6-0,6,0,41.8,14.9,22.2,26.9,5,0.75
3,Ohio State,,23.4,1-0,1,0,43.6,20.2,20.2,23.2,1,0.15
4,BYU,,21.9,6-0,6,0,45.8,21.8,18.5,24.0,6,0.9
5,Wisconsin,,20.9,1-0,1,0,37.7,16.8,13.2,20.7,1,0.15
6,Georgia,,18.4,3-1,3,1,33.0,16.3,19.3,16.5,4,0.6
7,Penn State,,15.2,0-1,0,1,35.7,20.6,14.7,15.0,1,0.15
8,Oklahoma,,14.8,3-2,3,2,42.8,28.1,12.4,14.6,4,0.6
9,Oregon,,13.9,Preseason,0,0,31.2,17.4,11.6,13.7,0,0.0
10,Oklahoma State,,13.9,4-0,4,0,34.7,20.5,11.6,14.2,4,0.6
11,Michigan,,13.9,1-0,1,0,32.5,18.6,12.7,13.8,1,0.15
12,Notre Dame,,13.9,5-0,5,0,34.5,18.1,10.3,16.3,5,0.75
13,Utah,,13.2,Preseason,0,0,32.2,19.1,12.5,13.0,0,0.0
14,USC,,12.6,Preseason,0,0,37.0,24.5,6.5,12.4,0,0.0
15,Washington,,11.9,Preseason,0,0,28.6,16.8,13.6,11.7,0,0.0
16,UCF,,11.8,3-2,3,2,43.3,32.4,13.0,10.8,5,0.75
17,Florida,,11.1,2-1,2,1,37.2,27.0,10.1,10.2,3,0.45
18,Iowa State,,11.1,3-2,3,2,35.6,22.1,7.1,13.4,5,0.75
19,App State,,10.3,3-1,3,1,30.2,21.3,13.4,8.9,3,0.45
20,Texas,,10.2,3-2,3,2,34.0,22.4,7.1,11.6,5,0.75
21,Cincinnati,,9.7,4-0,4,0,27.2,19.3,11.2,7.9,3,0.45
22,Iowa,,9.5,0-1,0,1,28.8,19.5,11.8,9.3,1,0.15
23,North Carolina,,9.3,4-1,4,1,37.6,27.4,7.1,10.2,5,0.75
24,Minnesota,,9.1,0-1,0,1,36.8,27.8,7.4,8.9,1,0.15
25,Miami,,8.9,5-1,5,1,34.1,24.5,7.9,9.6,6,0.9
26,LSU,,7.7,2-2,2,2,38.3,31.5,8.0,6.8,4,0.6
27,Indiana,,7.0,1-0,1,0,31.8,25.0,3.0,6.8,1,0.15
28,Memphis,,6.9,3-1,3,1,33.7,27.8,7.5,5.8,4,0.6
29,Northwestern,,6.4,1-0,1,0,26.1,19.8,0.8,6.2,1,0.15
30,Nebraska,,6.3,0-1,0,1,34.0,27.8,1.2,6.1,1,0.15
31,Virginia Tech,,6.1,3-2,3,2,37.1,32.2,7.2,4.8,5,0.75
32,Texas A&M,,6.0,3-1,3,1,32.6,25.7,2.3,6.8,4,0.6
33,Auburn,,5.9,3-2,3,2,32.6,26.8,5.0,5.7,5,0.75
34,Stanford,,5.8,Preseason,0,0,33.2,27.5,2.0,5.6,0,0.0
35,Washington State,,5.8,Preseason,0,0,33.1,27.3,6.8,5.7,0,0.0
36,Marshall,,5.4,5-0,5,0,28.8,26.1,9.9,2.6,4,0.6
37,Boise State,,5.3,1-0,1,0,31.1,25.9,6.9,5.1,1,0.15
38,UAB,,5.2,4-2,4,2,27.2,22.0,3.7,5.2,5,0.75
