res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Georgia,SEC,25.06,12-1,12,1,29.9,1,96.8,1,6.4,3.0,2.0
2,Clemson,ACC,24.23,12-1,12,1,26.6,3,95.1,3,6.5,1.0,-1.0
3,Oklahoma,Big 12,23.95,12-1,12,1,26.3,4,95.7,2,5.7,2.0,-1.0
4,Wisconsin,Big Ten,21.33,12-1,12,1,23.0,7,82.8,6,3.9,6.0,2.0
5,Ohio State,Big Ten,20.85,11-2,11,2,26.0,5,82.0,7,6.1,5.0,0.0
6,Alabama,SEC,20.24,11-1,11,1,27.0,2,84.1,5,3.1,4.0,-2.0
7,Auburn,SEC,20.07,10-3,10,3,25.3,6,86.4,4,8.2,7.0,0.0
8,UCF,American Athletic,16.51,12-0,12,0,16.2,14,78.9,8,-4.8,12.0,4.0
9,Penn State,Big Ten,15.64,10-2,10,2,22.7,8,62.2,10,4.0,9.0,0.0
10,TCU,Big 12,14.99,10-3,10,3,18.4,11,59.3,11,5.6,15.0,5.0
11,Miami,ACC,14.79,10-2,10,2,14.2,16,65.8,9,5.7,10.0,-1.0
12,USC,Pac-12,14.26,11-2,11,2,12.5,23,51.8,13,4.1,8.0,-4.0
13,Notre Dame,FBS Independents,13.56,9-3,9,3,21.2,9,48.2,14,8.2,14.0,1.0
14,Michigan State,Big Ten,11.17,9-3,9,3,9.9,27,54.0,12,6.5,16.0,2.0
15,Oklahoma State,Big 12,10.38,9-3,9,3,18.1,12,36.4,15,4.3,19.0,4.0
16,Washington,Pac-12,9.1,10-2,10,2,18.8,10,20.9,21,-0.5,11.0,-5.0
17,LSU,SEC,8.86,9-3,9,3,14.0,18,33.0,16,3.4,17.0,0.0
18,Northwestern,Big Ten,7.61,9-3,9,3,11.6,25,26.0,18,3.3,21.0,3.0
19,Virginia Tech,ACC,7.29,9-3,9,3,13.3,19,26.1,17,1.3,22.0,3.0
20,NC State,ACC,7.04,8-4,8,4,12.6,22,25.5,20,6.4,24.0,4.0
21,Stanford,Pac-12,6.79,9-4,9,4,9.5,31,16.5,25,5.0,13.0,-8.0
22,Michigan,Big Ten,6.57,8-4,8,4,14.1,17,20.4,22,5.6,,
23,Memphis,American Athletic,6.5,10-2,10,2,9.8,29,25.5,19,-3.9,20.0,-3.0
24,Mississippi State,SEC,6.44,8-4,8,4,15.2,15,19.9,23,4.7,23.0,-1.0
25,Washington State,Pac-12,5.46,9-3,9,3,9.1,34,17.4,24,1.1,18.0,-7.0
26,Louisville,ACC,5.01,8-4,8,4,16.2,13,10.4,27,2.7,,
27,Iowa,Big Ten,4.15,7-5,7,5,13.1,21,10.2,28,7.4,,
28,South Carolina,SEC,3.75,8-4,8,4,7.2,39,11.7,26,4.2,,
29,Wake Forest,ACC,3.6,7-5,7,5,13.3,20,7.7,30,6.4,,
30,Boston College,ACC,3.37,7-5,7,5,9.3,32,8.4,29,8.0,,
31,Toledo,Mid-American,3.33,11-2,11,2,3.1,54,6.4,31,-8.6,,
32,Boise State,Mountain West,2.88,10-3,10,3,3.7,52,1.8,41,-3.7,25.0,-7.0
