res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
75,Navy,American Athletic,-12.2,3-7,3,7,-9.4,85,0.0,76,-0.7,,
76,Texas State,Sun Belt,-12.65,2-10,2,10,-8.0,82,0.0,67,2.2,,
77,Purdue,Big Ten,-12.72,2-4,2,4,-2.7,61,0.0,100,-1.9,,
78,Duke,ACC,-13.43,2-9,2,9,-10.7,88,0.0,82,1.9,,
79,Syracuse,ACC,-13.75,1-10,1,10,-10.3,87,0.0,68,5.9,,
80,Michigan State,Big Ten,-13.81,2-5,2,5,-7.7,80,0.0,90,-1.4,,
81,Wyoming,Mountain West,-13.82,2-4,2,4,0.2,53,0.0,104,-7.2,,
82,Minnesota,Big Ten,-14.11,3-4,3,4,-7.7,81,0.0,92,-7.5,,
83,Rutgers,Big Ten,-14.27,3-6,3,6,-8.9,83,0.0,101,-7.1,,
84,Michigan,Big Ten,-14.83,2-4,2,4,-4.8,69,0.0,89,-6.5,,
85,UCLA,Pac-12,-14.87,3-4,3,4,8.3,22,0.0,65,-21.4,,
86,Fresno State,Mountain West,-14.99,3-3,3,3,-4.9,70,0.0,84,-12.1,,
87,Illinois,Big Ten,-15.15,2-6,2,6,-11.0,89,0.0,85,-2.9,,
88,Middle Tennessee,Conference USA,-15.35,3-6,3,6,-13.6,93,0.0,91,-6.8,,
89,South Carolina,SEC,-15.42,2-8,2,8,-13.7,94,0.0,103,-1.7,,
90,South Florida,American Athletic,-15.7,1-8,1,8,-12.2,91,0.0,78,1.6,,
91,North Texas,Conference USA,-15.75,4-5,4,5,-14.8,97,0.0,96,-12.3,,
92,Northern Illinois,Mid-American,-15.92,0-6,0,6,-5.1,74,0.0,97,1.0,,
93,Southern Miss,Conference USA,-15.97,3-7,3,7,-13.2,92,0.0,77,-8.9,,
94,Kansas,Big 12,-15.98,0-9,0,9,-16.0,98,0.0,86,8.8,,
95,New Mexico,Mountain West,-16.3,2-5,2,5,-11.6,90,0.0,95,-5.8,,
96,Charlotte,Conference USA,-17.24,2-4,2,4,-13.7,95,0.0,81,-7.0,,
97,UTEP,Conference USA,-17.34,3-5,3,5,-14.4,96,0.0,69,-12.0,,
98,Temple,American Athletic,-18.71,1-6,1,6,-18.7,100,0.0,74,-2.4,,
99,UNLV,Mountain West,-19.01,0-6,0,6,-17.4,99,0.0,70,1.0,,
100,Oregon State,Pac-12,-19.75,2-5,2,5,-4.0,66,0.0,98,-21.4,,
101,Utah State,Mountain West,-20.07,1-5,1,5,-21.8,102,0.0,66,-4.1,,
102,UL Monroe,Sun Belt,-21.29,0-10,0,10,-23.9,103,0.0,71,-0.9,,
103,Vanderbilt,SEC,-22.4,0-9,0,9,-26.0,104,0.0,64,-2.6,,
104,Akron,Mid-American,-24.04,1-5,1,5,-20.5,101,0.0,75,-16.6,,
