res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Washington,Pac-12,25.34,13-0,13,0,18.7,11,99.9,1,7.6,2.0,1.0
2,Michigan,Big Ten,24.46,13-0,13,0,24.3,3,98.1,2,1.8,1.0,-1.0
3,Alabama,SEC,22.9,12-1,12,1,20.5,9,95.4,4,5.8,4.0,1.0
4,Florida State,ACC,22.71,13-0,13,0,17.6,14,97.0,3,1.5,5.0,1.0
5,Texas,Big 12,22.08,12-1,12,1,19.4,10,91.0,6,5.4,3.0,-2.0
6,Georgia,SEC,21.77,12-1,12,1,24.3,4,86.5,7,2.5,5.0,-1.0
7,Ohio State,Big Ten,21.19,11-1,11,1,26.3,2,92.7,5,2.9,7.0,0.0
8,Oregon,Pac-12,19.42,11-2,11,2,29.6,1,65.6,10,3.3,8.0,0.0
9,Missouri,SEC,15.53,10-2,10,2,18.1,12,67.4,9,4.4,9.0,0.0
10,Liberty,Conference USA,14.41,13-0,13,0,9.5,28,64.0,11,-7.8,23.0,13.0
11,Ole Miss,SEC,14.35,10-2,10,2,12.6,22,73.8,8,2.8,11.0,0.0
12,Penn State,Big Ten,14.23,10-2,10,2,23.2,5,54.4,12,0.9,10.0,-2.0
13,Oklahoma,Big 12,13.84,10-2,10,2,20.7,8,47.5,13,3.4,12.0,-1.0
14,LSU,SEC,12.19,9-3,9,3,21.8,7,44.0,14,4.1,13.0,-1.0
15,Louisville,ACC,10.3,10-3,10,3,15.6,17,25.6,18,2.8,15.0,0.0
16,Notre Dame,FBS Independents,9.75,9-3,9,3,22.8,6,28.3,17,0.8,16.0,0.0
17,James Madison,Sun Belt,8.6,11-1,11,1,10.6,24,31.8,15,-5.8,,
18,Arizona,Pac-12,7.93,9-3,9,3,16.5,15,21.4,20,1.7,14.0,-4.0
19,Iowa,Big Ten,6.87,10-3,10,3,1.7,54,25.3,19,2.2,17.0,-2.0
20,Utah,Pac-12,6.82,8-4,8,4,8.5,32,30.4,16,6.5,,
21,Oregon State,Pac-12,6.65,8-4,8,4,17.6,13,16.0,25,4.0,19.0,-2.0
22,Troy,Sun Belt,6.55,11-2,11,2,9.0,29,13.6,27,-5.5,,
23,SMU,American Athletic,6.41,11-2,11,2,9.6,27,18.8,22,-7.8,24.0,1.0
24,Kansas State,Big 12,6.3,8-4,8,4,15.7,16,15.2,26,4.5,25.0,1.0
25,NC State,ACC,5.73,9-3,9,3,6.7,38,21.3,21,1.9,18.0,-7.0
26,Tennessee,SEC,5.53,8-4,8,4,12.9,21,18.1,23,3.3,21.0,-5.0
27,Oklahoma State,Big 12,4.89,9-4,9,4,2.6,51,16.1,24,3.7,20.0,-7.0
28,Kansas,Big 12,4.46,8-4,8,4,13.9,19,9.0,30,2.1,,
29,Clemson,ACC,4.11,8-4,8,4,11.0,23,9.5,29,2.9,22.0,-7.0
30,Tulane,American Athletic,4.0,11-2,11,2,-0.2,64,10.3,28,-5.8,,
31,USC,Pac-12,3.87,7-5,7,5,13.0,20,7.3,31,6.7,,
32,Texas A&M,SEC,2.65,7-5,7,5,15.1,18,3.9,35,2.7,,
33,Toledo,Mid-American,2.13,11-2,11,2,1.9,52,2.1,38,-10.3,,
34,North Carolina,ACC,1.91,8-4,8,4,8.6,31,1.8,39,0.3,,
35,Iowa State,Big 12,1.42,7-5,7,5,10.1,26,2.1,37,3.0,,
36,West Virginia,Big 12,1.36,8-4,8,4,3.4,48,5.6,33,1.1,,
37,Miami (OH),Mid-American,1.26,11-2,11,2,-3.9,81,6.1,32,-10.1,,
38,Miami,ACC,0.96,7-5,7,5,10.4,25,1.6,40,1.6,,
39,New Mexico State,Conference USA,0.8,10-4,10,4,0.4,60,0.2,53,-7.4,,
40,Kentucky,SEC,0.77,7-5,7,5,6.6,39,5.1,34,2.6,,
41,Maryland,Big Ten,0.56,7-5,7,5,9.0,30,1.2,43,1.5,,
42,Duke,ACC,0.35,7-5,7,5,6.3,40,2.2,36,2.4,,
43,UCLA,Pac-12,-0.01,7-5,7,5,7.0,35,1.1,44,1.2,,
44,Boise State,Mountain West,-0.36,8-5,8,5,5.5,42,0.0,69,-3.7,,
45,Memphis,American Athletic,-0.55,9-3,9,3,1.3,56,1.5,41,-7.1,,
46,California,Pac-12,-0.9,6-6,6,6,5.2,44,1.2,42,5.0,,
47,UNLV,Mountain West,-0.99,9-4,9,4,-1.2,68,0.1,58,-6.3,,
48,Auburn,SEC,-1.0,6-6,6,6,6.8,36,1.0,45,3.7,,
49,Wisconsin,Big Ten,-1.26,7-5,7,5,3.5,47,0.1,60,0.2,,
50,Texas Tech,Big 12,-1.56,6-6,6,6,3.6,45,0.7,46,4.3,,
51,Northwestern,Big Ten,-2.0,7-5,7,5,-0.0,62,0.4,50,0.3,,
52,App State,Sun Belt,-2.1,8-5,8,5,1.2,58,0.0,82,-5.9,,
53,Georgia Tech,ACC,-2.27,6-6,6,6,2.6,50,0.4,48,3.0,,
54,UCF,Big 12,-2.27,6-6,6,6,8.4,33,0.1,59,-0.8,,
55,Florida,SEC,-2.33,5-7,5,7,6.8,37,0.5,47,5.2,,
56,South Carolina,SEC,-2.68,5-7,5,7,5.4,43,0.2,52,5.2,,
57,Wyoming,Mountain West,-2.69,8-4,8,4,-3.1,75,0.3,51,-4.8,,
58,Virginia Tech,ACC,-2.8,6-6,6,6,3.6,46,0.0,85,0.9,,
59,Washington State,Pac-12,-2.85,5-7,5,7,5.9,41,0.1,61,4.4,,
60,TCU,Big 12,-2.86,5-7,5,7,7.7,34,0.0,70,3.2,,
61,Ohio,Mid-American,-3.0,9-3,9,3,-1.0,67,0.1,56,-12.3,,
62,San José State,Mountain West,-3.04,7-5,7,5,1.0,59,0.1,55,-3.3,,
63,Rutgers,Big Ten,-3.09,6-6,6,6,-0.2,63,0.4,49,2.5,,
64,UTSA,American Athletic,-3.24,8-4,8,4,-1.2,69,0.0,90,-7.6,,
65,Jacksonville State,Conference USA,-3.34,8-4,8,4,-1.4,70,0.1,62,-7.8,,
66,Air Force,Mountain West,-3.49,8-4,8,4,-0.8,66,0.0,133,-8.6,,
67,Western Kentucky,Conference USA,-4.33,7-5,7,5,-3.2,76,0.0,81,-4.2,,
68,Illinois,Big Ten,-4.42,5-7,5,7,1.5,55,0.0,109,2.8,,
69,Fresno State,Mountain West,-4.7,8-4,8,4,-5.6,89,0.0,117,-8.9,,
70,Coastal Carolina,Sun Belt,-4.74,7-5,7,5,-3.5,78,0.0,125,-5.2,,
71,Mississippi State,SEC,-4.83,5-7,5,7,-2.6,72,0.2,54,4.3,,
72,Colorado,Pac-12,-5.02,4-8,4,8,0.0,61,0.0,126,7.3,,
73,Nebraska,Big Ten,-5.13,5-7,5,7,1.7,53,0.0,100,0.6,,
74,Boston College,ACC,-5.31,6-6,6,6,-3.4,77,0.0,72,-1.7,,
75,South Alabama,Sun Belt,-5.41,6-6,6,6,3.0,49,0.0,96,-6.3,,
76,Syracuse,ACC,-5.49,6-6,6,6,-3.9,80,0.0,63,-1.9,,
77,Bowling Green,Mid-American,-5.62,7-5,7,5,-4.8,83,0.0,76,-6.9,,
78,BYU,Big 12,-5.82,5-7,5,7,-5.2,86,0.1,57,3.2,,
79,Minnesota,Big Ten,-5.91,5-7,5,7,-5.1,84,0.0,104,2.9,,
80,Texas State,Sun Belt,-6.19,7-5,7,5,-5.2,87,0.0,71,-8.3,,
81,Purdue,Big Ten,-6.44,4-8,4,8,-0.5,65,0.0,122,3.5,,
82,Marshall,Sun Belt,-6.48,6-6,6,6,-5.2,85,0.0,112,-3.9,,
83,Old Dominion,Sun Belt,-6.53,6-6,6,6,-4.7,82,0.0,128,-4.4,,
84,Arkansas,SEC,-6.59,4-8,4,8,1.2,57,0.0,89,1.9,,
85,Rice,American Athletic,-7.01,6-6,6,6,-2.9,74,0.0,121,-7.0,,
86,Georgia State,Sun Belt,-7.25,6-6,6,6,-9.0,102,0.0,103,-3.6,,
87,Arkansas State,Sun Belt,-7.52,6-6,6,6,-8.1,100,0.0,92,-5.0,,
88,Michigan State,Big Ten,-7.86,4-8,4,8,-8.0,99,0.0,105,4.4,,
89,Utah State,Mountain West,-7.9,6-6,6,6,-6.9,96,0.0,88,-6.9,,
90,Houston,Big 12,-7.92,4-8,4,8,-5.6,90,0.0,108,2.6,,
91,Arizona State,Pac-12,-7.98,3-9,3,9,-3.6,79,0.0,83,6.3,,
92,Stanford,Pac-12,-8.03,3-9,3,9,-6.5,95,0.0,73,8.1,,
93,Louisiana,Sun Belt,-8.14,6-6,6,6,-5.4,88,0.0,77,-8.6,,
94,Georgia Southern,Sun Belt,-8.26,6-6,6,6,-8.9,101,0.0,114,-6.6,,
95,Virginia,ACC,-8.27,3-9,3,9,-2.6,71,0.0,79,4.8,,
96,Wake Forest,ACC,-8.36,4-8,4,8,-6.3,93,0.0,84,1.8,,
97,Pittsburgh,ACC,-9.02,3-9,3,9,-2.6,73,0.0,123,2.6,,
98,Army,FBS Independents,-9.22,6-6,6,6,-12.8,117,0.0,87,-6.8,,
99,Indiana,Big Ten,-9.26,3-9,3,9,-5.7,91,0.0,110,4.0,,
100,South Florida,American Athletic,-9.28,6-6,6,6,-10.8,106,0.0,66,-8.3,,
101,Northern Illinois,Mid-American,-9.75,6-6,6,6,-6.3,94,0.0,116,-12.7,,
102,Baylor,Big 12,-10.04,3-9,3,9,-7.3,98,0.0,64,2.8,,
103,Middle Tennessee,Conference USA,-10.11,4-8,4,8,-5.7,92,0.0,97,-3.7,,
104,Colorado State,Mountain West,-10.19,5-7,5,7,-9.8,103,0.0,127,-6.4,,
105,Hawai'i,Mountain West,-10.66,5-8,5,8,-13.2,118,0.0,107,-5.5,,
106,Cincinnati,Big 12,-10.71,3-9,3,9,-7.1,97,0.0,124,0.7,,
107,North Texas,American Athletic,-11.23,5-7,5,7,-11.5,108,0.0,115,-8.3,,
108,Navy,American Athletic,-11.26,5-7,5,7,-12.8,116,0.0,101,-7.5,,
109,San Diego State,Mountain West,-11.89,4-8,4,8,-12.7,115,0.0,95,-4.2,,
110,Central Michigan,Mid-American,-12.01,5-7,5,7,-15.6,123,0.0,119,-7.8,,
111,Florida Atlantic,American Athletic,-12.22,4-8,4,8,-10.1,104,0.0,131,-6.9,,
112,New Mexico,Mountain West,-12.22,4-8,4,8,-11.9,110,0.0,98,-5.7,,
113,UAB,American Athletic,-12.29,4-8,4,8,-10.4,105,0.0,78,-6.9,,
114,Tulsa,American Athletic,-12.48,4-8,4,8,-14.2,121,0.0,65,-4.9,,
115,Vanderbilt,SEC,-12.51,2-10,2,10,-11.9,109,0.0,86,3.9,,
116,Eastern Michigan,Mid-American,-12.79,6-6,6,6,-18.6,128,0.0,130,-13.3,,
117,Ball State,Mid-American,-13.07,4-8,4,8,-12.3,112,0.0,68,-7.9,,
118,UTEP,Conference USA,-13.56,3-9,3,9,-12.0,111,0.0,91,-4.3,,
119,Western Michigan,Mid-American,-13.66,4-8,4,8,-15.3,122,0.0,80,-7.6,,
120,Southern Miss,Sun Belt,-13.68,3-9,3,9,-14.0,120,0.0,67,-3.3,,
121,Florida International,Conference USA,-13.82,4-8,4,8,-16.3,126,0.0,132,-7.4,,
122,Louisiana Tech,Conference USA,-14.13,3-9,3,9,-12.7,114,0.0,106,-5.5,,
123,Sam Houston,Conference USA,-14.19,3-9,3,9,-11.3,107,0.0,118,-6.6,,
124,UConn,FBS Independents,-14.61,3-9,3,9,-16.1,124,0.0,93,-4.6,,
125,Massachusetts,FBS Independents,-14.65,3-9,3,9,-16.3,125,0.0,111,-4.6,,
126,Charlotte,American Athletic,-15.24,3-9,3,9,-16.9,127,0.0,120,-5.9,,
127,East Carolina,American Athletic,-15.51,2-10,2,10,-12.4,113,0.0,129,-4.5,,
128,Buffalo,Mid-American,-15.65,3-9,3,9,-13.9,119,0.0,74,-9.1,,
129,UL Monroe,Sun Belt,-16.58,2-10,2,10,-18.8,129,0.0,94,-3.3,,
130,Temple,American Athletic,-16.86,3-9,3,9,-22.0,132,0.0,75,-7.2,,
131,Nevada,Mountain West,-17.45,2-10,2,10,-19.0,130,0.0,99,-5.7,,
132,Akron,Mid-American,-19.82,2-10,2,10,-20.5,131,0.0,102,-11.6,,
133,Kent State,Mid-American,-22.52,1-11,1,11,-28.9,133,0.0,113,-8.6,,
