res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Auburn,SEC,25.13,13-0,13,0,23.1,5,99.6,1,6.3,,
2,Oregon,Pac-10,21.89,12-0,12,0,24.8,2,97.7,2,1.5,,
3,Stanford,Pac-10,19.36,11-1,11,1,22.3,6,90.3,3,3.0,,
4,TCU,Mountain West,18.24,12-0,12,0,24.6,3,83.7,6,-5.2,,
5,Oklahoma,Big 12,17.72,11-2,11,2,15.4,14,78.2,7,6.0,,
6,Arkansas,SEC,16.99,10-2,10,2,18.4,8,86.8,4,4.8,,
7,LSU,SEC,15.8,10-2,10,2,13.2,19,83.9,5,5.5,,
8,Boise State,Western Athletic,15.77,11-1,11,1,25.8,1,65.5,11,-3.0,,
9,Ohio State,Big Ten,15.18,11-1,11,1,19.1,7,71.2,8,-1.9,,
10,Virginia Tech,ACC,15.18,11-2,11,2,17.4,9,64.9,12,0.9,,
11,Wisconsin,Big Ten,14.22,11-1,11,1,16.0,12,70.9,9,-2.6,,
12,Nevada,Western Athletic,14.09,12-1,12,1,11.2,23,70.9,10,-5.1,,
13,Alabama,SEC,12.26,9-3,9,3,24.2,4,45.4,16,3.7,,
14,Oklahoma State,Big 12,12.03,10-2,10,2,16.8,10,48.4,15,1.8,,
15,Michigan State,Big Ten,11.7,11-1,11,1,6.8,36,64.4,13,-2.2,,
16,Missouri,Big 12,10.6,10-2,10,2,10.1,25,53.2,14,0.7,,
17,South Carolina,SEC,10.58,9-4,9,4,14.3,16,42.6,18,6.0,,
18,Texas A&M,Big 12,10.47,9-3,9,3,16.5,11,43.6,17,4.0,,
19,Nebraska,Big 12,9.52,10-3,10,3,15.9,13,29.9,20,0.1,,
20,Florida State,ACC,7.12,9-4,9,4,13.5,18,17.4,22,3.3,,
21,Utah,Mountain West,7.09,10-2,10,2,6.8,37,37.1,19,-3.0,,
22,Mississippi State,SEC,5.51,8-4,8,4,9.3,27,26.4,21,4.1,,
