res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,29.46,13-0,13,0,37.1,1,99.5,1,6.1,1.0,0.0
2,Ohio State,Big Ten,23.13,11-1,11,1,26.6,3,95.4,2,6.3,3.0,1.0
3,Washington,Pac-12,22.43,12-1,12,1,27.6,2,85.5,4,1.4,4.0,1.0
4,Clemson,ACC,21.82,12-1,12,1,20.5,6,90.8,3,2.7,2.0,-2.0
5,Penn State,Big Ten,19.98,11-2,11,2,17.1,10,84.9,5,6.6,5.0,0.0
6,Michigan,Big Ten,18.99,10-2,10,2,25.7,4,76.2,7,5.9,6.0,0.0
7,Wisconsin,Big Ten,16.92,10-3,10,3,16.3,13,74.2,8,6.7,8.0,1.0
8,Western Michigan,Mid-American,16.8,13-0,13,0,12.6,17,76.3,6,-7.5,15.0,7.0
9,Colorado,Pac-12,16.25,10-3,10,3,16.5,11,68.7,9,6.3,10.0,1.0
10,USC,Pac-12,14.77,9-3,9,3,18.7,8,61.6,10,7.9,9.0,-1.0
11,Oklahoma,Big 12,12.71,10-2,10,2,15.6,14,51.2,12,1.9,7.0,-4.0
12,Florida State,ACC,11.47,9-3,9,3,17.1,9,45.6,13,4.2,11.0,-1.0
13,Stanford,Pac-12,11.1,9-3,9,3,9.1,25,52.9,11,6.2,18.0,5.0
14,West Virginia,Big 12,8.58,10-2,10,2,8.9,26,33.1,15,-0.2,16.0,2.0
15,Auburn,SEC,7.99,8-4,8,4,16.4,12,27.4,16,5.3,14.0,-1.0
16,LSU,SEC,7.67,7-4,7,4,22.4,5,24.4,17,6.5,20.0,4.0
17,Louisville,ACC,7.15,9-3,9,3,20.0,7,14.7,23,-0.9,13.0,-4.0
18,Nebraska,Big Ten,6.95,9-3,9,3,5.3,44,33.3,14,2.6,,
19,Boise State,Mountain West,6.94,10-2,10,2,10.3,22,21.2,21,-2.3,,
20,Florida,SEC,6.45,8-4,8,4,11.3,20,24.0,18,5.2,17.0,-3.0
21,Texas A&M,SEC,6.17,8-4,8,4,12.0,18,21.5,20,4.7,,
22,South Florida,American Athletic,5.64,10-2,10,2,6.3,37,22.4,19,-3.8,,
23,Virginia Tech,ACC,5.27,9-4,9,4,10.6,21,10.6,30,1.1,22.0,-1.0
24,Washington State,Pac-12,5.11,8-4,8,4,14.4,15,12.7,27,2.7,,
25,Oklahoma State,Big 12,4.56,9-3,9,3,7.4,32,14.7,24,-0.1,12.0,-13.0
26,Pittsburgh,ACC,4.15,8-4,8,4,11.4,19,14.0,25,1.5,23.0,-3.0
27,Tennessee,SEC,4.03,8-4,8,4,7.4,33,13.0,26,4.1,21.0,-6.0
28,Temple,American Athletic,3.89,10-3,10,3,8.3,28,5.9,37,-5.2,24.0,-4.0
29,Miami,ACC,3.86,8-4,8,4,12.9,16,9.6,33,1.0,,
30,Utah,Pac-12,3.55,8-4,8,4,6.5,36,15.3,22,2.6,19.0,-11.0
31,Iowa,Big Ten,3.33,8-4,8,4,9.7,23,9.5,34,1.6,,
32,Houston,American Athletic,3.02,9-3,9,3,7.5,31,11.2,29,-3.6,,
33,Western Kentucky,Conference USA,2.94,10-3,10,3,8.4,27,3.5,39,-7.3,,
34,North Carolina,ACC,2.34,8-4,8,4,9.2,24,6.7,36,-0.1,,
35,Georgia Tech,ACC,2.01,8-4,8,4,2.9,58,10.3,31,2.0,,
36,Tulsa,American Athletic,1.98,9-3,9,3,4.7,46,9.7,32,-4.3,,
37,Minnesota,Big Ten,1.9,8-4,8,4,5.6,42,7.0,35,0.9,,
