res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Clemson,ACC,23.57,13-0,13,0,24.1,3,97.8,1,2.7,1.0,0.0
2,Alabama,SEC,22.8,12-1,12,1,24.4,1,97.0,2,5.7,2.0,0.0
3,Oklahoma,Big 12,20.46,11-1,11,1,24.1,2,93.6,3,5.2,4.0,1.0
4,Michigan State,Big Ten,19.88,12-1,12,1,13.5,15,93.1,4,5.2,3.0,-1.0
5,Stanford,Pac-12,17.31,11-2,11,2,16.2,10,78.7,5,5.1,6.0,1.0
6,Ohio State,Big Ten,17.03,11-1,11,1,20.0,4,78.5,6,1.9,7.0,1.0
7,Iowa,Big Ten,15.93,12-1,12,1,11.5,26,77.5,9,-0.8,5.0,-2.0
8,Notre Dame,FBS Independents,15.8,10-2,10,2,16.4,9,78.3,7,5.9,8.0,0.0
9,TCU,Big 12,14.63,10-2,10,2,16.9,7,77.5,8,2.4,11.0,2.0
10,Oklahoma State,Big 12,13.74,10-2,10,2,13.2,18,77.4,10,2.2,16.0,6.0
11,Florida,SEC,12.71,10-3,10,3,11.9,24,60.1,11,4.7,19.0,8.0
12,North Carolina,ACC,12.38,11-2,11,2,15.3,12,51.4,17,-1.3,10.0,-2.0
13,Houston,American Athletic,12.02,12-1,12,1,9.6,32,57.9,16,-5.7,18.0,5.0
14,Ole Miss,SEC,11.59,9-3,9,3,18.8,6,59.1,14,2.5,12.0,-2.0
15,Florida State,ACC,11.52,10-2,10,2,13.4,16,59.6,12,0.4,9.0,-6.0
16,LSU,SEC,10.61,8-3,8,3,14.9,13,59.0,15,7.4,20.0,4.0
17,Northwestern,Big Ten,9.79,10-2,10,2,4.4,51,59.3,13,1.2,13.0,-4.0
18,Oregon,Pac-12,9.29,9-3,9,3,12.6,22,46.0,18,3.3,15.0,-3.0
19,Baylor,Big 12,9.24,9-3,9,3,19.5,5,39.9,21,0.4,17.0,-2.0
20,Navy,American Athletic,8.2,10-2,10,2,10.9,28,41.6,19,-2.8,21.0,1.0
21,Utah,Pac-12,8.02,9-3,9,3,9.2,33,40.4,20,3.3,22.0,1.0
