res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Indiana,Big Ten,26.15,13-0,13,0,29.3,2,99.6,1,4.8,1.0,0.0
2,Ohio State,Big Ten,23.34,12-1,12,1,29.8,1,91.0,5,4.0,2.0,0.0
3,Georgia,SEC,21.74,12-1,12,1,20.7,9,91.3,3,4.8,3.0,0.0
4,Oregon,Big Ten,21.04,11-1,11,1,28.2,3,91.7,2,3.3,5.0,1.0
5,Texas Tech,Big 12,20.34,12-1,12,1,24.9,5,83.1,6,0.5,4.0,-1.0
6,Texas A&M,SEC,20.23,11-1,11,1,19.6,11,91.2,4,6.3,7.0,1.0
7,BYU,Big 12,18.44,11-2,11,2,16.6,16,80.8,7,5.9,12.0,5.0
8,Ole Miss,SEC,18.03,11-1,11,1,18.5,12,80.6,8,3.6,6.0,-2.0
9,Alabama,SEC,16.91,10-3,10,3,19.6,10,69.7,10,8.0,9.0,0.0
10,Notre Dame,FBS Independents,16.66,10-2,10,2,26.7,4,60.2,13,5.7,11.0,1.0
11,Oklahoma,SEC,15.86,10-2,10,2,17.1,15,72.7,9,5.6,8.0,-3.0
12,Miami,ACC,15.42,10-2,10,2,23.0,6,59.9,14,4.4,10.0,-2.0
13,Vanderbilt,SEC,15.04,10-2,10,2,20.9,8,61.9,11,4.0,14.0,1.0
14,Utah,Big 12,13.44,10-2,10,2,22.3,7,47.9,15,2.5,15.0,1.0
15,Texas,SEC,12.26,9-3,9,3,12.6,25,61.8,12,6.2,13.0,-2.0
16,USC,Big Ten,10.47,9-3,9,3,18.0,14,35.3,17,5.3,16.0,0.0
17,Michigan,Big Ten,9.79,9-3,9,3,13.0,24,36.5,16,6.0,18.0,1.0
18,James Madison,Sun Belt,9.5,12-1,12,1,11.9,27,29.8,18,-7.9,24.0,6.0
19,Tulane,American Athletic,7.23,11-2,11,2,4.9,53,20.2,21,-2.3,20.0,1.0
20,Missouri,SEC,6.29,8-4,8,4,16.1,17,22.0,20,3.3,,
21,Arizona,Big 12,5.53,9-3,9,3,12.2,26,11.6,26,1.2,17.0,-4.0
22,North Texas,American Athletic,5.42,11-2,11,2,10.1,30,7.5,32,-7.1,25.0,3.0
23,Washington,Big Ten,5.19,8-4,8,4,18.1,13,8.0,31,2.9,,
24,Iowa,Big Ten,5.16,8-4,8,4,14.1,21,16.9,22,2.7,23.0,-1.0
25,Tennessee,SEC,4.87,8-4,8,4,14.7,20,13.0,24,2.6,,
26,Navy,American Athletic,4.7,10-2,10,2,0.9,65,29.6,19,-4.7,,
27,Virginia,ACC,4.62,10-3,10,3,6.8,43,5.0,34,-1.5,19.0,-8.0
28,Illinois,Big Ten,4.46,8-4,8,4,7.5,39,16.4,23,4.8,,
29,South Florida,American Athletic,3.91,9-3,9,3,14.1,22,8.3,29,-3.7,,
30,Arizona State,Big 12,3.55,8-4,8,4,7.0,42,9.6,27,4.4,,
31,Georgia Tech,ACC,3.47,9-3,9,3,7.1,41,8.1,30,-0.7,22.0,-9.0
32,LSU,SEC,3.29,7-5,7,5,8.3,37,12.3,25,7.3,,
33,SMU,ACC,3.0,8-4,8,4,15.6,18,2.2,39,-0.3,,
34,TCU,Big 12,2.76,8-4,8,4,8.4,35,4.9,36,2.6,,
35,Louisville,ACC,2.74,8-4,8,4,10.1,29,4.9,35,1.5,,
36,Pittsburgh,ACC,2.63,8-4,8,4,8.7,33,5.7,33,1.8,,
37,Iowa State,Big 12,2.63,8-4,8,4,8.7,34,4.7,37,2.1,,
38,Houston,Big 12,2.28,9-3,9,3,2.5,59,8.6,28,-1.5,21.0,-17.0
39,Boise State,Mountain West,1.63,9-4,9,4,5.7,50,0.8,44,-3.1,,
40,NC State,ACC,1.01,7-5,7,5,6.0,46,2.7,38,4.8,,
41,UNLV,Mountain West,0.74,10-3,10,3,1.4,62,0.4,52,-8.2,,
42,Penn State,Big Ten,0.69,6-6,6,6,15.0,19,0.4,51,4.3,,
43,Wake Forest,ACC,0.36,8-4,8,4,5.8,48,1.0,42,-1.7,,
44,Old Dominion,Sun Belt,0.35,9-3,9,3,6.2,45,1.7,40,-7.4,,
45,Cincinnati,Big 12,0.07,7-5,7,5,7.4,40,1.0,43,1.7,,
46,Duke,ACC,0.06,8-5,8,5,2.6,58,0.2,58,-0.4,,
47,New Mexico,Mountain West,-0.2,9-3,9,3,1.2,64,1.5,41,-5.9,,
48,Clemson,ACC,-0.38,7-5,7,5,8.4,36,0.3,53,-0.0,,
49,Kansas State,Big 12,-0.68,6-6,6,6,10.3,28,0.2,57,3.2,,
50,Kennesaw State,Conference USA,-0.76,10-3,10,3,-4.9,84,0.6,48,-8.8,,
51,Auburn,SEC,-0.93,5-7,5,7,13.4,23,0.6,46,5.7,,
52,San Diego State,Mountain West,-0.95,9-3,9,3,2.3,60,0.3,54,-8.4,,
53,East Carolina,American Athletic,-1.2,8-4,8,4,5.8,49,0.2,59,-6.0,,
54,Nebraska,Big Ten,-1.4,7-5,7,5,1.3,63,0.7,45,1.2,,
55,Memphis,American Athletic,-1.79,8-4,8,4,3.0,57,0.1,63,-6.0,,
56,Minnesota,Big Ten,-2.25,7-5,7,5,-3.3,78,0.5,49,1.6,,
57,Kentucky,SEC,-2.48,5-7,5,7,3.0,56,0.6,47,7.5,,
58,Northwestern,Big Ten,-2.54,6-6,6,6,1.8,61,0.4,50,2.9,,
59,Florida State,ACC,-2.69,5-7,5,7,10.0,31,0.0,95,2.8,,
60,Florida,SEC,-2.74,4-8,4,8,6.4,44,0.3,56,10.0,,
61,Washington State,Pac-12,-2.8,6-6,6,6,4.8,54,0.1,64,0.4,,
62,Baylor,Big 12,-2.9,5-7,5,7,5.5,51,0.1,65,4.9,,
63,Mississippi State,SEC,-3.02,5-7,5,7,3.7,55,0.3,55,5.6,,
64,Kansas,Big 12,-3.23,5-7,5,7,4.9,52,0.1,66,4.3,,
65,South Carolina,SEC,-3.34,4-8,4,8,8.2,38,0.1,61,7.2,,
66,Western Michigan,Mid-American,-3.41,9-4,9,4,-6.4,92,0.0,68,-10.2,,
67,Toledo,Mid-American,-3.51,8-4,8,4,6.0,47,0.0,87,-12.8,,
68,Wisconsin,Big Ten,-3.66,4-8,4,8,0.7,66,0.2,60,10.8,,
69,California,ACC,-3.89,7-5,7,5,-5.0,85,0.0,105,-2.0,,
70,Hawai'i,Mountain West,-4.08,8-4,8,4,-4.8,81,0.0,127,-7.9,,
71,UConn,FBS Independents,-4.22,9-3,9,3,-5.2,87,0.0,77,-13.3,,
72,Fresno State,Mountain West,-4.29,8-4,8,4,-6.0,89,0.0,114,-7.8,,
73,Rutgers,Big Ten,-4.47,5-7,5,7,-2.2,73,0.1,62,5.0,,
74,Troy,Sun Belt,-4.84,8-5,8,5,-9.1,96,0.0,84,-7.5,,
75,UTSA,American Athletic,-5.07,6-6,6,6,0.4,67,0.0,74,-3.5,,
76,UCLA,Big Ten,-5.49,3-9,3,9,-0.2,69,0.0,78,11.3,,
77,UCF,Big 12,-5.53,5-7,5,7,-0.3,70,0.0,81,0.8,,
