res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,26.66,12-1,12,1,32.1,1,98.6,1,8.6,1.0,0.0
2,Florida State,ACC,23.77,13-0,13,0,17.8,14,97.4,2,4.2,3.0,1.0
3,Oregon,Pac-12,21.47,12-1,12,1,25.1,2,81.0,6,3.1,2.0,-1.0
4,Ohio State,Big Ten,19.41,12-1,12,1,20.5,8,74.1,7,2.0,4.0,0.0
5,TCU,Big 12,19.37,11-1,11,1,22.4,6,85.9,5,2.4,6.0,1.0
6,Mississippi State,SEC,18.85,10-2,10,2,22.5,5,88.1,3,5.4,7.0,1.0
7,Baylor,Big 12,18.34,11-1,11,1,19.2,11,86.6,4,1.2,5.0,-2.0
8,Ole Miss,SEC,16.35,9-3,9,3,22.9,4,71.0,9,8.2,9.0,1.0
9,Auburn,SEC,16.05,8-4,8,4,23.6,3,71.3,8,12.0,19.0,10.0
10,Kansas State,Big 12,12.78,9-3,9,3,18.4,13,54.6,11,5.5,11.0,1.0
11,Missouri,SEC,12.2,10-3,10,3,12.8,24,46.4,12,4.5,16.0,5.0
12,Georgia,SEC,11.89,9-3,9,3,21.6,7,43.2,15,4.3,13.0,1.0
13,Georgia Tech,ACC,11.7,10-3,10,3,18.5,12,32.3,18,3.7,12.0,-1.0
14,LSU,SEC,11.6,8-4,8,4,16.6,16,56.9,10,7.7,23.0,9.0
15,Michigan State,Big Ten,11.51,10-2,10,2,20.1,9,43.2,14,-1.1,8.0,-7.0
16,Arizona,Pac-12,11.28,10-3,10,3,8.9,34,44.2,13,4.9,10.0,-6.0
17,UCLA,Pac-12,11.15,9-3,9,3,12.7,25,40.5,16,8.5,14.0,-3.0
18,Marshall,Conference USA,9.21,12-1,12,1,14.5,20,21.3,20,-8.2,,
19,Clemson,ACC,7.96,9-3,9,3,10.1,29,36.6,17,2.0,17.0,-2.0
20,Wisconsin,Big Ten,7.78,10-3,10,3,15.6,17,13.9,27,-0.4,18.0,-2.0
21,Oklahoma,Big 12,7.27,8-4,8,4,16.8,15,18.3,22,6.5,,
22,Boise State,Mountain West,7.21,11-2,11,2,9.8,30,14.3,25,-3.8,20.0,-2.0
23,Louisville,ACC,6.9,9-3,9,3,14.7,19,17.6,23,1.7,21.0,-2.0
24,Arizona State,Pac-12,6.29,9-3,9,3,10.3,28,18.8,21,2.3,15.0,-9.0
25,Nebraska,Big Ten,5.39,9-3,9,3,11.3,26,14.7,24,0.3,,
26,Arkansas,SEC,5.38,6-6,6,6,19.3,10,14.2,26,11.1,,
27,Texas A&M,SEC,4.94,7-5,7,5,8.2,35,28.3,19,7.3,,
28,USC,Pac-12,4.6,8-4,8,4,13.3,23,6.9,34,4.3,24.0,-4.0
29,West Virginia,Big 12,4.47,7-5,7,5,14.0,21,11.2,29,7.4,,
30,Colorado State,Mountain West,3.17,10-2,10,2,6.5,38,9.0,30,-6.7,,
31,Utah,Pac-12,3.13,8-4,8,4,4.5,46,12.6,28,3.8,22.0,-9.0
32,Stanford,Pac-12,2.49,7-5,7,5,15.3,18,3.0,38,3.3,,
33,Minnesota,Big Ten,2.47,8-4,8,4,6.1,41,8.1,33,2.2,25.0,-8.0
34,Duke,ACC,2.18,9-3,9,3,3.7,48,8.2,32,-2.4,,
35,Washington,Pac-12,1.74,8-5,8,5,9.6,31,1.1,45,-0.0,,
36,Northern Illinois,Mid-American,1.74,11-2,11,2,-3.5,80,8.4,31,-9.7,,
37,Notre Dame,FBS Independents,0.96,7-5,7,5,6.4,40,1.6,42,4.8,,
38,Louisiana Tech,Conference USA,0.75,8-5,8,5,10.9,27,0.1,62,-3.4,,
39,Miami,ACC,0.51,6-6,6,6,14.0,22,0.5,51,4.3,,
40,Cincinnati,American Athletic,0.5,9-3,9,3,2.6,51,3.2,36,-5.1,,
41,Texas,Big 12,0.49,6-6,6,6,9.3,32,1.7,41,6.8,,
42,Boston College,ACC,0.34,7-5,7,5,7.9,36,1.1,46,2.2,,
43,Florida,SEC,0.11,6-5,6,5,9.1,33,5.8,35,4.6,,
44,Tennessee,SEC,0.03,6-6,6,6,7.1,37,2.1,40,6.7,,
45,Memphis,American Athletic,-0.66,9-3,9,3,1.6,56,3.0,37,-7.8,,
46,Utah State,Mountain West,-0.73,9-4,9,4,0.7,60,0.2,58,-6.6,,
47,BYU,FBS Independents,-1.02,8-4,8,4,3.3,49,0.4,53,-3.9,,
48,NC State,ACC,-1.05,7-5,7,5,4.8,44,0.7,48,0.2,,
49,Maryland,Big Ten,-1.08,7-5,7,5,0.6,61,1.5,44,2.5,,
50,Oklahoma State,Big 12,-1.21,6-6,6,6,1.9,53,2.9,39,6.1,,
51,Virginia Tech,ACC,-1.5,6-6,6,6,6.5,39,0.2,55,3.2,,
52,South Carolina,SEC,-1.56,6-6,6,6,5.1,42,0.5,50,3.8,,
53,UCF,American Athletic,-1.67,9-3,9,3,-0.5,65,0.9,47,-8.8,,
54,Rutgers,Big Ten,-1.75,7-5,7,5,-2.3,73,1.6,43,2.3,,
