res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Missouri,Big 12,20.09,11-2,11,2,19.9,4,86.1,1,4.5,,
2,Oklahoma,Big 12,18.47,11-2,11,2,17.5,9,82.9,2,2.4,,
3,LSU,SEC,18.22,11-2,11,2,20.6,3,70.7,9,3.3,,
4,USC,Pac-10,18.05,10-2,10,2,20.8,2,79.5,5,5.2,,
5,Arizona State,Pac-10,16.81,10-2,10,2,13.0,15,81.6,3,6.3,,
6,Hawai'i,Western Athletic,16.47,12-0,12,0,15.7,13,81.3,4,-6.9,,
7,Kansas,Big 12,15.78,11-1,11,1,17.9,8,75.1,6,-3.3,,
8,Ohio State,Big Ten,15.7,11-1,11,1,16.3,12,72.4,7,-1.6,,
9,Georgia,SEC,14.92,10-2,10,2,12.3,17,71.8,8,4.3,,
10,BYU,Mountain West,13.74,10-2,10,2,19.5,5,53.6,11,1.5,,
11,Florida,SEC,12.78,9-3,9,3,23.0,1,43.3,14,4.7,,
12,West Virginia,Big East,12.66,10-2,10,2,18.9,6,48.7,12,0.3,,
13,Virginia Tech,ACC,12.51,11-2,11,2,9.2,28,57.8,10,-1.5,,
14,Oregon State,Pac-10,10.15,8-4,8,4,14.5,14,46.9,13,7.0,,
15,Oregon,Pac-10,9.49,8-4,8,4,18.2,7,31.7,17,7.2,,
16,South Florida,Big East,8.77,9-3,9,3,16.8,10,30.9,18,1.1,,
17,Tennessee,SEC,8.06,9-4,9,4,3.9,50,39.0,15,5.4,,
18,Texas,Big 12,7.25,9-3,9,3,9.9,24,32.3,16,1.0,,
19,Auburn,SEC,7.2,8-4,8,4,12.9,16,30.4,19,4.6,,
20,Cincinnati,Big East,6.34,9-3,9,3,9.3,26,29.5,20,-0.4,,
21,Boise State,Western Athletic,6.26,10-2,10,2,10.2,23,23.8,22,-4.7,,
22,Illinois,Big Ten,5.86,9-3,9,3,10.7,20,22.2,24,-0.5,,
