res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Oklahoma,Big 12,24.77,12-1,12,1,27.2,3,98.5,1,6.5,,
2,Florida,SEC,23.18,12-1,12,1,28.8,2,88.8,6,3.4,,
3,Texas,Big 12,22.46,11-1,11,1,26.9,4,95.9,3,5.9,,
4,Alabama,SEC,20.32,12-1,12,1,17.9,10,92.5,4,1.6,,
5,Texas Tech,Big 12,20.24,11-1,11,1,22.2,5,96.6,2,2.5,,
6,USC,Pac-10,19.89,11-1,11,1,30.4,1,76.9,10,1.2,,
7,Penn State,Big Ten,18.06,11-1,11,1,21.6,6,83.0,8,0.3,,
8,Boise State,Western Athletic,16.73,12-0,12,0,18.1,9,83.5,7,-6.5,,
9,Utah,Mountain West,16.61,12-0,12,0,11.3,21,90.2,5,-4.0,,
10,Ohio State,Big Ten,15.25,10-2,10,2,12.7,16,78.2,9,4.8,,
11,Oklahoma State,Big 12,12.12,9-3,9,3,14.8,13,63.1,11,3.6,,
12,Missouri,Big 12,10.37,9-4,9,4,15.3,12,37.4,14,5.2,,
13,Georgia,SEC,10.18,9-3,9,3,18.2,8,34.2,15,3.5,,
14,TCU,Mountain West,10.1,10-2,10,2,20.7,7,33.9,16,-3.6,,
15,Cincinnati,Big East,9.79,11-2,11,2,6.0,34,43.2,12,-2.1,,
16,Oregon,Pac-10,9.11,9-3,9,3,12.0,19,41.1,13,2.8,,
17,Ball State,Mid-American,6.87,12-1,12,1,6.3,32,19.8,20,-9.6,,
18,Michigan State,Big Ten,6.78,9-3,9,3,6.7,30,30.4,17,2.6,,
19,Oregon State,Pac-10,6.45,8-4,8,4,12.0,20,24.9,18,4.7,,
20,Nebraska,Big 12,5.54,8-4,8,4,15.4,11,12.5,24,3.1,,
21,BYU,Mountain West,4.76,10-2,10,2,5.1,38,23.9,19,-5.6,,
22,Pittsburgh,Big East,4.06,9-3,9,3,4.4,40,12.8,22,1.1,,
23,Georgia Tech,ACC,3.84,9-3,9,3,8.0,27,13.4,21,-2.2,,
24,Kansas,Big 12,3.51,7-5,7,5,12.2,18,12.6,23,4.6,,
25,Ole Miss,SEC,3.46,8-4,8,4,12.6,17,7.0,28,0.5,,
26,Iowa,Big Ten,3.32,8-4,8,4,13.2,15,5.8,29,-0.0,,
27,California,Pac-10,3.22,8-4,8,4,8.2,25,9.3,26,2.2,,
28,Virginia Tech,ACC,2.52,9-4,9,4,4.4,41,4.8,31,-1.2,,
29,Boston College,ACC,2.3,9-4,9,4,5.7,35,1.7,35,-1.9,,
30,Florida State,ACC,2.11,8-4,8,4,10.6,22,2.8,33,-0.9,,
31,Northwestern,Big Ten,2.09,9-3,9,3,1.9,49,9.5,25,-2.0,,
32,Tulsa,Conference USA,1.98,10-3,10,3,6.7,31,1.2,37,-8.6,,
33,LSU,SEC,1.74,8-5,8,5,7.2,28,4.5,32,-0.1,,
34,Wisconsin,Big Ten,1.18,7-5,7,5,13.6,14,1.1,39,-0.0,,
35,Rice,Conference USA,0.55,9-3,9,3,0.1,55,7.1,27,-4.6,,
36,South Carolina,SEC,0.33,7-5,7,5,5.3,36,2.8,34,2.8,,
37,East Carolina,Conference USA,0.24,9-4,9,4,0.9,52,0.7,43,-4.3,,
38,Western Michigan,Mid-American,0.17,9-3,9,3,-0.2,57,5.3,30,-5.0,,
39,Arizona,Pac-10,-0.09,7-5,7,5,9.2,24,0.9,41,-0.6,,
40,West Virginia,Big East,-0.39,8-4,8,4,2.7,47,1.2,38,-2.3,,
41,North Carolina,ACC,-1.21,8-4,8,4,-2.0,66,1.1,40,-1.4,,
42,Clemson,ACC,-1.39,7-5,7,5,4.9,39,0.5,45,-1.3,,
43,UConn,Big East,-1.43,7-5,7,5,6.2,33,0.1,62,-2.2,,
44,South Florida,Big East,-1.43,7-5,7,5,7.0,29,0.2,55,-2.8,,
45,Troy,Sun Belt,-1.87,8-4,8,4,3.6,46,0.4,48,-7.0,,
46,Central Michigan,Mid-American,-2.1,8-4,8,4,-0.6,59,0.5,44,-4.8,,
47,Wake Forest,ACC,-2.12,7-5,7,5,-1.9,63,0.4,46,1.3,,
48,Rutgers,Big East,-2.17,7-5,7,5,4.2,42,0.2,52,-3.0,,
49,Buffalo,Mid-American,-2.22,8-5,8,5,-2.8,71,0.1,63,-3.5,,
50,Houston,Conference USA,-2.27,7-5,7,5,9.2,23,0.0,94,-6.7,,
51,Nevada,Western Athletic,-2.3,7-5,7,5,5.1,37,0.2,50,-4.0,,
52,Navy,FBS Independents,-2.45,8-4,8,4,-0.5,58,0.2,49,-5.8,,
53,Minnesota,Big Ten,-2.45,7-5,7,5,-1.2,60,0.9,42,-0.3,,
54,Air Force,Mountain West,-2.51,8-4,8,4,-5.2,82,1.6,36,-3.1,,
55,Illinois,Big Ten,-3.09,5-7,5,7,8.2,26,0.1,60,2.0,,
56,Arkansas,SEC,-3.25,5-7,5,7,3.9,43,0.2,57,4.5,,
57,Miami,ACC,-3.28,7-5,7,5,-3.6,75,0.4,47,-0.9,,
58,Maryland,ACC,-3.44,7-5,7,5,-2.6,68,0.2,58,-2.0,,
59,Hawai'i,Western Athletic,-3.56,7-6,7,6,-1.3,61,0.0,102,-3.2,,
60,Fresno State,Western Athletic,-3.62,7-5,7,5,-1.5,62,0.2,54,-3.3,,
61,Vanderbilt,SEC,-3.81,6-6,6,6,-3.0,72,0.2,59,2.4,,
62,Tennessee,SEC,-3.95,5-7,5,7,3.6,45,0.0,72,2.7,,
63,Stanford,Pac-10,-4.48,5-7,5,7,-0.0,56,0.2,53,3.6,,
64,Notre Dame,FBS Independents,-4.69,6-6,6,6,-2.7,70,0.0,112,-0.3,,
65,Baylor,Big 12,-4.77,4-8,4,8,3.8,44,0.0,69,5.4,,
66,Arizona State,Pac-10,-4.81,5-7,5,7,1.4,50,0.1,61,1.7,,
67,Kentucky,SEC,-4.81,6-6,6,6,-4.3,79,0.2,56,0.4,,
68,NC State,ACC,-4.97,6-6,6,6,-3.6,74,0.0,104,-0.5,,
69,Auburn,SEC,-5.05,5-7,5,7,1.0,51,0.0,67,1.3,,
70,Colorado,Big 12,-5.4,5-7,5,7,-4.0,77,0.2,51,3.7,,
71,Southern Miss,Conference USA,-5.71,6-6,6,6,0.1,54,0.0,83,-5.2,,
72,Virginia,ACC,-5.8,5-7,5,7,-2.0,65,0.0,74,1.2,,
