res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,23.9,12-1,12,1,26.1,2,99.1,1,5.9,1.0,0.0
2,Georgia,SEC,23.77,12-1,12,1,30.0,1,95.7,2,3.9,3.0,1.0
3,Michigan,Big Ten,20.48,12-1,12,1,19.2,4,92.6,3,2.3,2.0,-1.0
4,Cincinnati,American Athletic,19.72,13-0,13,0,17.7,6,92.0,4,-4.0,4.0,0.0
5,Notre Dame,FBS Independents,18.08,11-1,11,1,17.3,7,85.3,6,3.8,5.0,0.0
6,Ole Miss,SEC,16.92,10-2,10,2,15.0,10,89.1,5,6.1,8.0,2.0
7,Ohio State,Big Ten,15.79,10-2,10,2,23.3,3,68.5,9,3.0,6.0,-1.0
8,Oklahoma State,Big 12,15.77,11-2,11,2,17.0,8,67.7,10,2.1,9.0,1.0
9,Baylor,Big 12,14.63,11-2,11,2,10.6,25,72.4,8,1.7,7.0,-2.0
10,Michigan State,Big Ten,12.9,10-2,10,2,8.0,40,75.3,7,2.8,10.0,0.0
11,Oregon,Pac-12,12.7,10-3,10,3,10.3,27,62.6,12,4.2,14.0,3.0
12,Oklahoma,Big 12,12.05,10-2,10,2,11.1,22,62.9,11,1.7,16.0,4.0
13,Utah,Pac-12,11.78,10-3,10,3,18.4,5,39.7,22,2.5,11.0,-2.0
14,BYU,FBS Independents,10.79,10-2,10,2,9.6,32,57.5,13,0.5,13.0,-1.0
15,Pittsburgh,ACC,10.78,11-2,11,2,13.6,15,41.3,21,-2.9,12.0,-3.0
16,Iowa,Big Ten,10.43,10-3,10,3,3.8,52,54.2,14,4.2,15.0,-1.0
17,Arkansas,SEC,9.76,8-4,8,4,14.2,13,53.6,15,6.0,21.0,4.0
18,Louisiana,Sun Belt,8.93,12-1,12,1,2.8,55,47.5,17,-8.1,23.0,5.0
19,UTSA,Conference USA,8.82,12-1,12,1,2.1,60,43.2,18,-6.8,,
20,San Diego State,Mountain West,8.72,11-2,11,2,3.2,54,42.9,19,-2.5,24.0,4.0
21,Clemson,ACC,8.66,9-3,9,3,9.1,33,49.7,16,2.0,19.0,-2.0
22,Wake Forest,ACC,8.38,10-3,10,3,8.8,35,33.6,23,0.6,17.0,-5.0
23,Kentucky,SEC,8.07,9-3,9,3,11.0,23,42.6,20,1.0,22.0,-1.0
24,NC State,ACC,7.48,9-3,9,3,14.2,12,28.7,24,1.0,18.0,-6.0
25,Houston,American Athletic,6.04,11-2,11,2,6.8,45,21.2,27,-6.7,20.0,-5.0
26,Texas A&M,SEC,6.03,8-4,8,4,14.9,11,24.8,26,2.6,25.0,-1.0
27,Wisconsin,Big Ten,6.03,8-4,8,4,15.9,9,18.4,29,3.7,,
28,Purdue,Big Ten,5.85,8-4,8,4,10.9,24,27.4,25,4.0,,
29,Mississippi State,SEC,4.64,7-5,7,5,14.0,14,20.3,28,5.6,,
30,UCLA,Pac-12,4.29,8-4,8,4,12.1,20,10.2,35,3.4,,
31,Utah State,Mountain West,3.56,10-3,10,3,2.3,59,12.4,32,-3.3,,
32,Arizona State,Pac-12,3.35,8-4,8,4,12.8,17,9.5,36,0.4,,
33,App State,Sun Belt,3.27,10-3,10,3,8.3,37,4.7,42,-6.0,,
34,Fresno State,Mountain West,3.06,9-3,9,3,7.2,43,15.4,31,-3.6,,
35,Auburn,SEC,2.59,6-6,6,6,12.6,18,15.5,30,7.1,,
36,Air Force,Mountain West,2.55,9-3,9,3,8.4,36,6.8,38,-3.5,,
37,Tennessee,SEC,2.47,7-5,7,5,11.7,21,11.6,34,3.2,,
38,Minnesota,Big Ten,2.17,8-4,8,4,7.8,41,7.9,37,0.7,,
39,Penn State,Big Ten,1.79,7-5,7,5,12.5,19,6.1,40,2.2,,
40,LSU,SEC,1.79,6-6,6,6,10.4,26,12.0,33,7.2,,
41,Iowa State,Big 12,1.14,7-5,7,5,13.5,16,2.7,46,0.6,,
42,Nevada,Mountain West,1.07,8-4,8,4,7.5,42,5.3,41,-1.6,,
43,Boise State,Mountain West,0.96,7-5,7,5,9.7,30,3.0,45,2.5,,
44,Oregon State,Pac-12,0.91,7-5,7,5,9.7,31,3.9,44,2.1,,
45,Miami,ACC,0.58,7-5,7,5,6.1,46,6.5,39,2.8,,
46,Washington State,Pac-12,0.42,7-5,7,5,6.9,44,4.0,43,2.5,,
47,Kansas State,Big 12,0.39,7-5,7,5,9.0,34,2.6,48,1.4,,
48,Coastal Carolina,Sun Belt,-0.49,10-2,10,2,4.9,51,2.2,49,-14.0,,
49,Florida,SEC,-0.6,6-6,6,6,10.2,28,1.7,52,3.2,,
50,UAB,Conference USA,-0.96,8-4,8,4,5.1,50,0.9,56,-4.7,,
51,SMU,American Athletic,-1.13,8-4,8,4,2.1,61,1.2,54,-3.3,,
52,Louisville,ACC,-1.62,6-6,6,6,8.1,38,0.7,59,1.9,,
53,UCF,American Athletic,-1.94,8-4,8,4,-0.4,70,2.2,50,-4.3,,
