res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,USC,Pac-10,24.93,12-0,12,0,28.4,1,99.5,1,6.0,,
2,Texas,Big 12,22.54,12-0,12,0,25.2,3,99.1,2,1.5,,
3,Oregon,Pac-10,18.46,10-1,10,1,20.7,4,93.6,3,4.9,,
4,Penn State,Big Ten,18.12,10-1,10,1,19.6,5,91.4,4,5.3,,
5,Ohio State,Big Ten,17.84,9-2,9,2,26.3,2,82.8,5,7.1,,
6,Virginia Tech,ACC,13.11,10-2,10,2,16.9,7,60.2,10,1.2,,
7,West Virginia,Big East,12.83,10-1,10,1,11.5,16,78.1,6,-0.5,,
8,LSU,SEC,11.91,10-2,10,2,15.3,10,57.5,11,-0.4,,
9,Notre Dame,FBS Independents,11.75,9-2,9,2,13.6,11,63.5,8,4.0,,
10,Georgia,SEC,10.94,10-2,10,2,7.5,27,62.9,9,1.1,,
11,Miami,ACC,10.07,9-2,9,2,16.1,9,51.5,13,0.5,,
12,UCLA,Pac-10,9.88,9-2,9,2,1.7,44,72.9,7,4.8,,
13,TCU,Mountain West,8.59,10-1,10,1,5.4,33,55.9,12,-2.3,,
14,Louisville,Big East,7.32,9-2,9,2,19.5,6,25.3,21,-2.9,,
15,Texas Tech,Big 12,7.06,9-2,9,2,16.2,8,34.8,19,-3.8,,
16,Auburn,SEC,6.91,9-2,9,2,12.8,13,40.3,14,-3.2,,
17,Alabama,SEC,6.87,9-2,9,2,11.1,18,39.3,15,-1.8,,
18,Michigan,Big Ten,5.35,7-4,7,4,6.6,30,39.1,16,7.6,,
19,Wisconsin,Big Ten,5.35,9-3,9,3,2.1,42,35.4,17,1.5,,
20,Northwestern,Big Ten,4.8,7-4,7,4,6.9,29,35.3,18,6.8,,
21,Minnesota,Big Ten,4.58,7-4,7,4,12.0,15,25.7,20,5.0,,
22,Florida,SEC,4.17,8-3,8,3,11.1,19,18.9,23,1.1,,
23,Boston College,ACC,3.9,8-3,8,3,10.7,20,19.7,22,0.4,,
24,Florida State,ACC,3.01,8-4,8,4,7.5,26,15.5,24,1.3,,
25,Georgia Tech,ACC,2.33,7-4,7,4,8.6,24,14.5,25,4.0,,
26,Oklahoma,Big 12,1.95,7-4,7,4,10.3,22,8.8,30,3.2,,
27,California,Pac-10,1.83,7-4,7,4,12.6,14,9.7,27,0.9,,
28,Arizona State,Pac-10,1.63,6-5,6,5,13.2,12,8.2,31,5.5,,
29,Iowa,Big Ten,1.58,7-4,7,4,10.6,21,11.7,26,1.1,,
30,Clemson,ACC,0.71,7-4,7,4,7.9,25,9.4,28,1.2,,
31,Fresno State,Western Athletic,-0.11,8-4,8,4,10.3,23,1.3,43,-6.0,,
32,Colorado,Big 12,-0.44,7-5,7,5,3.5,40,4.2,33,2.5,,
33,Michigan State,Big Ten,-1.2,5-6,5,6,11.2,17,2.2,38,5.6,,
34,South Carolina,SEC,-1.51,7-4,7,4,-0.8,59,9.3,29,1.2,,
35,Purdue,Big Ten,-2.12,5-6,5,6,7.4,28,1.9,40,5.8,,
36,UTEP,Conference USA,-2.53,8-3,8,3,5.7,31,0.5,50,-9.4,,
37,South Florida,Big East,-2.66,6-5,6,5,3.6,39,3.5,34,1.4,,
38,Tulsa,Conference USA,-2.71,8-4,8,4,-0.0,56,0.8,46,-5.8,,
39,Oregon State,Pac-10,-2.98,5-6,5,6,5.3,35,1.7,41,4.9,,
40,Iowa State,Big 12,-3.08,7-4,7,4,2.2,41,0.8,45,-3.3,,
41,Nebraska,Big 12,-3.11,7-4,7,4,-1.7,63,2.3,37,-0.9,,
42,Rutgers,Big East,-3.13,7-4,7,4,1.8,43,1.4,42,-3.3,,
43,Stanford,Pac-10,-3.56,5-6,5,6,-1.0,60,4.6,32,7.1,,
44,NC State,ACC,-3.63,6-5,6,5,1.0,48,2.0,39,0.9,,
45,Tennessee,SEC,-3.81,5-6,5,6,5.5,32,0.4,53,2.7,,
46,North Carolina,ACC,-3.96,5-6,5,6,0.0,55,2.3,36,5.8,,
47,Utah,Mountain West,-4.28,6-5,6,5,4.0,38,0.1,59,-2.7,,
48,Maryland,ACC,-4.28,5-6,5,6,4.0,37,0.5,48,2.4,,
49,Texas A&M,Big 12,-4.3,5-6,5,6,4.8,36,0.4,52,1.8,,
50,BYU,Mountain West,-4.51,6-5,6,5,0.7,51,0.4,51,-1.0,,
51,Kansas,Big 12,-4.91,6-5,6,5,-2.2,66,1.0,44,-0.2,,
52,Virginia,ACC,-5.0,6-5,6,5,-3.2,72,2.4,35,-0.1,,
53,New Mexico,Mountain West,-5.12,6-5,6,5,1.2,47,0.2,56,-3.1,,
54,Northern Illinois,Mid-American,-5.2,7-5,7,5,0.8,50,0.0,97,-8.2,,
55,Toledo,Mid-American,-5.43,8-3,8,3,-2.4,68,0.6,47,-11.9,,
56,Colorado State,Mountain West,-5.47,6-5,6,5,-4.5,76,0.5,49,0.0,,
57,UCF,Conference USA,-5.55,8-4,8,4,-9.9,85,0.2,55,-6.6,,
