res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,26.56,13-0,13,0,26.6,1,99.9,1,6.3,,
2,Florida,SEC,24.03,12-1,12,1,25.3,2,98.3,2,5.5,,
3,Texas,Big 12,24.0,13-0,13,0,23.7,3,97.5,3,1.5,,
4,TCU,Mountain West,19.33,12-0,12,0,23.2,4,91.1,4,-4.7,,
5,Boise State,Western Athletic,19.21,13-0,13,0,17.1,7,90.4,5,-5.9,,
6,Cincinnati,Big East,16.91,12-0,12,0,10.6,25,89.6,6,-2.7,,
7,Georgia Tech,ACC,16.89,11-2,11,2,13.1,17,77.4,8,4.2,,
8,Oregon,Pac-10,15.76,10-2,10,2,17.5,5,71.5,9,4.8,,
9,LSU,SEC,15.04,9-3,9,3,15.2,10,79.6,7,7.2,,
10,Iowa,Big Ten,10.46,10-2,10,2,7.0,35,57.9,10,0.4,,
11,Virginia Tech,ACC,10.17,9-3,9,3,14.7,11,40.3,14,4.5,,
12,Ohio State,Big Ten,10.13,10-2,10,2,11.7,22,43.5,12,0.3,,
13,Miami,ACC,9.73,9-3,9,3,15.3,9,40.0,15,2.9,,
14,BYU,Mountain West,9.18,10-2,10,2,11.8,21,42.4,13,-2.2,,
15,Oklahoma State,Big 12,8.09,9-3,9,3,7.9,32,43.5,11,2.2,,
16,Penn State,Big Ten,7.75,10-2,10,2,14.6,12,24.4,20,-3.2,,
17,Arkansas,SEC,7.63,7-5,7,5,17.0,8,35.3,17,7.4,,
18,Ole Miss,SEC,7.48,8-4,8,4,14.5,13,36.2,16,3.2,,
19,Georgia,SEC,6.52,7-5,7,5,13.2,15,29.9,18,8.3,,
20,Nebraska,Big 12,5.54,9-4,9,4,7.7,33,19.9,23,1.6,,
21,Auburn,SEC,5.49,7-5,7,5,13.4,14,24.1,22,6.8,,
22,South Carolina,SEC,5.3,7-5,7,5,11.9,20,26.5,19,6.6,,
23,Wisconsin,Big Ten,5.08,9-3,9,3,13.1,16,11.0,35,-0.9,,
24,USC,Pac-10,4.64,8-4,8,4,7.2,34,24.3,21,3.3,,
25,Arizona,Pac-10,4.55,8-4,8,4,10.4,26,19.2,24,2.3,,
26,Oklahoma,Big 12,4.55,7-5,7,5,17.2,6,12.0,33,4.9,,
27,Central Michigan,Mid-American,4.36,11-2,11,2,4.4,47,15.3,29,-8.7,,
28,Texas Tech,Big 12,4.22,8-4,8,4,12.7,18,15.1,30,0.9,,
29,Tennessee,SEC,4.07,7-5,7,5,12.4,19,16.9,27,5.4,,
30,Clemson,ACC,4.02,8-5,8,5,10.0,28,10.1,36,3.6,,
31,Stanford,Pac-10,3.72,8-4,8,4,9.1,29,14.1,32,2.2,,
32,Oregon State,Pac-10,3.68,8-4,8,4,10.8,23,14.2,31,0.9,,
33,Utah,Mountain West,3.23,9-3,9,3,5.5,42,19.1,25,-3.4,,
34,Houston,Conference USA,3.06,10-3,10,3,4.8,45,9.5,37,-5.9,,
35,California,Pac-10,2.92,8-4,8,4,5.8,40,16.3,28,1.5,,
36,West Virginia,Big East,2.78,9-3,9,3,4.5,46,11.3,34,-1.8,,
37,Pittsburgh,Big East,2.16,9-3,9,3,6.3,38,5.1,42,-3.1,,
38,Kentucky,SEC,2.15,7-5,7,5,5.0,44,17.5,26,4.7,,
39,North Carolina,ACC,1.96,8-4,8,4,8.1,31,8.0,38,-0.5,,
40,Missouri,Big 12,1.42,8-4,8,4,4.1,48,7.9,39,0.7,,
41,Boston College,ACC,0.7,8-4,8,4,1.9,53,6.8,40,0.4,,
42,Nevada,Western Athletic,0.2,8-4,8,4,10.3,27,0.8,55,-5.1,,
43,East Carolina,Conference USA,0.17,9-4,9,4,0.7,58,1.8,50,-4.1,,
44,Northwestern,Big Ten,-0.16,8-4,8,4,3.2,51,4.0,44,-2.2,,
45,Mississippi State,SEC,-0.2,5-7,5,7,10.6,24,3.6,45,8.4,,
46,Navy,FBS Independents,-0.64,9-4,9,4,0.2,60,1.4,51,-6.0,,
47,Fresno State,Western Athletic,-0.68,8-4,8,4,2.2,52,6.1,41,-3.6,,
48,Troy,Sun Belt,-0.73,9-3,9,3,-0.3,61,4.8,43,-6.9,,
49,Florida State,ACC,-0.84,6-6,6,6,6.5,36,2.6,46,4.4,,
50,Texas A&M,Big 12,-0.93,6-6,6,6,8.2,30,0.8,54,3.5,,
51,UCLA,Pac-10,-1.3,6-6,6,6,5.1,43,2.0,47,4.2,,
52,Notre Dame,FBS Independents,-2.33,6-6,6,6,5.7,41,0.2,62,1.3,,
53,UCF,Conference USA,-2.71,8-4,8,4,-3.1,72,1.9,49,-4.7,,
54,Minnesota,Big Ten,-2.8,6-6,6,6,1.1,57,0.8,53,2.9,,
55,Air Force,Mountain West,-3.03,7-5,7,5,3.3,50,0.2,63,-4.3,,
56,UConn,Big East,-3.16,7-5,7,5,-0.9,63,0.5,58,-1.9,,
57,Middle Tennessee,Sun Belt,-3.18,9-3,9,3,-6.2,87,2.0,48,-9.2,,
58,Michigan State,Big Ten,-3.18,6-6,6,6,3.4,49,0.2,66,0.4,,
59,Ohio,Mid-American,-3.55,9-4,9,4,-9.2,94,0.2,61,-7.7,,
60,Washington,Pac-10,-3.62,5-7,5,7,1.3,55,0.8,52,5.6,,
61,South Florida,Big East,-4.0,7-5,7,5,-1.6,66,0.6,57,-3.9,,
62,Kansas,Big 12,-4.2,5-7,5,7,5.9,39,0.0,114,1.0,,
63,Rutgers,Big East,-4.23,8-4,8,4,-6.2,86,0.5,59,-6.6,,
64,Temple,Mid-American,-4.33,9-3,9,3,-8.5,92,0.7,56,-10.6,,
65,Purdue,Big Ten,-4.41,5-7,5,7,1.8,54,0.0,109,3.2,,
66,Idaho,Western Athletic,-4.49,7-5,7,5,-3.5,75,0.2,65,-3.9,,
67,Kansas State,Big 12,-4.83,6-6,6,6,-1.9,69,0.3,60,-0.8,,
68,Southern Miss,Conference USA,-5.26,7-5,7,5,-3.5,74,0.0,115,-6.1,,
69,Bowling Green,Mid-American,-5.36,7-5,7,5,-5.8,84,0.0,69,-4.8,,
