res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,29.16,13-0,13,0,38.5,1,99.9,1,6.0,1.0,0.0
2,Clemson,ACC,24.47,13-0,13,0,29.4,2,93.4,4,0.1,2.0,0.0
3,Georgia,SEC,23.54,11-2,11,2,29.3,3,94.1,3,7.7,5.0,2.0
4,Notre Dame,FBS Independents,21.16,12-0,12,0,17.6,8,95.5,2,2.7,3.0,-1.0
5,Oklahoma,Big 12,20.46,12-1,12,1,20.0,7,78.3,8,4.1,4.0,-1.0
6,Ohio State,Big Ten,19.61,12-1,12,1,16.3,11,83.2,6,2.6,6.0,0.0
7,UCF,American Athletic,16.8,12-0,12,0,16.2,12,81.8,7,-5.1,8.0,1.0
8,LSU,SEC,16.28,9-3,9,3,17.1,9,84.8,5,7.6,11.0,3.0
9,Michigan,Big Ten,15.61,10-2,10,2,23.7,5,58.5,12,3.8,7.0,-2.0
10,Florida,SEC,13.87,9-3,9,3,17.0,10,69.1,10,5.2,10.0,0.0
11,Kentucky,SEC,13.41,9-3,9,3,13.1,17,71.8,9,5.6,14.0,3.0
12,Texas A&M,SEC,11.95,8-4,8,4,14.2,14,58.9,11,9.6,19.0,7.0
13,Missouri,SEC,11.22,8-4,8,4,20.4,6,41.6,13,8.5,23.0,10.0
14,Mississippi State,SEC,10.8,8-4,8,4,24.9,4,34.2,14,6.5,18.0,4.0
15,Washington,Pac-12,10.34,10-3,10,3,14.6,13,31.8,17,2.1,9.0,-6.0
16,Penn State,Big Ten,8.88,9-3,9,3,13.1,16,31.9,16,4.0,12.0,-4.0
17,Washington State,Pac-12,8.69,10-2,10,2,12.2,20,32.3,15,-1.3,13.0,-4.0
18,Fresno State,Mountain West,7.2,11-2,11,2,10.7,23,17.2,23,-5.5,21.0,3.0
19,Texas,Big 12,6.99,9-4,9,4,9.7,26,16.0,24,5.3,15.0,-4.0
20,Utah,Pac-12,6.25,9-4,9,4,12.6,19,10.8,28,2.8,17.0,-3.0
21,Auburn,SEC,6.16,7-5,7,5,13.0,18,26.3,19,8.2,,
22,Boise State,Mountain West,5.53,10-3,10,3,9.1,30,9.2,29,-1.8,25.0,3.0
23,South Carolina,SEC,5.23,7-5,7,5,9.4,28,28.8,18,7.1,,
24,Cincinnati,American Athletic,5.23,10-2,10,2,10.5,24,17.9,22,-6.1,,
25,West Virginia,Big 12,5.16,8-3,8,3,13.6,15,18.0,21,2.1,16.0,-9.0
26,Utah State,Mountain West,4.27,10-2,10,2,11.8,22,12.3,25,-8.1,,
27,Syracuse,ACC,4.03,9-3,9,3,4.9,44,21.5,20,-1.8,20.0,-7.0
28,Stanford,Pac-12,3.42,8-4,8,4,7.9,32,12.2,27,2.4,,
29,Iowa State,Big 12,3.22,8-4,8,4,9.4,27,8.6,30,1.9,24.0,-5.0
30,Iowa,Big Ten,2.98,8-4,8,4,11.9,21,3.7,37,1.0,,
31,Northwestern,Big Ten,2.72,8-5,8,5,3.3,51,7.5,31,4.7,22.0,-9.0
32,NC State,ACC,2.44,9-3,9,3,7.9,33,5.4,33,-3.7,,
33,Army,FBS Independents,2.38,10-2,10,2,3.0,52,12.2,26,-7.9,,
34,App State,Sun Belt,2.37,10-2,10,2,7.8,34,6.6,32,-9.4,,
35,Michigan State,Big Ten,1.66,7-5,7,5,6.8,38,5.3,34,5.2,,
36,Pittsburgh,ACC,1.23,7-6,7,6,7.5,36,1.9,39,4.5,,
37,Vanderbilt,SEC,1.01,6-6,6,6,10.1,25,3.6,38,6.9,,
38,Oregon,Pac-12,0.58,8-4,8,4,5.5,41,3.9,36,-1.9,,
39,Buffalo,Mid-American,0.28,10-3,10,3,-1.5,74,1.2,42,-7.9,,
40,Wisconsin,Big Ten,0.26,7-5,7,5,8.6,31,1.4,40,1.1,,
41,UAB,Conference USA,-0.26,10-3,10,3,0.1,66,0.8,49,-10.4,,
42,Miami,ACC,-0.47,7-5,7,5,9.4,29,0.2,58,-1.2,,
43,Temple,American Athletic,-0.56,8-4,8,4,6.7,39,0.8,48,-5.1,,
44,Purdue,Big Ten,-0.56,6-6,6,6,7.2,37,0.5,53,5.1,,
45,Arizona State,Pac-12,-0.72,7-5,7,5,5.2,43,0.9,46,0.6,,
46,Georgia Tech,ACC,-1.49,7-5,7,5,2.8,53,0.9,47,-0.1,,
47,Northern Illinois,Mid-American,-1.51,8-5,8,5,-1.0,71,0.1,62,-2.7,,
48,Duke,ACC,-1.52,7-5,7,5,-0.2,68,1.1,44,1.7,,
49,Boston College,ACC,-1.53,7-5,7,5,2.1,55,1.0,45,0.2,,
50,Memphis,American Athletic,-1.68,8-5,8,5,4.0,46,0.1,72,-6.4,,
51,Tennessee,SEC,-1.79,5-7,5,7,2.3,54,4.3,35,8.8,,
52,Ole Miss,SEC,-1.8,5-7,5,7,7.6,35,0.7,50,6.4,,
53,California,Pac-12,-1.92,7-5,7,5,1.5,58,0.5,52,-0.4,,
54,Middle Tennessee,Conference USA,-2.08,8-5,8,5,-1.6,75,0.2,55,-4.0,,
55,Oklahoma State,Big 12,-2.13,6-6,6,6,6.0,40,0.2,54,1.4,,
56,Troy,Sun Belt,-2.31,9-3,9,3,-3.2,83,1.4,41,-9.2,,
57,Georgia Southern,Sun Belt,-2.38,9-3,9,3,-3.9,84,1.2,43,-8.9,,
58,TCU,Big 12,-2.44,6-6,6,6,1.5,57,0.5,51,3.3,,
59,Virginia,ACC,-2.49,7-5,7,5,3.6,49,0.1,64,-3.3,,
60,Ohio,Mid-American,-2.65,8-4,8,4,3.5,50,0.1,67,-8.9,,
61,Houston,American Athletic,-2.72,8-4,8,4,1.0,60,0.1,69,-7.5,,
62,Arkansas State,Sun Belt,-2.92,8-4,8,4,0.7,63,0.1,60,-7.9,,
63,Minnesota,Big Ten,-3.03,6-6,6,6,0.1,67,0.2,56,2.6,,
64,Maryland,Big Ten,-3.52,5-7,5,7,4.0,45,0.1,70,3.9,,
65,North Texas,Conference USA,-3.65,9-3,9,3,-2.3,79,0.1,63,-13.3,,
66,Baylor,Big 12,-3.75,6-6,6,6,-0.4,70,0.2,57,0.8,,
67,Texas Tech,Big 12,-3.85,5-7,5,7,3.6,48,0.1,68,3.2,,
68,BYU,FBS Independents,-3.89,6-6,6,6,1.8,56,0.1,66,-1.0,,
69,USC,Pac-12,-3.94,5-7,5,7,3.7,47,0.0,85,2.9,,
70,Indiana,Big Ten,-4.13,5-7,5,7,0.3,65,0.1,73,4.5,,
71,San Diego State,Mountain West,-4.24,7-5,7,5,-2.1,77,0.1,71,-4.7,,
72,Wake Forest,ACC,-4.3,6-6,6,6,-1.1,72,0.1,61,-0.3,,
73,Hawai'i,Mountain West,-4.38,8-5,8,5,-8.3,96,0.0,96,-6.3,,
74,Marshall,Conference USA,-4.43,8-4,8,4,-4.2,88,0.0,127,-9.1,,
75,Kansas State,Big 12,-4.49,5-7,5,7,1.3,59,0.1,59,2.8,,
