res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Ohio State,Big Ten,27.66,13-0,13,0,33.3,1,99.1,2,5.8,2.0,1.0
2,LSU,SEC,27.12,13-0,13,0,31.3,2,99.7,1,5.3,1.0,-1.0
3,Clemson,ACC,21.43,13-0,13,0,27.5,4,80.3,4,-3.2,3.0,0.0
4,Oklahoma,Big 12,21.22,12-1,12,1,23.4,5,82.2,3,3.4,4.0,0.0
5,Georgia,SEC,18.49,11-2,11,2,19.0,10,77.8,5,4.7,5.0,0.0
6,Wisconsin,Big Ten,17.29,10-3,10,3,23.3,7,63.0,12,8.1,8.0,2.0
7,Oregon,Pac-12,16.71,11-2,11,2,20.3,9,63.2,11,3.0,6.0,-1.0
8,Auburn,SEC,16.64,9-3,9,3,22.0,8,74.7,6,8.8,12.0,4.0
9,Alabama,SEC,16.31,10-2,10,2,28.4,3,63.6,10,1.9,13.0,4.0
10,Baylor,Big 12,15.88,11-2,11,2,15.5,16,66.5,9,2.6,7.0,-3.0
11,Memphis,American Athletic,15.55,12-1,12,1,15.6,15,55.1,13,-0.3,17.0,6.0
12,Penn State,Big Ten,14.97,10-2,10,2,16.4,13,69.2,7,3.8,10.0,-2.0
13,Florida,SEC,14.68,10-2,10,2,18.0,12,68.1,8,2.3,9.0,-4.0
14,Utah,Pac-12,14.43,11-2,11,2,23.3,6,41.4,16,0.9,11.0,-3.0
15,Michigan,Big Ten,12.71,9-3,9,3,18.6,11,50.8,15,6.5,14.0,-1.0
16,Notre Dame,FBS Independents,12.22,10-2,10,2,15.4,17,51.3,14,1.7,15.0,-1.0
17,App State,Sun Belt,10.57,12-1,12,1,10.8,26,36.0,19,-6.2,20.0,3.0
18,Minnesota,Big Ten,10.31,10-2,10,2,16.3,14,36.2,18,0.0,18.0,0.0
19,Iowa,Big Ten,9.61,9-3,9,3,11.4,25,40.4,17,5.0,16.0,-3.0
20,Navy,American Athletic,9.14,10-2,10,2,15.1,18,33.0,20,-1.7,23.0,3.0
21,Boise State,Mountain West,8.68,12-1,12,1,6.2,36,27.0,23,-6.2,19.0,-2.0
22,Cincinnati,American Athletic,7.86,10-3,10,3,6.8,33,28.0,22,1.2,21.0,-1.0
23,SMU,American Athletic,7.68,10-2,10,2,6.9,32,32.8,21,-0.8,,
24,USC,Pac-12,4.97,8-4,8,4,11.5,23,11.0,28,5.3,22.0,-2.0
25,Air Force,Mountain West,4.86,10-2,10,2,9.9,27,12.1,25,-4.8,,
26,Texas A&M,SEC,4.45,7-5,7,5,11.7,22,19.8,24,6.3,,
27,Oklahoma State,Big 12,4.12,8-4,8,4,8.9,28,11.1,27,4.4,25.0,-2.0
28,Texas,Big 12,3.48,7-5,7,5,12.4,21,6.3,29,7.0,,
29,Kansas State,Big 12,3.12,8-4,8,4,6.7,34,11.7,26,2.7,,
30,UCF,American Athletic,3.07,9-3,9,3,12.7,20,3.5,32,-4.0,,
