res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,24.07,12-1,12,1,29.8,1,96.1,4,4.9,,
2,Notre Dame,FBS Independents,21.63,12-0,12,0,19.3,5,98.8,1,4.3,,
3,Florida,SEC,19.88,11-1,11,1,16.8,8,98.2,2,6.3,,
4,Ohio State,Big Ten,19.46,12-0,12,0,15.0,12,97.4,3,1.3,,
5,Oregon,Pac-12,18.64,11-1,11,1,22.5,3,85.6,7,2.1,,
6,Kansas State,Big 12,17.72,11-1,11,1,14.8,13,92.4,5,2.9,,
7,Stanford,Pac-12,17.37,11-2,11,2,12.8,17,83.9,8,5.5,,
8,Texas A&M,SEC,17.05,10-2,10,2,25.1,2,78.4,11,2.8,,
9,LSU,SEC,16.98,10-2,10,2,17.2,7,89.8,6,5.0,,
10,Georgia,SEC,16.87,11-2,11,2,16.4,10,78.9,10,2.9,,
11,Oklahoma,Big 12,16.21,10-2,10,2,18.1,6,80.5,9,4.6,,
12,South Carolina,SEC,14.46,10-2,10,2,16.1,11,73.6,12,2.7,,
13,Nebraska,Big Ten,12.29,10-3,10,3,16.7,9,48.1,14,2.7,,
14,Florida State,ACC,11.07,11-2,11,2,20.8,4,31.1,17,-4.4,,
15,Oregon State,Pac-12,10.55,9-3,9,3,10.3,26,55.4,13,5.3,,
16,Clemson,ACC,8.56,10-2,10,2,12.3,19,36.5,15,-2.1,,
17,Texas,Big 12,6.79,8-4,8,4,9.9,28,34.4,16,5.4,,
18,UCLA,Pac-12,6.13,9-4,9,4,10.0,27,17.3,25,2.7,,
19,Boise State,Mountain West,5.53,10-2,10,2,5.9,45,29.2,19,-4.6,,
20,Michigan,Big Ten,5.47,8-4,8,4,9.8,29,29.9,18,2.8,,
21,Louisville,Big East,5.22,10-2,10,2,5.5,46,25.3,23,-4.2,,
22,San José State,Western Athletic,5.17,10-2,10,2,6.8,36,27.8,20,-5.9,,
23,Utah State,Western Athletic,4.65,10-2,10,2,7.6,34,26.4,22,-7.6,,
24,Northwestern,Big Ten,4.51,9-3,9,3,3.8,53,26.5,21,-0.2,,
25,Mississippi State,SEC,4.08,8-4,8,4,5.0,50,25.1,24,3.3,,
26,Northern Illinois,Mid-American,3.89,12-1,12,1,1.9,57,12.6,28,-12.7,,
27,Oklahoma State,Big 12,3.76,7-5,7,5,13.9,15,11.1,30,5.2,,
28,Arkansas State,Sun Belt,3.48,9-3,9,3,6.3,39,16.2,26,-2.2,,
29,Wisconsin,Big Ten,3.44,8-5,8,5,11.3,24,7.4,36,1.8,,
30,Tulsa,Conference USA,3.11,10-3,10,3,5.1,49,4.9,42,-4.7,,
31,Fresno State,Mountain West,2.95,9-3,9,3,9.6,30,10.9,31,-4.6,,
32,TCU,Big 12,2.79,7-5,7,5,11.7,21,9.9,32,4.2,,
33,Baylor,Big 12,2.66,7-5,7,5,11.6,22,9.1,33,4.1,,
34,USC,Pac-12,2.6,7-5,7,5,9.0,32,11.7,29,5.0,,
35,Texas Tech,Big 12,2.27,7-5,7,5,14.3,14,6.5,40,1.8,,
36,Vanderbilt,SEC,1.95,8-4,8,4,6.3,40,13.4,27,-0.7,,
37,San Diego State,Mountain West,1.83,9-3,9,3,6.0,44,7.1,37,-4.4,,
38,Penn State,Big Ten,1.47,8-4,8,4,9.2,31,2.5,49,-1.2,,
39,West Virginia,Big 12,1.46,7-5,7,5,7.5,35,8.4,34,3.6,,
40,Arizona,Pac-12,1.2,7-5,7,5,6.7,37,8.0,35,3.5,,
41,UCF,Conference USA,1.12,9-4,9,4,5.2,48,1.0,55,-4.3,,
42,Rutgers,Big East,0.76,9-3,9,3,1.0,58,6.8,38,-4.0,,
43,Washington,Pac-12,0.74,7-5,7,5,6.3,41,6.6,39,2.8,,
44,Ole Miss,SEC,0.74,6-6,6,6,11.5,23,3.8,46,5.2,,
45,Arizona State,Pac-12,0.45,7-5,7,5,10.9,25,2.4,50,-0.1,,
46,Cincinnati,Big East,0.33,9-3,9,3,2.6,56,4.7,43,-5.8,,
47,Kent State,Mid-American,0.16,11-2,11,2,-6.2,82,3.9,44,-10.5,,
48,Michigan State,Big Ten,0.04,6-6,6,6,13.8,16,0.7,59,2.4,,
49,BYU,FBS Independents,-0.01,7-5,7,5,12.4,18,1.0,56,-2.1,,
50,North Carolina,ACC,-0.25,8-4,8,4,8.4,33,0.3,65,-5.1,,
51,Louisiana,Sun Belt,-0.37,8-4,8,4,4.2,52,2.0,51,-3.0,,
52,Louisiana Tech,Western Athletic,-0.44,9-3,9,3,-0.4,62,5.5,41,-6.2,,
53,Syracuse,Big East,-1.45,7-5,7,5,6.1,43,0.4,61,-1.8,,
54,UL Monroe,Sun Belt,-1.83,8-4,8,4,-2.2,66,1.3,53,-2.7,,
55,Miami,ACC,-1.9,7-5,7,5,-2.6,69,3.6,48,2.0,,
56,Missouri,SEC,-1.94,5-7,5,7,2.6,55,3.8,45,8.7,,
57,Ball State,Mid-American,-2.38,9-3,9,3,-5.1,75,1.2,54,-7.5,,
58,Georgia Tech,ACC,-2.41,6-7,6,7,5.5,47,0.1,70,1.1,,
59,Iowa State,Big 12,-2.43,6-6,6,6,-2.4,68,3.7,47,5.5,,
60,Toledo,Mid-American,-2.54,9-3,9,3,-3.9,71,0.9,57,-8.7,,
61,Pittsburgh,Big East,-2.6,6-6,6,6,11.9,20,0.0,111,-3.8,,
62,Virginia Tech,ACC,-2.62,6-6,6,6,4.4,51,0.3,63,1.2,,
63,Tennessee,SEC,-3.21,5-7,5,7,6.6,38,0.2,66,3.2,,
64,Navy,FBS Independents,-3.33,8-4,8,4,-6.2,83,1.3,52,-4.3,,
65,NC State,ACC,-3.37,7-5,7,5,-1.8,65,0.5,60,-2.0,,
66,Western Kentucky,Sun Belt,-3.52,7-5,7,5,0.6,60,0.1,69,-4.0,,
67,Middle Tennessee,Sun Belt,-4.08,8-4,8,4,-9.1,94,0.9,58,-4.4,,
68,East Carolina,Conference USA,-4.18,8-4,8,4,-6.4,84,0.4,62,-6.4,,
69,Arkansas,SEC,-4.23,4-8,4,8,6.2,42,0.0,105,5.8,,
70,Nevada,Mountain West,-4.32,7-5,7,5,0.9,59,0.0,88,-6.5,,
71,Duke,ACC,-5.05,6-6,6,6,-5.8,77,0.3,64,1.1,,
72,SMU,Conference USA,-5.63,6-6,6,6,-2.6,70,0.0,90,-2.7,,
73,Bowling Green,Mid-American,-5.68,8-4,8,4,-5.5,76,0.0,101,-11.3,,
74,Minnesota,Big Ten,-5.91,6-6,6,6,-6.6,85,0.1,68,-0.8,,
75,Purdue,Big Ten,-5.99,6-6,6,6,-6.2,81,0.1,71,-1.3,,
76,Utah,Pac-12,-6.08,5-7,5,7,-4.1,72,0.2,67,2.2,,
77,Air Force,Mountain West,-6.52,6-6,6,6,-1.1,64,0.0,87,-6.3,,
78,California,Pac-12,-6.86,3-9,3,9,3.2,54,0.0,99,5.4,,
79,Troy,Sun Belt,-7.08,5-7,5,7,-0.4,61,0.0,73,-3.2,,
80,Ohio,Mid-American,-7.48,8-4,8,4,-10.5,101,0.0,112,-13.1,,
81,Auburn,SEC,-8.24,3-9,3,9,-4.7,74,0.0,103,6.8,,
82,Virginia,ACC,-8.32,4-8,4,8,-0.7,63,0.0,84,-1.4,,
83,Rice,Conference USA,-8.37,6-6,6,6,-8.4,89,0.0,110,-6.7,,
84,Wake Forest,ACC,-8.5,5-7,5,7,-12.0,106,0.0,85,0.6,,
85,UConn,Big East,-8.9,5-7,5,7,-6.1,80,0.0,80,-4.6,,
86,UTSA,Western Athletic,-9.05,8-4,8,4,-17.9,119,0.0,83,-12.6,,
87,Iowa,Big Ten,-9.64,4-8,4,8,-7.9,86,0.0,117,-0.3,,
88,Marshall,Conference USA,-9.64,5-7,5,7,-5.9,78,0.0,121,-6.9,,
89,Washington State,Pac-12,-9.79,3-9,3,9,-4.4,73,0.0,86,2.1,,
90,Houston,Conference USA,-10.05,5-7,5,7,-8.5,90,0.0,91,-6.3,,
91,Indiana,Big Ten,-10.17,4-8,4,8,-5.9,79,0.0,108,-3.2,,
92,Maryland,ACC,-10.26,4-8,4,8,-9.5,99,0.0,120,-1.0,,
93,Florida International,Sun Belt,-10.93,3-9,3,9,-2.4,67,0.0,93,-2.6,,
94,Central Michigan,Mid-American,-10.96,6-6,6,6,-13.7,113,0.0,98,-10.6,,
95,Temple,Big East,-11.44,4-7,4,7,-13.2,109,0.0,74,-1.9,,
96,South Florida,Big East,-11.45,3-9,3,9,-8.1,88,0.0,78,-0.2,,
97,North Texas,Sun Belt,-11.57,4-8,4,8,-14.2,115,0.0,113,-1.6,,
98,Colorado State,Mountain West,-11.57,4-8,4,8,-8.8,93,0.0,96,-5.3,,
99,Florida Atlantic,Sun Belt,-12.06,3-9,3,9,-9.1,95,0.0,94,-1.3,,
100,Wyoming,Mountain West,-12.15,4-8,4,8,-13.3,110,0.0,124,-3.9,,
101,Kentucky,SEC,-12.26,2-10,2,10,-10.5,102,0.0,122,4.3,,
102,Buffalo,Mid-American,-12.42,4-8,4,8,-9.8,100,0.0,100,-7.1,,
103,Memphis,Conference USA,-12.48,4-8,4,8,-9.3,96,0.0,118,-7.6,,
104,New Mexico,Mountain West,-12.77,4-9,4,9,-13.6,111,0.0,115,-5.5,,
105,UTEP,Conference USA,-12.93,3-9,3,9,-11.5,105,0.0,82,-2.2,,
106,Boston College,ACC,-13.13,2-10,2,10,-8.8,92,0.0,102,0.6,,
107,Hawai'i,Mountain West,-13.17,3-9,3,9,-12.5,107,0.0,92,-2.2,,
108,UAB,Conference USA,-13.3,3-9,3,9,-11.0,103,0.0,79,-3.6,,
109,Kansas,Big 12,-13.34,1-11,1,11,-9.5,98,0.0,123,5.7,,
110,Western Michigan,Mid-American,-13.44,4-8,4,8,-8.0,87,0.0,75,-11.3,,
111,Illinois,Big Ten,-13.66,2-10,2,10,-11.2,104,0.0,107,0.7,,
112,Texas State,Western Athletic,-13.83,4-8,4,8,-16.8,117,0.0,76,-6.4,,
113,Miami (OH),Mid-American,-15.2,4-8,4,8,-19.7,121,0.0,116,-8.4,,
114,South Alabama,Sun Belt,-15.35,2-11,2,11,-8.6,91,0.0,89,-6.0,,
115,Tulane,Conference USA,-15.47,2-10,2,10,-13.2,108,0.0,77,-3.2,,
116,Army,FBS Independents,-15.97,2-10,2,10,-9.5,97,0.0,104,-7.2,,
117,UNLV,Mountain West,-16.17,2-11,2,11,-13.7,112,0.0,81,-4.9,,
118,Colorado,Pac-12,-16.85,1-11,1,11,-21.8,122,0.0,97,3.9,,
119,Idaho,Western Athletic,-17.73,1-11,1,11,-14.0,114,0.0,106,-4.0,,
120,Eastern Michigan,Mid-American,-17.98,2-10,2,10,-19.2,120,0.0,95,-6.4,,
121,Southern Miss,Conference USA,-19.38,0-12,0,12,-16.6,116,0.0,72,-1.8,,
122,Akron,Mid-American,-20.15,1-11,1,11,-17.6,118,0.0,109,-8.6,,
123,New Mexico State,Western Athletic,-20.73,1-11,1,11,-22.1,123,0.0,114,-7.2,,
124,Massachusetts,Mid-American,-22.72,1-11,1,11,-31.4,124,0.0,119,-6.6,,
