res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Oregon,Big Ten,24.75,13-0,13,0,22.8,4,98.4,1,1.9,1.0,0.0
2,Georgia,SEC,22.24,11-2,11,2,19.5,10,95.0,2,8.2,2.0,0.0
3,Texas,SEC,19.81,11-2,11,2,22.9,3,73.4,4,5.8,3.0,0.0
4,Notre Dame,FBS Independents,19.56,11-1,11,1,25.3,2,76.7,3,2.5,5.0,1.0
5,Penn State,Big Ten,18.29,11-2,11,2,20.8,6,71.8,6,3.2,4.0,-1.0
6,Ohio State,Big Ten,16.88,10-2,10,2,27.2,1,64.4,8,2.6,6.0,0.0
7,Arizona State,Big 12,16.85,11-2,11,2,17.3,13,60.8,10,4.7,12.0,5.0
8,Indiana,Big Ten,16.01,11-1,11,1,18.9,11,70.8,7,-1.9,8.0,0.0
9,BYU,Big 12,14.94,10-2,10,2,12.7,22,72.5,5,3.6,17.0,8.0
10,SMU,ACC,14.9,11-2,11,2,19.6,9,48.0,14,1.6,10.0,0.0
11,Tennessee,SEC,13.68,10-2,10,2,16.4,17,63.2,9,0.5,7.0,-4.0
12,Boise State,Mountain West,12.87,12-1,12,1,8.9,36,57.4,11,-5.7,9.0,-3.0
13,Miami,ACC,12.72,10-2,10,2,19.8,8,49.4,12,-0.1,13.0,0.0
14,Alabama,SEC,12.17,9-3,9,3,20.6,7,44.1,15,4.7,11.0,-3.0
15,South Carolina,SEC,12.05,9-3,9,3,16.6,16,49.4,13,5.2,15.0,0.0
16,Clemson,ACC,11.01,10-3,10,3,13.0,21,38.8,16,2.6,16.0,0.0
17,Ole Miss,SEC,10.58,9-3,9,3,21.3,5,37.2,17,1.8,14.0,-3.0
18,Iowa State,Big 12,10.52,10-3,10,3,9.7,33,36.8,19,3.9,18.0,0.0
19,LSU,SEC,9.3,8-4,8,4,13.8,18,37.1,18,8.1,,
20,Colorado,Big 12,9.05,9-3,9,3,17.8,12,25.7,23,3.2,23.0,3.0
21,Texas A&M,SEC,7.93,8-4,8,4,13.1,20,33.8,21,5.6,,
22,Missouri,SEC,7.4,9-3,9,3,7.6,38,34.2,20,2.2,19.0,-3.0
23,Louisville,ACC,7.25,8-4,8,4,16.9,14,21.4,24,5.1,,
24,Kansas State,Big 12,6.76,8-4,8,4,16.7,15,18.9,28,4.6,,
25,Army,American Athletic,6.02,11-2,11,2,6.4,44,20.9,26,-7.3,22.0,-3.0
26,Illinois,Big Ten,6.01,9-3,9,3,4.6,49,30.9,22,1.1,20.0,-6.0
27,Florida,SEC,5.66,7-5,7,5,12.4,23,21.3,25,8.6,,
28,Syracuse,ACC,4.99,9-3,9,3,4.4,50,18.7,29,2.1,21.0,-7.0
29,Duke,ACC,4.32,9-3,9,3,4.9,47,20.1,27,-0.6,,
30,Baylor,Big 12,4.19,8-4,8,4,12.1,25,10.5,31,2.7,,
31,Michigan,Big Ten,3.95,7-5,7,5,8.5,37,15.2,30,8.0,,
32,TCU,Big 12,3.77,8-4,8,4,10.5,32,9.5,34,2.8,,
33,UNLV,Mountain West,3.05,10-3,10,3,4.8,48,4.4,40,-4.5,24.0,-9.0
34,Tulane,American Athletic,2.96,9-4,9,4,13.4,19,1.2,45,-4.0,,
35,Georgia Tech,ACC,2.94,7-5,7,5,10.7,30,10.4,32,5.2,,
36,Texas Tech,Big 12,2.91,8-4,8,4,7.1,40,8.7,35,2.7,,
37,Iowa,Big Ten,2.21,8-4,8,4,7.1,41,5.4,39,1.7,,
38,Marshall,Sun Belt,1.81,10-3,10,3,0.0,65,6.7,37,-5.8,,
39,Oklahoma,SEC,1.74,6-6,6,6,9.5,34,9.7,33,7.9,,
40,Navy,American Athletic,1.56,9-3,9,3,5.3,46,5.5,38,-4.3,,
41,Memphis,American Athletic,1.5,10-2,10,2,0.9,64,8.4,36,-7.8,25.0,-16.0
42,USC,Big Ten,1.23,6-6,6,6,11.9,26,1.8,43,7.4,,
43,Minnesota,Big Ten,0.86,7-5,7,5,10.8,29,1.1,47,2.0,,
44,Arkansas,SEC,0.02,6-6,6,6,11.7,27,1.5,44,4.1,,
45,Virginia Tech,ACC,-0.26,6-6,6,6,10.9,28,0.2,59,4.2,,
46,Louisiana,Sun Belt,-0.47,10-3,10,3,-2.0,73,0.8,51,-9.3,,
47,Ohio,Mid-American,-0.57,10-3,10,3,1.2,62,0.4,56,-11.5,,
48,Kansas,Big 12,-0.96,5-7,5,7,12.1,24,0.9,50,6.4,,
49,Pittsburgh,ACC,-1.02,7-5,7,5,3.7,55,1.9,42,0.8,,
50,Boston College,ACC,-1.06,7-5,7,5,3.0,57,1.0,48,1.4,,
51,Washington,Big Ten,-1.32,6-6,6,6,7.1,42,0.9,49,3.3,,
52,Vanderbilt,SEC,-1.4,6-6,6,6,2.2,58,3.7,41,5.3,,
53,Nebraska,Big Ten,-1.6,6-6,6,6,6.6,43,0.6,54,2.9,,
54,UCLA,Big Ten,-1.96,5-7,5,7,3.9,51,0.8,53,8.7,,
55,Rutgers,Big Ten,-2.0,7-5,7,5,-0.4,68,0.8,52,0.9,,
56,West Virginia,Big 12,-2.1,6-6,6,6,-0.1,67,1.2,46,5.5,,
57,Auburn,SEC,-2.4,5-7,5,7,10.6,31,0.1,65,3.4,,
58,Cincinnati,Big 12,-2.59,5-7,5,7,7.3,39,0.2,60,4.9,,
59,Georgia Southern,Sun Belt,-2.74,8-4,8,4,-5.1,87,0.5,55,-3.4,,
60,NC State,ACC,-3.25,6-6,6,6,3.7,54,0.1,62,0.1,,
61,Washington State,Pac-12,-3.25,8-4,8,4,-1.1,69,0.1,66,-7.3,,
62,Utah,Big 12,-3.32,5-7,5,7,5.6,45,0.1,63,3.9,,
63,Sam Houston,Conference USA,-3.51,9-3,9,3,-7.5,96,0.4,57,-9.3,,
64,Jacksonville State,Conference USA,-3.56,9-4,9,4,-2.5,75,0.0,112,-12.5,,
65,California,ACC,-3.62,6-6,6,6,3.9,52,0.0,105,-1.1,,
66,Miami (OH),Mid-American,-3.64,8-5,8,5,-3.8,82,0.0,129,-6.7,,
67,Colorado State,Mountain West,-3.82,8-4,8,4,-5.3,89,0.1,68,-6.3,,
68,James Madison,Sun Belt,-3.9,8-4,8,4,1.3,61,0.0,113,-10.7,,
69,UCF,Big 12,-4.02,4-8,4,8,9.4,35,0.0,86,4.7,,
70,North Carolina,ACC,-4.09,6-6,6,6,2.1,60,0.0,122,-1.3,,
71,Texas State,Sun Belt,-4.26,7-5,7,5,3.8,53,0.0,76,-8.1,,
72,Wisconsin,Big Ten,-4.3,5-7,5,7,2.2,59,0.1,64,3.2,,
73,Kentucky,SEC,-4.54,4-8,4,8,3.1,56,0.3,58,7.1,,
74,Virginia,ACC,-4.96,5-7,5,7,-2.4,74,0.1,67,4.2,,
75,UConn,FBS Independents,-5.11,8-4,8,4,-4.7,85,0.0,84,-10.4,,
76,Houston,Big 12,-5.56,4-8,4,8,-1.9,72,0.0,93,7.4,,
77,Bowling Green,Mid-American,-5.61,7-5,7,5,-1.6,70,0.0,107,-8.6,,
78,Michigan State,Big Ten,-5.66,5-7,5,7,-3.1,79,0.1,61,2.6,,
79,Western Kentucky,Conference USA,-5.93,8-5,8,5,-9.1,101,0.0,71,-10.0,,
80,San José State,Mountain West,-5.94,7-5,7,5,-3.6,81,0.0,73,-8.3,,
81,Northern Illinois,Mid-American,-6.02,7-5,7,5,-3.0,78,0.0,120,-8.9,,
82,South Alabama,Sun Belt,-6.55,6-6,6,6,0.9,63,0.0,69,-7.7,,
83,Old Dominion,Sun Belt,-6.6,5-7,5,7,-0.1,66,0.0,117,-2.0,,
84,Arizona,Big 12,-6.67,4-8,4,8,-2.6,76,0.0,110,4.6,,
85,Maryland,Big Ten,-6.7,4-8,4,8,-1.8,71,0.0,131,4.0,,
86,Liberty,Conference USA,-6.8,8-3,8,3,-4.9,86,0.0,133,-15.2,,
87,East Carolina,American Athletic,-6.86,7-5,7,5,-5.6,90,0.0,101,-9.7,,
88,South Florida,American Athletic,-7.26,6-6,6,6,-5.2,88,0.0,78,-5.9,,
89,Fresno State,Mountain West,-7.5,6-6,6,6,-4.6,84,0.0,96,-7.0,,
90,Buffalo,Mid-American,-7.74,8-4,8,4,-13.6,116,0.0,106,-12.4,,
91,Toledo,Mid-American,-7.97,7-5,7,5,-9.3,102,0.0,77,-10.6,,
92,North Texas,American Athletic,-8.14,6-6,6,6,-7.2,94,0.0,121,-7.2,,
93,Arkansas State,Sun Belt,-8.22,7-5,7,5,-15.0,120,0.0,109,-7.7,,
94,Northwestern,Big Ten,-8.28,4-8,4,8,-7.0,93,0.0,119,2.7,,
95,Coastal Carolina,Sun Belt,-8.29,6-6,6,6,-7.9,99,0.0,102,-7.2,,
96,UTSA,American Athletic,-8.37,6-6,6,6,-5.9,91,0.0,81,-8.7,,
97,Stanford,ACC,-8.46,3-9,3,9,-4.5,83,0.0,80,5.8,,
98,Wake Forest,ACC,-8.51,4-8,4,8,-7.4,95,0.0,74,2.3,,
99,Oklahoma State,Big 12,-8.62,3-9,3,9,-3.5,80,0.0,118,4.7,,
100,Charlotte,American Athletic,-9.22,5-7,5,7,-11.0,109,0.0,103,-2.7,,
101,Mississippi State,SEC,-9.34,2-10,2,10,-2.8,77,0.0,127,7.4,,
102,App State,Sun Belt,-9.35,5-6,5,6,-9.4,103,0.0,111,-4.1,,
103,UL Monroe,Sun Belt,-9.54,5-7,5,7,-10.1,106,0.0,83,-4.2,,
104,Oregon State,Pac-12,-9.86,5-7,5,7,-11.9,111,0.0,116,-4.0,,
105,Florida State,ACC,-10.04,2-10,2,10,-6.0,92,0.0,97,7.4,,
106,Western Michigan,Mid-American,-10.26,6-6,6,6,-13.0,115,0.0,70,-9.7,,
107,Air Force,Mountain West,-10.36,5-7,5,7,-9.8,104,0.0,90,-6.8,,
108,Hawai'i,Mountain West,-10.92,5-7,5,7,-10.3,108,0.0,94,-8.1,,
109,Rice,American Athletic,-11.24,4-8,4,8,-10.0,105,0.0,91,-4.0,,
110,Utah State,Mountain West,-11.54,4-8,4,8,-7.6,97,0.0,75,-6.4,,
111,New Mexico,Mountain West,-11.91,5-7,5,7,-12.8,114,0.0,115,-9.4,,
112,Troy,Sun Belt,-11.95,4-8,4,8,-7.6,98,0.0,88,-7.6,,
113,Nevada,Mountain West,-12.36,3-10,3,10,-8.2,100,0.0,124,-3.2,,
