rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,26.8,12-1,12,1,29.2,3.6,0.007,-0.17,0.434,0.258,28.5,25.6,12
2,Stanford,24.5,11-2,11,2,45.1,17.0,0.138,-0.076,0.496,0.351,19.3,28.1,13
3,Oregon,23.6,12-2,12,2,38.8,13.6,0.092,-0.11,0.458,0.35,21.3,25.2,13
4,Wisconsin,21.6,11-3,11,3,50.3,26.5,0.19,-0.002,0.497,0.396,18.1,23.8,13
5,LSU,20.5,13-1,13,1,34.4,19.1,0.047,-0.05,0.464,0.336,28.1,15.4,13
6,Oklahoma State,20.4,12-1,12,1,42.6,24.7,0.112,-0.024,0.5,0.406,24.2,17.9,13
7,Oklahoma,20.3,10-3,10,3,35.2,14.7,0.054,-0.083,0.465,0.313,20.0,20.5,13
8,South Carolina,17.6,11-2,11,2,31.7,10.9,0.035,-0.132,0.429,0.338,12.8,20.8,12
9,Texas,17.1,8-5,8,5,29.0,7.8,0.015,-0.152,0.412,0.314,11.0,21.1,13
10,Texas A&M,16.0,7-6,7,6,35.8,18.4,0.052,-0.061,0.481,0.346,14.0,17.3,13
11,Missouri,15.4,8-5,8,5,39.3,21.0,0.091,-0.057,0.473,0.397,10.9,18.3,12
12,Baylor,13.9,10-3,10,3,47.7,32.5,0.16,0.044,0.506,0.428,12.0,15.2,12
13,Houston,13.5,13-1,13,1,40.9,27.0,0.117,-0.002,0.448,0.406,13.0,13.9,13
14,USC,12.7,10-2,10,2,38.8,26.6,0.083,-0.003,0.479,0.401,13.4,12.2,12
15,West Virginia,12.6,10-3,10,3,37.6,21.7,0.084,-0.044,0.451,0.383,7.7,15.9,12
16,Notre Dame,12.6,8-5,8,5,36.5,22.9,0.061,-0.031,0.478,0.38,11.1,13.6,13
17,Georgia,12.5,10-4,10,4,30.6,17.1,0.028,-0.073,0.419,0.343,10.9,13.5,13
18,Boise State,12.3,12-1,12,1,29.6,21.4,0.006,-0.03,0.448,0.342,18.4,8.2,13
19,Michigan State,12.2,11-3,11,3,22.1,8.7,-0.043,-0.139,0.388,0.302,10.3,13.4,13
20,Arkansas,11.9,11-2,11,2,37.4,27.1,0.087,0.001,0.438,0.404,14.3,10.2,12
21,Florida State,11.8,9-4,9,4,29.9,18.0,0.013,-0.065,0.437,0.345,11.5,11.9,12
22,Nevada,11.5,7-6,7,6,39.1,20.9,0.094,-0.045,0.462,0.367,1.5,18.2,13
23,Michigan,11.1,11-2,11,2,32.3,23.6,0.034,-0.036,0.443,0.409,14.7,8.7,13
24,Southern Miss,10.1,12-2,12,2,31.5,20.7,0.041,-0.062,0.41,0.402,9.0,10.8,13
25,California,10.0,7-6,7,6,30.3,16.6,0.022,-0.082,0.427,0.353,4.4,13.8,12
26,TCU,9.3,11-2,11,2,32.6,23.7,0.041,-0.021,0.435,0.376,9.9,8.9,12
27,Virginia Tech,9.2,11-3,11,3,29.0,17.9,0.011,-0.064,0.422,0.343,6.3,11.1,13
28,BYU,9.2,10-3,10,3,32.0,19.1,0.033,-0.06,0.441,0.36,3.5,13.0,12
29,Georgia Tech,7.5,8-5,8,5,40.2,29.3,0.119,0.02,0.43,0.412,2.4,10.9,12
30,Miami,6.8,6-6,6,6,35.1,26.5,0.065,-0.019,0.436,0.437,4.2,8.5,11
31,Iowa,6.5,7-6,7,6,37.8,29.9,0.094,0.025,0.433,0.412,4.3,8.0,12
32,Kansas State,6.3,10-3,10,3,29.4,26.2,0.018,-0.02,0.414,0.433,11.0,3.1,12
33,North Carolina,6.2,7-6,7,6,31.8,22.5,0.044,-0.047,0.408,0.409,1.7,9.3,12
34,Arkansas State,6.1,10-3,10,3,30.5,20.4,0.022,-0.057,0.43,0.384,0.2,10.1,12
35,Tulsa,5.6,8-5,8,5,28.1,22.2,-0.0,-0.041,0.426,0.389,5.3,5.9,12
36,Vanderbilt,5.6,6-7,6,7,25.6,21.0,-0.012,-0.054,0.395,0.392,7.2,4.5,12
37,Nebraska,5.6,9-4,9,4,28.0,24.0,0.003,-0.018,0.416,0.378,8.0,3.9,12
38,Tennessee,5.1,5-7,5,7,25.2,18.6,-0.009,-0.072,0.379,0.378,2.9,6.6,11
39,Clemson,5.0,10-4,10,4,30.8,26.1,0.021,-0.019,0.439,0.427,5.5,4.6,13
40,Rutgers,4.4,9-4,9,4,19.9,16.0,-0.055,-0.091,0.364,0.36,5.1,4.0,12
41,Florida,4.3,7-6,7,6,23.4,20.3,-0.037,-0.047,0.402,0.358,6.1,3.1,12
42,South Florida,4.3,5-7,5,7,30.3,25.6,0.012,-0.013,0.448,0.4,3.6,4.7,11
43,Pittsburgh,4.1,6-7,6,7,29.1,23.7,0.016,-0.036,0.411,0.411,2.4,5.3,12
44,UCF,3.5,5-7,5,7,32.8,25.6,0.046,-0.009,0.427,0.394,-2.0,7.1,11
45,Northern Illinois,3.5,11-3,11,3,30.4,27.1,0.037,0.003,0.393,0.397,3.7,3.3,13
46,Illinois,3.3,7-6,7,6,21.7,16.2,-0.046,-0.084,0.384,0.35,0.1,5.5,12
47,Louisville,3.1,7-6,7,6,29.8,25.8,0.025,-0.013,0.407,0.406,1.7,4.0,12
48,Arizona State,2.9,6-7,6,7,33.0,31.9,0.044,0.039,0.436,0.426,5.7,1.0,12
49,Ohio State,2.8,6-7,6,7,25.5,23.4,-0.009,-0.029,0.388,0.39,3.8,2.1,13
50,Penn State,2.5,9-4,9,4,21.0,20.3,-0.055,-0.057,0.389,0.381,5.2,0.8,12
51,Washington,2.4,7-6,7,6,35.1,32.8,0.067,0.051,0.431,0.417,2.5,2.3,12
52,Toledo,2.3,9-4,9,4,28.9,29.3,0.006,0.015,0.432,0.422,6.3,-0.4,12
53,Iowa State,2.2,6-7,6,7,25.3,22.6,-0.013,-0.049,0.392,0.416,1.4,2.7,12
54,SMU,1.9,8-5,8,5,30.4,26.7,0.029,-0.005,0.413,0.407,-0.8,3.8,11
55,Texas Tech,1.7,5-7,5,7,36.9,33.7,0.064,0.053,0.482,0.434,-0.5,3.3,11
56,Arizona,1.5,4-8,4,8,37.2,33.3,0.075,0.057,0.462,0.416,-2.1,4.0,11
57,Virginia,1.2,8-5,8,5,26.2,21.5,-0.005,-0.036,0.394,0.36,-4.0,4.7,12
58,UCLA,1.2,6-8,6,8,32.0,28.6,0.04,0.005,0.422,0.428,-2.1,3.4,14
59,Cincinnati,1.0,10-3,10,3,25.1,28.1,-0.012,0.017,0.385,0.39,7.2,-3.0,12
60,Oregon State,0.9,3-9,3,9,31.1,27.8,0.03,0.0,0.426,0.42,-2.8,3.3,11
61,Utah State,0.4,7-6,7,6,30.5,28.0,0.024,-0.012,0.426,0.455,-2.8,2.5,12
62,Mississippi State,0.3,7-6,7,6,21.8,24.9,-0.046,-0.023,0.386,0.41,5.6,-3.2,12
63,Temple,0.3,9-4,9,4,23.9,26.9,-0.022,-0.002,0.38,0.406,5.3,-3.0,11
64,Utah,0.3,8-5,8,5,16.3,18.2,-0.097,-0.074,0.379,0.371,3.5,-1.9,12
65,Northwestern,0.2,6-7,6,7,35.9,36.1,0.06,0.078,0.467,0.43,0.7,-0.2,12
66,Louisiana Tech,-0.3,8-5,8,5,21.8,25.3,-0.049,-0.019,0.395,0.409,4.6,-3.6,11
67,Wake Forest,-1.4,6-7,6,7,25.2,25.3,-0.01,-0.022,0.382,0.415,-3.2,-0.2,12
68,East Carolina,-1.8,5-7,5,7,29.2,27.4,0.012,-0.013,0.421,0.443,-7.0,1.7,12
69,Western Kentucky,-1.9,7-5,7,5,24.2,24.0,-0.024,-0.023,0.391,0.389,-4.9,0.1,11
70,Fresno State,-2.1,4-9,4,9,32.1,31.1,0.044,0.044,0.415,0.396,-6.7,1.0,12
71,NC State,-2.2,8-5,8,5,16.4,20.1,-0.083,-0.068,0.348,0.401,0.0,-3.7,11
72,Western Michigan,-2.3,7-6,7,6,33.5,37.0,0.048,0.079,0.44,0.451,-0.6,-3.5,12
73,Louisiana,-2.4,9-4,9,4,27.0,28.1,0.006,0.005,0.387,0.417,-4.4,-1.1,12
74,Miami (OH),-2.6,4-8,4,8,26.9,27.7,0.008,0.009,0.378,0.397,-5.4,-0.8,12
75,Syracuse,-2.6,5-7,5,7,27.8,29.8,0.004,0.014,0.411,0.436,-3.7,-1.9,11
76,UL Monroe,-2.8,4-8,4,8,22.1,21.7,-0.036,-0.049,0.371,0.394,-7.6,0.4,11
77,Ohio,-2.9,10-4,10,4,30.5,35.1,0.024,0.07,0.426,0.426,-0.4,-4.5,13
78,Auburn,-3.1,8-5,8,5,28.8,35.4,0.009,0.065,0.422,0.448,2.2,-6.6,12
79,UConn,-3.6,5-7,5,7,18.8,23.7,-0.064,-0.017,0.358,0.368,-1.6,-5.0,11
