rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,30.0,12-2,12,2,48.1,13.2,0.249,-0.188,0.544,0.319,22.6,35.0,13
2,Oregon,25.8,13-2,13,2,49.0,22.0,0.27,-0.086,0.523,0.397,24.0,26.9,14
3,TCU,24.9,12-1,12,1,40.2,13.4,0.148,-0.185,0.496,0.32,22.0,26.8,12
4,Ohio State,24.0,14-1,14,1,46.1,19.9,0.218,-0.109,0.544,0.373,20.5,26.3,15
5,Auburn,22.5,8-5,8,5,46.8,21.1,0.229,-0.09,0.542,0.372,17.7,25.7,12
6,Georgia,22.2,10-3,10,3,46.0,23.3,0.228,-0.064,0.517,0.391,21.3,22.7,12
7,Mississippi State,20.4,10-3,10,3,41.9,19.3,0.156,-0.113,0.537,0.362,17.0,22.6,12
8,Michigan State,20.1,11-2,11,2,41.9,19.4,0.172,-0.1,0.499,0.337,16.6,22.5,12
9,Baylor,19.6,11-2,11,2,43.9,22.8,0.192,-0.071,0.524,0.389,17.5,21.1,12
10,Georgia Tech,19.6,11-3,11,3,48.0,27.0,0.239,-0.033,0.562,0.452,17.4,21.0,13
11,Arkansas,19.3,7-6,7,6,36.6,16.1,0.105,-0.156,0.467,0.349,17.6,20.4,12
12,Ole Miss,19.3,9-4,9,4,30.5,10.8,0.02,-0.235,0.448,0.345,18.7,19.7,11
13,Kansas State,16.8,9-4,9,4,41.5,23.4,0.161,-0.07,0.511,0.411,15.0,18.1,12
14,Stanford,16.8,8-5,8,5,33.8,14.7,0.071,-0.177,0.447,0.346,13.3,19.1,12
15,Florida State,16.6,13-1,13,1,42.8,23.8,0.179,-0.068,0.515,0.42,13.1,18.9,13
16,Wisconsin,16.2,11-3,11,3,39.6,21.0,0.139,-0.083,0.494,0.353,12.6,18.6,13
17,LSU,15.4,8-5,8,5,31.5,13.2,0.033,-0.188,0.455,0.321,11.2,18.2,12
18,Marshall,15.2,13-1,13,1,40.1,24.3,0.166,-0.067,0.448,0.435,14.4,15.8,12
19,UCLA,14.6,10-3,10,3,38.1,22.8,0.119,-0.074,0.489,0.397,13.6,15.3,12
20,Oklahoma,14.4,8-5,8,5,37.2,21.7,0.108,-0.081,0.485,0.375,12.8,15.5,13
21,Louisville,14.4,9-4,9,4,31.6,14.7,0.048,-0.172,0.422,0.339,10.8,16.8,12
22,USC,14.4,9-4,9,4,36.6,22.2,0.112,-0.086,0.453,0.404,14.3,14.4,13
23,Missouri,12.9,11-3,11,3,31.3,18.0,0.045,-0.138,0.418,0.377,12.3,13.2,13
24,Clemson,12.5,10-3,10,3,23.1,10.3,-0.073,-0.222,0.402,0.297,12.1,12.8,12
25,Miami,12.5,6-7,6,7,36.9,21.7,0.117,-0.086,0.451,0.385,8.4,15.2,12
26,West Virginia,12.4,7-6,7,6,32.5,18.1,0.051,-0.126,0.448,0.352,9.4,14.4,12
27,Louisiana Tech,11.2,9-5,9,5,31.8,19.3,0.054,-0.114,0.416,0.364,9.2,12.5,12
28,Arizona State,11.1,10-3,10,3,30.1,19.8,0.025,-0.112,0.423,0.378,12.3,10.3,11
29,Nebraska,10.6,9-4,9,4,32.5,23.0,0.041,-0.066,0.472,0.385,12.2,9.5,12
30,Boise State,9.9,12-2,12,2,34.6,24.1,0.086,-0.051,0.443,0.391,9.0,10.5,14
31,Washington,9.0,8-6,8,6,27.8,17.7,-0.01,-0.157,0.424,0.407,7.2,10.1,12
32,Texas A&M,8.8,8-5,8,5,36.8,29.3,0.102,0.008,0.482,0.438,10.7,7.5,12
33,Florida,8.8,7-5,7,5,23.2,14.0,-0.071,-0.189,0.403,0.351,8.0,9.3,11
34,Arizona,8.7,10-4,10,4,31.8,24.3,0.057,-0.055,0.409,0.405,10.5,7.5,14
35,Texas,8.3,6-7,6,7,25.7,14.8,-0.039,-0.177,0.413,0.351,4.5,10.9,13
36,Utah,7.5,9-4,9,4,27.4,20.9,-0.014,-0.097,0.419,0.385,9.0,6.5,12
37,Tennessee,7.2,7-6,7,6,29.3,23.4,0.003,-0.051,0.447,0.366,9.2,5.9,12
38,Boston College,7.0,7-6,7,6,34.4,26.5,0.087,-0.019,0.433,0.402,5.8,7.9,12
39,Notre Dame,7.0,8-5,8,5,36.3,29.7,0.098,0.017,0.473,0.431,7.6,6.6,13
40,Minnesota,6.6,8-5,8,5,31.8,24.9,0.036,-0.04,0.459,0.393,6.1,6.9,12
41,South Carolina,6.0,7-6,7,6,38.7,33.0,0.126,0.051,0.495,0.467,6.5,5.7,12
42,Virginia Tech,5.9,7-6,7,6,20.2,14.6,-0.114,-0.167,0.394,0.323,6.3,5.6,12
43,NC State,5.3,8-5,8,5,35.8,28.5,0.086,0.001,0.481,0.427,2.4,7.2,12
44,Virginia,4.3,5-7,5,7,22.9,18.4,-0.079,-0.124,0.407,0.358,4.2,4.4,11
45,Colorado State,3.6,10-3,10,3,36.1,32.5,0.115,0.05,0.424,0.453,3.7,3.5,11
46,Cincinnati,3.4,9-4,9,4,38.4,33.5,0.135,0.056,0.462,0.475,1.2,4.9,12
47,California,3.3,5-7,5,7,37.7,33.0,0.12,0.059,0.472,0.448,1.1,4.7,11
48,Duke,3.1,9-4,9,4,28.7,27.9,-0.008,-0.02,0.449,0.45,6.5,0.8,12
49,Iowa,2.9,7-6,7,6,29.3,26.1,0.009,-0.027,0.43,0.404,2.5,3.2,12
