rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,26.9,45.2,14.6,0.143,-0.095,0.499,0.336,21.3,30.6,12
2,Boise State,25.8,39.9,10.5,0.094,-0.131,0.487,0.322,20.5,29.4,13
3,Auburn,25.0,48.7,21.2,0.166,-0.058,0.529,0.403,21.3,27.5,13
4,Oregon,24.8,38.2,13.2,0.093,-0.12,0.451,0.36,24.6,25.0,12
5,Stanford,24.4,44.4,20.6,0.132,-0.06,0.506,0.394,25.4,23.8,12
6,TCU,23.7,40.4,14.1,0.1,-0.092,0.485,0.314,19.9,26.3,12
7,Ohio State,19.4,35.2,14.6,0.058,-0.099,0.46,0.343,17.7,20.6,13
8,Arkansas,18.9,42.9,22.4,0.14,-0.034,0.453,0.376,16.3,20.5,12
9,Oklahoma State,17.3,41.8,23.9,0.11,-0.025,0.496,0.392,16.5,17.9,13
10,Wisconsin,16.9,47.4,28.5,0.157,0.018,0.518,0.399,14.0,18.9,12
11,Virginia Tech,15.9,35.4,20.6,0.066,-0.037,0.446,0.34,17.5,14.8,13
12,South Carolina,15.9,39.1,22.5,0.098,-0.025,0.461,0.357,14.9,16.6,13
13,Oklahoma,15.9,31.2,15.7,0.02,-0.079,0.454,0.324,16.5,15.4,14
14,Texas A&M,15.7,33.1,14.5,0.045,-0.108,0.443,0.361,11.4,18.6,12
15,Arizona,15.3,38.6,19.7,0.093,-0.055,0.458,0.362,10.0,18.9,12
16,LSU,14.5,32.9,18.9,0.039,-0.075,0.452,0.39,15.2,14.0,12
17,Nebraska,14.2,30.7,16.3,0.034,-0.088,0.409,0.359,14.0,14.4,13
18,Arizona State,14.1,31.2,15.4,0.031,-0.103,0.43,0.373,11.5,15.8,10
19,Florida State,13.2,36.1,24.3,0.076,-0.016,0.44,0.379,15.1,11.8,13
20,West Virginia,12.8,29.5,14.0,0.021,-0.1,0.412,0.332,9.0,15.4,12
21,Georgia,12.2,38.1,23.2,0.091,-0.025,0.452,0.374,8.2,14.9,12
22,Mississippi State,12.0,29.8,16.3,0.02,-0.089,0.423,0.361,9.8,13.5,12
23,Miami,11.5,29.8,16.7,0.012,-0.073,0.441,0.332,9.0,13.2,12
24,Nevada,11.4,42.0,30.5,0.118,0.031,0.481,0.416,11.4,11.5,13
25,Missouri,10.0,29.6,22.6,0.01,-0.036,0.441,0.385,14.4,7.0,12
26,North Carolina,9.5,33.6,21.6,0.052,-0.046,0.438,0.387,5.7,12.0,12
27,Hawai'i,9.1,37.5,26.2,0.082,-0.016,0.46,0.424,5.8,11.3,12
28,Illinois,9.1,29.6,20.1,0.021,-0.059,0.415,0.381,8.5,9.4,12
29,NC State,8.9,32.6,25.6,0.048,-0.008,0.423,0.392,11.9,6.9,12
30,Florida,8.5,24.4,16.9,-0.022,-0.088,0.394,0.372,10.0,7.5,12
31,USC,8.4,36.7,29.7,0.073,0.023,0.463,0.416,10.6,7.0,13
32,Pittsburgh,7.8,32.9,25.0,0.047,-0.025,0.433,0.416,7.6,7.9,12
33,Notre Dame,7.6,25.4,19.6,-0.019,-0.06,0.412,0.371,10.2,5.9,13
34,Iowa,7.4,32.8,27.9,0.049,0.005,0.425,0.415,11.2,5.0,12
35,Texas,6.9,26.3,14.9,-0.006,-0.097,0.4,0.346,0.2,11.4,12
36,Utah,6.6,28.0,22.2,0.01,-0.038,0.403,0.379,7.8,5.8,13
37,Clemson,6.2,22.0,16.9,-0.042,-0.076,0.383,0.344,7.8,5.1,12
38,Air Force,5.4,33.7,29.2,0.061,0.011,0.418,0.433,6.9,4.4,12
39,Oregon State,5.4,29.3,26.3,0.017,-0.003,0.417,0.396,8.9,3.1,12
40,Michigan State,5.4,29.7,26.2,0.028,-0.006,0.402,0.401,8.1,3.5,12
41,California,4.9,23.2,19.6,-0.03,-0.055,0.384,0.361,6.9,3.5,11
42,San Diego State,4.8,27.1,23.0,0.001,-0.035,0.403,0.393,6.0,4.0,12
43,UCF,4.7,28.5,23.9,-0.002,-0.024,0.443,0.39,4.9,4.5,12
44,Southern Miss,4.6,29.9,22.8,0.017,-0.026,0.433,0.367,0.9,7.1,11
45,Michigan,4.1,38.5,31.9,0.096,0.047,0.451,0.413,0.5,6.6,12
46,Louisville,3.5,27.8,23.8,0.006,-0.02,0.408,0.377,2.8,4.0,12
47,Tulsa,3.4,32.9,29.9,0.051,0.026,0.424,0.414,3.9,3.1,12
48,Maryland,3.4,22.5,21.2,-0.037,-0.044,0.383,0.373,6.5,1.3,12
49,BYU,3.3,25.3,20.5,-0.017,-0.055,0.403,0.382,1.1,4.8,13
50,Northern Illinois,3.1,30.4,29.6,0.02,0.026,0.436,0.408,6.6,0.7,13
51,Washington,2.8,29.5,27.5,0.024,0.004,0.405,0.408,4.0,2.0,13
52,Baylor,2.8,41.1,36.1,0.115,0.079,0.468,0.437,-0.6,5.0,12
53,Kentucky,2.4,34.5,31.6,0.049,0.038,0.464,0.426,1.8,2.9,12
54,Syracuse,2.4,24.5,18.9,-0.02,-0.068,0.391,0.373,-2.3,5.5,11
55,Cincinnati,2.1,31.3,25.5,0.031,-0.012,0.433,0.399,-3.5,5.8,11
56,SMU,2.1,35.1,29.4,0.067,0.011,0.437,0.436,-3.4,5.7,14
57,Texas Tech,1.9,28.2,25.7,0.009,-0.007,0.411,0.392,1.0,2.5,12
58,Georgia Tech,1.2,29.6,27.9,0.017,0.0,0.425,0.426,0.5,1.7,12
59,Tennessee,1.1,25.0,24.3,-0.011,-0.029,0.38,0.41,1.8,0.6,12
60,South Florida,0.9,24.2,22.7,-0.022,-0.036,0.387,0.39,0.1,1.4,12
61,Ole Miss,0.9,27.0,25.2,0.006,-0.007,0.388,0.38,-0.5,1.8,11
62,Penn State,0.8,27.5,27.3,-0.001,-0.006,0.415,0.427,1.8,0.2,12
63,Kansas State,-0.4,31.0,33.7,0.037,0.059,0.411,0.425,3.1,-2.7,12
64,Fresno State,-0.7,25.5,25.5,-0.0,-0.007,0.369,0.387,-1.6,-0.0,11
65,Navy,-0.7,36.3,40.2,0.074,0.106,0.45,0.469,4.1,-3.9,12
66,Florida International,-0.7,27.2,25.0,0.003,-0.019,0.399,0.401,-5.0,2.2,10
67,UCLA,-0.9,24.6,26.0,-0.026,-0.009,0.408,0.404,-0.0,-1.4,12
68,Boston College,-1.0,17.2,19.7,-0.083,-0.074,0.365,0.405,1.2,-2.5,12
69,East Carolina,-2.9,33.5,34.0,0.044,0.059,0.453,0.433,-6.5,-0.5,13
70,Houston,-2.9,34.5,37.5,0.056,0.078,0.452,0.471,-2.8,-2.9,11
71,UConn,-3.0,22.7,26.7,-0.036,-0.009,0.387,0.42,-1.4,-4.0,12
72,Colorado,-3.1,27.2,31.5,0.004,0.037,0.398,0.426,-1.4,-4.2,12
73,Northwestern,-3.4,32.1,34.7,0.025,0.058,0.465,0.451,-4.5,-2.6,11
74,Army,-3.5,25.5,28.7,-0.018,0.014,0.41,0.414,-3.8,-3.2,11
75,Arkansas State,-3.5,30.3,31.5,0.023,0.024,0.427,0.455,-6.9,-1.2,9
76,Troy,-3.6,24.8,28.4,-0.027,0.02,0.414,0.393,-3.4,-3.6,11
77,UL Monroe,-4.4,23.7,22.9,-0.021,-0.049,0.374,0.425,-12.1,0.8,10
78,Virginia,-4.7,28.8,33.2,0.008,0.054,0.427,0.427,-5.1,-4.4,10
79,Washington State,-5.3,28.1,34.4,0.013,0.065,0.397,0.428,-3.8,-6.3,11
80,Idaho,-5.3,24.9,30.5,-0.004,0.026,0.363,0.426,-4.8,-5.6,9
81,Iowa State,-5.9,24.3,33.0,-0.02,0.037,0.385,0.461,-1.7,-8.7,11
82,Miami (OH),-6.4,19.0,24.3,-0.076,-0.024,0.39,0.397,-8.0,-5.3,14
83,Minnesota,-7.2,22.4,31.3,-0.029,0.043,0.362,0.407,-4.5,-9.0,11
84,Western Michigan,-7.3,24.3,33.6,-0.024,0.053,0.395,0.436,-4.2,-9.3,11
85,Duke,-7.6,24.8,33.9,-0.023,0.074,0.406,0.397,-5.4,-9.1,11
86,Louisiana Tech,-7.8,22.6,32.2,-0.043,0.036,0.4,0.444,-5.0,-9.6,11
87,Temple,-7.8,18.9,29.1,-0.064,0.017,0.362,0.415,-4.3,-10.1,11
88,Indiana,-8.0,25.3,33.6,-0.021,0.051,0.413,0.442,-7.5,-8.3,11
89,UAB,-9.0,26.1,34.0,-0.012,0.062,0.411,0.426,-10.8,-7.8,12
90,Utah State,-9.3,22.8,31.2,-0.028,0.029,0.37,0.436,-10.9,-8.3,11
91,Toledo,-10.0,17.5,31.3,-0.073,0.021,0.35,0.458,-4.2,-13.8,13
92,Rutgers,-10.7,18.8,30.2,-0.07,0.027,0.373,0.418,-9.6,-11.4,11
93,Ohio,-10.7,22.0,34.6,-0.039,0.057,0.376,0.453,-7.9,-12.6,11
94,Central Michigan,-10.8,20.9,32.4,-0.056,0.031,0.389,0.462,-9.6,-11.5,10
95,Middle Tennessee,-11.4,18.5,28.3,-0.074,0.006,0.374,0.422,-13.9,-9.8,11
96,Tulane,-11.9,21.6,30.3,-0.055,0.027,0.403,0.422,-16.7,-8.7,11
97,North Texas,-12.0,21.9,32.5,-0.038,0.048,0.371,0.423,-14.1,-10.6,9
98,Wake Forest,-12.0,19.7,35.3,-0.059,0.063,0.367,0.456,-6.6,-15.7,11
99,Marshall,-12.3,12.3,24.7,-0.111,-0.019,0.315,0.397,-12.2,-12.4,12
100,Kent State,-12.5,15.6,28.7,-0.09,0.021,0.343,0.397,-11.5,-13.2,11
101,Purdue,-12.8,11.1,28.1,-0.134,0.005,0.34,0.42,-6.6,-17.0,11
102,San José State,-12.9,24.1,37.6,-0.021,0.072,0.384,0.486,-12.2,-13.4,11
103,Vanderbilt,-13.2,9.7,24.6,-0.142,-0.017,0.325,0.39,-10.5,-15.0,12
104,Rice,-13.9,21.9,35.5,-0.043,0.079,0.383,0.422,-14.4,-13.6,12
105,Wyoming,-13.9,17.8,34.2,-0.067,0.054,0.342,0.45,-10.1,-16.5,11
106,Louisiana,-14.8,17.8,30.4,-0.058,0.014,0.321,0.452,-18.2,-12.6,12
107,Colorado State,-15.1,22.7,39.2,-0.037,0.089,0.388,0.487,-13.1,-16.5,12
108,UTEP,-15.4,20.5,38.8,-0.057,0.088,0.383,0.479,-11.1,-18.3,11
