rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,games
1,Alabama,33.1,46.7,13.6,0.289,-0.226,0.565,0.307,14
2,Clemson,29.6,41.7,12.1,0.227,-0.263,0.504,0.316,14
3,Georgia,24.6,44.0,19.4,0.25,-0.155,0.54,0.381,13
4,Mississippi State,24.4,35.9,11.5,0.112,-0.284,0.493,0.327,12
5,Michigan,20.8,36.9,16.0,0.129,-0.18,0.498,0.315,13
6,Oklahoma,18.3,50.4,32.1,0.369,0.063,0.562,0.45,14
7,Florida,17.3,38.4,21.0,0.163,-0.111,0.495,0.367,11
8,Missouri,16.8,35.9,19.0,0.11,-0.15,0.496,0.364,12
9,Texas A&M,16.5,38.5,22.0,0.148,-0.077,0.519,0.345,12
10,LSU,15.6,32.4,16.8,0.06,-0.183,0.463,0.344,12
11,Auburn,14.7,33.2,18.5,0.08,-0.147,0.457,0.343,12
12,Ohio State,14.6,39.5,24.9,0.169,-0.045,0.522,0.389,14
13,Notre Dame,13.7,33.5,19.8,0.084,-0.144,0.462,0.378,13
14,Washington,13.1,33.0,20.0,0.065,-0.133,0.475,0.368,13
15,Wisconsin,13.0,37.2,24.2,0.112,-0.074,0.535,0.411,13
16,Penn State,12.1,32.5,20.4,0.058,-0.125,0.469,0.369,13
17,Utah State,11.6,33.5,21.9,0.091,-0.103,0.449,0.382,12
18,Iowa,11.3,29.8,18.4,0.035,-0.169,0.418,0.374,12
19,Kentucky,10.4,30.7,20.2,0.031,-0.123,0.452,0.36,12
20,UCF,10.2,37.7,27.5,0.17,-0.024,0.462,0.44,12
21,Utah,10.0,29.3,19.2,-0.007,-0.142,0.466,0.357,13
22,Iowa State,9.4,32.1,22.7,0.066,-0.099,0.445,0.402,12
23,Texas,9.4,33.4,24.0,0.08,-0.082,0.463,0.415,14
24,Ole Miss,9.3,38.1,28.8,0.145,0.001,0.513,0.441,11
25,Fresno State,9.0,30.3,21.3,0.027,-0.107,0.446,0.37,13
26,Washington State,8.7,37.3,28.6,0.136,0.01,0.502,0.422,12
27,West Virginia,8.5,35.6,27.1,0.124,-0.03,0.466,0.436,11
28,Boise State,8.3,35.5,27.1,0.102,-0.026,0.495,0.43,13
29,Pittsburgh,8.1,32.1,24.0,0.079,-0.068,0.424,0.397,13
30,Cincinnati,7.6,28.2,20.6,0.008,-0.131,0.41,0.384,12
31,Nebraska,7.1,35.3,28.2,0.098,-0.009,0.496,0.438,11
32,Oklahoma State,6.8,35.3,28.5,0.119,0.02,0.465,0.405,12
33,Vanderbilt,6.8,35.9,29.2,0.126,0.013,0.474,0.434,12
34,App State,6.3,26.7,20.4,-0.011,-0.142,0.392,0.393,12
35,Miami,6.0,24.0,18.0,-0.058,-0.174,0.377,0.368,12
36,Michigan State,6.0,22.2,16.2,-0.1,-0.192,0.383,0.338,13
37,Virginia,5.5,29.0,23.5,0.004,-0.062,0.441,0.371,12
38,Stanford,5.1,33.2,28.1,0.082,-0.008,0.454,0.435,12
39,South Carolina,5.0,33.0,28.0,0.075,-0.024,0.458,0.453,12
40,NC State,4.8,32.9,28.0,0.042,0.007,0.504,0.409,12
41,BYU,4.4,30.5,26.2,0.03,-0.032,0.449,0.409,12
42,Purdue,4.3,33.8,29.5,0.085,0.022,0.469,0.433,13
43,Oregon,4.2,30.1,26.0,0.038,-0.045,0.424,0.422,12
44,USC,3.9,29.1,25.3,0.013,-0.032,0.432,0.381,12
45,Army,3.7,31.6,27.9,0.065,-0.015,0.43,0.438,11
46,UAB,3.7,28.0,24.4,-0.01,-0.062,0.431,0.397,13
47,Northwestern,3.7,26.5,22.8,-0.034,-0.092,0.418,0.394,14
48,Syracuse,3.5,29.1,25.6,-0.0,-0.044,0.449,0.409,12
49,Maryland,3.4,29.0,25.5,0.028,-0.057,0.404,0.427,12
50,Texas Tech,3.1,30.4,27.2,0.013,-0.019,0.47,0.423,11
51,Arizona State,2.8,33.9,31.1,0.087,0.029,0.468,0.47,13
52,Ohio,2.6,36.9,34.3,0.124,0.102,0.509,0.462,12
53,Florida State,2.6,25.4,22.8,-0.018,-0.082,0.36,0.379,11
54,Minnesota,2.4,29.7,27.3,0.015,-0.009,0.446,0.408,13
55,UCLA,2.0,32.9,30.9,0.076,0.034,0.456,0.459,12
56,Tennessee,1.9,27.4,25.5,0.0,-0.059,0.396,0.429,11
57,TCU,1.8,22.2,20.4,-0.106,-0.12,0.393,0.361,12
58,Baylor,1.7,32.7,31.0,0.072,0.066,0.455,0.414,12
59,Duke,1.6,28.2,26.6,-0.009,-0.016,0.433,0.397,12
60,California,1.6,20.0,18.4,-0.154,-0.175,0.396,0.381,12
61,Memphis,1.3,31.2,29.9,0.053,0.03,0.435,0.432,13
62,Temple,1.3,26.8,25.5,-0.022,-0.057,0.41,0.426,12
63,Indiana,1.1,30.4,29.4,0.017,0.017,0.465,0.434,12
64,Kansas State,1.0,28.5,27.6,0.002,-0.035,0.429,0.457,11
65,Florida Atlantic,0.9,28.7,27.8,0.005,-0.006,0.428,0.42,10
66,Wyoming,0.8,23.0,22.2,-0.069,-0.099,0.364,0.386,11
67,Arizona,0.8,29.0,28.2,0.027,0.01,0.405,0.408,11
68,Wake Forest,0.3,29.8,29.5,0.024,0.028,0.435,0.422,12
69,Boston College,0.3,23.0,22.8,-0.083,-0.096,0.384,0.398,11
70,Arkansas,0.0,27.6,27.6,-0.002,-0.014,0.405,0.426,11
71,Arkansas State,-0.1,27.6,27.7,-0.011,-0.007,0.419,0.419,12
72,Georgia Tech,-0.1,34.4,34.5,0.084,0.081,0.49,0.501,12
73,Air Force,-0.5,31.4,31.8,0.038,0.071,0.463,0.432,11
74,Southern Miss,-1.6,21.0,22.7,-0.126,-0.078,0.386,0.368,10
