rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
58,Tulane,American Athletic,2.5,0-1,0,1,23.3,19.4,0.001,-0.092,0.397,0.396,0.6,3.9,1
59,Old Dominion,,2.4,Preseason,0,0,24.1,21.8,,,,,2.7,2.6,0
60,Clemson,ACC,2.2,0-1,0,1,24.1,22.3,0.024,-0.046,0.387,0.438,2.8,1.8,1
61,Memphis,American Athletic,1.9,2-0,2,0,30.9,29.0,0.152,0.114,0.441,0.413,1.8,1.9,2
62,North Carolina,ACC,1.5,1-0,1,0,25.6,23.8,0.041,0.003,0.423,0.402,1.0,1.7,1
63,Houston,Big 12,1.5,1-0,1,0,26.9,25.7,0.066,0.041,0.433,0.414,2.1,1.2,1
64,UTSA,,1.0,Preseason,0,0,26.2,25.3,,,,,0.3,1.1,0
65,Wake Forest,ACC,0.9,1-0,1,0,24.8,24.0,0.027,-0.005,0.417,0.43,1.1,0.8,1
66,NC State,ACC,0.7,0-1,0,1,27.1,26.2,0.085,0.046,0.399,0.425,0.4,0.9,1
67,Navy,,0.6,Preseason,0,0,26.3,25.8,,,,,1.8,0.6,0
68,New Mexico,Mountain West,-0.2,1-0,1,0,26.2,27.8,0.053,0.096,0.426,0.393,2.0,-1.6,1
69,Texas State,Pac-12,-0.2,0-1,0,1,33.2,30.6,0.215,0.141,0.414,0.431,-4.5,2.6,1
70,Northwestern,,-0.7,Preseason,0,0,23.7,24.5,,,,,1.9,-0.9,0
71,Toledo,Mid-American,-1.7,0-1,0,1,23.7,23.6,0.011,-0.004,0.394,0.409,-4.2,0.1,1
72,South Florida,American Athletic,-2.0,1-0,1,0,24.1,27.7,0.009,0.083,0.417,0.414,0.4,-3.6,1
73,Boston College,ACC,-2.1,0-1,0,1,25.1,26.1,0.034,0.051,0.412,0.411,-3.7,-1.1,1
74,California,ACC,-2.3,0-1,0,1,27.1,28.8,0.084,0.096,0.403,0.442,-3.3,-1.6,1
75,Army,,-2.6,Preseason,0,0,28.3,31.0,,,,,1.2,-3.1,0
76,Stanford,ACC,-2.6,1-1,1,1,26.4,27.0,0.064,0.061,0.413,0.431,-5.7,-0.6,2
77,Michigan State,Big Ten,-2.7,1-0,1,0,22.7,27.4,-0.017,0.085,0.409,0.395,0.2,-4.7,1
78,UNLV,Mountain West,-2.8,1-1,1,1,24.2,28.0,0.025,0.088,0.387,0.42,-1.4,-3.8,2
79,North Texas,American Athletic,-3.3,0-1,0,1,31.7,34.3,0.184,0.224,0.407,0.431,-4.5,-2.6,1
80,Syracuse,,-3.6,Preseason,0,0,24.1,27.8,,,,,-4.5,-4.2,0
81,San Diego State,,-4.3,Preseason,0,0,22.7,27.1,,,,,-4.4,-5.1,0
82,East Carolina,American Athletic,-4.5,0-1,0,1,21.1,24.7,-0.044,0.01,0.389,0.432,-5.8,-3.6,1
83,Purdue,,-4.6,Preseason,0,0,25.6,30.4,,,,,-4.7,-5.4,0
84,San José State,Mountain West,-4.9,1-1,1,1,24.0,29.1,0.014,0.106,0.405,0.437,-4.7,-5.1,2
85,West Virginia,Big 12,-5.0,1-0,1,0,23.1,29.1,-0.01,0.113,0.415,0.418,-3.5,-5.9,1
86,Utah State,,-5.4,Preseason,0,0,25.0,30.5,,,,,-6.0,-6.3,0
87,Western Michigan,Mid-American,-5.4,0-1,0,1,21.4,28.4,-0.043,0.098,0.402,0.419,-3.0,-7.0,1
88,Liberty,Conference USA,-5.9,0-1,0,1,25.4,32.1,0.044,0.182,0.409,0.413,-4.7,-6.7,1
89,South Alabama,,-6.1,Preseason,0,0,25.3,31.5,,,,,-5.6,-7.0,0
90,Colorado State,Pac-12,-6.2,1-0,1,0,23.8,30.5,-0.0,0.144,0.426,0.419,-5.5,-6.7,1
91,Nevada,Mountain West,-6.2,1-0,1,0,23.9,30.6,-0.002,0.147,0.435,0.42,-5.4,-6.8,1
92,Oregon State,Pac-12,-7.2,0-1,0,1,23.1,30.1,-0.009,0.13,0.413,0.434,-7.6,-7.0,1
93,Marshall,Sun Belt,-7.2,0-1,0,1,22.3,28.3,-0.02,0.089,0.395,0.431,-9.1,-6.0,1
94,Tulsa,American Athletic,-8.3,1-0,1,0,20.0,28.3,-0.079,0.102,0.415,0.406,-8.4,-8.3,1
95,Ohio,Mid-American,-8.3,0-1,0,1,22.3,30.0,-0.024,0.126,0.406,0.433,-9.2,-7.6,1
96,Louisiana Tech,,-8.5,Preseason,0,0,19.5,28.1,,,,,-7.6,-9.8,0
97,Air Force,,-8.6,Preseason,0,0,26.1,34.7,,,,,-6.7,-9.9,0
98,Florida International,Conference USA,-8.7,0-1,0,1,18.1,25.5,-0.12,0.033,0.414,0.418,-10.8,-7.3,1
99,Fresno State,Pac-12,-8.9,0-1,0,1,13.5,22.2,-0.209,-0.036,0.38,0.408,-9.2,-8.6,1
100,Rutgers,Big Ten,-10.5,0-1,0,1,25.0,35.8,0.032,0.257,0.414,0.433,-10.1,-10.8,1
101,Louisiana,,-10.5,Preseason,0,0,24.4,35.0,,,,,-6.4,-12.2,0
102,Delaware,,-10.5,Preseason,0,0,23.9,34.4,,,,,-11.6,-12.1,0
103,Coastal Carolina,Sun Belt,-10.6,0-1,0,1,20.7,30.4,-0.066,0.145,0.418,0.416,-11.8,-9.8,1
104,Oklahoma State,Big 12,-10.6,0-1,0,1,19.3,30.1,-0.091,0.138,0.405,0.415,-10.4,-10.8,1
105,Florida Atlantic,American Athletic,-10.7,0-1,0,1,24.8,33.8,0.029,0.209,0.412,0.441,-13.2,-9.0,1
106,Georgia Southern,,-11.3,Preseason,0,0,23.2,34.6,,,,,-6.8,-13.0,0
107,Jacksonville State,Conference USA,-11.4,1-1,1,1,17.8,29.5,-0.122,0.124,0.398,0.416,-11.0,-11.7,1
108,UConn,,-11.6,Preseason,0,0,21.6,33.4,,,,,-5.4,-13.5,0
109,Miami (OH),Mid-American,-11.6,0-1,0,1,21.1,30.2,-0.049,0.129,0.399,0.438,-15.2,-9.1,1
110,Troy,Sun Belt,-11.9,1-0,1,0,17.8,30.2,-0.122,0.134,0.401,0.428,-11.3,-12.3,1
111,Hawai'i,Mountain West,-12.1,0-2,0,2,19.8,31.5,-0.075,0.164,0.393,0.426,-12.6,-11.7,2
112,New Mexico State,Conference USA,-12.4,1-1,1,1,17.9,29.6,-0.122,0.124,0.403,0.421,-13.4,-11.8,1
113,Eastern Michigan,Mid-American,-12.8,1-1,1,1,17.4,30.2,-0.12,0.158,0.373,0.37,-12.8,-12.8,2
114,UAB,American Athletic,-13.2,0-1,0,1,22.4,35.9,-0.028,0.256,0.419,0.439,-12.6,-13.5,1
115,Temple,,-13.4,Preseason,0,0,21.1,34.5,,,,,-12.3,-15.4,0
116,Arkansas State,Sun Belt,-14.3,0-1,0,1,19.5,33.9,-0.099,0.218,0.434,0.423,-14.0,-14.4,1
117,Georgia State,,-14.4,Preseason,0,0,21.9,36.4,,,,,-12.9,-16.6,0
118,App State,,-14.6,Preseason,0,0,20.3,35.0,,,,,-8.0,-16.8,0
119,Central Michigan,Mid-American,-15.2,0-1,0,1,17.7,31.6,-0.121,0.165,0.392,0.427,-17.1,-13.9,1
120,Bowling Green,,-15.3,Preseason,0,0,15.5,31.0,,,,,-8.1,-17.7,0
121,Kennesaw State,,-16.0,Preseason,0,0,17.9,34.0,,,,,-9.4,-18.5,0
122,Northern Illinois,Mountain West,-16.0,0-1,0,1,16.7,31.1,-0.137,0.159,0.379,0.416,-18.4,-14.4,1
123,Rice,,-16.1,Preseason,0,0,14.9,31.1,,,,,-12.9,-18.5,0
124,Wyoming,Mountain West,-16.2,0-1,0,1,13.5,29.3,-0.226,0.114,0.418,0.426,-16.7,-15.8,1
125,Sam Houston,Conference USA,-16.7,0-1,0,1,16.6,33.1,-0.161,0.209,0.427,0.401,-17.0,-16.5,1
126,Missouri State,Conference USA,-17.0,0-1,0,1,17.5,33.0,-0.119,0.189,0.375,0.443,-19.2,-15.5,1
127,Middle Tennessee,,-17.5,Preseason,0,0,20.1,37.7,,,,,-16.4,-20.2,0
128,Charlotte,,-17.7,Preseason,0,0,14.7,32.5,,,,,-18.2,-20.4,0
129,Western Kentucky,Conference USA,-18.6,0-1,0,1,19.4,37.7,-0.094,0.297,0.419,0.435,-19.2,-18.3,1
130,Massachusetts,Mid-American,-18.8,1-0,1,0,17.5,36.2,-0.142,0.274,0.432,0.415,-19.0,-18.7,1
131,Southern Miss,,-19.8,Preseason,0,0,15.7,35.6,,,,,-13.1,-22.8,0
132,UL Monroe,Sun Belt,-19.9,0-1,0,1,17.2,36.3,-0.133,0.261,0.392,0.447,-21.0,-19.1,1
133,UTEP,Mountain West,-19.9,0-1,0,1,12.4,30.6,-0.246,0.14,0.406,0.436,-22.4,-18.3,1
134,Buffalo,,-20.0,Preseason,0,0,12.1,32.2,,,,,-10.4,-23.0,0
135,Akron,Mid-American,-20.1,0-1,0,1,16.8,36.9,-0.158,0.288,0.429,0.417,-20.0,-20.2,1
136,Sacramento State,Mid-American,-20.3,1-1,1,1,13.6,33.8,-0.22,0.206,0.411,0.447,-20.5,-20.2,1
137,Ball State,Mid-American,-21.9,0-1,0,1,14.3,35.8,-0.191,0.253,0.38,0.44,-22.6,-21.5,1
138,Kent State,Mid-American,-25.6,0-1,0,1,16.8,40.8,-0.14,0.356,0.392,0.458,-28.0,-23.9,1
