rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
87,Middle Tennessee,-6.0,21.7,26.6,-0.079,-0.024,0.379,0.43,-7.5,-4.9,13
88,Utah State,-6.2,17.2,24.8,-0.143,-0.046,0.364,0.416,-4.0,-7.6,12
89,Tulane,-6.3,25.0,33.8,-0.028,0.079,0.38,0.453,-2.5,-8.8,10
90,North Texas,-7.0,29.0,36.1,0.007,0.115,0.444,0.451,-7.1,-7.0,13
91,Eastern Michigan,-7.5,19.0,28.8,-0.117,0.006,0.369,0.441,-4.2,-9.8,12
92,Rutgers,-7.8,20.3,29.2,-0.101,0.016,0.379,0.431,-6.1,-8.9,11
93,Miami (OH),-7.8,21.8,30.3,-0.081,0.027,0.389,0.445,-6.8,-8.4,11
94,UTSA,-7.9,17.3,25.6,-0.143,-0.025,0.37,0.398,-7.2,-8.3,10
95,New Mexico State,-7.9,24.2,31.2,-0.045,0.039,0.391,0.451,-9.2,-7.0,13
96,Buffalo,-8.4,24.8,36.4,-0.03,0.104,0.377,0.487,-3.5,-11.6,11
97,Tulsa,-9.4,26.9,37.8,-0.007,0.136,0.4,0.464,-7.1,-10.9,12
98,Western Michigan,-9.4,22.4,35.1,-0.081,0.101,0.41,0.447,-4.5,-12.6,11
99,UAB,-9.6,23.9,32.5,-0.05,0.065,0.393,0.438,-11.2,-8.6,12
100,Air Force,-9.7,27.4,38.7,-0.019,0.156,0.447,0.451,-7.3,-11.3,11
101,Illinois,-10.0,20.9,30.1,-0.094,0.023,0.385,0.45,-11.2,-9.2,12
102,BYU,-10.2,19.6,30.2,-0.113,0.024,0.382,0.45,-9.6,-10.6,12
103,Florida International,-10.8,26.0,38.3,-0.02,0.126,0.399,0.503,-8.7,-12.2,12
104,Nevada,-10.9,23.7,36.0,-0.054,0.09,0.393,0.504,-8.8,-12.3,11
105,Georgia State,-11.5,21.6,34.2,-0.079,0.092,0.376,0.438,-9.8,-12.6,9
106,Cincinnati,-11.7,24.5,36.2,-0.047,0.113,0.406,0.463,-11.7,-11.7,11
107,UNLV,-12.0,25.7,40.3,-0.03,0.144,0.41,0.535,-8.1,-14.6,11
108,Western Kentucky,-12.8,23.5,36.0,-0.071,0.105,0.427,0.471,-13.4,-12.4,12
109,UConn,-13.2,23.0,36.8,-0.069,0.113,0.402,0.48,-12.4,-13.8,11
110,Oregon State,-13.3,26.1,37.7,-0.029,0.129,0.423,0.477,-15.8,-11.6,11
111,Kansas,-13.4,18.4,30.3,-0.114,0.032,0.339,0.435,-15.7,-11.9,11
112,Idaho,-13.8,16.3,31.1,-0.147,0.034,0.342,0.46,-12.3,-14.8,11
113,Georgia Southern,-14.0,20.6,33.8,-0.091,0.091,0.367,0.426,-15.1,-13.2,11
114,UL Monroe,-14.2,30.6,47.0,0.036,0.258,0.435,0.515,-10.8,-16.4,12
115,Akron,-14.3,15.3,34.1,-0.158,0.061,0.333,0.504,-7.7,-18.7,13
116,Coastal Carolina,-15.2,23.9,39.3,-0.05,0.142,0.391,0.504,-14.9,-15.4,11
117,South Alabama,-16.2,12.6,30.6,-0.209,0.026,0.351,0.459,-13.5,-18.0,11
118,New Mexico,-16.3,18.6,37.1,-0.118,0.138,0.356,0.433,-12.9,-18.5,11
119,Bowling Green,-16.5,25.2,44.2,-0.037,0.202,0.406,0.542,-12.8,-19.0,11
120,Louisiana,-18.0,23.6,42.7,-0.057,0.182,0.396,0.532,-16.5,-19.1,11
121,East Carolina,-18.1,26.4,48.7,-0.022,0.28,0.414,0.523,-11.8,-22.3,11
122,Hawai'i,-18.4,24.0,42.7,-0.048,0.202,0.391,0.488,-18.0,-18.7,11
123,Old Dominion,-19.5,15.1,35.8,-0.161,0.104,0.33,0.464,-17.8,-20.7,11
124,Texas State,-21.4,16.3,37.8,-0.148,0.133,0.344,0.47,-21.2,-21.5,10
125,Rice,-21.6,19.9,41.8,-0.107,0.176,0.378,0.514,-21.2,-21.9,12
126,Kent State,-22.5,9.4,33.4,-0.235,0.079,0.296,0.44,-20.1,-24.1,11
127,San José State,-26.4,13.1,41.5,-0.203,0.181,0.357,0.494,-23.3,-28.4,12
128,Charlotte,-27.0,9.4,39.6,-0.239,0.13,0.307,0.541,-22.3,-30.2,11
129,UTEP,-27.8,6.6,35.5,-0.28,0.098,0.3,0.471,-26.0,-28.9,12
130,Ball State,-27.8,14.0,44.5,-0.192,0.234,0.364,0.478,-23.8,-30.5,11
