rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,27.6,14-0,14,0,34.9,5.8,0.066,-0.16,0.457,0.306,25.3,29.1,13
2,Florida,26.9,13-1,13,1,44.2,14.5,0.147,-0.089,0.486,0.343,22.7,29.7,13
3,Texas,23.1,13-1,13,1,31.8,7.3,0.035,-0.159,0.458,0.34,21.0,24.4,14
4,TCU,22.8,12-1,12,1,32.2,7.1,0.033,-0.139,0.471,0.286,19.4,25.1,12
5,Boise State,17.6,14-0,14,0,32.2,13.0,0.045,-0.113,0.445,0.364,15.2,19.2,13
6,Oklahoma,17.3,8-5,8,5,26.3,7.4,0.003,-0.138,0.403,0.291,15.0,18.9,12
7,Virginia Tech,16.7,10-3,10,3,33.7,19.5,0.071,-0.036,0.417,0.338,20.5,14.1,13
8,LSU,15.7,9-4,9,4,31.8,14.0,0.051,-0.105,0.418,0.371,12.6,17.7,13
9,Ole Miss,15.7,9-4,9,4,31.4,13.6,0.041,-0.103,0.435,0.354,12.3,17.9,11
10,Arkansas,14.7,8-5,8,5,34.3,19.2,0.081,-0.068,0.409,0.405,14.1,15.1,12
11,BYU,14.5,11-2,11,2,40.3,21.5,0.105,-0.034,0.493,0.382,8.2,18.7,13
12,Oregon,14.4,10-3,10,3,33.2,18.5,0.063,-0.056,0.424,0.362,13.9,14.7,13
13,Miami,14.3,9-4,9,4,35.1,20.0,0.071,-0.046,0.451,0.373,13.2,15.1,12
14,Wisconsin,14.2,10-3,10,3,37.3,18.6,0.087,-0.048,0.465,0.344,7.4,18.7,12
15,Texas Tech,14.1,9-4,9,4,37.2,21.4,0.084,-0.035,0.469,0.38,11.7,15.8,12
16,Penn State,13.8,11-2,11,2,32.2,17.9,0.039,-0.057,0.457,0.35,13.1,14.3,12
17,Ohio State,12.8,11-2,11,2,25.1,13.4,-0.009,-0.098,0.404,0.338,14.3,11.7,13
18,Auburn,12.5,8-5,8,5,33.2,18.7,0.059,-0.072,0.434,0.404,9.5,14.5,12
19,Georgia,12.5,8-5,8,5,34.0,18.6,0.08,-0.065,0.404,0.385,8.2,15.4,12
20,Georgia Tech,12.2,11-3,11,3,38.1,27.5,0.101,0.014,0.451,0.408,14.8,10.5,13
