rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Indiana,32.3,45.9,11.0,0.264,-0.197,0.53,0.323,28.4,34.9,15
2,Ohio State,29.7,41.7,9.8,0.199,-0.218,0.53,0.326,26.3,31.9,13
3,Notre Dame,27.5,41.9,11.5,0.217,-0.198,0.496,0.345,23.1,30.4,12
4,Oregon,26.4,41.3,12.1,0.201,-0.185,0.509,0.336,22.1,29.2,14
5,Miami,25.1,36.1,9.1,0.123,-0.224,0.501,0.316,22.2,27.0,15
6,Texas Tech,24.3,31.5,6.7,0.082,-0.262,0.424,0.315,23.6,24.8,13
7,Utah,21.8,41.7,19.0,0.216,-0.099,0.488,0.388,20.4,22.7,12
8,Ole Miss,20.2,42.9,20.3,0.227,-0.068,0.507,0.364,16.6,22.6,14
9,Georgia,19.9,36.6,15.3,0.138,-0.139,0.481,0.345,18.0,21.2,13
10,Texas A&M,19.6,39.9,18.5,0.179,-0.078,0.508,0.32,17.0,21.4,12
11,Vanderbilt,19.5,49.1,27.2,0.318,0.022,0.522,0.411,16.0,21.8,12
12,Washington,18.9,36.6,15.3,0.137,-0.148,0.486,0.365,15.2,21.4,12
13,Alabama,17.9,36.0,15.3,0.136,-0.142,0.466,0.354,13.7,20.7,14
14,SMU,16.8,36.6,16.6,0.145,-0.135,0.466,0.385,12.0,20.0,12
15,USC,16.5,41.5,23.9,0.212,-0.043,0.491,0.439,14.7,17.7,13
16,BYU,16.2,34.8,18.0,0.109,-0.117,0.484,0.393,15.3,16.9,13
17,Oklahoma,16.1,25.7,7.4,-0.01,-0.239,0.424,0.286,12.8,18.3,12
18,Penn State,15.2,36.3,19.6,0.135,-0.09,0.48,0.389,12.9,16.7,12
19,Iowa,14.9,27.4,12.9,0.01,-0.188,0.441,0.369,15.4,14.5,12
20,Missouri,14.3,30.2,12.4,0.048,-0.172,0.456,0.315,9.0,17.7,12
21,Texas,13.6,31.9,17.3,0.084,-0.113,0.433,0.358,12.1,14.6,13
22,Tennessee,13.1,40.1,24.7,0.179,-0.031,0.515,0.44,9.6,15.4,12
23,James Madison,12.8,29.5,15.6,0.046,-0.12,0.435,0.312,11.1,13.9,13
24,Auburn,12.7,29.4,13.0,0.033,-0.178,0.461,0.351,7.1,16.4,11
25,South Florida,12.5,35.9,22.7,0.129,-0.04,0.477,0.387,11.6,13.2,12
26,Arizona,11.5,28.5,17.2,0.031,-0.12,0.434,0.371,11.9,11.3,12
27,Louisville,11.3,30.5,17.7,0.043,-0.109,0.478,0.364,9.0,12.8,12
28,Michigan,11.2,32.5,20.7,0.082,-0.078,0.462,0.401,10.2,11.8,13
29,Florida State,11.1,38.5,24.2,0.159,-0.026,0.504,0.41,6.3,14.3,11
30,Pittsburgh,10.5,28.4,16.2,0.033,-0.128,0.424,0.352,8.0,12.2,12
31,Kansas State,10.2,31.9,20.2,0.091,-0.082,0.419,0.394,8.1,11.7,11
32,North Texas,10.1,41.9,31.6,0.203,0.072,0.524,0.452,9.7,10.3,13
33,TCU,9.8,29.8,19.4,0.047,-0.088,0.443,0.377,8.8,10.4,12
34,Virginia,9.4,25.1,15.7,-0.015,-0.135,0.415,0.351,9.4,9.4,13
35,Arkansas,9.1,41.8,29.1,0.197,0.04,0.538,0.436,3.7,12.8,11
36,Clemson,9.0,29.6,18.9,0.047,-0.088,0.438,0.359,6.3,10.7,12
37,Illinois,8.8,31.3,24.4,0.057,-0.027,0.474,0.422,11.7,6.8,12
38,Old Dominion,8.6,27.4,17.3,0.012,-0.127,0.437,0.391,6.3,10.1,12
39,Iowa State,8.3,29.9,21.3,0.039,-0.068,0.466,0.401,7.8,8.6,11
40,NC State,8.3,33.5,24.0,0.106,-0.017,0.441,0.381,6.5,9.5,12
41,Georgia Tech,8.2,37.2,27.8,0.132,0.018,0.518,0.439,6.3,9.4,12
42,Wake Forest,8.1,26.0,15.2,0.007,-0.141,0.398,0.344,3.8,10.9,12
43,South Carolina,7.9,27.9,17.2,0.018,-0.132,0.441,0.4,3.8,10.6,11
44,LSU,7.6,22.5,14.4,-0.054,-0.157,0.41,0.351,6.7,8.2,12
45,Washington State,6.6,26.9,20.5,-0.004,-0.081,0.455,0.402,7.0,6.4,12
46,Toledo,6.4,25.9,18.4,-0.0,-0.111,0.41,0.396,4.8,7.5,12
47,Florida,6.3,30.7,22.6,0.052,-0.046,0.465,0.398,3.8,8.1,11
48,Arizona State,6.0,24.9,19.2,-0.014,-0.095,0.405,0.388,6.5,5.6,12
49,East Carolina,5.5,26.4,21.1,-0.005,-0.073,0.44,0.405,5.8,5.3,12
50,Baylor,5.0,33.5,25.8,0.094,-0.011,0.472,0.435,1.1,7.7,11
51,Cincinnati,4.6,34.7,28.5,0.119,0.032,0.457,0.435,2.3,6.2,12
52,Duke,4.5,34.2,30.6,0.106,0.061,0.471,0.442,5.8,3.7,13
53,Tulane,4.5,28.6,24.1,0.03,-0.038,0.439,0.435,4.4,4.5,14
54,Boise State,4.4,24.8,19.9,-0.011,-0.073,0.396,0.361,3.6,5.0,13
55,Kansas,4.3,36.3,31.3,0.125,0.079,0.501,0.426,3.1,5.0,11
56,Navy,3.2,31.7,28.0,0.07,0.035,0.461,0.407,2.5,3.7,11
57,San Diego State,3.0,20.1,17.7,-0.088,-0.123,0.4,0.396,3.8,2.4,12
58,Kentucky,2.8,24.3,20.8,-0.041,-0.075,0.445,0.401,1.9,3.5,11
59,Houston,2.3,28.1,27.8,0.012,0.015,0.462,0.449,5.5,0.2,12
60,Mississippi State,2.2,28.4,25.5,0.025,-0.007,0.442,0.414,1.1,2.9,12
61,UTSA,2.0,26.2,24.1,-0.001,-0.02,0.424,0.393,1.8,2.1,12
62,Memphis,1.8,29.5,28.4,0.045,0.041,0.436,0.408,2.9,1.1,12
63,Northwestern,1.5,25.5,26.0,-0.01,-0.014,0.42,0.448,4.3,-0.5,12
64,Texas State,0.9,35.3,33.4,0.128,0.099,0.458,0.457,-0.5,1.9,12
65,Nebraska,0.8,28.3,27.8,0.021,0.024,0.45,0.427,1.2,0.5,12
66,Wisconsin,0.5,22.0,22.2,-0.055,-0.058,0.394,0.411,1.6,-0.2,12
67,Michigan State,0.5,26.7,25.2,0.004,-0.016,0.429,0.423,-1.0,1.5,11
68,New Mexico,0.4,24.9,24.8,-0.01,-0.018,0.397,0.412,0.8,0.2,11
69,UNLV,-0.2,33.8,34.5,0.108,0.112,0.449,0.467,0.5,-0.7,13
70,UCLA,-0.4,27.5,27.1,0.018,0.0,0.427,0.456,-1.6,0.4,12
71,UCF,-0.7,23.2,23.1,-0.04,-0.052,0.404,0.431,-2.0,0.1,11
72,Virginia Tech,-1.1,32.2,30.5,0.084,0.067,0.443,0.426,-5.2,1.7,11
73,Stanford,-1.8,23.1,23.1,-0.039,-0.035,0.398,0.39,-4.6,0.0,12
74,Maryland,-2.1,21.7,24.2,-0.054,-0.041,0.381,0.446,-1.4,-2.5,11
75,Rutgers,-2.2,33.0,38.0,0.088,0.168,0.466,0.466,2.1,-5.0,11
76,Army,-2.4,24.7,28.6,-0.013,0.021,0.395,0.462,-0.1,-3.9,11
77,Colorado,-3.0,23.3,26.5,-0.025,0.009,0.372,0.413,-2.6,-3.2,12
78,Minnesota,-3.3,22.6,28.4,-0.042,0.028,0.387,0.437,0.3,-5.7,11
79,California,-3.5,25.4,28.7,-0.013,0.036,0.423,0.43,-3.9,-3.2,12
80,Utah State,-3.6,25.4,29.8,0.0,0.049,0.388,0.443,-2.3,-4.4,12
81,West Virginia,-3.7,21.3,25.5,-0.059,-0.006,0.377,0.411,-2.9,-4.2,11
82,Purdue,-3.7,25.3,29.7,-0.017,0.045,0.428,0.446,-2.7,-4.4,11
83,Western Michigan,-3.8,17.7,23.3,-0.118,-0.04,0.381,0.41,-1.1,-5.6,13
84,Boston College,-4.5,28.3,30.5,0.026,0.071,0.439,0.415,-7.9,-2.1,11
85,Marshall,-4.5,24.0,28.1,-0.033,0.033,0.416,0.415,-5.2,-4.1,11
86,Ohio,-4.8,22.9,29.6,-0.046,0.034,0.404,0.468,-2.1,-6.7,12
87,Fresno State,-4.9,16.3,23.0,-0.131,-0.042,0.363,0.404,-2.2,-6.7,12
88,Hawai'i,-5.3,24.2,32.0,-0.023,0.077,0.402,0.458,-1.7,-7.8,12
89,Louisiana Tech,-6.2,20.0,27.5,-0.078,0.019,0.373,0.427,-4.1,-7.5,12
90,North Carolina,-6.7,22.2,27.9,-0.057,0.026,0.406,0.424,-8.4,-5.6,11
91,Western Kentucky,-6.8,21.1,29.1,-0.074,0.046,0.404,0.422,-5.1,-8.0,12
92,UConn,-7.7,28.0,37.3,0.028,0.135,0.421,0.517,-5.2,-9.3,12
93,Kennesaw State,-7.7,23.2,34.0,-0.037,0.101,0.395,0.476,-3.0,-10.8,13
94,Southern Miss,-8.6,20.5,29.8,-0.064,0.041,0.361,0.46,-7.7,-9.2,12
95,Troy,-9.4,15.0,26.5,-0.149,0.003,0.355,0.428,-6.2,-11.5,13
96,Central Michigan,-9.5,20.0,30.2,-0.075,0.044,0.366,0.469,-8.4,-10.2,12
97,Miami (OH),-9.8,17.1,29.1,-0.118,0.037,0.358,0.443,-6.4,-12.0,13
98,San José State,-10.0,25.2,33.0,-0.018,0.092,0.427,0.462,-13.3,-7.8,11
99,Temple,-10.2,24.0,35.7,-0.026,0.136,0.399,0.458,-7.9,-11.7,11
100,Syracuse,-10.9,18.3,30.0,-0.115,0.064,0.397,0.414,-9.7,-11.7,11
101,Florida Atlantic,-10.9,23.7,34.0,-0.027,0.106,0.392,0.464,-11.9,-10.3,11
102,Liberty,-11.0,24.0,36.0,-0.034,0.133,0.418,0.474,-9.4,-12.0,11
103,Jacksonville State,-11.1,21.0,33.9,-0.066,0.099,0.384,0.475,-8.5,-12.9,13
104,Wyoming,-11.2,11.9,23.5,-0.189,-0.034,0.334,0.401,-10.8,-11.5,11
105,Oregon State,-11.3,18.8,29.0,-0.111,0.055,0.406,0.398,-13.0,-10.2,11
106,Florida International,-11.6,17.9,30.6,-0.102,0.054,0.353,0.459,-10.0,-12.6,12
107,Georgia Southern,-11.9,26.1,39.8,0.003,0.173,0.408,0.522,-9.3,-13.7,12
108,South Alabama,-11.9,21.6,34.4,-0.059,0.12,0.388,0.447,-10.6,-12.8,11
109,Tulsa,-12.0,19.0,30.3,-0.102,0.055,0.391,0.444,-13.0,-11.3,11
110,Colorado State,-12.1,23.8,35.6,-0.026,0.128,0.391,0.47,-12.6,-11.8,11
111,Missouri State,-12.3,21.9,36.7,-0.046,0.152,0.369,0.456,-8.6,-14.7,12
112,Air Force,-12.4,30.3,46.3,0.057,0.276,0.438,0.522,-7.0,-16.1,11
113,Oklahoma State,-12.8,16.4,30.0,-0.129,0.059,0.358,0.424,-11.6,-13.6,11
114,Eastern Michigan,-13.2,25.3,38.4,-0.004,0.166,0.397,0.487,-13.4,-13.1,11
115,Delaware,-13.4,22.4,37.0,-0.046,0.155,0.39,0.462,-11.6,-14.6,12
116,Coastal Carolina,-13.5,17.9,33.9,-0.104,0.101,0.356,0.47,-9.8,-15.9,12
117,Arkansas State,-13.5,14.8,31.5,-0.161,0.069,0.375,0.459,-8.8,-16.7,12
118,Nevada,-14.0,16.8,31.7,-0.127,0.074,0.37,0.451,-12.8,-14.8,11
119,Louisiana,-14.1,18.0,34.5,-0.109,0.103,0.372,0.49,-10.4,-16.6,12
120,App State,-14.9,17.6,34.9,-0.117,0.108,0.374,0.493,-11.2,-17.4,12
121,UAB,-15.0,21.3,36.2,-0.068,0.133,0.397,0.481,-15.2,-14.9,11
122,Georgia State,-15.2,21.1,35.5,-0.07,0.127,0.395,0.469,-16.3,-14.4,11
123,Middle Tennessee,-15.6,21.8,37.3,-0.059,0.147,0.397,0.491,-15.7,-15.5,11
124,New Mexico State,-16.6,11.2,29.3,-0.205,0.028,0.346,0.473,-14.5,-18.1,11
125,Buffalo,-17.6,11.0,31.2,-0.201,0.062,0.328,0.462,-13.7,-20.2,11
126,UL Monroe,-17.9,15.5,33.2,-0.135,0.101,0.34,0.446,-18.1,-17.7,11
127,Kent State,-18.1,16.7,37.7,-0.112,0.145,0.329,0.509,-13.7,-21.0,11
128,Bowling Green,-18.5,11.0,32.5,-0.196,0.085,0.318,0.459,-14.1,-21.5,11
129,Rice,-19.6,10.1,32.4,-0.206,0.099,0.308,0.422,-15.5,-22.3,12
130,UTEP,-20.4,6.5,28.6,-0.26,0.033,0.3,0.434,-17.8,-22.1,11
131,Akron,-20.9,13.0,36.9,-0.175,0.142,0.341,0.487,-16.4,-23.9,11
132,Northern Illinois,-20.9,14.1,38.9,-0.147,0.163,0.316,0.513,-15.1,-24.8,11
133,Charlotte,-22.7,9.4,32.4,-0.228,0.057,0.333,0.52,-22.3,-23.0,11
134,Ball State,-23.2,6.8,33.3,-0.242,0.084,0.267,0.489,-18.2,-26.5,11
135,Sam Houston,-27.0,10.1,40.8,-0.221,0.185,0.341,0.532,-21.6,-30.7,12
