rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,30.9,13-1,13,1,46.0,13.0,0.138,-0.108,0.493,0.313,27.9,33.0,13
2,Texas A&M,27.1,11-2,11,2,50.7,22.3,0.178,-0.054,0.51,0.4,25.1,28.5,11
3,Florida State,23.9,12-2,12,2,43.2,13.3,0.111,-0.116,0.492,0.339,14.9,29.9,12
4,Oregon,21.9,12-1,12,1,41.4,22.4,0.1,-0.063,0.476,0.423,26.2,19.0,12
5,Notre Dame,17.4,12-1,12,1,41.2,22.6,0.092,-0.049,0.489,0.396,15.6,18.6,13
6,Nebraska,16.6,10-4,10,4,41.3,19.2,0.098,-0.068,0.478,0.362,8.3,22.1,13
7,Georgia,16.2,12-2,12,2,38.7,24.5,0.081,-0.017,0.459,0.364,19.3,14.2,13
8,Clemson,16.2,11-2,11,2,39.9,22.6,0.09,-0.038,0.466,0.371,14.4,17.3,12
9,Oklahoma,16.0,10-3,10,3,39.9,22.9,0.077,-0.026,0.495,0.351,14.5,16.9,12
10,South Carolina,15.9,11-2,11,2,31.8,16.5,0.037,-0.094,0.403,0.361,16.6,15.3,12
11,Florida,15.4,11-2,11,2,29.2,15.9,0.004,-0.094,0.421,0.346,18.3,13.4,12
12,LSU,15.3,10-3,10,3,31.2,16.7,0.019,-0.087,0.434,0.35,16.5,14.5,12
13,Ohio State,14.7,12-0,12,0,36.5,19.4,0.064,-0.065,0.45,0.361,11.1,17.1,12
14,Kansas State,13.7,11-2,11,2,37.9,27.1,0.071,-0.012,0.464,0.414,18.0,10.8,12
15,Oklahoma State,13.3,8-5,8,5,37.0,24.6,0.062,-0.03,0.465,0.397,14.6,12.5,12
16,Baylor,13.1,8-5,8,5,42.7,28.7,0.108,-0.001,0.488,0.423,11.7,14.1,12
17,Texas Tech,13.0,8-5,8,5,44.0,26.0,0.114,-0.015,0.504,0.396,5.4,18.0,12
18,Michigan State,13.0,7-6,7,6,26.9,9.1,-0.005,-0.145,0.391,0.31,5.6,17.9,13
19,Stanford,12.9,12-2,12,2,29.2,17.5,0.013,-0.078,0.399,0.346,14.7,11.7,14
20,Ole Miss,12.5,7-6,7,6,33.5,19.0,0.035,-0.082,0.447,0.39,9.4,14.5,11
21,BYU,12.2,8-5,8,5,31.3,18.0,0.023,-0.067,0.423,0.331,10.6,13.3,12
22,TCU,12.1,7-6,7,6,27.9,12.9,-0.002,-0.12,0.406,0.34,7.8,15.0,12
23,Arizona State,11.1,8-5,8,5,29.6,18.4,0.001,-0.064,0.437,0.334,10.9,11.2,12
24,Pittsburgh,11.0,6-7,6,7,37.1,22.5,0.084,-0.053,0.415,0.402,5.6,14.6,11
25,North Carolina,10.6,8-4,8,4,41.7,26.3,0.107,-0.015,0.468,0.4,3.2,15.5,11
26,Wisconsin,10.1,8-6,8,6,30.7,21.5,0.019,-0.045,0.42,0.36,11.4,9.2,13
27,Oregon State,9.8,9-4,9,4,29.7,22.0,0.006,-0.047,0.426,0.378,13.1,7.7,12
28,Georgia Tech,9.6,7-7,7,7,40.9,28.0,0.094,-0.001,0.479,0.409,4.6,12.9,13
29,Michigan,9.4,8-5,8,5,33.6,24.0,0.038,-0.036,0.44,0.397,9.0,9.6,13
30,Penn State,9.3,8-4,8,4,30.5,20.5,0.021,-0.061,0.412,0.376,8.2,10.0,12
31,Texas,9.2,9-4,9,4,34.6,26.6,0.048,-0.004,0.442,0.382,11.0,8.0,13
32,Utah State,9.1,11-2,11,2,28.7,22.1,0.003,-0.052,0.411,0.392,12.8,6.6,12
33,UCLA,7.7,9-5,9,5,31.8,24.6,0.029,-0.026,0.42,0.388,8.5,7.1,14
34,Syracuse,7.6,8-5,8,5,37.4,29.3,0.077,0.005,0.439,0.424,6.9,8.1,12
35,San José State,7.3,11-2,11,2,30.2,23.5,0.016,-0.045,0.416,0.408,8.2,6.7,12
36,Louisville,7.3,11-2,11,2,37.5,28.3,0.079,-0.013,0.437,0.442,4.4,9.2,12
37,UCF,6.5,10-4,10,4,33.9,27.0,0.043,-0.019,0.438,0.426,5.9,6.9,14
38,Tennessee,6.3,5-7,5,7,35.9,27.5,0.049,-0.002,0.469,0.4,3.3,8.4,11
39,Virginia Tech,6.2,7-6,7,6,19.8,10.6,-0.067,-0.136,0.371,0.323,1.8,9.2,12
40,Tulsa,6.2,11-3,11,3,25.8,18.4,-0.018,-0.069,0.394,0.345,4.2,7.4,13
41,Arkansas,6.1,4-8,4,8,36.5,27.5,0.06,-0.001,0.459,0.396,1.8,9.0,11
42,West Virginia,6.1,7-6,7,6,37.1,29.2,0.067,0.018,0.456,0.391,3.4,7.9,12
43,Fresno State,6.0,9-4,9,4,24.4,19.6,-0.035,-0.063,0.401,0.359,7.8,4.8,12
44,USC,5.7,7-6,7,6,28.5,26.3,-0.004,-0.026,0.425,0.427,10.8,2.3,13
45,Boise State,5.1,11-2,11,2,28.6,25.7,-0.002,-0.02,0.423,0.399,8.5,2.9,13
46,San Diego State,5.1,9-4,9,4,31.7,25.8,0.029,-0.028,0.42,0.42,3.8,5.9,12
47,Washington,5.1,7-6,7,6,25.5,20.1,-0.017,-0.065,0.385,0.375,4.6,5.4,12
48,Arizona,4.9,8-5,8,5,39.2,36.7,0.087,0.065,0.458,0.452,8.5,2.5,12
49,Arkansas State,4.7,10-3,10,3,36.2,30.9,0.054,0.017,0.464,0.432,3.7,5.3,12
50,Northwestern,4.6,10-3,10,3,31.4,28.9,0.024,-0.0,0.426,0.428,7.7,2.5,12
51,Mississippi State,4.1,8-5,8,5,29.8,27.1,-0.005,-0.015,0.455,0.419,6.2,2.7,12
52,Vanderbilt,3.7,9-4,9,4,22.8,22.8,-0.045,-0.047,0.388,0.395,9.3,0.0,12
53,Louisiana,3.5,9-4,9,4,36.3,32.1,0.068,0.027,0.434,0.435,2.3,4.2,12
54,Missouri,2.7,5-7,5,7,23.6,22.4,-0.046,-0.038,0.408,0.367,5.0,1.2,11
55,NC State,2.7,7-6,7,6,24.9,19.5,-0.029,-0.066,0.398,0.365,-1.4,5.4,12
56,Cincinnati,2.6,10-3,10,3,29.4,31.2,0.019,0.016,0.39,0.44,9.2,-1.7,11
57,California,2.3,3-9,3,9,33.0,28.1,0.037,-0.005,0.431,0.419,-1.5,4.9,11
58,Rutgers,1.5,9-4,9,4,15.8,16.0,-0.093,-0.108,0.339,0.382,4.2,-0.3,12
59,Virginia,1.3,4-8,4,8,28.0,21.0,0.007,-0.061,0.387,0.387,-7.2,7.1,11
60,SMU,1.2,7-6,7,6,24.7,23.3,-0.03,-0.03,0.396,0.368,0.8,1.4,11
61,Northern Illinois,0.7,12-2,12,2,25.9,27.8,-0.022,-0.016,0.404,0.439,4.6,-1.9,12
62,Louisiana Tech,0.5,9-3,9,3,36.1,39.4,0.054,0.1,0.461,0.435,6.3,-3.4,12
63,Nevada,0.2,7-6,7,6,37.2,35.6,0.067,0.057,0.457,0.447,-1.7,1.5,12
64,Miami,-0.8,7-5,7,5,30.6,34.0,0.022,0.041,0.412,0.445,3.1,-3.4,11
65,Western Kentucky,-0.8,7-6,7,6,29.0,28.2,0.012,-0.0,0.398,0.411,-3.2,0.8,12
66,Troy,-1.3,5-7,5,7,32.3,31.3,0.028,0.035,0.436,0.4,-4.7,1.0,12
67,Florida International,-2.9,3-9,3,9,27.0,25.0,0.005,-0.017,0.369,0.377,-10.3,2.0,12
68,Iowa State,-3.0,6-7,6,7,22.5,30.4,-0.048,0.018,0.387,0.418,4.5,-7.9,12
69,Duke,-3.3,6-7,6,7,29.7,33.0,0.011,0.034,0.417,0.44,-3.4,-3.3,12
70,Auburn,-4.7,3-9,3,9,25.3,31.8,-0.026,0.03,0.4,0.422,-2.1,-6.5,11
71,Marshall,-4.8,5-7,5,7,32.7,34.2,0.036,0.04,0.427,0.455,-9.8,-1.5,11
72,Air Force,-4.9,6-7,6,7,28.6,30.8,0.001,0.012,0.415,0.443,-9.0,-2.2,12
73,Utah,-5.1,5-7,5,7,20.8,30.6,-0.053,0.023,0.36,0.413,2.1,-9.9,11
74,Washington State,-5.1,3-9,3,9,23.7,27.7,-0.034,-0.021,0.381,0.446,-6.8,-4.0,11
75,Rice,-5.1,7-6,7,6,29.7,35.0,0.012,0.067,0.413,0.41,-4.9,-5.3,13
76,Ball State,-5.2,9-4,9,4,31.3,38.3,0.017,0.088,0.439,0.436,-2.6,-6.9,13
77,Kent State,-5.2,11-3,11,3,21.3,31.0,-0.044,0.013,0.35,0.444,1.6,-9.7,13
78,UConn,-5.4,5-7,5,7,16.1,21.1,-0.092,-0.05,0.345,0.364,-6.1,-4.9,12
79,Bowling Green,-5.4,8-5,8,5,15.0,22.5,-0.107,-0.046,0.356,0.387,-2.4,-7.5,12
80,Toledo,-5.8,9-4,9,4,29.3,38.1,0.005,0.076,0.421,0.459,-1.4,-8.8,12
81,UL Monroe,-5.8,8-5,8,5,24.5,33.4,-0.029,0.036,0.391,0.445,-1.2,-8.9,12
82,Minnesota,-6.1,6-7,6,7,21.3,27.7,-0.06,-0.011,0.389,0.426,-5.6,-6.5,12
83,East Carolina,-6.1,8-5,8,5,31.3,36.6,0.026,0.069,0.419,0.441,-7.5,-5.3,11
84,Indiana,-6.4,4-8,4,8,27.2,34.3,-0.006,0.048,0.397,0.437,-5.4,-7.1,11
85,Purdue,-6.5,6-7,6,7,22.9,30.7,-0.041,0.017,0.381,0.427,-4.6,-7.8,12
86,Ohio,-6.6,9-4,9,4,27.5,34.9,0.01,0.048,0.367,0.452,-5.3,-7.4,10
87,Boston College,-6.8,2-10,2,10,25.9,31.1,-0.017,0.012,0.395,0.449,-9.2,-5.2,11
88,Maryland,-7.3,4-8,4,8,14.0,21.4,-0.107,-0.059,0.332,0.392,-7.2,-7.4,11
89,South Florida,-7.4,3-9,3,9,27.1,35.2,-0.006,0.053,0.396,0.446,-6.3,-8.1,11
90,Houston,-7.7,5-7,5,7,21.0,28.0,-0.056,-0.007,0.374,0.423,-8.8,-7.0,12
91,Memphis,-8.1,4-8,4,8,20.6,26.0,-0.052,-0.015,0.355,0.394,-12.3,-5.3,11
92,Navy,-8.1,8-5,8,5,31.7,42.3,0.017,0.09,0.449,0.523,-4.5,-10.5,12
93,Western Michigan,-8.2,4-8,4,8,26.7,32.4,-0.022,0.033,0.424,0.429,-11.8,-5.7,11
94,Iowa,-8.2,4-8,4,8,19.4,30.7,-0.07,0.022,0.368,0.417,-3.5,-11.3,11
95,South Alabama,-9.3,2-11,2,11,17.2,21.5,-0.091,-0.047,0.368,0.365,-16.8,-4.3,12
96,Buffalo,-9.7,4-8,4,8,14.6,23.1,-0.101,-0.042,0.331,0.391,-11.5,-8.5,10
97,Middle Tennessee,-9.8,8-4,8,4,26.6,41.2,-0.02,0.102,0.416,0.47,-2.4,-14.7,11
98,Army,-9.8,2-10,2,10,33.5,40.5,0.043,0.097,0.43,0.465,-14.1,-6.9,11
99,Kansas,-9.8,1-11,1,11,24.1,35.3,-0.033,0.057,0.39,0.438,-7.8,-11.2,11
100,Colorado State,-10.0,4-8,4,8,23.3,32.3,-0.04,0.029,0.389,0.436,-11.6,-9.0,11
101,Florida Atlantic,-10.1,3-9,3,9,22.8,33.0,-0.041,0.037,0.379,0.432,-10.1,-10.1,11
102,UAB,-10.4,3-9,3,9,27.5,34.2,-0.002,0.049,0.397,0.433,-16.0,-6.6,11
103,Wake Forest,-10.4,5-7,5,7,17.7,28.6,-0.083,0.006,0.361,0.405,-9.7,-10.9,11
104,UTEP,-10.5,3-9,3,9,25.8,35.5,-0.016,0.056,0.389,0.446,-11.6,-9.7,11
105,Kentucky,-11.0,2-10,2,10,20.9,34.5,-0.054,0.041,0.365,0.458,-7.0,-13.6,11
106,Illinois,-11.2,2-10,2,10,22.2,31.0,-0.064,0.011,0.419,0.448,-14.9,-8.8,11
107,Tulane,-12.2,2-10,2,10,22.4,31.3,-0.047,0.017,0.382,0.44,-17.2,-8.9,9
108,Temple,-12.7,4-7,4,7,25.1,39.7,-0.022,0.091,0.387,0.462,-9.8,-14.6,10
109,Idaho,-13.6,1-11,1,11,23.3,34.0,-0.034,0.036,0.374,0.458,-18.0,-10.7,11
110,Central Michigan,-13.7,7-6,7,6,22.6,37.6,-0.05,0.075,0.395,0.45,-11.8,-15.0,11
111,Hawai'i,-14.0,3-9,3,9,12.5,24.7,-0.115,-0.027,0.317,0.393,-16.8,-12.2,11
112,UNLV,-14.5,2-11,2,11,18.7,33.6,-0.074,0.041,0.363,0.439,-13.8,-14.9,12
113,Wyoming,-14.7,4-8,4,8,25.0,43.0,-0.019,0.124,0.379,0.46,-9.7,-18.0,11
114,New Mexico,-14.9,4-9,4,9,25.1,42.3,-0.024,0.111,0.392,0.476,-11.4,-17.3,12
115,North Texas,-15.3,4-8,4,8,15.2,34.2,-0.11,0.045,0.367,0.442,-9.9,-18.9,11
116,Southern Miss,-15.5,0-12,0,12,23.4,35.5,-0.035,0.049,0.377,0.464,-20.6,-12.1,11
117,Texas State,-16.7,4-8,4,8,21.4,43.3,-0.058,0.125,0.386,0.465,-9.0,-21.9,11
118,UTSA,-17.0,8-4,8,4,18.8,38.5,-0.078,0.071,0.373,0.482,-12.8,-19.7,8
119,Akron,-17.7,1-11,1,11,21.9,38.7,-0.049,0.078,0.378,0.47,-19.1,-16.8,9
120,Eastern Michigan,-19.2,2-10,2,10,17.6,38.1,-0.088,0.073,0.369,0.468,-17.2,-20.5,11
121,Miami (OH),-19.3,4-8,4,8,23.9,46.1,-0.025,0.132,0.367,0.512,-14.9,-22.3,11
122,New Mexico State,-21.5,1-11,1,11,16.4,36.2,-0.096,0.061,0.362,0.45,-24.1,-19.7,10
123,Colorado,-23.1,1-11,1,11,13.7,42.8,-0.114,0.115,0.342,0.475,-14.3,-29.0,11
124,Massachusetts,-31.8,1-11,1,11,6.5,43.6,-0.171,0.111,0.31,0.503,-24.0,-37.0,9
