rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Georgia,32.5,41.9,6.2,0.189,-0.292,0.531,0.303,27.5,35.8,14
2,Alabama,26.2,41.8,12.3,0.195,-0.21,0.515,0.344,21.2,29.5,14
3,Ohio State,24.1,48.8,21.3,0.293,-0.093,0.549,0.412,18.9,27.5,13
4,Oklahoma State,18.9,29.2,8.7,0.011,-0.259,0.465,0.32,16.4,20.5,13
5,Michigan,18.8,36.8,18.0,0.121,-0.124,0.494,0.358,18.7,18.8,14
6,Utah,16.9,37.0,18.5,0.128,-0.124,0.485,0.379,14.6,18.4,13
7,Cincinnati,16.8,35.7,18.4,0.103,-0.137,0.494,0.404,16.1,17.2,13
8,Notre Dame,16.7,34.1,16.8,0.094,-0.155,0.456,0.385,15.8,17.3,13
9,Wisconsin,16.2,29.5,10.6,0.013,-0.222,0.471,0.309,12.1,18.8,13
10,Arkansas,14.8,36.8,19.7,0.138,-0.105,0.457,0.381,11.3,17.1,12
11,Iowa State,14.5,37.3,21.3,0.136,-0.086,0.48,0.394,12.3,16.0,12
12,Texas A&M,14.4,28.5,11.5,0.006,-0.227,0.449,0.353,10.6,17.0,11
13,Oklahoma,13.8,40.1,25.0,0.176,-0.032,0.494,0.41,11.8,15.1,12
14,Baylor,13.8,31.3,17.6,0.054,-0.122,0.443,0.338,14.0,13.7,13
15,NC State,13.3,30.4,15.5,0.053,-0.15,0.412,0.325,10.9,14.9,11
16,Ole Miss,13.1,37.1,22.8,0.127,-0.082,0.494,0.444,11.3,14.3,12
17,Kansas State,12.0,36.3,23.2,0.125,-0.05,0.47,0.384,10.4,13.1,12
18,Pittsburgh,11.9,30.1,18.5,0.028,-0.131,0.462,0.393,12.2,11.7,13
19,Tennessee,11.9,40.6,26.2,0.178,-0.007,0.507,0.398,8.1,14.4,12
20,Penn State,11.5,27.0,15.6,-0.008,-0.17,0.425,0.375,11.6,11.4,12
21,Auburn,11.4,33.4,19.1,0.079,-0.122,0.464,0.396,7.2,14.3,12
22,Arizona State,11.3,35.0,20.7,0.096,-0.098,0.485,0.403,6.8,14.2,12
23,Purdue,11.1,34.5,21.6,0.088,-0.078,0.489,0.389,8.3,12.9,13
24,UCLA,10.8,40.0,27.9,0.178,0.002,0.484,0.442,9.0,12.1,12
25,Nebraska,10.8,36.9,23.0,0.129,-0.068,0.48,0.419,6.2,13.8,11
26,Mississippi State,10.7,36.1,21.8,0.099,-0.071,0.522,0.379,5.1,14.4,12
27,Kentucky,10.4,33.9,23.7,0.061,-0.065,0.525,0.438,10.7,10.1,12
28,Clemson,10.0,22.7,13.9,-0.069,-0.187,0.406,0.351,11.9,8.8,12
29,Boise State,9.7,29.7,20.6,0.026,-0.095,0.447,0.389,10.6,9.1,12
30,Michigan State,9.4,31.7,24.0,0.067,-0.053,0.428,0.422,12.0,7.7,12
31,Florida,9.0,32.1,20.7,0.055,-0.094,0.473,0.391,5.3,11.4,12
32,Wake Forest,8.9,35.2,27.9,0.109,-0.002,0.465,0.451,11.2,7.3,13
33,BYU,8.6,39.3,29.8,0.159,0.021,0.504,0.467,7.1,9.6,12
34,Oregon,8.5,35.5,25.2,0.099,-0.04,0.5,0.437,5.9,10.3,13
35,Minnesota,8.5,29.2,20.7,0.023,-0.087,0.437,0.376,8.4,8.5,13
36,Air Force,8.4,33.8,26.0,0.086,-0.014,0.462,0.405,9.5,7.8,12
37,LSU,8.3,32.6,22.0,0.076,-0.077,0.442,0.402,4.8,10.6,12
38,Houston,8.1,27.2,19.8,-0.002,-0.101,0.419,0.376,9.2,7.4,13
39,Texas,8.1,36.4,26.8,0.124,-0.013,0.477,0.433,5.7,9.7,12
40,Oregon State,7.8,38.6,28.6,0.151,0.017,0.496,0.432,4.4,10.0,12
41,Louisville,7.3,38.3,29.0,0.162,0.028,0.459,0.423,4.4,9.3,12
42,Western Kentucky,7.3,36.4,30.0,0.114,0.023,0.499,0.47,8.7,6.4,13
43,Florida State,7.2,31.4,20.9,0.063,-0.089,0.426,0.388,2.3,10.5,11
44,App State,6.8,27.7,21.1,0.0,-0.082,0.434,0.379,7.1,6.6,13
45,Fresno State,6.6,29.8,22.4,0.022,-0.075,0.464,0.41,5.2,7.5,12
46,UAB,6.0,33.1,25.6,0.086,-0.025,0.438,0.413,3.6,7.6,12
47,Coastal Carolina,5.1,36.7,30.4,0.123,0.037,0.488,0.453,3.4,6.3,12
48,Miami,4.8,31.0,25.0,0.052,-0.024,0.438,0.391,2.9,6.0,11
49,Iowa,4.6,19.7,17.3,-0.108,-0.138,0.384,0.365,7.9,2.4,14
50,Washington State,4.6,29.7,24.8,0.039,-0.042,0.419,0.424,4.0,4.9,12
51,Nevada,4.3,31.9,28.2,0.074,-0.009,0.423,0.476,5.1,3.8,12
52,West Virginia,4.2,27.2,21.2,-0.011,-0.087,0.442,0.394,1.5,6.0,12
53,Texas Tech,4.0,34.4,30.3,0.09,0.044,0.476,0.431,3.8,4.1,12
54,San Diego State,3.6,22.4,19.7,-0.066,-0.104,0.386,0.375,5.0,2.7,13
55,Louisiana,3.4,26.9,25.7,-0.014,-0.019,0.435,0.404,6.8,1.2,13
56,Liberty,3.3,29.1,26.4,0.027,-0.019,0.424,0.43,4.2,2.8,12
57,North Carolina,2.9,33.7,30.4,0.085,0.039,0.461,0.447,2.3,3.3,12
58,Maryland,2.7,33.9,29.2,0.073,0.021,0.497,0.444,-0.4,4.7,12
59,Utah State,2.7,27.1,26.0,0.007,-0.027,0.395,0.435,5.0,1.1,13
