rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Georgia,33.4,48.4,10.9,0.272,-0.215,0.556,0.331,27.2,37.5,14
2,Ohio State,25.8,48.1,18.8,0.276,-0.092,0.536,0.334,20.7,29.3,13
3,Alabama,25.8,41.0,12.4,0.187,-0.202,0.484,0.356,21.6,28.6,12
4,Tennessee,23.9,47.8,21.2,0.272,-0.081,0.536,0.393,19.9,26.6,12
5,Michigan,22.6,40.4,16.0,0.164,-0.147,0.517,0.359,20.1,24.3,14
6,LSU,21.0,42.0,15.9,0.182,-0.147,0.533,0.356,13.5,26.1,13
7,Penn State,19.7,34.9,14.0,0.107,-0.178,0.452,0.357,17.8,21.0,13
8,Texas,19.5,38.8,17.0,0.152,-0.135,0.489,0.37,16.1,21.8,13
9,Kansas State,17.9,37.0,18.2,0.143,-0.121,0.442,0.38,16.6,18.8,13
10,TCU,17.5,37.6,19.8,0.151,-0.104,0.444,0.395,17.1,17.8,14
11,Florida State,17.2,41.8,22.9,0.201,-0.059,0.483,0.405,14.6,18.9,12
12,Utah,16.8,35.7,18.3,0.098,-0.111,0.499,0.359,16.0,17.4,13
13,Mississippi State,15.3,33.5,16.0,0.073,-0.149,0.479,0.364,12.0,17.5,12
14,Clemson,14.5,29.7,15.0,0.021,-0.163,0.461,0.359,14.1,14.7,13
15,Oregon State,14.1,31.3,16.2,0.037,-0.143,0.483,0.356,12.7,15.1,12
16,Illinois,13.9,29.2,12.9,0.017,-0.181,0.453,0.324,10.4,16.3,12
17,Oregon,13.4,39.4,25.7,0.146,-0.024,0.522,0.424,13.0,13.7,12
18,Louisville,13.0,31.2,16.5,0.057,-0.153,0.434,0.391,10.3,14.7,13
19,Ole Miss,12.2,40.7,25.5,0.17,-0.032,0.513,0.434,7.8,15.2,12
20,USC,11.9,45.5,33.6,0.243,0.081,0.518,0.466,12.0,11.9,14
21,Washington,11.7,41.7,29.3,0.186,0.032,0.512,0.424,10.6,12.4,12
22,Tulane,11.0,35.9,24.5,0.13,-0.04,0.433,0.419,10.4,11.4,13
23,Texas Tech,10.9,31.4,18.6,0.064,-0.116,0.422,0.381,8.1,12.8,12
24,Pittsburgh,10.8,28.3,14.7,0.013,-0.165,0.432,0.353,6.4,13.7,12
25,UCLA,10.5,41.2,29.4,0.175,0.022,0.523,0.454,8.4,11.8,12
26,Minnesota,9.6,32.7,22.5,0.066,-0.049,0.468,0.367,8.6,10.3,12
27,Maryland,9.6,31.5,19.3,0.061,-0.102,0.432,0.375,5.7,12.2,13
28,Notre Dame,9.4,30.3,21.2,0.026,-0.074,0.472,0.381,9.9,9.1,13
29,Florida,8.9,34.2,23.5,0.111,-0.047,0.417,0.398,6.2,10.7,12
30,Iowa,8.6,20.7,12.4,-0.092,-0.204,0.398,0.36,9.0,8.3,12
31,Kentucky,8.5,26.7,16.2,-0.006,-0.144,0.417,0.358,5.5,10.5,12
32,Arkansas,8.5,36.1,26.9,0.117,0.002,0.47,0.408,7.4,9.2,12
33,Kansas,8.3,41.0,31.2,0.202,0.049,0.452,0.455,6.0,9.8,12
34,Wisconsin,7.9,31.2,20.5,0.05,-0.079,0.451,0.364,3.7,10.7,12
35,Auburn,7.9,32.1,20.5,0.083,-0.088,0.405,0.385,2.4,11.6,11
36,Wake Forest,7.7,35.6,28.7,0.104,0.018,0.483,0.435,8.8,6.9,12
37,Oklahoma,7.3,33.8,27.7,0.084,0.004,0.465,0.433,9.2,6.1,13
38,Duke,6.9,32.9,26.3,0.081,-0.021,0.438,0.439,7.2,6.6,12
39,Houston,6.8,37.1,27.8,0.136,0.007,0.465,0.43,2.9,9.3,13
40,Texas A&M,6.4,27.8,18.9,0.008,-0.113,0.425,0.387,2.7,8.9,11
41,Baylor,6.3,32.8,26.8,0.071,-0.017,0.457,0.449,6.7,5.9,12
42,South Carolina,6.2,33.0,27.3,0.084,-0.005,0.437,0.439,7.0,5.7,12
43,Missouri,6.1,26.8,19.8,-0.007,-0.09,0.421,0.364,4.8,7.0,12
44,UCF,5.7,33.0,27.3,0.071,-0.001,0.466,0.429,5.7,5.7,13
45,Iowa State,5.4,22.0,17.3,-0.067,-0.136,0.388,0.38,6.4,4.7,11
46,James Madison,5.4,23.1,17.2,-0.059,-0.116,0.408,0.331,4.6,5.9,10
47,Cincinnati,5.0,24.8,19.6,-0.02,-0.106,0.379,0.392,4.8,5.2,12
48,Boise State,4.7,29.8,24.0,0.038,-0.029,0.426,0.375,3.0,5.8,13
