rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Oregon,30.3,12-2,12,2,49.4,14.6,0.304,-0.167,0.557,0.361,23.6,34.8,13
2,Georgia,27.7,13-1,13,1,47.4,16.0,0.272,-0.146,0.555,0.367,22.4,31.3,13
3,Michigan,25.5,15-0,15,0,38.8,13.2,0.162,-0.183,0.494,0.348,25.5,25.6,15
4,Ohio State,25.0,11-2,11,2,39.1,12.1,0.17,-0.198,0.484,0.341,22.1,27.0,12
5,Notre Dame,24.4,10-3,10,3,40.4,12.9,0.178,-0.188,0.513,0.348,19.9,27.5,12
6,Penn State,22.3,10-3,10,3,34.6,10.4,0.108,-0.214,0.463,0.316,19.5,24.2,12
7,Missouri,20.8,11-2,11,2,37.6,14.1,0.152,-0.164,0.47,0.334,16.6,23.5,12
8,LSU,20.4,10-3,10,3,54.5,30.6,0.37,0.058,0.593,0.433,15.2,23.9,12
9,Alabama,20.3,12-2,12,2,37.8,16.1,0.155,-0.129,0.471,0.328,18.3,21.7,13
10,Oklahoma,20.3,10-3,10,3,38.6,15.3,0.157,-0.157,0.499,0.364,15.6,23.3,13
11,Texas,19.2,12-2,12,2,34.9,16.4,0.106,-0.135,0.479,0.355,20.4,18.5,14
12,Washington,18.2,14-1,14,1,41.5,22.9,0.193,-0.057,0.523,0.415,17.7,18.6,15
13,Arizona,17.0,10-3,10,3,41.8,23.1,0.205,-0.051,0.504,0.408,14.6,18.7,12
14,Kansas State,15.8,9-4,9,4,36.1,21.5,0.124,-0.059,0.482,0.366,17.5,14.7,12
15,Tennessee,15.7,9-4,9,4,37.1,18.6,0.134,-0.112,0.496,0.383,11.4,18.5,12
16,Oregon State,15.5,8-5,8,5,38.3,20.3,0.156,-0.091,0.487,0.397,11.9,18.0,12
17,USC,14.4,8-5,8,5,45.3,28.0,0.265,0.019,0.496,0.427,9.9,17.3,13
18,Kansas,14.2,9-4,9,4,43.1,25.6,0.232,-0.025,0.49,0.442,9.3,17.5,12
19,Florida State,14.2,13-1,13,1,29.3,16.9,0.037,-0.126,0.429,0.352,16.8,12.4,13
20,Louisville,14.1,10-4,10,4,32.6,15.9,0.062,-0.14,0.497,0.348,10.3,16.7,13
21,Ole Miss,13.6,11-2,11,2,38.0,24.0,0.159,-0.034,0.47,0.404,13.2,13.9,12
22,Texas A&M,12.9,7-6,7,6,30.9,15.7,0.057,-0.145,0.443,0.351,9.4,15.2,12
23,Maryland,10.0,8-5,8,5,32.4,21.9,0.079,-0.068,0.449,0.403,9.3,10.5,12
24,James Madison,9.6,11-2,11,2,30.6,20.5,0.052,-0.072,0.444,0.362,8.8,10.1,12
25,Troy,9.4,11-3,11,3,25.6,17.4,-0.004,-0.135,0.389,0.394,11.2,8.2,13
26,Clemson,9.1,9-4,9,4,24.8,15.9,-0.041,-0.133,0.446,0.33,9.4,8.9,12
27,Kentucky,8.3,7-6,7,6,33.1,23.6,0.095,-0.05,0.435,0.423,6.6,9.5,12
28,Miami,8.3,7-6,7,6,32.2,23.5,0.085,-0.035,0.425,0.385,7.8,8.6,12
29,Iowa State,8.1,7-6,7,6,30.0,21.0,0.07,-0.068,0.38,0.37,6.8,9.0,12
30,SMU,8.1,11-3,11,3,29.2,19.5,0.038,-0.098,0.424,0.382,5.7,9.7,13
31,UCLA,8.0,8-5,8,5,24.3,15.9,-0.036,-0.149,0.416,0.369,7.3,8.4,12
32,UCF,8.0,6-7,6,7,34.5,22.6,0.112,-0.074,0.45,0.444,2.1,11.9,12
33,TCU,7.8,5-7,5,7,35.2,26.5,0.107,0.001,0.488,0.414,6.5,8.7,11
34,Utah,7.6,8-5,8,5,24.4,16.2,-0.036,-0.127,0.417,0.329,6.7,8.2,12
35,Florida,7.4,5-7,5,7,35.6,25.4,0.132,0.007,0.445,0.358,3.2,10.2,11
36,Liberty,7.3,13-1,13,1,36.9,30.3,0.13,0.047,0.498,0.45,8.3,6.6,14
37,NC State,6.2,9-4,9,4,25.2,19.6,-0.014,-0.088,0.396,0.364,7.2,5.6,12
38,North Carolina,6.0,8-5,8,5,34.0,27.4,0.098,0.013,0.466,0.419,5.1,6.6,12
39,Washington State,6.0,5-7,5,7,27.7,21.6,0.009,-0.075,0.437,0.406,5.7,6.1,11
40,Duke,5.9,8-5,8,5,29.1,25.7,0.039,-0.016,0.419,0.423,9.6,3.5,12
41,South Carolina,5.8,5-7,5,7,31.7,23.3,0.07,-0.051,0.442,0.415,1.9,8.4,11
42,Auburn,5.7,6-7,6,7,26.8,19.8,0.001,-0.093,0.42,0.383,3.7,7.0,12
43,West Virginia,5.4,9-4,9,4,33.5,28.4,0.092,0.027,0.458,0.423,6.0,5.1,12
44,South Alabama,5.1,7-6,7,6,30.2,23.6,0.055,-0.039,0.422,0.397,2.8,6.7,12
45,Texas Tech,5.1,7-6,7,6,26.1,21.8,-0.017,-0.062,0.439,0.387,6.2,4.3,12
46,Boise State,4.8,8-6,8,6,30.4,25.9,0.045,0.0,0.453,0.394,5.4,4.5,13
47,Oklahoma State,4.7,10-4,10,4,29.9,25.9,0.038,0.004,0.451,0.383,5.8,4.0,13
48,Wisconsin,4.7,7-6,7,6,27.3,22.5,0.001,-0.061,0.441,0.411,4.6,4.8,13
