rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,34.0,13-0,13,0,51.1,12.9,0.295,-0.215,0.557,0.349,27.7,38.1,12
2,BYU,23.5,11-1,11,1,46.5,21.5,0.234,-0.095,0.535,0.38,21.2,25.0,11
3,Oklahoma,23.1,9-2,9,2,45.7,20.7,0.222,-0.107,0.534,0.377,20.2,25.0,9
4,Clemson,20.4,10-2,10,2,38.8,17.0,0.133,-0.15,0.493,0.344,18.2,21.8,10
5,Cincinnati,20.2,9-1,9,1,35.5,13.6,0.094,-0.202,0.468,0.345,17.7,21.9,8
6,Iowa State,19.7,9-3,9,3,41.8,19.1,0.17,-0.134,0.515,0.381,15.2,22.7,11
7,Ohio State,18.3,7-1,7,1,48.3,30.3,0.265,0.009,0.527,0.448,18.6,18.1,7
8,Buffalo,17.8,6-1,6,1,41.8,22.9,0.189,-0.083,0.469,0.398,16.1,18.9,6
9,Coastal Carolina,15.8,11-1,11,1,40.1,24.4,0.15,-0.074,0.503,0.431,15.9,15.8,11
10,Notre Dame,15.3,10-2,10,2,36.6,18.6,0.103,-0.132,0.485,0.359,11.0,18.1,11
11,Texas,15.1,7-3,7,3,39.8,23.8,0.156,-0.086,0.477,0.438,13.7,16.0,10
12,Georgia,14.8,8-2,8,2,35.6,21.6,0.108,-0.102,0.437,0.396,15.9,14.0,10
13,Texas A&M,13.7,9-1,9,1,35.7,20.1,0.101,-0.113,0.458,0.369,10.8,15.6,9
14,Ball State,11.7,7-1,7,1,32.3,23.2,0.038,-0.106,0.479,0.465,15.6,9.0,7
15,Toledo,11.6,4-2,4,2,34.3,21.7,0.085,-0.093,0.442,0.378,10.2,12.6,6
16,TCU,11.1,6-4,6,4,33.5,20.3,0.077,-0.096,0.433,0.335,7.8,13.2,10
17,North Carolina,10.8,8-4,8,4,44.9,31.8,0.221,0.048,0.508,0.414,7.5,13.1,11
18,App State,10.4,9-3,9,3,31.4,20.6,0.041,-0.105,0.442,0.368,9.8,10.8,11
19,Louisiana,10.4,10-1,10,1,34.7,24.8,0.078,-0.071,0.473,0.439,11.2,9.9,11
20,Oklahoma State,10.3,8-3,8,3,29.7,19.3,0.026,-0.126,0.418,0.371,10.1,10.4,11
21,Florida,10.2,8-4,8,4,38.4,29.7,0.128,0.007,0.491,0.434,12.4,8.7,11
22,Western Michigan,10.0,4-2,4,2,44.1,32.4,0.21,0.056,0.503,0.415,7.4,11.7,6
23,Iowa,9.8,6-2,6,2,29.8,21.8,0.014,-0.11,0.446,0.421,12.5,8.0,8
24,Oregon,7.9,4-3,4,3,38.2,27.7,0.123,-0.025,0.494,0.434,4.1,10.5,6
25,UCF,7.9,6-4,6,4,39.7,32.9,0.147,0.043,0.493,0.464,9.6,6.8,10
26,West Virginia,7.7,6-4,6,4,28.4,19.7,0.001,-0.128,0.428,0.389,6.2,8.8,9
27,Wisconsin,7.1,4-3,4,3,24.7,17.2,-0.061,-0.16,0.442,0.375,6.5,7.5,6
28,Boise State,7.1,5-2,5,2,34.4,28.4,0.071,0.024,0.478,0.348,8.8,6.0,6
29,UCLA,6.9,3-4,3,4,34.5,25.5,0.076,-0.06,0.469,0.44,3.8,8.9,6
30,Northwestern,6.5,7-2,7,2,24.0,18.8,-0.046,-0.135,0.381,0.376,8.5,5.2,8
31,Miami,6.4,8-3,8,3,34.2,27.7,0.08,-0.021,0.451,0.427,6.2,6.5,11
32,Tulsa,6.2,6-3,6,3,23.9,18.6,-0.065,-0.14,0.42,0.377,7.6,5.3,8
33,UAB,6.0,6-3,6,3,28.4,22.5,0.006,-0.07,0.416,0.356,6.4,5.8,7
34,Central Michigan,5.7,3-3,3,3,26.6,21.4,-0.011,-0.097,0.39,0.376,6.3,5.2,6
35,Louisville,4.8,4-7,4,7,34.1,26.1,0.089,-0.032,0.427,0.395,-0.1,8.1,11
36,San José State,4.7,7-1,7,1,29.7,28.3,0.018,-0.007,0.436,0.417,9.7,1.4,7
37,Arkansas,4.4,3-7,3,7,33.8,25.7,0.072,-0.063,0.456,0.453,-1.0,8.1,10
38,Georgia Southern,4.2,8-5,8,5,29.9,25.1,0.024,-0.053,0.429,0.411,3.3,4.8,12
39,Army,3.5,9-3,9,3,25.5,22.1,-0.042,-0.094,0.424,0.398,3.7,3.4,8
40,Auburn,3.2,6-5,6,5,32.7,29.9,0.062,0.001,0.44,0.456,3.9,2.8,11
41,Nevada,2.3,7-2,7,2,32.5,31.4,0.058,0.031,0.441,0.439,4.2,1.1,9
42,Virginia Tech,2.2,5-6,5,6,36.1,33.5,0.084,0.053,0.51,0.461,1.6,2.6,11
43,Eastern Michigan,2.2,2-4,2,4,32.9,31.5,0.049,0.007,0.477,0.499,3.4,1.3,6
44,Indiana,2.2,6-2,6,2,20.3,23.2,-0.102,-0.085,0.379,0.414,9.7,-2.9,8
45,San Diego State,2.1,4-4,4,4,17.7,17.5,-0.145,-0.148,0.384,0.36,5.2,0.1,8
46,Texas Tech,2.1,4-6,4,6,31.8,27.0,0.038,-0.035,0.463,0.436,-1.8,4.7,9
47,Marshall,2.0,7-3,7,3,25.3,25.6,-0.05,-0.059,0.435,0.439,5.4,-0.3,8
48,Pittsburgh,1.9,6-5,6,5,22.5,20.1,-0.077,-0.105,0.398,0.351,1.1,2.4,10
49,Baylor,1.9,2-7,2,7,24.9,22.6,-0.037,-0.089,0.39,0.402,1.2,2.3,9
50,Tulane,1.3,6-6,6,6,27.7,27.6,-0.016,-0.01,0.444,0.397,3.0,0.1,12
51,Troy,0.9,5-6,5,6,24.0,25.7,-0.065,-0.056,0.422,0.437,4.9,-1.7,10
