rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,LSU,34.5,53.5,15.3,0.355,-0.162,0.585,0.322,29.1,38.1,14
2,Ohio State,32.8,49.3,14.0,0.301,-0.185,0.549,0.322,29.1,35.4,14
3,Alabama,30.2,48.5,14.4,0.287,-0.199,0.551,0.374,24.3,34.1,12
4,Clemson,27.6,41.4,11.0,0.185,-0.235,0.512,0.323,23.4,30.4,14
5,Wisconsin,23.6,40.6,13.6,0.17,-0.194,0.52,0.327,18.3,27.1,14
6,Oklahoma,21.8,47.1,22.3,0.263,-0.074,0.553,0.386,17.3,24.8,13
7,Auburn,21.2,34.3,11.2,0.087,-0.226,0.468,0.314,18.5,23.0,12
8,Georgia,20.1,34.8,14.1,0.089,-0.193,0.485,0.345,19.0,20.7,13
9,Utah,19.9,36.8,14.1,0.13,-0.194,0.466,0.349,15.8,22.7,13
10,Oregon,19.4,36.8,16.1,0.13,-0.172,0.463,0.375,17.6,20.6,13
11,Florida,18.1,38.5,19.7,0.15,-0.114,0.481,0.376,17.1,18.8,11
12,Michigan,18.0,36.3,16.7,0.114,-0.149,0.484,0.343,15.5,19.6,13
13,Minnesota,17.9,42.9,21.9,0.21,-0.085,0.512,0.394,13.3,21.0,12
14,Penn State,17.4,35.5,18.9,0.112,-0.116,0.456,0.353,18.6,16.6,12
15,Notre Dame,16.7,33.7,16.8,0.08,-0.159,0.461,0.372,16.6,16.9,13
16,Navy,15.3,40.6,23.4,0.189,-0.063,0.474,0.399,12.4,17.3,12
17,Texas,15.2,41.0,24.6,0.185,-0.048,0.5,0.415,13.4,16.4,13
18,Baylor,14.8,32.9,16.9,0.067,-0.165,0.462,0.386,13.0,16.0,13
19,Memphis,14.6,39.8,24.7,0.171,-0.04,0.486,0.397,13.8,15.1,13
20,Iowa,13.4,30.2,17.3,0.021,-0.156,0.466,0.383,14.0,12.9,13
21,UCF,12.7,35.5,22.8,0.117,-0.071,0.444,0.397,12.7,12.6,12
22,Washington,12.1,28.6,17.5,0.003,-0.158,0.444,0.395,13.6,11.1,12
23,Texas A&M,11.8,32.6,19.8,0.052,-0.11,0.488,0.374,10.2,12.8,12
24,Iowa State,11.6,35.8,24.0,0.113,-0.055,0.466,0.405,11.3,11.8,12
25,Air Force,10.3,34.3,23.9,0.074,-0.05,0.5,0.388,10.0,10.5,12
26,USC,9.2,39.0,29.2,0.151,0.007,0.502,0.462,8.3,9.8,13
27,Oklahoma State,9.2,33.1,23.9,0.07,-0.059,0.463,0.41,9.0,9.3,12
28,App State,8.7,29.2,22.5,0.035,-0.066,0.393,0.374,11.7,6.7,13
29,TCU,8.5,28.1,18.6,-0.001,-0.122,0.435,0.355,7.2,9.5,11
30,North Carolina,8.2,36.8,27.5,0.121,-0.008,0.485,0.434,6.8,9.2,12
31,Mississippi State,8.2,35.9,24.8,0.113,-0.049,0.47,0.424,3.8,11.1,12
32,Cincinnati,8.0,27.5,20.4,-0.009,-0.107,0.431,0.387,9.2,7.2,14
33,Indiana,6.5,32.2,24.9,0.05,-0.043,0.474,0.412,5.4,7.3,12
34,Florida Atlantic,6.4,29.4,24.2,0.025,-0.047,0.423,0.395,8.2,5.2,13
35,Ole Miss,6.1,32.3,24.8,0.064,-0.044,0.446,0.412,3.9,7.5,11
36,Kansas State,5.9,28.1,24.0,0.003,-0.048,0.423,0.39,8.6,4.1,12
37,Louisiana,5.8,33.8,29.6,0.071,0.004,0.486,0.485,8.2,4.2,13
38,Tulane,5.8,33.4,26.7,0.072,-0.017,0.469,0.421,4.3,6.7,12
39,Boise State,5.6,30.6,26.4,0.038,-0.018,0.439,0.411,7.8,4.2,13
40,SMU,5.4,31.4,27.8,0.055,0.0,0.432,0.425,8.0,3.6,13
41,Michigan State,5.3,24.9,19.6,-0.048,-0.109,0.422,0.362,5.1,5.4,13
42,Kentucky,5.2,30.1,24.6,0.035,-0.043,0.426,0.403,4.8,5.4,12
43,Virginia Tech,4.8,28.3,23.5,0.003,-0.047,0.433,0.368,4.6,4.8,11
44,Tennessee,4.6,29.0,23.1,0.021,-0.069,0.42,0.405,2.8,5.9,12
45,Nebraska,4.3,30.1,24.2,0.028,-0.055,0.447,0.416,1.8,5.9,12
46,Missouri,4.0,24.5,19.8,-0.048,-0.104,0.407,0.359,2.9,4.7,11
47,Washington State,3.9,35.5,31.9,0.094,0.053,0.498,0.46,4.5,3.5,12
48,California,3.8,26.8,22.6,-0.004,-0.081,0.392,0.412,3.2,4.2,12
49,Oregon State,2.9,33.2,29.4,0.084,0.019,0.433,0.442,1.6,3.8,11
50,Virginia,2.9,31.9,30.9,0.042,0.055,0.479,0.418,5.8,0.9,13
51,Arizona State,2.6,26.4,25.2,-0.02,-0.041,0.414,0.42,4.6,1.2,12
52,Pittsburgh,2.1,21.5,17.9,-0.1,-0.138,0.413,0.362,-0.2,3.7,12
53,Florida State,1.7,27.0,24.1,-0.007,-0.06,0.406,0.423,0.1,2.8,12
54,Miami,1.5,24.2,22.5,-0.049,-0.063,0.396,0.365,1.3,1.7,12
55,South Carolina,1.5,24.4,22.1,-0.053,-0.079,0.414,0.39,0.4,2.3,11
56,Wyoming,1.2,24.3,24.1,-0.052,-0.056,0.407,0.411,2.6,0.2,12
57,Western Kentucky,0.9,25.0,24.1,-0.054,-0.048,0.437,0.394,1.0,0.9,12
58,Louisville,0.6,36.2,35.3,0.129,0.108,0.442,0.462,0.3,0.8,12
59,Tulsa,0.6,25.8,24.6,-0.025,-0.034,0.4,0.379,-0.3,1.2,12
60,Texas Tech,0.5,30.4,30.1,0.033,0.038,0.442,0.424,1.0,0.3,11
61,Illinois,0.3,25.4,24.2,-0.026,-0.06,0.389,0.423,-1.1,1.3,13
62,Buffalo,-0.0,24.5,24.9,-0.052,-0.041,0.415,0.407,0.5,-0.4,12
63,Purdue,-0.1,29.3,28.4,0.019,0.005,0.434,0.435,-1.6,0.9,12
64,Hawai'i,-0.6,34.7,34.0,0.09,0.086,0.478,0.464,-2.4,0.7,14
65,Stanford,-0.7,30.4,29.3,0.04,0.009,0.426,0.463,-3.4,1.0,12
