rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,LSU,25.6,11-2,11,2,40.8,10.2,0.145,-0.108,0.481,0.316,18.2,30.6,13
2,Florida,21.6,13-1,13,1,31.7,8.6,0.076,-0.126,0.425,0.32,19.3,23.1,13
3,BYU,21.0,11-2,11,2,44.2,20.3,0.169,-0.039,0.505,0.398,16.6,23.9,11
4,Louisville,20.9,12-1,12,1,41.6,20.5,0.152,-0.029,0.486,0.378,20.6,21.2,13
5,TCU,19.9,11-2,11,2,31.5,5.1,0.069,-0.156,0.437,0.309,10.2,26.4,12
6,Ohio State,18.9,12-1,12,1,36.0,18.0,0.112,-0.052,0.442,0.371,20.3,18.0,13
7,USC,18.5,11-2,11,2,35.2,18.1,0.102,-0.039,0.448,0.342,20.6,17.2,13
8,Michigan,15.8,11-2,11,2,26.8,12.5,0.027,-0.089,0.423,0.329,18.0,14.3,13
9,Wisconsin,14.8,12-1,12,1,24.9,9.2,0.015,-0.121,0.407,0.324,13.3,15.7,12
10,California,14.3,10-3,10,3,34.7,22.4,0.099,-0.016,0.444,0.392,17.4,12.3,10
11,South Carolina,14.0,8-5,8,5,41.4,25.3,0.142,0.01,0.502,0.401,10.9,16.1,12
12,Arkansas,13.8,10-4,10,4,23.1,8.6,0.0,-0.123,0.399,0.314,12.8,14.5,12
13,Boise State,13.8,13-0,13,0,32.4,19.7,0.078,-0.037,0.438,0.376,15.3,12.8,12
14,Oklahoma,13.5,11-3,11,3,23.9,9.8,0.004,-0.115,0.409,0.324,12.6,14.1,14
15,West Virginia,13.3,11-2,11,2,35.6,24.8,0.111,0.008,0.437,0.392,17.0,10.8,12
16,Oregon,12.1,7-6,7,6,35.6,18.9,0.085,-0.04,0.496,0.366,5.2,16.6,12
17,Virginia Tech,11.4,10-3,10,3,18.0,7.5,-0.04,-0.125,0.369,0.294,12.8,10.4,12
18,Georgia,11.3,9-4,9,4,26.5,13.7,0.03,-0.099,0.408,0.378,9.1,12.8,12
19,Boston College,11.0,10-3,10,3,23.1,11.6,-0.011,-0.109,0.424,0.354,10.2,11.5,12
20,Rutgers,10.3,11-2,11,2,23.1,15.3,-0.002,-0.062,0.403,0.331,14.1,7.8,12
21,Washington State,10.3,6-6,6,6,32.8,18.4,0.095,-0.049,0.408,0.374,4.0,14.4,8
22,Tennessee,10.2,9-4,9,4,29.2,21.6,0.051,-0.024,0.426,0.39,13.9,7.7,13
23,Missouri,9.8,8-5,8,5,31.9,21.4,0.077,-0.026,0.428,0.391,8.8,10.5,12
24,Oregon State,9.7,10-4,10,4,30.7,19.7,0.061,-0.034,0.437,0.369,7.6,11.0,11
25,Texas,9.6,10-3,10,3,27.1,19.3,0.027,-0.03,0.431,0.351,12.3,7.8,12
26,Notre Dame,9.4,10-3,10,3,30.2,21.0,0.053,-0.03,0.442,0.391,9.8,9.2,13
27,Auburn,9.2,11-2,11,2,30.2,22.8,0.055,-0.014,0.438,0.399,12.0,7.3,13
28,Clemson,9.1,8-5,8,5,26.7,17.7,0.029,-0.057,0.416,0.376,9.3,9.0,12
29,Arizona State,8.4,7-6,7,6,26.9,16.8,0.031,-0.05,0.419,0.339,5.8,10.2,11
30,Texas Tech,8.0,8-5,8,5,35.6,24.9,0.103,-0.004,0.455,0.423,3.9,10.7,12
31,Nebraska,7.2,9-5,9,5,26.5,20.7,0.043,-0.015,0.38,0.35,9.3,5.8,13
32,Alabama,6.3,6-7,6,7,27.1,20.2,0.03,-0.032,0.425,0.377,5.4,6.9,12
33,Florida State,6.2,7-6,7,6,19.5,13.0,-0.025,-0.092,0.37,0.346,5.7,6.5,13
34,Cincinnati,5.7,8-5,8,5,21.6,14.9,-0.017,-0.076,0.403,0.354,4.3,6.7,12
35,South Florida,5.7,9-4,9,4,24.4,18.5,0.017,-0.036,0.391,0.346,5.3,6.0,12
36,Iowa,5.2,6-7,6,7,31.2,24.7,0.059,0.003,0.454,0.404,3.3,6.4,12
37,Miami,5.1,7-6,7,6,18.8,11.6,-0.035,-0.096,0.38,0.323,1.9,7.2,12
38,Texas A&M,5.0,9-4,9,4,30.1,25.0,0.057,0.002,0.432,0.412,5.0,5.0,12
39,Oklahoma State,5.0,7-6,7,6,33.2,29.2,0.081,0.043,0.45,0.417,6.4,4.0,12
40,UCLA,4.7,7-6,7,6,20.4,17.6,-0.028,-0.055,0.4,0.37,7.6,2.8,13
41,Georgia Tech,4.7,9-5,9,5,23.3,19.9,-0.012,-0.022,0.43,0.349,6.7,3.3,13
42,Penn State,3.6,9-4,9,4,17.9,16.6,-0.049,-0.057,0.389,0.35,7.0,1.3,12
43,Wake Forest,3.1,11-3,11,3,24.5,24.5,0.012,-0.002,0.405,0.41,7.6,0.1,12
44,Houston,3.0,10-4,10,4,30.7,28.4,0.07,0.048,0.416,0.387,4.1,2.3,13
45,Tulsa,2.8,8-5,8,5,27.7,24.1,0.044,-0.009,0.403,0.416,1.6,3.5,11
46,Pittsburgh,2.7,6-6,6,6,28.4,27.2,0.046,0.027,0.417,0.406,5.0,1.2,11
47,Utah,2.5,8-5,8,5,30.0,28.3,0.054,0.039,0.435,0.406,3.9,1.7,12
48,Navy,1.9,9-4,9,4,32.7,32.5,0.078,0.068,0.444,0.437,4.4,0.3,12
49,Vanderbilt,1.9,4-8,4,8,25.2,22.8,0.026,-0.017,0.388,0.404,0.9,2.5,9
50,Kansas,1.0,6-6,6,6,19.6,17.8,-0.031,-0.056,0.387,0.376,-0.2,1.8,11
51,New Mexico,1.0,6-7,6,7,22.1,18.6,0.004,-0.055,0.365,0.394,-2.8,3.5,12
52,Wyoming,1.0,6-6,6,6,18.1,16.2,-0.027,-0.066,0.343,0.364,-0.4,1.8,11
53,Kansas State,0.9,7-6,7,6,22.2,20.1,-0.004,-0.043,0.385,0.402,-0.7,2.1,9
54,Nevada,0.0,8-5,8,5,23.0,25.5,-0.006,0.014,0.411,0.396,3.9,-2.5,6
55,Arizona,-0.1,6-6,6,6,12.4,15.5,-0.08,-0.074,0.331,0.365,4.5,-3.2,9
56,Michigan State,-0.3,4-8,4,8,24.8,23.8,0.009,-0.002,0.419,0.393,-2.3,1.0,12
57,Illinois,-0.3,2-10,2,10,20.7,16.9,-0.009,-0.063,0.362,0.373,-6.3,3.7,11
58,Colorado,-0.4,2-10,2,10,22.8,21.1,0.003,-0.018,0.384,0.366,-3.5,1.7,11
59,Kentucky,-0.6,8-5,8,5,25.8,29.8,0.021,0.04,0.413,0.437,4.6,-4.0,9
60,Southern Miss,-0.7,9-5,9,5,21.9,24.7,-0.009,0.008,0.391,0.391,2.3,-2.8,13
61,East Carolina,-1.7,7-6,7,6,22.8,24.7,-0.002,-0.01,0.396,0.431,-1.4,-1.9,13
62,Minnesota,-2.8,6-7,6,7,29.0,36.5,0.047,0.096,0.429,0.468,4.3,-7.5,12
63,Colorado State,-3.5,4-8,4,8,22.3,23.0,0.002,-0.016,0.373,0.407,-7.7,-0.8,11
64,Northwestern,-3.5,4-8,4,8,24.2,27.1,0.01,0.012,0.401,0.438,-4.5,-2.9,11
65,Virginia,-3.6,5-7,5,7,16.1,20.2,-0.055,-0.021,0.362,0.352,-2.9,-4.1,10
66,NC State,-3.8,3-9,3,9,20.3,23.7,-0.015,-0.003,0.367,0.393,-4.3,-3.5,11
67,Washington,-4.5,5-7,5,7,17.4,25.7,-0.054,0.011,0.389,0.41,1.4,-8.4,9
68,Western Michigan,-4.8,8-5,8,5,17.0,23.1,-0.045,-0.006,0.356,0.386,-2.7,-6.2,11
69,Maryland,-4.9,9-4,9,4,23.7,32.4,-0.002,0.069,0.417,0.431,0.9,-8.7,12
70,Purdue,-5.5,8-6,8,6,25.8,34.3,0.011,0.087,0.437,0.434,-1.2,-8.5,13
71,Syracuse,-5.9,4-8,4,8,21.8,29.9,-0.01,0.036,0.391,0.452,-2.4,-8.1,12
72,Ole Miss,-6.0,4-8,4,8,15.4,23.0,-0.072,-0.018,0.384,0.411,-3.6,-7.6,9
73,Central Michigan,-6.1,10-4,10,4,22.4,34.4,0.012,0.063,0.354,0.494,2.7,-12.0,13
74,Baylor,-6.2,4-8,4,8,25.8,30.7,0.019,0.051,0.417,0.433,-8.0,-5.0,8
75,San Diego State,-6.5,3-9,3,9,21.0,24.9,-0.011,-0.006,0.375,0.427,-10.4,-3.9,11
76,Air Force,-6.8,4-8,4,8,27.6,37.7,0.037,0.094,0.419,0.501,-1.9,-10.1,12
77,UConn,-6.8,4-8,4,8,13.9,22.0,-0.073,-0.012,0.35,0.374,-4.9,-8.1,11
78,Mississippi State,-6.9,3-9,3,9,12.5,21.1,-0.075,-0.022,0.322,0.375,-4.5,-8.5,10
79,Indiana,-7.9,5-7,5,7,19.0,29.6,-0.034,0.048,0.38,0.414,-3.8,-10.6,10
80,UCF,-8.2,4-8,4,8,25.5,32.2,0.018,0.057,0.415,0.455,-10.6,-6.7,11
81,Akron,-8.7,5-7,5,7,16.4,24.8,-0.04,-0.001,0.334,0.414,-9.4,-8.3,12
82,Tulane,-9.2,4-8,4,8,21.8,28.1,-0.0,0.025,0.368,0.433,-13.5,-6.3,12
83,Kent State,-9.9,6-6,6,6,15.2,24.9,-0.039,-0.002,0.302,0.419,-10.1,-9.7,12
84,Bowling Green,-10.0,4-8,4,8,22.2,28.9,0.003,0.025,0.371,0.452,-15.0,-6.7,12
85,North Carolina,-10.0,3-9,3,9,23.3,34.4,-0.003,0.088,0.41,0.435,-8.4,-11.1,11
86,Marshall,-10.1,5-7,5,7,22.8,35.0,-0.002,0.069,0.395,0.495,-6.8,-12.3,10
87,UNLV,-10.5,2-10,2,10,15.5,23.5,-0.066,-0.023,0.371,0.435,-14.2,-8.0,10
88,Ohio,-11.1,9-5,9,5,10.7,25.7,-0.101,0.008,0.339,0.414,-5.3,-15.0,13
89,Northern Illinois,-11.2,7-6,7,6,15.3,32.5,-0.055,0.062,0.341,0.449,-2.1,-17.2,12
90,UTEP,-11.3,5-7,5,7,16.5,28.9,-0.037,0.027,0.328,0.448,-9.5,-12.4,11
91,SMU,-11.4,6-6,6,6,16.3,30.5,-0.048,0.039,0.35,0.455,-7.3,-14.1,11
92,Iowa State,-12.2,4-8,4,8,24.6,37.4,0.009,0.112,0.413,0.45,-11.2,-12.8,10
93,Duke,-12.9,0-12,0,12,17.5,29.6,-0.05,0.047,0.382,0.416,-14.1,-12.1,11
94,Stanford,-13.4,1-11,1,11,14.9,30.3,-0.078,0.046,0.385,0.436,-10.5,-15.4,9
95,UAB,-13.6,3-9,3,9,16.1,32.8,-0.055,0.061,0.362,0.46,-8.9,-16.7,12
96,Ball State,-13.7,5-7,5,7,16.6,37.3,-0.05,0.109,0.36,0.455,-3.2,-20.7,11
97,Toledo,-13.7,5-7,5,7,12.1,27.1,-0.087,0.019,0.34,0.423,-11.9,-14.9,11
98,Rice,-14.5,7-6,7,6,17.3,37.0,-0.045,0.109,0.364,0.448,-6.7,-19.7,13
99,Miami (OH),-15.6,2-10,2,10,13.8,31.6,-0.073,0.056,0.347,0.443,-12.1,-17.9,12
100,Memphis,-16.6,2-10,2,10,17.0,36.7,-0.053,0.095,0.377,0.472,-12.1,-19.7,11
101,Army,-20.3,3-9,3,9,8.6,32.6,-0.131,0.055,0.36,0.468,-14.8,-24.0,9
102,Eastern Michigan,-21.3,1-11,1,11,8.4,32.4,-0.124,0.049,0.338,0.477,-17.2,-24.0,12
103,Buffalo,-21.7,2-10,2,10,9.1,33.3,-0.105,0.069,0.311,0.453,-17.9,-24.2,12
104,Temple,-24.8,1-11,1,11,3.2,31.7,-0.15,0.047,0.277,0.468,-19.2,-28.5,10
