rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
105,Louisiana Tech,Sun Belt,-5.5,1-2,1,2,20.6,23.8,-0.107,-0.049,0.382,0.396,-9.2,-3.1,2
106,Florida International,Conference USA,-5.7,1-2,1,2,18.4,24.4,-0.142,-0.043,0.352,0.414,-5.2,-6.1,3
107,Colorado,Big 12,-5.8,2-1,2,1,25.6,28.9,-0.016,0.056,0.412,0.4,-9.5,-3.3,2
108,Ohio,Mid-American,-5.9,1-2,1,2,24.2,28.4,-0.038,0.034,0.392,0.425,-8.6,-4.2,3
109,Navy,American Athletic,-6.3,1-1,1,1,25.2,28.1,-0.02,0.027,0.401,0.431,-11.4,-2.9,1
110,UL Monroe,Sun Belt,-6.5,0-3,0,3,24.9,31.6,-0.037,0.093,0.425,0.442,-6.3,-6.7,2
111,TCU,Big 12,-6.9,2-1,2,1,20.3,27.2,-0.118,0.021,0.391,0.399,-7.0,-6.9,2
112,Bowling Green,Mid-American,-7.1,0-3,0,3,24.0,28.8,-0.042,0.034,0.392,0.444,-10.5,-4.8,2
113,Kansas,Big 12,-7.2,1-2,1,2,28.5,26.6,0.036,0.005,0.43,0.407,-20.9,1.9,2
114,NC State,ACC,-7.3,1-2,1,2,24.4,30.1,-0.043,0.063,0.413,0.439,-9.7,-5.7,2
115,Kennesaw State,Conference USA,-7.5,1-2,1,2,23.0,27.5,-0.056,0.015,0.378,0.427,-12.0,-4.4,2
116,Buffalo,Mid-American,-7.5,1-2,1,2,26.5,32.4,0.018,0.102,0.372,0.463,-9.9,-5.9,2
117,Jacksonville State,Conference USA,-8.4,2-2,2,2,26.7,31.8,0.004,0.083,0.416,0.479,-13.4,-5.1,3
118,Kent State,Mid-American,-8.5,1-2,1,2,23.0,29.8,-0.06,0.051,0.387,0.455,-11.0,-6.8,2
119,Stanford,ACC,-9.2,1-2,1,2,26.5,33.2,0.014,0.117,0.383,0.467,-12.8,-6.7,3
120,Georgia Southern,Sun Belt,-9.2,1-2,1,2,22.1,28.1,-0.081,0.035,0.391,0.408,-14.0,-6.0,2
121,Arizona State,Big 12,-9.3,2-1,2,1,21.2,25.5,-0.108,-0.018,0.412,0.408,-16.9,-4.3,2
122,Northern Illinois,Mountain West,-10.1,0-3,0,3,20.8,28.0,-0.11,0.022,0.396,0.438,-14.5,-7.2,2
123,Central Michigan,Mid-American,-10.2,2-1,2,1,25.8,31.4,-0.013,0.079,0.411,0.466,-17.2,-5.6,2
124,Ball State,Mid-American,-10.3,1-2,1,2,25.0,33.9,-0.022,0.136,0.394,0.456,-12.3,-8.9,2
125,Western Kentucky,Conference USA,-10.6,0-3,0,3,18.0,30.4,-0.162,0.063,0.381,0.456,-7.8,-12.4,3
126,Marshall,Sun Belt,-10.8,2-1,2,1,25.7,40.0,-0.014,0.227,0.408,0.539,-5.6,-14.3,3
127,Memphis,American Athletic,-11.1,3-1,3,1,24.1,35.3,-0.047,0.16,0.41,0.468,-11.0,-11.2,3
128,UTEP,Mountain West,-11.5,1-2,1,2,22.6,31.1,-0.081,0.077,0.415,0.458,-16.0,-8.5,2
129,Eastern Michigan,Mid-American,-12.4,1-3,1,3,17.5,25.1,-0.169,-0.018,0.373,0.387,-19.6,-7.5,4
130,New Mexico State,Conference USA,-13.2,1-2,1,2,21.1,29.0,-0.102,0.041,0.395,0.439,-21.3,-7.8,2
131,Akron,Mid-American,-13.5,1-2,1,2,23.1,30.0,-0.067,0.072,0.407,0.414,-23.3,-6.9,2
132,Missouri State,Conference USA,-13.5,1-2,1,2,20.5,31.8,-0.106,0.089,0.37,0.462,-16.7,-11.3,2
133,Sacramento State,Mid-American,-14.0,1-3,1,3,25.4,34.1,-0.029,0.134,0.43,0.468,-22.0,-8.7,3
134,Wyoming,Mountain West,-15.0,1-2,1,2,22.5,30.5,-0.067,0.068,0.378,0.45,-25.4,-8.0,2
135,Southern Miss,Sun Belt,-17.0,1-2,1,2,23.2,32.5,-0.067,0.097,0.415,0.477,-28.5,-9.2,2
136,UNLV,Mountain West,-17.1,1-2,1,2,13.8,30.3,-0.224,0.07,0.323,0.436,-18.1,-16.5,3
137,Arkansas State,Sun Belt,-17.8,1-2,1,2,21.4,34.0,-0.106,0.137,0.415,0.46,-25.6,-12.6,2
138,Hawai'i,Mountain West,-18.4,1-2,1,2,18.7,33.7,-0.139,0.123,0.363,0.48,-23.5,-15.0,3
