rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Ohio State,32.0,14-2,14,2,45.9,9.6,0.272,-0.242,0.521,0.329,25.6,36.3,16
2,Notre Dame,26.1,14-2,14,2,40.1,10.9,0.191,-0.228,0.486,0.348,21.5,29.1,16
3,Penn State,24.0,13-3,13,3,40.1,12.9,0.176,-0.203,0.519,0.363,19.2,27.2,16
4,Oregon,23.7,13-1,13,1,43.1,17.5,0.223,-0.126,0.527,0.36,20.8,25.7,13
5,Ole Miss,23.4,10-3,10,3,40.6,14.2,0.202,-0.172,0.478,0.341,18.8,26.4,12
6,Texas,22.8,13-3,13,3,36.4,11.3,0.129,-0.229,0.489,0.361,19.3,25.2,16
7,Indiana,20.2,11-2,11,2,38.7,16.5,0.157,-0.145,0.514,0.366,17.2,22.2,12
8,Alabama,19.9,9-4,9,4,36.3,14.4,0.125,-0.177,0.494,0.361,16.9,21.9,12
9,Georgia,19.3,11-3,11,3,37.1,15.8,0.139,-0.147,0.492,0.344,16.3,21.3,13
10,Miami,18.5,10-3,10,3,44.2,23.7,0.24,-0.032,0.53,0.379,15.3,20.6,12
11,Arizona State,16.8,11-3,11,3,39.0,19.2,0.164,-0.113,0.509,0.398,12.3,19.8,14
12,Colorado,16.5,9-4,9,4,33.5,14.2,0.089,-0.176,0.469,0.351,12.3,19.2,12
13,SMU,16.2,11-3,11,3,33.0,15.8,0.087,-0.157,0.454,0.367,14.6,17.2,13
14,Tennessee,15.9,10-3,10,3,34.2,15.6,0.094,-0.156,0.484,0.356,11.9,18.6,12
15,South Carolina,15.8,9-4,9,4,32.5,16.8,0.084,-0.156,0.444,0.405,16.0,15.7,12
16,LSU,15.4,9-4,9,4,37.2,20.5,0.152,-0.085,0.468,0.381,13.4,16.7,12
17,Kansas State,15.3,9-4,9,4,36.1,17.6,0.14,-0.115,0.451,0.339,10.4,18.5,12
18,Louisville,14.9,9-4,9,4,37.6,21.8,0.158,-0.059,0.466,0.37,13.5,15.8,12
19,Florida,14.8,8-5,8,5,35.2,17.9,0.112,-0.135,0.485,0.397,11.1,17.3,12
20,Minnesota,14.2,8-5,8,5,32.2,16.0,0.077,-0.155,0.448,0.371,11.3,16.2,12
21,USC,14.0,7-6,7,6,38.0,22.4,0.141,-0.071,0.52,0.422,11.6,15.6,13
22,Texas A&M,13.2,8-5,8,5,32.9,18.2,0.081,-0.112,0.464,0.354,11.1,14.7,12
23,BYU,12.8,11-2,11,2,32.6,20.7,0.065,-0.087,0.49,0.394,14.3,11.9,12
24,Arkansas,12.2,7-6,7,6,38.1,21.0,0.146,-0.087,0.513,0.405,4.8,17.1,12
25,Kansas,11.9,5-7,5,7,41.3,27.7,0.199,0.016,0.513,0.421,9.2,13.6,11
26,Clemson,11.4,10-4,10,4,33.9,22.9,0.095,-0.052,0.472,0.396,11.8,11.0,13
27,Michigan,11.3,8-5,8,5,29.0,16.1,0.033,-0.142,0.428,0.343,8.9,12.9,13
28,Tulane,11.2,9-5,9,5,32.8,18.1,0.084,-0.123,0.455,0.378,6.0,14.7,13
29,Baylor,10.8,8-5,8,5,35.5,23.9,0.106,-0.029,0.508,0.382,9.6,11.6,12
30,Auburn,10.5,5-7,5,7,32.5,17.5,0.075,-0.122,0.462,0.35,3.9,15.0,11
31,TCU,10.2,9-4,9,4,35.9,24.1,0.121,-0.03,0.487,0.39,7.7,11.8,12
32,Iowa State,9.7,11-3,11,3,31.1,22.3,0.063,-0.057,0.437,0.383,11.0,8.8,13
33,Oklahoma,9.5,6-7,6,7,25.8,13.6,-0.017,-0.183,0.42,0.343,5.4,12.2,12
34,Washington,9.4,6-7,6,7,34.4,22.0,0.101,-0.074,0.477,0.412,4.8,12.5,12
35,Boise State,9.3,12-2,12,2,33.8,24.8,0.104,-0.015,0.448,0.383,9.8,9.0,13
36,UCF,9.3,4-8,4,8,35.3,21.7,0.107,-0.061,0.497,0.372,2.8,13.6,11
37,Georgia Tech,8.8,7-6,7,6,33.1,21.9,0.081,-0.073,0.473,0.408,5.2,11.2,12
38,Iowa,8.7,8-5,8,5,27.8,21.0,0.014,-0.095,0.427,0.421,11.5,6.9,12
39,Nebraska,8.5,7-6,7,6,29.5,21.2,0.032,-0.078,0.448,0.393,9.0,8.2,12
40,Virginia Tech,8.3,6-7,6,7,26.1,18.9,-0.01,-0.111,0.42,0.38,9.9,7.3,13
41,Missouri,8.1,10-3,10,3,30.0,21.8,0.044,-0.075,0.44,0.407,8.1,8.2,12
42,Illinois,7.8,10-3,10,3,34.0,26.9,0.099,-0.013,0.467,0.458,8.7,7.1,12
43,Army,7.1,12-2,12,2,35.2,27.9,0.108,0.0,0.494,0.465,6.8,7.4,12
44,Cincinnati,6.8,5-7,5,7,30.9,22.3,0.048,-0.059,0.465,0.387,4.0,8.6,11
45,Texas Tech,6.3,8-5,8,5,32.4,24.7,0.075,-0.021,0.46,0.391,4.2,7.7,12
46,UCLA,5.7,5-7,5,7,29.8,21.6,0.051,-0.082,0.416,0.416,2.0,8.1,12
47,Utah,5.2,5-7,5,7,21.0,14.3,-0.079,-0.164,0.381,0.325,2.9,6.7,11
48,Navy,5.1,10-3,10,3,30.4,26.1,0.063,-0.025,0.413,0.456,6.2,4.3,11
49,UNLV,4.9,11-3,11,3,26.2,22.4,-0.005,-0.057,0.408,0.388,6.5,3.8,13
50,Syracuse,4.6,10-3,10,3,35.4,31.6,0.108,0.072,0.501,0.438,5.7,3.9,12
51,Wisconsin,4.0,5-7,5,7,27.1,23.1,0.002,-0.054,0.428,0.41,4.0,4.0,11
52,Texas State,3.2,8-5,8,5,30.2,26.9,0.043,0.001,0.449,0.427,3.3,3.2,12
53,Kentucky,3.2,4-8,4,8,25.5,21.3,-0.033,-0.092,0.447,0.428,1.8,4.2,11
54,Vanderbilt,2.5,7-6,7,6,30.4,30.5,0.057,0.042,0.427,0.466,6.3,-0.0,12
55,California,2.5,6-7,6,7,27.1,23.5,0.007,-0.039,0.415,0.387,0.7,3.6,12
56,Rutgers,2.3,7-6,7,6,30.4,30.2,0.048,0.056,0.447,0.426,5.4,0.2,12
57,Ohio,2.2,11-3,11,3,26.9,26.3,0.001,-0.004,0.425,0.417,4.6,0.6,13
58,Duke,1.7,9-4,9,4,22.9,21.4,-0.05,-0.078,0.387,0.399,2.1,1.5,12
