rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,games
100,Iowa State,-13.0,25.2,38.2,-0.002,0.091,0.388,0.456,11
101,Marshall,-13.1,17.1,30.2,-0.064,0.027,0.353,0.426,11
102,Utah State,-13.5,19.2,32.7,-0.041,0.04,0.354,0.447,12
103,SMU,-14.4,18.9,33.3,-0.064,0.042,0.382,0.452,11
104,San José State,-15.6,6.0,21.6,-0.151,-0.031,0.311,0.379,11
105,New Mexico State,-16.8,19.7,36.6,-0.035,0.064,0.352,0.47,10
106,Toledo,-17.0,19.5,36.5,-0.054,0.043,0.377,0.501,7
107,Syracuse,-17.0,16.7,33.7,-0.055,0.058,0.334,0.434,10
108,Eastern Michigan,-17.1,20.7,37.7,-0.033,0.085,0.364,0.457,10
109,UL Monroe,-17.4,21.5,38.9,-0.01,0.083,0.341,0.478,9
110,UCF,-17.5,-0.7,16.8,-0.199,-0.057,0.278,0.343,11
111,Temple,-18.7,11.6,30.2,-0.1,0.013,0.321,0.447,9
112,Washington,-19.0,18.7,37.6,-0.052,0.07,0.361,0.478,12
113,San Diego State,-19.8,18.4,38.1,-0.05,0.095,0.353,0.448,10
114,Idaho,-20.9,21.0,41.8,-0.037,0.102,0.374,0.496,8
115,Miami (OH),-21.4,18.4,39.8,-0.075,0.108,0.392,0.456,10
116,Tulane,-21.9,16.3,38.2,-0.08,0.084,0.366,0.466,11
117,Army,-22.0,5.7,27.6,-0.153,0.003,0.309,0.422,11
118,Indiana,-22.5,14.9,37.4,-0.083,0.082,0.348,0.457,10
119,Washington State,-22.9,9.4,32.3,-0.11,0.045,0.303,0.433,12
120,Western Kentucky,-24.2,11.3,35.5,-0.102,0.06,0.32,0.46,8
