rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,games
1,Ohio State,29.6,39.1,9.4,0.076,-0.113,0.495,0.296,12
2,USC,26.9,52.2,25.3,0.197,-0.014,0.518,0.396,12
3,Texas,24.4,43.4,19.0,0.131,-0.045,0.479,0.344,13
4,Louisville,23.5,47.0,23.5,0.161,-0.02,0.492,0.377,12
5,Oregon,21.3,28.4,7.1,0.029,-0.144,0.4,0.306,9
6,LSU,21.0,33.4,12.4,0.06,-0.105,0.429,0.33,12
7,Penn State,21.0,34.1,13.1,0.054,-0.083,0.45,0.309,12
8,Texas Tech,16.7,44.2,27.5,0.134,-0.014,0.489,0.431,10
9,Virginia Tech,16.0,34.8,18.8,0.064,-0.037,0.446,0.329,13
10,Arizona State,13.8,44.6,30.8,0.151,0.02,0.469,0.431,12
11,Michigan State,13.5,46.0,32.5,0.152,0.055,0.49,0.405,10
12,Notre Dame,12.0,35.8,23.8,0.07,0.006,0.453,0.342,12
13,Alabama,12.0,24.7,12.7,-0.001,-0.09,0.386,0.314,12
14,Iowa,12.0,36.3,24.3,0.059,-0.008,0.476,0.371,11
15,California,11.6,36.3,24.7,0.09,-0.005,0.431,0.373,10
16,Boston College,11.6,30.9,19.3,0.038,-0.05,0.424,0.356,12
17,Miami,11.6,25.3,13.8,0.003,-0.079,0.39,0.314,12
18,Oklahoma,11.2,24.0,12.9,0.0,-0.091,0.374,0.317,12
19,Utah,11.0,35.6,24.6,0.095,-0.011,0.414,0.38,12
20,Minnesota,10.7,33.8,23.1,0.045,-0.011,0.459,0.356,12
21,Florida,10.3,31.5,21.1,0.051,-0.035,0.414,0.363,12
22,Oregon State,8.7,28.8,20.0,0.037,-0.034,0.392,0.343,8
23,Clemson,8.5,34.6,26.1,0.061,-0.002,0.447,0.39,12
24,Purdue,8.5,33.4,25.0,0.049,-0.009,0.447,0.383,11
25,Fresno State,8.1,35.2,27.1,0.085,0.002,0.421,0.4,9
26,Tennessee,7.2,25.7,18.5,-0.004,-0.061,0.406,0.36,11
27,Arizona,7.1,27.0,19.9,0.018,-0.06,0.393,0.381,9
28,Florida State,6.7,23.7,17.0,-0.02,-0.062,0.398,0.338,10
29,TCU,6.4,26.4,20.0,0.009,-0.049,0.396,0.364,12
30,Georgia Tech,6.4,24.4,18.0,-0.008,-0.056,0.392,0.344,12
31,West Virginia,6.4,29.1,22.7,0.036,-0.039,0.4,0.393,11
32,Auburn,6.3,33.2,26.9,0.064,0.013,0.422,0.38,10
33,Northwestern,5.8,38.2,32.4,0.093,0.043,0.456,0.422,12
34,New Mexico,5.6,19.5,13.8,-0.036,-0.097,0.357,0.341,11
35,Georgia,5.0,37.7,32.7,0.086,0.053,0.458,0.41,13
36,Maryland,5.0,31.8,26.8,0.039,0.004,0.437,0.392,10
37,Texas A&M,4.4,39.0,34.6,0.106,0.053,0.449,0.44,9
38,BYU,4.0,39.3,35.3,0.096,0.055,0.468,0.448,10
39,Air Force,3.6,26.5,22.8,0.007,-0.047,0.401,0.406,9
40,UTEP,3.3,33.2,29.9,0.084,0.011,0.391,0.431,10
41,Rutgers,3.2,29.6,26.5,0.037,0.005,0.406,0.385,11
42,Michigan,1.8,25.6,23.8,-0.013,-0.009,0.419,0.366,12
43,Wisconsin,1.7,29.3,27.6,0.032,0.019,0.408,0.382,13
44,UConn,1.2,12.4,11.3,-0.098,-0.109,0.34,0.319,10
45,Wake Forest,0.8,18.2,17.4,-0.055,-0.07,0.365,0.355,9
46,Wyoming,0.5,21.0,20.5,-0.031,-0.06,0.373,0.391,10
47,South Florida,0.3,24.1,23.8,-0.012,-0.018,0.392,0.378,11
48,Washington,-0.0,20.6,20.6,-0.021,-0.051,0.352,0.378,10
49,Arkansas,-0.1,22.5,22.6,-0.034,-0.03,0.4,0.377,7
50,Vanderbilt,-0.3,20.7,20.9,-0.02,-0.053,0.351,0.386,8
51,NC State,-0.3,16.4,16.7,-0.06,-0.06,0.344,0.331,8
52,Washington State,-0.6,28.8,29.4,0.041,0.023,0.386,0.404,7
53,Toledo,-0.6,29.3,29.9,0.03,-0.0,0.411,0.446,11
54,North Carolina,-0.7,22.5,23.2,-0.021,-0.041,0.38,0.403,11
55,Indiana,-1.1,20.1,21.3,-0.038,-0.034,0.37,0.362,9
56,UAB,-1.2,31.2,32.4,0.039,0.019,0.428,0.457,8
57,Northern Illinois,-1.3,32.5,33.8,0.059,0.017,0.419,0.481,9
58,Colorado,-1.6,19.1,20.7,-0.053,-0.032,0.377,0.351,12
59,Oklahoma State,-1.7,23.8,25.5,-0.003,-0.018,0.374,0.405,10
60,Houston,-1.8,23.5,25.3,-0.011,-0.019,0.382,0.402,10
61,Tulsa,-2.4,20.2,22.6,-0.03,-0.034,0.359,0.383,13
62,Illinois,-2.6,31.8,34.4,0.04,0.048,0.435,0.445,10
63,UCLA,-3.0,31.5,34.4,0.052,0.057,0.413,0.432,12
64,San Diego State,-3.0,30.7,33.6,0.046,0.039,0.408,0.447,12
65,Kansas,-3.3,14.4,17.7,-0.081,-0.058,0.346,0.342,11
66,Pittsburgh,-3.5,22.2,25.6,-0.035,-0.008,0.398,0.392,10
67,Stanford,-3.6,24.2,27.7,-0.012,0.026,0.394,0.374,10
68,Miami (OH),-3.6,23.5,27.1,-0.013,-0.001,0.386,0.404,10
69,Central Michigan,-3.9,18.5,22.4,-0.025,-0.047,0.326,0.399,10
70,Navy,-4.0,35.0,38.9,0.078,0.082,0.428,0.465,11
71,Virginia,-4.0,32.6,36.6,0.049,0.08,0.435,0.433,11
72,Colorado State,-4.4,33.5,37.9,0.073,0.079,0.413,0.454,11
73,South Carolina,-5.2,27.9,33.1,0.027,0.05,0.394,0.421,12
74,Bowling Green,-5.4,29.4,34.8,0.048,0.055,0.386,0.441,9
75,Memphis,-5.6,26.8,32.4,0.02,0.035,0.388,0.433,11
76,Nebraska,-6.5,19.4,25.9,-0.046,0.013,0.37,0.364,11
77,Iowa State,-6.8,24.3,31.1,-0.006,0.033,0.388,0.415,11
78,UNLV,-7.3,21.0,28.3,-0.015,0.001,0.35,0.421,10
79,Missouri,-7.9,17.6,25.5,-0.053,-0.014,0.353,0.399,10
80,Cincinnati,-8.4,25.4,33.8,-0.003,0.055,0.4,0.424,10
81,Kansas State,-9.2,16.8,26.0,-0.043,-0.006,0.325,0.395,6
82,East Carolina,-9.4,25.2,34.7,0.001,0.061,0.392,0.429,10
