rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,36.4,14-1,14,1,41.6,0.4,0.166,-0.384,0.507,0.264,29.2,41.2,14
2,Washington,25.9,12-2,12,2,42.9,15.0,0.179,-0.186,0.525,0.346,22.9,27.8,13
3,Clemson,25.8,14-1,14,1,42.8,14.3,0.164,-0.191,0.556,0.33,21.6,28.6,14
4,LSU,24.7,8-4,8,4,40.6,11.4,0.157,-0.235,0.49,0.328,18.1,29.1,11
5,Ohio State,24.0,11-2,11,2,37.8,10.2,0.099,-0.252,0.52,0.32,18.7,27.6,13
6,Michigan,23.5,10-3,10,3,37.6,11.1,0.106,-0.226,0.496,0.294,19.1,26.4,13
7,Louisville,20.0,9-4,9,4,43.7,19.3,0.195,-0.116,0.517,0.343,13.4,24.4,13
8,Florida State,19.9,10-3,10,3,43.2,20.5,0.185,-0.1,0.52,0.348,15.7,22.7,12
9,Oklahoma,18.4,11-2,11,2,47.3,26.5,0.249,-0.021,0.523,0.387,14.9,20.7,13
10,USC,17.1,10-3,10,3,39.1,21.9,0.127,-0.082,0.506,0.359,17.0,17.2,13
11,Penn State,16.1,11-3,11,3,38.9,22.4,0.138,-0.082,0.469,0.376,15.6,16.5,14
12,Wisconsin,15.9,11-3,11,3,34.6,18.2,0.066,-0.148,0.48,0.375,15.2,16.4,14
13,Auburn,15.5,8-5,8,5,36.5,19.6,0.092,-0.13,0.49,0.383,13.3,17.0,12
14,Miami,14.8,9-4,9,4,33.6,19.4,0.065,-0.126,0.446,0.37,15.6,14.2,12
15,Florida,13.9,9-4,9,4,26.2,10.4,-0.049,-0.26,0.438,0.348,11.0,15.8,13
16,Colorado,12.3,10-4,10,4,28.5,16.2,-0.012,-0.177,0.437,0.367,12.3,12.3,12
17,Virginia Tech,11.8,10-4,10,4,32.5,20.4,0.03,-0.107,0.486,0.361,11.5,12.1,13
18,Western Michigan,11.8,13-1,13,1,41.5,30.8,0.163,0.021,0.511,0.447,13.3,10.8,13
19,Washington State,11.7,8-5,8,5,36.1,24.6,0.092,-0.064,0.474,0.415,12.0,11.5,12
20,Texas A&M,11.7,8-5,8,5,37.2,24.1,0.122,-0.078,0.446,0.429,9.5,13.1,12
21,Pittsburgh,11.6,8-5,8,5,43.2,29.6,0.203,0.019,0.478,0.408,8.5,13.6,12
22,Oklahoma State,11.6,10-3,10,3,40.1,28.3,0.146,-0.008,0.497,0.425,11.2,11.8,12
23,West Virginia,10.1,10-3,10,3,33.1,22.3,0.052,-0.091,0.455,0.395,9.0,10.7,12
24,North Carolina,10.1,8-5,8,5,37.7,27.1,0.116,-0.033,0.477,0.435,9.2,10.6,11
25,Western Kentucky,9.7,11-3,11,3,41.5,31.3,0.166,0.04,0.503,0.421,8.9,10.3,13
26,NC State,9.6,7-6,7,6,31.2,20.1,0.029,-0.113,0.441,0.364,7.4,11.1,12
27,Tennessee,9.1,9-4,9,4,38.9,30.4,0.132,0.017,0.486,0.442,10.0,8.5,12
28,Northwestern,8.6,7-6,7,6,30.4,21.6,0.018,-0.101,0.436,0.392,8.3,8.7,12
29,Kansas State,8.3,9-4,9,4,33.5,25.1,0.047,-0.059,0.486,0.422,8.2,8.5,12
30,Stanford,8.1,10-3,10,3,29.9,24.2,0.011,-0.058,0.435,0.386,11.7,5.8,13
31,Boise State,7.4,10-3,10,3,35.3,27.6,0.085,-0.022,0.463,0.432,7.1,7.7,13
32,Iowa,7.4,8-5,8,5,30.2,23.7,0.012,-0.069,0.443,0.395,8.9,6.5,12
33,Temple,6.4,10-4,10,4,29.2,23.6,0.005,-0.066,0.421,0.384,7.6,5.6,13
34,South Florida,6.1,11-2,11,2,40.5,34.9,0.173,0.064,0.448,0.499,7.0,5.6,11
35,Tulsa,6.1,10-3,10,3,34.5,28.1,0.074,-0.002,0.456,0.401,5.8,6.4,12
36,Toledo,6.1,9-4,9,4,38.7,32.6,0.141,0.061,0.457,0.423,6.2,6.1,11
37,Notre Dame,6.1,4-8,4,8,32.5,25.5,0.035,-0.043,0.474,0.401,4.7,7.0,12
38,BYU,6.0,9-4,9,4,28.1,22.4,-0.018,-0.098,0.434,0.415,6.4,5.7,11
39,Houston,5.8,9-4,9,4,27.7,21.4,-0.023,-0.098,0.432,0.376,5.0,6.3,12
40,San Diego State,5.7,11-3,11,3,28.2,22.5,-0.002,-0.088,0.402,0.394,5.7,5.7,13
41,Minnesota,5.5,9-4,9,4,25.7,21.7,-0.051,-0.094,0.424,0.38,7.9,4.0,12
42,Utah,5.3,9-4,9,4,30.5,26.8,0.013,-0.023,0.452,0.403,7.8,3.7,12
43,Baylor,5.2,7-6,7,6,32.7,26.0,0.047,-0.039,0.453,0.409,3.0,6.7,12
44,Ole Miss,5.1,5-7,5,7,35.9,30.5,0.087,0.03,0.478,0.416,4.6,5.4,11
45,TCU,5.0,6-7,6,7,30.3,23.8,0.012,-0.056,0.448,0.37,2.9,6.5,12
46,Georgia,5.0,8-5,8,5,29.7,24.1,0.009,-0.068,0.431,0.408,4.2,5.5,12
47,UCLA,5.0,4-8,4,8,26.6,19.7,-0.02,-0.134,0.384,0.396,1.9,7.0,12
48,Mississippi State,4.7,6-7,6,7,35.9,30.1,0.098,0.021,0.454,0.423,2.9,5.8,12
49,App State,4.6,10-3,10,3,26.8,24.2,-0.032,-0.063,0.42,0.401,7.5,2.6,12
50,Georgia Tech,4.6,9-4,9,4,36.3,32.8,0.109,0.047,0.445,0.463,6.1,3.5,12
51,Michigan State,4.5,3-9,3,9,35.2,26.9,0.087,-0.021,0.453,0.404,-1.1,8.2,11
52,Arkansas,4.0,7-6,7,6,34.9,30.0,0.083,0.023,0.452,0.416,2.8,4.8,12
53,Vanderbilt,3.3,6-7,6,7,25.9,21.8,-0.04,-0.107,0.407,0.412,2.1,4.1,12
54,Nebraska,3.2,9-4,9,4,27.1,25.7,-0.031,-0.044,0.427,0.411,5.9,1.4,13
55,Memphis,2.5,8-5,8,5,33.3,30.8,0.056,0.02,0.456,0.452,2.5,2.5,12
56,Navy,2.3,9-5,9,5,40.5,37.9,0.146,0.124,0.513,0.473,1.9,2.6,13
57,Indiana,2.2,6-7,6,7,27.2,23.5,-0.028,-0.065,0.425,0.375,-0.2,3.7,13
58,Oregon State,2.2,4-8,4,8,28.2,25.0,-0.008,-0.064,0.416,0.433,0.6,3.2,11
59,Louisiana Tech,2.1,9-5,9,5,38.8,36.8,0.124,0.096,0.499,0.497,2.5,1.9,13
60,Texas,2.1,5-7,5,7,29.1,26.5,-0.016,-0.026,0.467,0.398,1.4,2.6,12
61,Colorado State,1.5,7-6,7,6,36.1,34.7,0.104,0.085,0.447,0.444,1.6,1.4,11
62,UCF,1.2,6-7,6,7,21.0,18.2,-0.103,-0.151,0.368,0.381,-1.1,2.8,11
63,Kentucky,0.8,7-6,7,6,33.3,32.2,0.064,0.031,0.438,0.477,0.3,1.1,12
64,Air Force,0.3,10-3,10,3,27.4,28.5,-0.031,0.009,0.439,0.39,2.3,-1.1,11
65,California,0.0,5-7,5,7,36.4,37.3,0.095,0.109,0.479,0.485,1.4,-0.9,12
66,Iowa State,-0.2,3-9,3,9,34.4,32.9,0.066,0.051,0.473,0.458,-2.8,1.5,11
67,South Carolina,-0.4,6-7,6,7,25.3,24.1,-0.042,-0.082,0.387,0.442,-2.8,1.2,12
68,Texas Tech,-0.6,5-7,5,7,37.8,39.1,0.12,0.136,0.472,0.488,0.4,-1.4,11
69,Arkansas State,-0.7,8-5,8,5,21.1,22.5,-0.1,-0.085,0.365,0.388,0.5,-1.4,12
70,Missouri,-1.1,4-8,4,8,31.8,30.8,0.044,0.018,0.428,0.456,-4.3,1.0,11
71,Oregon,-1.3,4-8,4,8,37.5,40.1,0.119,0.143,0.466,0.509,0.6,-2.6,11
72,Duke,-1.3,4-8,4,8,30.0,31.0,-0.002,0.032,0.467,0.428,-1.8,-1.0,10
73,Wake Forest,-1.8,7-6,7,6,21.3,24.0,-0.109,-0.069,0.396,0.407,-0.3,-2.7,12
74,Boston College,-2.1,7-6,7,6,16.1,18.6,-0.168,-0.124,0.338,0.335,-1.4,-2.6,12
75,Maryland,-2.2,6-7,6,7,29.8,32.5,0.017,0.036,0.417,0.475,-1.6,-2.7,12
76,Wyoming,-2.4,8-6,8,6,29.1,33.2,0.01,0.063,0.408,0.44,0.0,-4.1,12
77,New Mexico,-3.9,9-4,9,4,36.1,39.7,0.107,0.151,0.439,0.477,-4.2,-3.7,12
78,Miami (OH),-4.1,6-7,6,7,25.5,28.6,-0.045,-0.016,0.4,0.452,-5.5,-3.1,12
79,Ohio,-4.7,8-6,8,6,19.8,26.0,-0.121,-0.045,0.367,0.423,-2.4,-6.2,13
80,UTSA,-5.1,6-7,6,7,23.4,27.9,-0.062,-0.027,0.365,0.452,-6.2,-4.5,11
81,Arizona,-5.6,3-9,3,9,30.3,35.9,0.017,0.1,0.432,0.453,-5.4,-5.7,9
82,Old Dominion,-5.7,10-3,10,3,27.1,35.1,-0.019,0.077,0.402,0.477,-2.3,-7.9,11
83,Middle Tennessee,-5.8,8-5,8,5,36.2,40.5,0.112,0.139,0.431,0.532,-8.1,-4.3,12
84,SMU,-6.1,5-7,5,7,25.7,30.9,-0.038,0.02,0.392,0.453,-7.5,-5.2,11
85,Southern Miss,-6.2,7-6,7,6,27.0,32.8,-0.017,0.069,0.392,0.41,-6.8,-5.8,12
86,Syracuse,-6.2,4-8,4,8,27.5,33.3,-0.019,0.063,0.415,0.443,-6.8,-5.8,11
