sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,USC,Pac-10,88.8,11,2,11-2,9.14,1.86,6.9,24.3,1,13
2,Missouri,Big 12,86.8,12,2,12-2,10.32,1.68,4.6,20.4,5,14
3,LSU,SEC,81.0,12,2,12-2,10.64,1.36,4.7,21.0,4,14
4,Kansas,Big 12,80.4,12,1,12-1,10.9,1.1,-2.3,17.2,9,13
5,Georgia,SEC,79.5,11,2,11-2,9.76,1.24,5.2,14.0,15,13
6,Arizona State,Pac-10,76.9,10,3,10-3,8.86,1.14,8.3,13.2,19,13
7,Oklahoma,Big 12,73.7,11,3,11-3,10.05,0.95,3.9,18.1,7,14
8,BYU,Mountain West,69.0,11,2,11-2,10.24,0.76,2.9,18.9,6,13
9,Ohio State,Big Ten,57.6,11,2,11-2,10.69,0.31,-0.4,16.1,12,13
10,Oregon State,Pac-10,56.6,9,4,9-4,8.71,0.29,7.7,16.9,10,13
11,West Virginia,Big East,55.3,11,2,11-2,10.77,0.23,0.7,17.7,8,13
12,Hawai'i,Western Athletic,55.2,12,1,12-1,11.79,0.21,-5.8,13.9,17,13
13,Oregon,Pac-10,53.7,9,4,9-4,8.81,0.19,9.4,21.5,3,13
14,Tennessee,SEC,47.6,10,4,10-4,10.05,-0.05,6.2,5.4,42,14
15,Texas,Big 12,42.7,10,3,10-3,10.22,-0.22,2.2,11.7,20,13
16,Virginia Tech,ACC,40.7,11,3,11-3,11.27,-0.27,-0.2,9.9,25,14
17,Auburn,SEC,37.5,9,4,9-4,9.42,-0.42,5.1,14.0,16,13
18,Michigan,Big Ten,25.7,9,4,9-4,9.89,-0.89,2.2,6.0,39,13
19,Florida,SEC,25.3,9,4,9-4,9.93,-0.93,5.2,21.8,2,13
20,Cincinnati,Big East,24.0,10,3,10-3,10.85,-0.85,-1.5,6.6,36,13
21,Utah,Mountain West,19.2,9,4,9-4,10.16,-1.16,3.2,8.4,31,13
22,Boston College,ACC,19.2,11,3,11-3,12.09,-1.09,-2.1,8.5,30,14
23,South Florida,Big East,16.9,9,4,9-4,10.27,-1.27,1.6,14.0,14,13
24,Illinois,Big Ten,15.6,9,4,9-4,10.26,-1.26,1.0,8.5,29,13
25,Mississippi State,SEC,13.9,8,5,8-5,9.58,-1.58,2.8,4.2,51,13
26,UCLA,Pac-10,13.3,6,7,6-7,7.82,-1.82,11.4,14.3,13,13
27,California,Pac-10,11.4,7,6,7-6,8.85,-1.85,8.4,13.2,18,13
28,Kentucky,SEC,10.8,8,5,8-5,9.77,-1.77,3.8,6.9,35,13
29,Texas Tech,Big 12,10.5,9,4,9-4,10.55,-1.55,-1.3,16.2,11,13
30,Arkansas,SEC,9.6,8,5,8-5,9.84,-1.84,1.9,8.0,32,13
31,New Mexico,Mountain West,8.0,9,4,9-4,10.84,-1.84,-0.5,4.3,49,13
32,Wisconsin,Big Ten,7.9,9,4,9-4,10.86,-1.86,-0.9,5.6,41,13
33,Air Force,Mountain West,7.8,9,4,9-4,10.8,-1.8,-1.6,5.2,44,13
34,Clemson,ACC,6.6,9,4,9-4,11.0,-2.0,-0.3,10.3,24,13
35,Arizona,Pac-10,6.0,5,7,5-7,7.34,-2.34,9.5,10.4,23,12
36,Penn State,Big Ten,5.8,9,4,9-4,11.07,-2.07,-1.7,7.9,33,13
37,Texas A&M,Big 12,5.7,7,6,7-6,9.31,-2.31,4.7,1.7,57,13
38,Fresno State,Western Athletic,5.4,9,4,9-4,10.92,-1.92,-2.2,3.6,54,13
39,Boise State,Western Athletic,5.2,10,3,10-3,11.77,-1.77,-5.1,8.6,28,13
40,UConn,Big East,4.9,9,4,9-4,11.05,-2.05,-3.6,-0.7,65,13
41,UCF,Conference USA,4.5,10,4,10-4,12.16,-2.16,-2.2,7.5,34,14
42,Oklahoma State,Big 12,3.7,7,6,7-6,9.68,-2.68,4.0,9.3,26,13
43,Tulsa,Conference USA,3.2,10,4,10-4,12.15,-2.15,-5.5,10.4,22,14
44,Washington State,Pac-10,3.1,5,7,5-7,7.79,-2.79,8.3,6.1,38,12
45,Troy,Sun Belt,3.1,8,4,8-4,10.04,-2.04,-4.2,5.9,40,12
46,Wake Forest,ACC,2.9,9,4,9-4,11.43,-2.43,-2.3,2.7,56,13
47,Virginia,ACC,2.6,9,4,9-4,11.44,-2.44,-1.3,0.6,59,13
48,South Carolina,SEC,2.1,6,6,6-6,8.84,-2.84,4.3,10.8,21,12
49,TCU,Mountain West,1.6,8,5,8-5,10.83,-2.83,0.5,8.8,27,13
50,Alabama,SEC,1.4,7,6,7-6,10.23,-3.23,3.0,5.2,43,13
51,Florida State,ACC,1.3,7,6,7-6,10.17,-3.17,2.0,4.2,50,13
52,Washington,Pac-10,0.9,4,9,4-9,7.92,-3.92,10.8,3.0,55,13
53,Florida Atlantic,Sun Belt,0.8,8,5,8-5,10.86,-2.86,-4.2,-5.0,77,13
54,Colorado,Big 12,0.7,6,7,6-7,9.57,-3.57,4.6,4.5,48,13
55,Stanford,Pac-10,0.6,4,8,4-8,7.81,-3.81,9.5,0.2,60,12
56,Nebraska,Big 12,0.6,5,7,5-7,8.52,-3.52,6.8,4.7,46,12
57,East Carolina,Conference USA,0.4,8,5,8-5,11.21,-3.21,-3.0,-8.5,89,13
58,Rutgers,Big East,0.4,8,5,8-5,11.36,-3.36,-3.5,3.6,53,13
59,Purdue,Big Ten,0.3,8,5,8-5,11.44,-3.44,-2.5,4.6,47,13
60,Louisville,Big East,0.3,6,6,6-6,9.69,-3.69,-0.2,4.9,45,12
61,Kansas State,Big 12,0.2,5,7,5-7,8.98,-3.98,2.6,4.1,52,12
62,Michigan State,Big Ten,0.2,7,6,7-6,11.0,-4.0,0.2,6.4,37,13
63,Houston,Conference USA,0.2,8,5,8-5,11.2,-3.2,-5.7,-3.2,71,13
64,Maryland,ACC,0.1,6,7,6-7,10.59,-4.59,0.3,1.5,58,13
65,Vanderbilt,SEC,0.1,5,7,5-7,9.17,-4.17,1.9,-2.2,69,12
66,Georgia Tech,ACC,0.1,7,6,7-6,11.26,-4.26,-2.6,-0.3,63,13
67,Indiana,Big Ten,0.1,7,6,7-6,11.33,-4.33,-2.1,-1.6,67,13
68,Tulane,Conference USA,0.0,4,8,4-8,10.86,-6.86,-8.0,-19.2,112,12
69,Idaho,Western Athletic,0.0,1,11,1-11,9.86,-8.86,-2.4,-15.3,106,12
70,Florida International,Sun Belt,0.0,1,11,1-11,10.29,-9.29,-2.3,-26.4,118,12
71,Toledo,Mid-American,0.0,5,7,5-7,11.0,-6.0,-8.4,-11.9,97,12
72,Eastern Michigan,Mid-American,0.0,4,8,4-8,11.33,-7.33,-8.2,-18.7,111,12
73,Iowa,Big Ten,0.0,6,6,6-6,10.57,-4.57,-3.2,-4.1,74,12
74,UL Monroe,Sun Belt,0.0,6,6,6-6,10.54,-4.54,-5.9,-8.0,87,12
75,Minnesota,Big Ten,0.0,1,11,1-11,10.41,-9.41,-1.7,-12.8,100,12
76,UNLV,Mountain West,0.0,2,10,2-10,9.55,-7.55,3.4,-4.1,75,12
77,UTEP,Conference USA,0.0,4,8,4-8,10.52,-6.52,-4.8,-8.9,90,12
78,Duke,ACC,0.0,1,11,1-11,10.53,-9.53,0.2,-16.4,108,12
79,Utah State,Western Athletic,0.0,2,10,2-10,9.76,-7.76,0.4,-12.3,99,12
80,Colorado State,Mountain West,0.0,3,9,3-9,9.55,-6.55,2.2,-5.2,78,12
81,Central Michigan,Mid-American,0.0,8,6,8-6,12.44,-4.44,-8.9,-3.1,70,14
82,Bowling Green,Mid-American,0.0,8,5,8-5,11.97,-3.97,-9.7,-9.5,92,13
83,Baylor,Big 12,0.0,3,9,3-9,8.83,-5.83,3.1,-13.3,102,12
84,Ball State,Mid-American,0.0,7,6,7-6,11.95,-4.95,-7.0,-6.3,82,13
85,Army,FBS Independents,0.0,3,9,3-9,10.53,-7.53,-4.6,-25.1,117,12
86,Western Kentucky,FBS Independents,0.0,7,5,7-5,10.97,-3.97,-12.6,-13.0,101,12
87,Western Michigan,Mid-American,0.0,5,7,5-7,10.43,-5.43,-7.5,-6.0,80,12
88,Arkansas State,Sun Belt,0.0,5,7,5-7,10.87,-5.87,-6.7,-12.0,98,12
89,Iowa State,Big 12,0.0,3,9,3-9,8.69,-5.69,3.6,-8.1,88,12
90,Syracuse,Big East,0.0,2,10,2-10,9.96,-7.96,1.9,-18.1,110,12
91,Temple,Mid-American,0.0,4,8,4-8,11.51,-7.51,-11.1,-20.9,114,12
92,Kent State,Mid-American,0.0,3,9,3-9,11.0,-8.0,-10.2,-15.2,105,12
93,Navy,FBS Independents,0.0,8,5,8-5,12.1,-4.1,-9.5,-3.5,73,13
94,Akron,Mid-American,0.0,4,8,4-8,11.03,-7.03,-9.0,-15.9,107,12
95,Nevada,Western Athletic,0.0,6,7,6-7,11.53,-5.53,-3.8,0.2,61,13
96,Middle Tennessee,Sun Belt,0.0,5,7,5-7,10.54,-5.54,-6.2,-10.2,94,12
97,New Mexico State,Western Athletic,0.0,4,9,4-9,11.11,-7.11,-4.1,-10.7,95,13
98,North Carolina,ACC,0.0,4,8,4-8,10.2,-6.2,-1.5,-6.0,81,12
99,North Texas,Sun Belt,0.0,2,10,2-10,10.58,-8.58,-5.4,-19.3,113,12
