sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.7,14,1,14-1,9.98,4.02,9.1,36.4,1,15
2,Clemson,ACC,99.6,14,1,14-1,10.35,3.65,7.4,25.8,3,15
3,Ohio State,Big Ten,91.1,11,2,11-2,9.11,1.89,7.3,24.0,5,13
4,Wisconsin,Big Ten,75.2,11,3,11-3,10.0,1.0,6.3,15.9,12,14
5,Florida State,ACC,74.8,10,3,10-3,9.0,1.0,7.2,19.9,8,13
6,Washington,Pac-12,74.8,12,2,12-2,11.11,0.89,2.6,25.9,2,14
7,Oklahoma,Big 12,69.0,11,2,11-2,10.25,0.75,4.1,18.4,9,13
8,USC,Pac-12,65.4,10,3,10-3,9.44,0.56,7.3,17.1,10,13
9,Penn State,Big Ten,64.9,11,3,11-3,10.42,0.58,6.1,16.1,11,14
10,Michigan,Big Ten,53.3,10,3,10-3,9.85,0.15,5.6,23.5,6,13
11,Western Michigan,Mid-American,52.0,13,1,13-1,12.89,0.11,-6.3,11.8,18,14
12,Stanford,Pac-12,49.8,10,3,10-3,9.94,0.06,5.4,8.1,30,13
13,LSU,SEC,41.6,8,4,8-4,8.27,-0.27,7.9,24.7,4,12
14,Colorado,Pac-12,37.2,10,4,10-4,10.42,-0.42,5.2,12.3,16,14
15,Florida,SEC,37.1,9,4,9-4,9.38,-0.38,6.2,13.9,15,13
16,Oklahoma State,Big 12,31.3,10,3,10-3,10.61,-0.61,2.0,11.6,22,13
17,West Virginia,Big 12,29.7,10,3,10-3,10.68,-0.68,2.5,10.1,23,13
18,South Florida,American Athletic,23.7,11,2,11-2,11.72,-0.72,-3.7,6.1,34,13
19,Auburn,SEC,23.6,8,5,8-5,8.96,-0.96,7.1,15.5,13,13
20,Miami,ACC,19.3,9,4,9-4,10.24,-1.24,2.6,14.8,14,13
21,Virginia Tech,ACC,19.1,10,4,10-4,11.18,-1.18,2.5,11.8,17,14
22,Tennessee,SEC,18.7,9,4,9-4,10.15,-1.15,4.6,9.1,27,13
23,Georgia Tech,ACC,17.4,9,4,9-4,10.26,-1.26,3.0,4.6,50,13
24,Louisville,ACC,16.5,9,4,9-4,10.16,-1.16,2.3,20.0,7,13
25,Kansas State,Big 12,13.9,9,4,9-4,10.48,-1.48,0.9,8.3,29,13
26,Nebraska,Big Ten,12.9,9,4,9-4,10.44,-1.44,2.1,3.2,54,13
27,Utah,Pac-12,10.5,9,4,9-4,10.61,-1.61,1.2,5.3,42,13
28,Texas A&M,SEC,10.0,8,5,8-5,9.68,-1.68,5.1,11.7,20,13
29,Pittsburgh,ACC,9.8,8,5,8-5,9.8,-1.8,3.4,11.6,21,13
30,Minnesota,Big Ten,8.4,9,4,9-4,10.79,-1.79,0.6,5.5,41,13
31,Tulsa,American Athletic,7.2,10,3,10-3,11.49,-1.49,-5.3,6.1,35,13
32,Arkansas,SEC,6.6,7,6,7-6,9.17,-2.17,5.9,4.0,52,13
33,Western Kentucky,Conference USA,5.7,11,3,11-3,12.47,-1.47,-6.4,9.7,25,14
34,Boise State,Mountain West,5.2,10,3,10-3,11.88,-1.88,-2.7,7.4,31,13
35,North Carolina,ACC,4.2,8,5,8-5,10.41,-2.41,1.5,10.1,24,13
36,Iowa,Big Ten,3.8,8,5,8-5,10.37,-2.37,2.0,7.4,32,13
37,Houston,American Athletic,3.8,9,4,9-4,11.16,-2.16,-2.9,5.8,39,13
38,App State,Sun Belt,2.9,10,3,10-3,11.98,-1.98,-7.2,4.6,49,13
39,Georgia,SEC,2.6,8,5,8-5,10.81,-2.81,2.5,5.0,46,13
40,BYU,FBS Independents,2.4,9,4,9-4,11.53,-2.53,-1.6,6.0,38,13
41,Washington State,Pac-12,2.1,8,5,8-5,10.69,-2.69,1.6,11.7,19,13
42,Old Dominion,Conference USA,1.8,10,3,10-3,12.07,-2.07,-10.7,-5.7,82,13
43,Troy,Sun Belt,1.8,10,3,10-3,11.84,-1.84,-7.8,-6.4,87,13
44,NC State,ACC,1.5,7,6,7-6,9.85,-2.85,3.8,9.6,26,13
45,Kentucky,SEC,1.2,7,6,7-6,9.93,-2.93,3.7,0.8,63,13
46,Northwestern,Big Ten,1.0,7,6,7-6,10.29,-3.29,3.1,8.6,28,13
47,Boston College,ACC,0.9,7,6,7-6,10.04,-3.04,0.5,-2.1,74,13
48,Ole Miss,SEC,0.9,5,7,5-7,8.22,-3.22,7.8,5.1,44,12
49,San Diego State,Mountain West,0.8,11,3,11-3,13.42,-2.42,-8.6,5.7,40,14
50,Temple,American Athletic,0.8,10,4,10-4,12.74,-2.74,-5.3,6.4,33,14
51,Wake Forest,ACC,0.7,7,6,7-6,10.1,-3.1,2.0,-1.8,73,13
52,Idaho,Sun Belt,0.7,9,4,9-4,11.41,-2.41,-7.4,-7.0,93,13
53,Air Force,Mountain West,0.7,10,3,10-3,12.45,-2.45,-7.8,0.3,64,13
54,Toledo,Mid-American,0.3,9,4,9-4,12.0,-3.0,-7.0,6.1,36,13
55,Mississippi State,SEC,0.2,6,7,6-7,9.81,-3.81,3.8,4.7,48,13
56,Navy,American Athletic,0.2,9,5,9-5,12.73,-3.73,-2.7,2.3,56,14
57,Memphis,American Athletic,0.2,8,5,8-5,11.7,-3.7,-2.9,2.5,55,13
58,Baylor,Big 12,0.2,7,6,7-6,10.89,-3.89,-0.2,5.2,43,13
