sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Georgia,SEC,99.5,14,1,14-1,10.22,3.78,6.4,32.5,1,15
2,Alabama,SEC,99.1,13,2,13-2,9.39,3.61,7.8,26.2,2,15
3,Michigan,Big Ten,92.8,12,2,12-2,10.01,1.99,5.1,18.8,5,14
4,Oklahoma State,Big 12,88.3,12,2,12-2,10.1,1.9,5.1,18.9,4,14
5,Baylor,Big 12,88.0,12,2,12-2,10.22,1.78,4.1,13.8,14,14
6,Cincinnati,American Athletic,87.5,13,1,13-1,11.68,1.32,-1.4,16.8,7,14
7,Michigan State,Big Ten,83.4,11,2,11-2,9.61,1.39,3.9,9.4,30,13
8,Ohio State,Big Ten,81.2,11,2,11-2,9.68,1.32,4.4,24.1,3,13
9,Oklahoma,Big 12,80.5,11,2,11-2,9.73,1.27,4.0,13.8,13,13
10,Ole Miss,SEC,74.8,10,3,10-3,8.96,1.04,6.3,13.1,16,13
11,Notre Dame,FBS Independents,71.4,11,2,11-2,10.18,0.82,3.9,16.7,8,13
12,Clemson,ACC,61.5,10,3,10-3,9.55,0.45,2.8,10.0,28,13
13,Arkansas,SEC,58.4,9,4,9-4,8.67,0.33,6.1,14.8,10,13
14,Louisiana,Sun Belt,52.7,13,1,13-1,12.84,0.16,-7.4,3.4,55,14
15,Kentucky,SEC,44.3,10,3,10-3,10.12,-0.12,1.0,10.4,27,13
16,San Diego State,Mountain West,42.5,12,2,12-2,12.17,-0.17,-2.8,3.6,54,14
17,Iowa,Big Ten,40.5,10,4,10-4,10.34,-0.34,5.1,4.6,49,14
18,Purdue,Big Ten,40.2,9,4,9-4,9.33,-0.33,4.9,11.1,23,13
19,Oregon,Pac-12,39.4,10,4,10-4,10.36,-0.36,3.8,8.5,34,14
20,Houston,American Athletic,38.1,12,2,12-2,12.29,-0.29,-4.9,8.1,38,14
21,BYU,FBS Independents,33.1,10,3,10-3,10.55,-0.55,0.5,8.6,33,13
22,Wake Forest,ACC,28.8,11,3,11-3,11.72,-0.72,-0.7,8.9,32,14
23,Wisconsin,Big Ten,27.7,9,4,9-4,9.84,-0.84,4.3,16.2,9,13
24,Utah,Pac-12,26.2,10,4,10-4,10.9,-0.9,2.8,16.9,6,14
25,NC State,ACC,23.2,9,3,9-3,9.93,-0.93,0.2,13.3,15,12
26,UTSA,Conference USA,23.0,12,2,12-2,12.77,-0.77,-5.6,1.4,63,14
27,Pittsburgh,ACC,21.3,11,3,11-3,12.01,-1.01,-2.6,11.9,18,14
28,Texas A&M,SEC,20.4,8,4,8-4,9.09,-1.09,2.1,14.4,12,12
29,Utah State,Mountain West,16.6,11,3,11-3,12.22,-1.22,-2.9,2.7,59,14
30,Fresno State,Mountain West,13.9,10,3,10-3,11.32,-1.32,-4.1,6.6,45,13
31,Minnesota,Big Ten,13.7,9,4,9-4,10.43,-1.43,1.5,8.5,35,13
32,Air Force,Mountain West,10.1,10,3,10-3,11.53,-1.53,-2.9,8.4,36,13
33,Kansas State,Big 12,8.9,8,5,8-5,9.97,-1.97,3.2,12.0,17,13
34,Mississippi State,SEC,7.1,7,6,7-6,9.22,-2.22,4.9,10.7,26,13
35,UCLA,Pac-12,6.5,8,4,8-4,9.98,-1.98,2.1,10.8,24,12
36,Auburn,SEC,6.1,6,7,6-7,8.35,-2.35,7.0,11.4,21,13
37,Texas Tech,Big 12,5.5,7,6,7-6,9.46,-2.46,2.7,4.0,53,13
38,Tennessee,SEC,5.1,7,6,7-6,9.23,-2.23,3.8,11.9,19,13
39,UCF,American Athletic,5.0,9,4,9-4,11.07,-2.07,-3.3,1.1,66,13
40,LSU,SEC,4.8,6,7,6-7,8.65,-2.65,7.0,8.3,37,13
41,Penn State,Big Ten,4.5,7,6,7-6,9.39,-2.39,3.5,11.5,20,13
42,Miami,ACC,4.3,7,5,7-5,9.3,-2.3,1.6,4.8,48,12
43,Army,FBS Independents,3.9,9,4,9-4,11.2,-2.2,-4.3,-0.8,74,13
44,Arizona State,Pac-12,3.7,8,5,8-5,10.4,-2.4,0.5,11.3,22,13
45,South Carolina,SEC,3.7,7,6,7-6,9.56,-2.56,4.2,1.9,62,13
46,Iowa State,Big 12,3.4,7,6,7-6,9.75,-2.75,3.1,14.5,11,13
47,Boise State,Mountain West,2.9,7,5,7-5,9.69,-2.69,2.5,9.7,29,12
48,UAB,Conference USA,2.7,9,4,9-4,11.13,-2.13,-3.4,6.0,46,13
49,Coastal Carolina,Sun Belt,2.6,11,2,11-2,12.55,-1.55,-13.5,5.1,47,13
50,App State,Sun Belt,1.9,10,4,10-4,12.62,-2.62,-5.0,6.8,44,14
51,SMU,American Athletic,1.7,8,4,8-4,10.48,-2.48,-2.9,2.5,60,12
52,Nevada,Mountain West,1.5,8,5,8-5,10.96,-2.96,-1.6,4.3,51,13
53,Maryland,Big Ten,1.1,7,6,7-6,10.13,-3.13,1.9,2.7,58,13
54,West Virginia,Big 12,1.0,6,7,6-7,9.58,-3.58,4.1,4.2,52,13
55,Texas,Big 12,1.0,5,7,5-7,8.49,-3.49,5.6,8.1,39,12
56,Oregon State,Pac-12,0.6,7,6,7-6,10.6,-3.6,1.0,7.8,40,13
57,East Carolina,American Athletic,0.6,7,5,7-5,10.27,-3.27,-2.5,0.7,68,12
58,TCU,Big 12,0.6,5,7,5-7,8.66,-3.66,4.5,-0.7,73,12
59,Washington State,Pac-12,0.5,7,6,7-6,10.62,-3.62,0.9,4.6,50,13
60,Virginia,ACC,0.4,6,6,6-6,9.65,-3.65,-0.1,1.3,65,12
61,Central Michigan,Mid-American,0.4,9,4,9-4,12.03,-3.03,-8.2,-4.1,88,13
62,Florida,SEC,0.4,6,7,6-7,9.62,-3.62,3.2,9.0,31,13
63,Tulsa,American Athletic,0.3,7,6,7-6,10.26,-3.26,-1.8,0.8,67,13
64,Missouri,SEC,0.3,6,7,6-7,9.81,-3.81,3.2,-1.1,77,13
65,Louisville,ACC,0.2,6,7,6-7,10.3,-4.3,2.0,7.3,41,13
66,Florida State,ACC,0.2,5,7,5-7,9.36,-4.36,1.6,7.2,43,12
67,Western Kentucky,Conference USA,0.1,9,5,9-5,12.78,-3.78,-7.2,7.3,42,14
68,Boston College,ACC,0.1,6,6,6-6,10.23,-4.23,-3.3,-3.2,85,12
69,Northern Illinois,Mid-American,0.1,9,5,9-5,12.69,-3.69,-7.1,-9.5,102,14
70,Western Michigan,Mid-American,0.1,8,5,8-5,11.42,-3.42,-6.8,-0.3,72,13
71,Georgia State,Sun Belt,0.1,8,5,8-5,11.63,-3.63,-6.5,-1.0,76,13
72,North Carolina,ACC,0.1,6,7,6-7,10.48,-4.48,0.4,2.9,57,13
73,Illinois,Big Ten,0.1,5,7,5-7,9.43,-4.43,2.3,-2.4,82,12
74,Liberty,FBS Independents,0.1,8,5,8-5,11.77,-3.77,-6.9,3.3,56,13
75,Texas State,Sun Belt,0.0,4,8,4-8,11.0,-7.0,-9.5,-18.5,118,12
76,UNLV,Mountain West,0.0,2,10,2-10,9.85,-7.85,0.0,-8.6,99,12
77,UTEP,Conference USA,0.0,7,6,7-6,11.89,-4.89,-8.2,-3.2,86,13
78,Southern Miss,Conference USA,0.0,3,9,3-9,10.64,-7.64,-6.9,-19.3,121,12
79,Stanford,Pac-12,0.0,3,9,3-9,8.87,-5.87,6.2,-7.2,92,12
80,UL Monroe,Sun Belt,0.0,4,8,4-8,10.3,-6.3,-3.9,-14.0,112,12
81,UConn,FBS Independents,0.0,1,11,1-11,10.46,-9.46,-5.4,-23.8,127,12
82,Vanderbilt,SEC,0.0,2,10,2-10,8.88,-6.88,2.7,-14.0,110,12
83,Tulane,American Athletic,0.0,2,10,2-10,9.45,-7.45,2.1,-2.6,83,12
84,Syracuse,ACC,0.0,5,7,5-7,9.8,-4.8,0.6,0.7,69,12
85,Troy,Sun Belt,0.0,5,7,5-7,11.0,-6.0,-6.7,-9.8,103,12
86,Virginia Tech,ACC,0.0,6,7,6-7,11.13,-5.13,-1.8,-3.0,84,13
87,Toledo,Mid-American,0.0,7,6,7-6,12.12,-5.12,-11.2,1.3,64,13
88,USC,Pac-12,0.0,4,8,4-8,9.25,-5.25,4.0,-0.2,71,12
89,Washington,Pac-12,0.0,4,8,4-8,9.83,-5.83,-0.5,-2.1,80,12
90,Temple,American Athletic,0.0,3,9,3-9,10.59,-7.59,-4.1,-21.2,124,12
91,South Florida,American Athletic,0.0,2,10,2-10,9.56,-7.56,1.1,-11.2,106,12
92,Navy,American Athletic,0.0,4,8,4-8,9.64,-5.64,2.6,-3.5,87,12
93,South Alabama,Sun Belt,0.0,5,7,5-7,10.93,-5.93,-9.5,-8.4,98,12
94,Colorado State,Mountain West,0.0,3,9,3-9,10.57,-7.57,-3.1,-0.9,75,12
95,Hawai'i,Mountain West,0.0,6,7,6-7,11.32,-5.32,-3.5,-2.4,81,13
96,Georgia Tech,ACC,0.0,3,9,3-9,9.14,-6.14,1.6,-10.7,105,12
97,Georgia Southern,Sun Belt,0.0,3,9,3-9,10.48,-7.48,-4.4,-15.0,113,12
98,Florida International,Conference USA,0.0,1,11,1-11,11.24,-10.24,-8.7,-28.1,130,12
99,Florida Atlantic,Conference USA,0.0,5,7,5-7,10.54,-5.54,-6.3,-7.2,93,12
100,Eastern Michigan,Mid-American,0.0,7,6,7-6,11.87,-4.87,-8.9,-14.0,111,13
101,Duke,ACC,0.0,3,9,3-9,10.52,-7.52,-4.0,-21.5,125,12
102,Colorado,Pac-12,0.0,4,8,4-8,8.98,-4.98,3.8,-7.8,95,12
103,San José State,Mountain West,0.0,5,7,5-7,10.79,-5.79,-3.4,-7.2,91,12
104,Charlotte,Conference USA,0.0,5,7,5-7,11.3,-6.3,-10.1,-20.0,123,12
105,California,Pac-12,0.0,5,7,5-7,10.36,-5.36,-1.2,2.3,61,12
106,Buffalo,Mid-American,0.0,4,8,4-8,11.2,-7.2,-9.4,-16.9,117,12
107,Bowling Green,Mid-American,0.0,4,8,4-8,10.96,-6.96,-8.9,-18.7,120,12
108,Ball State,Mid-American,0.0,6,7,6-7,11.98,-5.98,-6.9,-13.8,109,13
109,Arkansas State,Sun Belt,0.0,2,10,2-10,11.06,-9.06,-5.7,-22.0,126,12
110,Arizona,Pac-12,0.0,1,11,1-11,9.49,-8.49,2.7,-8.7,100,12
111,Indiana,Big Ten,0.0,2,10,2-10,8.06,-6.06,6.9,-8.2,97,12
112,Kansas,Big 12,0.0,2,10,2-10,8.75,-6.75,4.0,-15.7,114,12
113,Kent State,Mid-American,0.0,7,7,7-7,12.69,-5.69,-7.8,-9.9,104,14
114,Louisiana Tech,Conference USA,0.0,3,9,3-9,10.46,-7.46,-5.2,-11.6,107,12
115,Rutgers,Big Ten,0.0,5,8,5-8,9.78,-4.78,1.9,-8.1,96,13
116,Rice,Conference USA,0.0,4,8,4-8,10.16,-6.16,-3.2,-16.1,116,12
117,Old Dominion,Conference USA,0.0,6,7,6-7,11.84,-5.84,-7.7,-7.3,94,13
118,Ohio,Mid-American,0.0,3,9,3-9,11.5,-8.5,-10.3,-15.7,115,12
119,Northwestern,Big Ten,0.0,3,9,3-9,9.23,-6.23,0.6,-11.9,108,12
120,North Texas,Conference USA,0.0,6,7,6-7,12.12,-6.12,-7.3,-6.4,90,13
121,New Mexico State,FBS Independents,0.0,2,10,2-10,9.96,-7.96,-3.2,-19.4,122,12
122,New Mexico,Mountain West,0.0,3,9,3-9,9.99,-6.99,-1.1,-18.7,119,12
123,Nebraska,Big Ten,0.0,3,9,3-9,8.39,-5.39,4.3,10.8,25,12
124,Akron,Mid-American,0.0,2,10,2-10,10.37,-8.37,-7.4,-25.1,128,12
125,Middle Tennessee,Conference USA,0.0,7,6,7-6,11.97,-4.97,-9.2,-8.9,101,13
126,Miami (OH),Mid-American,0.0,7,6,7-6,11.79,-4.79,-9.6,-4.8,89,13
127,Memphis,American Athletic,0.0,6,6,6-6,10.71,-4.71,-4.0,-1.8,78,12
128,Massachusetts,FBS Independents,0.0,1,11,1-11,10.53,-9.53,-6.7,-27.2,129,12
129,Marshall,Conference USA,0.0,7,6,7-6,11.87,-4.87,-6.3,0.3,70,13
130,Wyoming,Mountain West,0.0,7,6,7-6,11.7,-4.7,-6.4,-2.0,79,13
