sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Washington,Pac-12,99.9,13,0,13-0,9.33,3.67,7.6,18.7,11,13
2,Michigan,Big Ten,98.1,13,0,13-0,10.86,2.14,1.8,24.3,3,13
3,Florida State,ACC,97.0,13,0,13-0,10.8,2.2,1.5,17.6,14,13
4,Alabama,SEC,95.4,12,1,12-1,9.67,2.33,5.8,20.5,9,13
5,Ohio State,Big Ten,92.7,11,1,11-1,9.34,1.66,2.9,26.3,2,12
6,Texas,Big 12,91.0,12,1,12-1,10.23,1.77,5.4,19.4,10,13
7,Georgia,SEC,86.5,12,1,12-1,10.53,1.47,2.5,24.3,4,13
8,Ole Miss,SEC,73.8,10,2,10-2,9.2,0.8,2.8,12.6,22,12
9,Missouri,SEC,67.4,10,2,10-2,9.38,0.62,4.4,18.1,12,12
10,Oregon,Pac-12,65.6,11,2,11-2,10.42,0.58,3.3,29.6,1,13
11,Liberty,Conference USA,64.0,13,0,13-0,12.68,0.32,-7.8,9.5,28,13
12,Penn State,Big Ten,54.4,10,2,10-2,9.85,0.15,0.9,23.2,5,12
13,Oklahoma,Big 12,47.5,10,2,10-2,10.01,-0.01,3.4,20.7,8,12
14,LSU,SEC,44.0,9,3,9-3,9.17,-0.17,4.1,21.8,7,12
15,James Madison,Sun Belt,31.8,11,1,11-1,11.35,-0.35,-5.8,10.6,24,12
16,Utah,Pac-12,30.4,8,4,8-4,8.68,-0.68,6.5,8.5,32,12
17,Notre Dame,FBS Independents,28.3,9,3,9-3,9.69,-0.69,0.8,22.8,6,12
18,Louisville,ACC,25.6,10,3,10-3,10.8,-0.8,2.8,15.6,17,13
19,Iowa,Big Ten,25.3,10,3,10-3,10.73,-0.73,2.2,1.7,54,13
20,Arizona,Pac-12,21.4,9,3,9-3,9.98,-0.98,1.7,16.5,15,12
21,NC State,ACC,21.3,9,3,9-3,9.98,-0.98,1.9,6.7,38,12
22,SMU,American Athletic,18.8,11,2,11-2,11.81,-0.81,-7.8,9.6,27,13
23,Tennessee,SEC,18.1,8,4,8-4,9.17,-1.17,3.3,12.9,21,12
24,Oklahoma State,Big 12,16.1,9,4,9-4,10.36,-1.36,3.7,2.6,51,13
25,Oregon State,Pac-12,16.0,8,4,8-4,9.25,-1.25,4.0,17.6,13,12
26,Kansas State,Big 12,15.2,8,4,8-4,9.37,-1.37,4.5,15.7,16,12
27,Troy,Sun Belt,13.6,11,2,11-2,12.03,-1.03,-5.5,9.0,29,13
28,Tulane,American Athletic,10.3,11,2,11-2,12.21,-1.21,-5.8,-0.2,64,13
29,Clemson,ACC,9.5,8,4,8-4,9.74,-1.74,2.9,11.0,23,12
30,Kansas,Big 12,9.0,8,4,8-4,9.71,-1.71,2.1,13.9,19,12
31,USC,Pac-12,7.3,7,5,7-5,8.88,-1.88,6.7,13.0,20,12
32,Miami (OH),Mid-American,6.1,11,2,11-2,12.37,-1.37,-10.1,-3.9,81,13
33,West Virginia,Big 12,5.6,8,4,8-4,9.83,-1.83,1.1,3.4,48,12
34,Kentucky,SEC,5.1,7,5,7-5,9.14,-2.14,2.6,6.6,39,12
35,Texas A&M,SEC,3.9,7,5,7-5,9.33,-2.33,2.7,15.1,18,12
