sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.9,13,0,13-0,8.48,4.52,6.3,26.6,1,13
2,Florida,SEC,98.3,12,1,12-1,8.98,3.02,5.5,25.3,2,13
3,Texas,Big 12,97.5,13,0,13-0,10.59,2.41,1.5,23.7,3,13
4,TCU,Mountain West,91.1,12,0,12-0,10.57,1.43,-4.7,23.2,4,12
5,Boise State,Western Athletic,90.4,13,0,13-0,11.62,1.38,-5.9,17.1,7,13
6,Cincinnati,Big East,89.6,12,0,12-0,10.63,1.37,-2.7,10.6,25,12
7,LSU,SEC,79.6,9,3,9-3,7.82,1.18,7.2,15.2,10,12
8,Georgia Tech,ACC,77.4,11,2,11-2,9.84,1.16,4.2,13.1,17,13
9,Oregon,Pac-10,71.5,10,2,10-2,9.13,0.87,4.8,17.5,5,12
10,Iowa,Big Ten,57.9,10,2,10-2,9.7,0.3,0.4,7.0,35,12
11,Oklahoma State,Big 12,43.5,9,3,9-3,9.18,-0.18,2.2,7.9,32,12
12,Ohio State,Big Ten,43.5,10,2,10-2,10.13,-0.13,0.3,11.7,22,12
13,BYU,Mountain West,42.4,10,2,10-2,10.18,-0.18,-2.2,11.8,21,12
14,Virginia Tech,ACC,40.3,9,3,9-3,9.27,-0.27,4.5,14.7,11,12
15,Miami,ACC,40.0,9,3,9-3,9.31,-0.31,2.9,15.3,9,12
16,Ole Miss,SEC,36.2,8,4,8-4,8.49,-0.49,3.2,14.5,13,12
17,Arkansas,SEC,35.3,7,5,7-5,7.54,-0.54,7.4,17.0,8,12
18,Georgia,SEC,29.9,7,5,7-5,7.8,-0.8,8.3,13.2,15,12
19,South Carolina,SEC,26.5,7,5,7-5,7.87,-0.87,6.6,11.9,20,12
20,Penn State,Big Ten,24.4,10,2,10-2,10.73,-0.73,-3.2,14.6,12,12
21,USC,Pac-10,24.3,8,4,8-4,9.0,-1.0,3.3,7.2,34,12
22,Auburn,SEC,24.1,7,5,7-5,8.03,-1.03,6.8,13.4,14,12
23,Nebraska,Big 12,19.9,9,4,9-4,10.11,-1.11,1.6,7.7,33,13
24,Arizona,Pac-10,19.2,8,4,8-4,9.25,-1.25,2.3,10.4,26,12
25,Utah,Mountain West,19.1,9,3,9-3,9.9,-0.9,-3.4,5.5,42,12
26,Kentucky,SEC,17.5,7,5,7-5,8.29,-1.29,4.7,5.0,44,12
27,Tennessee,SEC,16.9,7,5,7-5,8.27,-1.27,5.4,12.4,19,12
28,California,Pac-10,16.3,8,4,8-4,9.36,-1.36,1.5,5.8,40,12
29,Central Michigan,Mid-American,15.3,11,2,11-2,12.0,-1.0,-8.7,4.4,47,13
30,Texas Tech,Big 12,15.1,8,4,8-4,9.33,-1.33,0.9,12.7,18,12
31,Oregon State,Pac-10,14.2,8,4,8-4,9.47,-1.47,0.9,10.8,23,12
32,Stanford,Pac-10,14.1,8,4,8-4,9.49,-1.49,2.2,9.1,29,12
33,Oklahoma,Big 12,12.0,7,5,7-5,8.68,-1.68,4.9,17.2,6,12
34,West Virginia,Big East,11.3,9,3,9-3,10.41,-1.41,-1.8,4.5,46,12
35,Wisconsin,Big Ten,11.0,9,3,9-3,10.47,-1.47,-0.9,13.1,16,12
36,Clemson,ACC,10.1,8,5,8-5,9.79,-1.79,3.6,10.0,28,13
37,Houston,Conference USA,9.5,10,3,10-3,11.51,-1.51,-5.9,4.8,45,13
38,North Carolina,ACC,8.0,8,4,8-4,9.81,-1.81,-0.5,8.1,31,12
39,Missouri,Big 12,7.9,8,4,8-4,9.8,-1.8,0.7,4.1,48,12
40,Boston College,ACC,6.8,8,4,8-4,9.96,-1.96,0.4,1.9,53,12
41,Fresno State,Western Athletic,6.1,8,4,8-4,9.91,-1.91,-3.6,2.2,52,12
42,Pittsburgh,Big East,5.1,9,3,9-3,10.88,-1.88,-3.1,6.3,38,12
43,Troy,Sun Belt,4.8,9,3,9-3,10.37,-1.37,-6.9,-0.3,61,12
44,Northwestern,Big Ten,4.0,8,4,8-4,10.24,-2.24,-2.2,3.2,51,12
45,Mississippi State,SEC,3.6,5,7,5-7,7.67,-2.67,8.4,10.6,24,12
46,Florida State,ACC,2.6,6,6,6-6,8.76,-2.76,4.4,6.5,36,12
47,UCLA,Pac-10,2.0,6,6,6-6,9.04,-3.04,4.2,5.1,43,12
48,Middle Tennessee,Sun Belt,2.0,9,3,9-3,11.06,-2.06,-9.2,-6.2,87,12
49,UCF,Conference USA,1.9,8,4,8-4,10.25,-2.25,-4.7,-3.1,72,12
50,East Carolina,Conference USA,1.8,9,4,9-4,11.55,-2.55,-4.1,0.7,58,13
51,Navy,FBS Independents,1.4,9,4,9-4,11.61,-2.61,-6.0,0.2,60,13
52,Washington,Pac-10,0.8,5,7,5-7,8.84,-3.84,5.6,1.3,55,12
53,Minnesota,Big Ten,0.8,6,6,6-6,9.51,-3.51,2.9,1.1,57,12
54,Texas A&M,Big 12,0.8,6,6,6-6,9.09,-3.09,3.5,8.2,30,12
55,Nevada,Western Athletic,0.8,8,4,8-4,10.67,-2.67,-5.1,10.3,27,12
56,Temple,Mid-American,0.7,9,3,9-3,11.18,-2.18,-10.6,-8.5,92,12
57,South Florida,Big East,0.6,7,5,7-5,10.29,-3.29,-3.9,-1.6,66,12
58,UConn,Big East,0.5,7,5,7-5,10.35,-3.35,-1.9,-0.9,63,12
59,Rutgers,Big East,0.5,8,4,8-4,11.0,-3.0,-6.6,-6.2,86,12
60,Kansas State,Big 12,0.3,6,6,6-6,9.68,-3.68,-0.8,-1.9,69,12
61,Ohio,Mid-American,0.2,9,4,9-4,12.07,-3.07,-7.7,-9.2,94,13
62,Notre Dame,FBS Independents,0.2,6,6,6-6,10.18,-4.18,1.3,5.7,41,12
63,Air Force,Mountain West,0.2,7,5,7-5,10.23,-3.23,-4.3,3.3,50,12
64,Wyoming,Mountain West,0.2,6,6,6-6,9.63,-3.63,-1.1,-12.0,100,12
65,Idaho,Western Athletic,0.2,7,5,7-5,10.43,-3.43,-3.9,-3.5,75,12
66,Michigan State,Big Ten,0.2,6,6,6-6,9.94,-3.94,0.4,3.4,49,12
67,Iowa State,Big 12,0.1,6,6,6-6,10.28,-4.28,-1.6,-5.4,82,12
68,SMU,Conference USA,0.1,7,5,7-5,10.56,-3.56,-6.8,-6.7,89,12
69,Bowling Green,Mid-American,0.0,7,5,7-5,10.89,-3.89,-4.8,-5.8,84,12
70,Duke,ACC,0.0,5,7,5-7,9.76,-4.76,-1.3,-4.2,79,12
71,Tulane,Conference USA,0.0,3,9,3-9,10.68,-7.68,-5.4,-18.1,112,12
72,Tulsa,Conference USA,0.0,5,7,5-7,10.51,-5.51,-6.1,-3.2,73,12
73,UAB,Conference USA,0.0,5,7,5-7,10.66,-5.66,-5.0,-1.8,67,12
74,Colorado State,Mountain West,0.0,3,9,3-9,9.95,-6.95,-1.7,-8.5,93,12
75,Colorado,Big 12,0.0,3,9,3-9,9.67,-6.67,2.4,-1.3,64,12
76,Buffalo,Mid-American,0.0,5,7,5-7,11.43,-6.43,-8.8,-10.0,95,12
77,UL Monroe,Sun Belt,0.0,6,6,6-6,10.48,-4.48,-8.0,-11.2,98,12
78,UNLV,Mountain West,0.0,5,7,5-7,9.75,-4.75,-0.4,-15.7,110,12
79,UTEP,Conference USA,0.0,4,8,4-8,10.69,-6.69,-6.1,-12.3,102,12
80,Eastern Michigan,Mid-American,0.0,0,12,0-12,10.64,-10.64,-5.8,-24.9,120,12
81,Baylor,Big 12,0.0,4,8,4-8,9.03,-5.03,3.3,-4.6,80,12
82,Utah State,Western Athletic,0.0,4,8,4-8,9.81,-5.81,-2.1,-10.2,96,12
83,Vanderbilt,SEC,0.0,2,10,2-10,8.13,-6.13,5.0,-3.7,77,12
84,Virginia,ACC,0.0,3,9,3-9,8.95,-5.95,3.8,-1.8,68,12
85,Ball State,Mid-American,0.0,2,10,2-10,11.11,-9.11,-8.9,-14.8,105,12
86,Wake Forest,ACC,0.0,5,7,5-7,9.77,-4.77,1.4,0.3,59,12
87,Army,FBS Independents,0.0,5,7,5-7,11.48,-6.48,-10.1,-15.4,109,12
88,Washington State,Pac-10,0.0,1,11,1-11,9.07,-8.07,5.4,-22.5,117,12
89,Arkansas State,Sun Belt,0.0,4,8,4-8,11.19,-7.19,-10.3,-14.7,104,12
