sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.9,13,0,13-0,9.18,3.82,6.0,38.5,1,13
2,Notre Dame,FBS Independents,95.5,12,0,12-0,10.1,1.9,2.7,17.6,8,12
3,Georgia,SEC,94.1,11,2,11-2,8.84,2.16,7.7,29.3,3,13
4,Clemson,ACC,93.4,13,0,13-0,11.25,1.75,0.1,29.4,2,13
5,LSU,SEC,84.8,9,3,9-3,7.62,1.38,7.6,17.1,9,12
6,Ohio State,Big Ten,83.2,12,1,12-1,10.76,1.24,2.6,16.3,11,13
7,UCF,American Athletic,81.8,12,0,12-0,11.07,0.93,-5.1,16.2,12,12
8,Oklahoma,Big 12,78.3,12,1,12-1,10.93,1.07,4.1,20.0,7,13
9,Kentucky,SEC,71.8,9,3,9-3,8.22,0.78,5.6,13.1,17,12
10,Florida,SEC,69.1,9,3,9-3,8.3,0.7,5.2,17.0,10,12
11,Texas A&M,SEC,58.9,8,4,8-4,7.68,0.32,9.6,14.2,14,12
12,Michigan,Big Ten,58.5,10,2,10-2,9.67,0.33,3.8,23.7,5,12
13,Missouri,SEC,41.6,8,4,8-4,8.24,-0.24,8.5,20.4,6,12
14,Mississippi State,SEC,34.2,8,4,8-4,8.52,-0.52,6.5,24.9,4,12
15,Washington State,Pac-12,32.3,10,2,10-2,10.48,-0.48,-1.3,12.2,20,12
16,Penn State,Big Ten,31.9,9,3,9-3,9.56,-0.56,4.0,13.1,16,12
17,Washington,Pac-12,31.8,10,3,10-3,10.6,-0.6,2.1,14.6,13,13
18,South Carolina,SEC,28.8,7,5,7-5,7.78,-0.78,7.1,9.4,28,12
19,Auburn,SEC,26.3,7,5,7-5,7.78,-0.78,8.2,13.0,18,12
20,Syracuse,ACC,21.5,9,3,9-3,9.84,-0.84,-1.8,4.9,44,12
21,West Virginia,Big 12,18.0,8,3,8-3,9.12,-1.12,2.1,13.6,15,11
22,Cincinnati,American Athletic,17.9,10,2,10-2,10.88,-0.88,-6.1,10.5,24,12
23,Fresno State,Mountain West,17.2,11,2,11-2,11.95,-0.95,-5.5,10.7,23,13
24,Texas,Big 12,16.0,9,4,9-4,10.36,-1.36,5.3,9.7,26,13
25,Utah State,Mountain West,12.3,10,2,10-2,11.12,-1.12,-8.1,11.8,22,12
26,Army,FBS Independents,12.2,10,2,10-2,10.99,-0.99,-7.9,3.0,52,12
27,Stanford,Pac-12,12.2,8,4,8-4,9.57,-1.57,2.4,7.9,32,12
28,Utah,Pac-12,10.8,9,4,9-4,10.72,-1.72,2.8,12.6,19,13
29,Boise State,Mountain West,9.2,10,3,10-3,11.6,-1.6,-1.8,9.1,30,13
30,Iowa State,Big 12,8.6,8,4,8-4,9.81,-1.81,1.9,9.4,27,12
31,Northwestern,Big Ten,7.5,8,5,8-5,10.06,-2.06,4.7,3.3,51,13
32,App State,Sun Belt,6.6,10,2,10-2,11.29,-1.29,-9.4,7.8,34,12
33,NC State,ACC,5.4,9,3,9-3,10.54,-1.54,-3.7,7.9,33,12
34,Michigan State,Big Ten,5.3,7,5,7-5,9.3,-2.3,5.2,6.8,38,12
35,Tennessee,SEC,4.3,5,7,5-7,7.45,-2.45,8.8,2.3,54,12
36,Oregon,Pac-12,3.9,8,4,8-4,10.22,-2.22,-1.9,5.5,41,12
37,Iowa,Big Ten,3.7,8,4,8-4,10.33,-2.33,1.0,11.9,21,12
38,Vanderbilt,SEC,3.6,6,6,6-6,8.42,-2.42,6.9,10.1,25,12
39,Pittsburgh,ACC,1.9,7,6,7-6,9.85,-2.85,4.5,7.5,36,13
