sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.5,13,0,13-0,9.61,3.39,6.1,37.1,1,13
2,Ohio State,Big Ten,95.4,11,1,11-1,8.75,2.25,6.3,26.6,3,12
3,Clemson,ACC,90.8,12,1,12-1,10.24,1.76,2.7,20.5,6,13
4,Washington,Pac-12,85.5,12,1,12-1,10.61,1.39,1.4,27.6,2,13
5,Penn State,Big Ten,84.9,11,2,11-2,9.6,1.4,6.6,17.1,10,13
6,Western Michigan,Mid-American,76.3,13,0,13-0,12.32,0.68,-7.5,12.6,17,13
7,Michigan,Big Ten,76.2,10,2,10-2,9.03,0.97,5.9,25.7,4,12
8,Wisconsin,Big Ten,74.2,10,3,10-3,9.09,0.91,6.7,16.3,13,13
9,Colorado,Pac-12,68.7,10,3,10-3,9.31,0.69,6.3,16.5,11,13
10,USC,Pac-12,61.6,9,3,9-3,8.58,0.42,7.9,18.7,8,12
11,Stanford,Pac-12,52.9,9,3,9-3,8.85,0.15,6.2,9.1,25,12
12,Oklahoma,Big 12,51.2,10,2,10-2,9.89,0.11,1.9,15.6,14,12
13,Florida State,ACC,45.6,9,3,9-3,9.11,-0.11,4.2,17.1,9,12
14,Nebraska,Big Ten,33.3,9,3,9-3,9.49,-0.49,2.6,5.3,44,12
15,West Virginia,Big 12,33.1,10,2,10-2,10.45,-0.45,-0.2,8.9,26,12
16,Auburn,SEC,27.4,8,4,8-4,8.74,-0.74,5.3,16.4,12,12
17,LSU,SEC,24.4,7,4,7-4,7.87,-0.87,6.5,22.4,5,11
18,Florida,SEC,24.0,8,4,8-4,8.82,-0.82,5.2,11.3,20,12
19,South Florida,American Athletic,22.4,10,2,10-2,10.77,-0.77,-3.8,6.3,37,12
20,Texas A&M,SEC,21.5,8,4,8-4,8.95,-0.95,4.7,12.0,18,12
21,Boise State,Mountain West,21.2,10,2,10-2,10.83,-0.83,-2.3,10.3,22,12
22,Utah,Pac-12,15.3,8,4,8-4,9.3,-1.3,2.6,6.5,36,12
23,Louisville,ACC,14.7,9,3,9-3,10.17,-1.17,-0.9,20.0,7,12
24,Oklahoma State,Big 12,14.7,9,3,9-3,10.26,-1.26,-0.1,7.4,32,12
25,Pittsburgh,ACC,14.0,8,4,8-4,9.41,-1.41,1.5,11.4,19,12
26,Tennessee,SEC,13.0,8,4,8-4,9.4,-1.4,4.1,7.4,33,12
27,Washington State,Pac-12,12.7,8,4,8-4,9.44,-1.44,2.7,14.4,15,12
28,Arkansas,SEC,11.7,7,5,7-5,8.59,-1.59,5.0,3.4,54,12
29,Houston,American Athletic,11.2,9,3,9-3,10.37,-1.37,-3.6,7.5,31,12
30,Virginia Tech,ACC,10.6,9,4,9-4,10.66,-1.66,1.1,10.6,21,13
31,Georgia Tech,ACC,10.3,8,4,8-4,9.68,-1.68,2.0,2.9,58,12
32,Tulsa,American Athletic,9.7,9,3,9-3,10.33,-1.33,-4.3,4.7,46,12
