sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Missouri,Big 12,86.1,11,2,11-2,9.42,1.58,4.5,19.9,4,13
2,Oklahoma,Big 12,82.9,11,2,11-2,9.69,1.31,2.4,17.5,9,13
3,Arizona State,Pac-10,81.6,10,2,10-2,8.69,1.31,6.3,13.0,15,12
4,Hawai'i,Western Athletic,81.3,12,0,12-0,11.11,0.89,-6.9,15.7,13,12
5,USC,Pac-10,79.5,10,2,10-2,8.78,1.22,5.2,20.8,2,12
6,Kansas,Big 12,75.1,11,1,11-1,10.16,0.84,-3.3,17.9,8,12
7,Ohio State,Big Ten,72.4,11,1,11-1,10.19,0.81,-1.6,16.3,12,12
8,Georgia,SEC,71.8,10,2,10-2,9.15,0.85,4.3,12.3,17,12
9,LSU,SEC,70.7,11,2,11-2,10.17,0.83,3.3,20.6,3,13
10,Virginia Tech,ACC,57.8,11,2,11-2,10.71,0.29,-1.5,9.2,28,13
11,BYU,Mountain West,53.6,10,2,10-2,9.8,0.2,1.5,19.5,5,12
12,West Virginia,Big East,48.7,10,2,10-2,9.98,0.02,0.3,18.9,6,12
13,Oregon State,Pac-10,46.9,8,4,8-4,8.09,-0.09,7.0,14.5,14,12
14,Florida,SEC,43.3,9,3,9-3,9.18,-0.18,4.7,23.0,1,12
15,Tennessee,SEC,39.0,9,4,9-4,9.37,-0.37,5.4,3.9,50,13
16,Texas,Big 12,32.3,9,3,9-3,9.58,-0.58,1.0,9.9,24,12
17,Oregon,Pac-10,31.7,8,4,8-4,8.69,-0.69,7.2,18.2,7,12
18,South Florida,Big East,30.9,9,3,9-3,9.62,-0.62,1.1,16.8,10,12
19,Auburn,SEC,30.4,8,4,8-4,8.66,-0.66,4.6,12.9,16,12
20,Cincinnati,Big East,29.5,9,3,9-3,9.65,-0.65,-0.4,9.3,26,12
21,UConn,Big East,24.0,9,3,9-3,9.83,-0.83,-2.8,2.9,52,12
22,Boise State,Western Athletic,23.8,10,2,10-2,10.7,-0.7,-4.7,10.2,23,12
23,Wisconsin,Big Ten,22.9,9,3,9-3,9.9,-0.9,-1.0,6.8,37,12
24,Illinois,Big Ten,22.2,9,3,9-3,9.9,-0.9,-0.5,10.7,20,12
25,Utah,Mountain West,18.5,8,4,8-4,9.2,-1.2,3.6,9.2,27,12
26,Boston College,ACC,16.2,10,3,10-3,11.21,-1.21,-2.5,8.2,32,13
27,Air Force,Mountain West,15.6,9,3,9-3,10.15,-1.15,-2.8,6.4,39,12
28,Michigan,Big Ten,14.8,8,4,8-4,9.42,-1.42,1.0,4.5,45,12
29,UCLA,Pac-10,13.2,6,6,6-6,7.75,-1.75,9.3,11.8,18,12
30,Texas A&M,Big 12,13.2,7,5,7-5,8.54,-1.54,4.1,1.4,59,12
31,Clemson,ACC,12.9,9,3,9-3,10.38,-1.38,-1.5,11.3,19,12
32,Arkansas,SEC,11.8,8,4,8-4,9.56,-1.56,-0.1,7.9,33,12
33,UCF,Conference USA,9.7,10,3,10-3,11.45,-1.45,-3.9,7.1,36,13
34,Mississippi State,SEC,9.5,7,5,7-5,8.81,-1.81,1.9,2.6,54,12
35,Kentucky,SEC,8.4,7,5,7-5,8.9,-1.9,3.7,6.7,38,12
36,Texas Tech,Big 12,8.1,8,4,8-4,9.68,-1.68,-2.0,16.3,11,12
37,New Mexico,Mountain West,7.7,8,4,8-4,9.83,-1.83,-0.4,2.2,57,12
38,Penn State,Big Ten,6.2,8,4,8-4,10.0,-2.0,-1.4,8.5,30,12
39,Virginia,ACC,5.9,9,3,9-3,10.83,-1.83,-2.3,0.3,63,12
40,Fresno State,Western Athletic,5.7,8,4,8-4,9.88,-1.88,-1.9,2.3,56,12
41,California,Pac-10,5.0,6,6,6-6,8.45,-2.45,7.0,10.4,22,12
42,Florida State,ACC,4.1,7,5,7-5,9.32,-2.32,1.5,4.2,48,12
43,Troy,Sun Belt,3.4,8,4,8-4,9.99,-1.99,-4.1,5.8,41,12
44,Arizona,Pac-10,3.4,5,7,5-7,7.74,-2.74,7.8,8.4,31,12
45,Oklahoma State,Big 12,3.1,6,6,6-6,8.75,-2.75,4.2,9.4,25,12
46,Tulsa,Conference USA,3.0,9,4,9-4,11.15,-2.15,-5.9,7.2,35,13
47,Colorado,Big 12,2.8,6,6,6-6,8.68,-2.68,4.5,4.7,44,12
48,Wake Forest,ACC,2.6,8,4,8-4,10.43,-2.43,-2.4,0.9,61,12
49,South Carolina,SEC,2.2,6,6,6-6,8.8,-2.8,4.1,10.4,21,12
50,Washington State,Pac-10,1.8,5,7,5-7,8.16,-3.16,6.9,4.4,47,12
51,TCU,Mountain West,1.5,7,5,7-5,9.83,-2.83,0.5,8.7,29,12
52,Florida Atlantic,Sun Belt,1.1,7,5,7-5,9.68,-2.68,-3.0,-4.2,75,12
53,Rutgers,Big East,0.9,7,5,7-5,9.98,-2.98,-1.8,5.3,42,12
54,Michigan State,Big Ten,0.9,7,5,7-5,10.11,-3.11,0.0,7.2,34,12
55,Louisville,Big East,0.8,6,6,6-6,9.26,-3.26,1.1,6.4,40,12
56,Nebraska,Big 12,0.7,5,7,5-7,8.56,-3.56,6.5,4.4,46,12
57,Alabama,SEC,0.7,6,6,6-6,9.49,-3.49,2.2,4.1,49,12
58,Indiana,Big Ten,0.5,7,5,7-5,10.38,-3.38,-2.2,-1.1,64,12
59,Washington,Pac-10,0.5,4,9,4-9,8.22,-4.22,9.7,1.8,58,13
60,Georgia Tech,ACC,0.5,7,5,7-5,10.38,-3.38,-3.1,1.3,60,12
61,Purdue,Big Ten,0.4,7,5,7-5,10.39,-3.39,-2.0,4.9,43,12
62,Stanford,Pac-10,0.3,4,8,4-8,8.24,-4.24,7.8,-1.5,67,12
63,Kansas State,Big 12,0.2,5,7,5-7,8.98,-3.98,2.3,3.7,51,12
64,Maryland,ACC,0.2,6,6,6-6,9.95,-3.95,-0.7,2.3,55,12
65,East Carolina,Conference USA,0.1,7,5,7-5,10.47,-3.47,-4.7,-10.8,94,12
66,Vanderbilt,SEC,0.1,5,7,5-7,9.24,-4.24,1.5,-2.6,70,12
67,Navy,FBS Independents,0.1,8,4,8-4,11.27,-3.27,-10.6,-4.1,74,12
68,Iowa,Big Ten,0.1,6,6,6-6,10.33,-4.33,-2.4,-3.2,71,12
69,Pittsburgh,Big East,0.1,5,7,5-7,9.39,-4.39,0.6,-2.0,68,12
70,Northwestern,Big Ten,0.1,6,6,6-6,10.01,-4.01,-2.1,-1.5,66,12
71,Ball State,Mid-American,0.0,7,5,7-5,10.98,-3.98,-7.2,-5.7,80,12
72,Idaho,Western Athletic,0.0,1,11,1-11,9.77,-8.77,-2.2,-15.0,105,12
73,Western Michigan,Mid-American,0.0,5,7,5-7,10.32,-5.32,-6.7,-5.3,78,12
74,Western Kentucky,FBS Independents,0.0,7,5,7-5,10.88,-3.88,-11.9,-12.2,99,12
75,Toledo,Mid-American,0.0,5,7,5-7,10.88,-5.88,-7.5,-11.1,95,12
76,Arkansas State,Sun Belt,0.0,5,7,5-7,10.94,-5.94,-7.3,-12.5,100,12
77,Tulane,Conference USA,0.0,4,8,4-8,10.96,-6.96,-9.1,-20.6,113,12
78,Florida International,Sun Belt,0.0,1,11,1-11,10.16,-9.16,-2.2,-26.1,117,12
79,Eastern Michigan,Mid-American,0.0,4,8,4-8,11.27,-7.27,-7.5,-17.9,110,12
80,UL Monroe,Sun Belt,0.0,6,6,6-6,10.54,-4.54,-6.1,-8.2,88,12
81,Duke,ACC,0.0,1,11,1-11,10.39,-9.39,0.5,-16.3,109,12
82,Army,FBS Independents,0.0,3,9,3-9,10.48,-7.48,-4.5,-24.9,116,12
83,UNLV,Mountain West,0.0,2,10,2-10,9.26,-7.26,4.0,-3.3,72,12
84,Colorado State,Mountain West,0.0,3,9,3-9,9.5,-6.5,2.1,-5.1,77,12
85,UTEP,Conference USA,0.0,4,8,4-8,10.62,-6.62,-6.0,-10.2,90,12
86,Central Michigan,Mid-American,0.0,8,5,8-5,11.48,-3.48,-9.2,-2.4,69,13
87,Utah State,Western Athletic,0.0,2,10,2-10,9.54,-7.54,1.1,-11.5,97,12
88,Bowling Green,Mid-American,0.0,8,4,8-4,11.24,-3.24,-10.5,-6.5,83,12
89,Baylor,Big 12,0.0,3,9,3-9,8.77,-5.77,3.0,-13.4,101,12
90,NC State,ACC,0.0,5,7,5-7,10.25,-5.25,-0.2,-5.6,79,12
91,Syracuse,Big East,0.0,2,10,2-10,9.43,-7.43,3.4,-16.3,108,12
92,Iowa State,Big 12,0.0,3,9,3-9,8.65,-5.65,3.7,-8.1,87,12
93,Temple,Mid-American,0.0,4,8,4-8,11.36,-7.36,-10.0,-19.7,112,12
94,Akron,Mid-American,0.0,4,8,4-8,10.85,-6.85,-7.9,-14.6,104,12
95,Nevada,Western Athletic,0.0,6,6,6-6,10.53,-4.53,-4.0,2.8,53,12
96,Minnesota,Big Ten,0.0,1,11,1-11,10.21,-9.21,-0.9,-12.0,98,12
97,New Mexico State,Western Athletic,0.0,4,9,4-9,10.99,-6.99,-3.9,-10.3,92,13
98,North Carolina,ACC,0.0,4,8,4-8,10.07,-6.07,-1.5,-6.0,81,12
99,North Texas,Sun Belt,0.0,2,10,2-10,10.55,-8.55,-5.6,-19.3,111,12
100,Northern Illinois,Mid-American,0.0,2,10,2-10,11.36,-9.36,-9.5,-22.2,114,12
101,Notre Dame,FBS Independents,0.0,3,9,3-9,9.21,-6.21,4.3,-7.7,86,12
102,Ohio,Mid-American,0.0,6,6,6-6,11.38,-5.38,-10.9,-13.8,102,12
103,Middle Tennessee,Sun Belt,0.0,5,7,5-7,10.46,-5.46,-6.2,-10.3,91,12
104,Miami (OH),Mid-American,0.0,6,7,6-7,12.14,-6.14,-8.0,-15.9,107,13
105,Miami,ACC,0.0,5,7,5-7,10.02,-5.02,-1.6,-4.8,76,12
106,Ole Miss,SEC,0.0,3,9,3-9,8.46,-5.46,4.8,-1.2,65,12
107,Memphis,Conference USA,0.0,7,5,7-5,11.46,-4.46,-11.1,-15.7,106,12
108,Marshall,Conference USA,0.0,3,9,3-9,10.22,-7.22,-4.9,-7.3,85,12
109,Rice,Conference USA,0.0,3,9,3-9,10.66,-7.66,-6.2,-22.2,115,12
110,Louisiana Tech,Western Athletic,0.0,5,7,5-7,9.56,-4.56,-0.7,-6.3,82,12
111,SMU,Conference USA,0.0,1,11,1-11,10.45,-9.45,-5.7,-11.1,96,12
112,San Diego State,Mountain West,0.0,4,8,4-8,9.17,-5.17,3.6,-6.8,84,12
113,San José State,Western Athletic,0.0,5,7,5-7,9.91,-4.91,-1.5,-10.6,93,12
114,Louisiana,Sun Belt,0.0,3,9,3-9,10.77,-7.77,-7.4,-9.2,89,12
115,Kent State,Mid-American,0.0,3,9,3-9,10.93,-7.93,-9.3,-14.2,103,12
116,Southern Miss,Conference USA,0.0,7,5,7-5,11.04,-4.04,-9.1,-3.6,73,12
