sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Oklahoma,Big 12,98.5,12,1,12-1,8.93,3.07,6.5,27.2,3,13
2,Texas Tech,Big 12,96.6,11,1,11-1,8.79,2.21,2.5,22.2,5,12
3,Texas,Big 12,95.9,11,1,11-1,8.86,2.14,5.9,26.9,4,12
4,Alabama,SEC,92.5,12,1,12-1,10.27,1.73,1.6,17.9,10,13
5,Utah,Mountain West,90.2,12,0,12-0,10.71,1.29,-4.0,11.3,21,12
6,Florida,SEC,88.8,12,1,12-1,10.35,1.65,3.4,28.8,2,13
7,Boise State,Western Athletic,83.5,12,0,12-0,11.06,0.94,-6.5,18.1,9,12
8,Penn State,Big Ten,83.0,11,1,11-1,9.76,1.24,0.3,21.6,6,12
9,Ohio State,Big Ten,78.2,10,2,10-2,8.99,1.01,4.8,12.7,16,12
10,USC,Pac-10,76.9,11,1,11-1,10.01,0.99,1.2,30.4,1,12
11,Oklahoma State,Big 12,63.1,9,3,9-3,8.6,0.4,3.6,14.8,13,12
12,Cincinnati,Big East,43.2,11,2,11-2,11.11,-0.11,-2.1,6.0,34,13
13,Oregon,Pac-10,41.1,9,3,9-3,9.24,-0.24,2.8,12.0,19,12
14,Missouri,Big 12,37.4,9,4,9-4,9.4,-0.4,5.2,15.3,12,13
15,Georgia,SEC,34.2,9,3,9-3,9.46,-0.46,3.5,18.2,8,12
16,TCU,Mountain West,33.9,10,2,10-2,10.36,-0.36,-3.6,20.7,7,12
17,Michigan State,Big Ten,30.4,9,3,9-3,9.62,-0.62,2.6,6.7,30,12
18,Oregon State,Pac-10,24.9,8,4,8-4,8.86,-0.86,4.7,12.0,20,12
19,BYU,Mountain West,23.9,10,2,10-2,10.66,-0.66,-5.6,5.1,38,12
20,Ball State,Mid-American,19.8,12,1,12-1,12.6,-0.6,-9.6,6.3,32,13
21,Georgia Tech,ACC,13.4,9,3,9-3,10.28,-1.28,-2.2,8.0,27,12
22,Pittsburgh,Big East,12.8,9,3,9-3,10.4,-1.4,1.1,4.4,40,12
23,Kansas,Big 12,12.6,7,5,7-5,8.42,-1.42,4.6,12.2,18,12
24,Nebraska,Big 12,12.5,8,4,8-4,9.33,-1.33,3.1,15.4,11,12
25,Northwestern,Big Ten,9.5,9,3,9-3,10.53,-1.53,-2.0,1.9,49,12
26,California,Pac-10,9.3,8,4,8-4,9.59,-1.59,2.2,8.2,25,12
27,Rice,Conference USA,7.1,9,3,9-3,10.45,-1.45,-4.6,0.1,55,12
28,Ole Miss,SEC,7.0,8,4,8-4,9.67,-1.67,0.5,12.6,17,12
29,Iowa,Big Ten,5.8,8,4,8-4,10.0,-2.0,-0.0,13.2,15,12
30,Western Michigan,Mid-American,5.3,9,3,9-3,10.74,-1.74,-5.0,-0.2,57,12
31,Virginia Tech,ACC,4.8,9,4,9-4,11.13,-2.13,-1.2,4.4,41,13
32,LSU,SEC,4.5,8,5,8-5,10.18,-2.18,-0.1,7.2,28,13
33,Florida State,ACC,2.8,8,4,8-4,10.23,-2.23,-0.9,10.6,22,12
34,South Carolina,SEC,2.8,7,5,7-5,9.42,-2.42,2.8,5.3,36,12
35,Boston College,ACC,1.7,9,4,9-4,11.66,-2.66,-1.9,5.7,35,13
36,Air Force,Mountain West,1.6,8,4,8-4,10.38,-2.38,-3.1,-5.2,82,12
37,Tulsa,Conference USA,1.2,10,3,10-3,12.24,-2.24,-8.6,6.7,31,13
38,West Virginia,Big East,1.2,8,4,8-4,10.78,-2.78,-2.3,2.7,47,12
39,Wisconsin,Big Ten,1.1,7,5,7-5,9.93,-2.93,-0.0,13.6,14,12
40,North Carolina,ACC,1.1,8,4,8-4,10.86,-2.86,-1.4,-2.0,66,12
41,Arizona,Pac-10,0.9,7,5,7-5,9.86,-2.86,-0.6,9.2,24,12
42,Minnesota,Big Ten,0.9,7,5,7-5,10.04,-3.04,-0.3,-1.2,60,12
43,East Carolina,Conference USA,0.7,9,4,9-4,11.93,-2.93,-4.3,0.9,52,13
44,Central Michigan,Mid-American,0.5,8,4,8-4,10.79,-2.79,-4.8,-0.6,59,12
45,Clemson,ACC,0.5,7,5,7-5,10.26,-3.26,-1.3,4.9,39,12
46,Wake Forest,ACC,0.4,7,5,7-5,10.49,-3.49,1.3,-1.9,63,12
47,Miami,ACC,0.4,7,5,7-5,10.13,-3.13,-0.9,-3.6,75,12
