sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.7,14,1,14-1,9.43,4.57,8.7,28.0,1,15
2,Clemson,ACC,98.2,14,1,14-1,11.01,2.99,5.5,25.4,2,15
3,Michigan State,Big Ten,89.7,12,2,12-2,10.22,1.78,6.6,11.5,24,14
4,Ohio State,Big Ten,85.5,12,1,12-1,10.6,1.4,2.5,19.9,5,13
5,Stanford,Pac-12,83.2,12,2,12-2,10.45,1.55,5.6,18.0,7,14
6,Oklahoma,Big 12,82.9,11,2,11-2,9.69,1.31,4.7,20.5,4,13
7,Ole Miss,SEC,75.3,10,3,10-3,8.96,1.04,4.4,21.8,3,13
8,LSU,SEC,73.1,9,3,9-3,8.1,0.9,8.4,18.6,6,12
9,TCU,Big 12,71.2,11,2,11-2,10.2,0.8,1.0,14.5,15,13
10,Notre Dame,FBS Independents,66.7,10,3,10-3,9.35,0.65,6.6,15.8,10,13
11,Houston,American Athletic,66.4,13,1,13-1,12.43,0.57,-4.9,9.8,31,14
12,Iowa,Big Ten,58.9,12,2,12-2,11.63,0.37,-0.2,9.0,36,14
13,Florida,SEC,57.3,10,4,10-4,9.7,0.3,6.7,11.5,23,14
14,Oklahoma State,Big 12,51.8,10,3,10-3,9.91,0.09,1.6,9.2,35,13
15,Utah,Pac-12,51.2,10,3,10-3,9.91,0.09,4.5,9.5,33,13
16,Mississippi State,SEC,47.8,9,4,9-4,9.06,-0.06,6.1,15.3,11,13
17,Georgia,SEC,44.9,10,3,10-3,10.13,-0.13,2.2,14.0,16,13
18,Northwestern,Big Ten,43.5,10,3,10-3,10.18,-0.18,2.1,3.0,54,13
19,Navy,American Athletic,43.3,11,2,11-2,11.14,-0.14,-2.6,11.1,26,13
20,Florida State,ACC,37.1,10,3,10-3,10.37,-0.37,1.2,12.5,21,13
21,Tennessee,SEC,36.6,9,4,9-4,9.45,-0.45,4.3,14.6,13,13
22,North Carolina,ACC,35.4,11,3,11-3,11.43,-0.43,-0.1,14.6,14,14
23,Toledo,Mid-American,35.1,10,2,10-2,10.38,-0.38,-3.0,10.9,29,12
24,Baylor,Big 12,35.1,10,3,10-3,10.47,-0.47,-0.7,17.4,9,13
25,Michigan,Big Ten,35.0,10,3,10-3,10.48,-0.48,2.9,17.7,8,13
26,Oregon,Pac-12,34.0,9,4,9-4,9.59,-0.59,4.6,12.9,18,13
27,Western Kentucky,Conference USA,32.6,12,2,12-2,12.44,-0.44,-5.1,10.1,30,14
28,Arkansas,SEC,30.0,8,5,8-5,8.74,-0.74,6.2,15.3,12,13
29,Wisconsin,Big Ten,26.3,10,3,10-3,10.72,-0.72,-0.1,9.3,34,13
30,Texas A&M,SEC,24.5,8,5,8-5,8.98,-0.98,5.6,9.7,32,13
31,Washington State,Pac-12,17.8,9,4,9-4,10.26,-1.26,0.9,8.4,38,13
32,Memphis,American Athletic,17.5,9,4,9-4,10.28,-1.28,-0.3,6.2,45,13
33,California,Pac-12,16.0,8,5,8-5,9.52,-1.52,5.1,11.8,22,13
34,Auburn,SEC,13.9,7,6,7-6,8.64,-1.64,6.8,11.5,25,13
35,USC,Pac-12,11.6,8,6,8-6,9.95,-1.95,7.1,13.9,17,14
36,App State,Sun Belt,10.1,11,2,11-2,11.93,-0.93,-10.2,6.0,47,13
37,BYU,FBS Independents,8.5,9,4,9-4,10.8,-1.8,-0.4,7.2,40,13
38,Louisville,ACC,7.4,8,5,8-5,10.08,-2.08,3.4,8.7,37,13
39,Temple,American Athletic,7.0,10,4,10-4,11.96,-1.96,-2.8,4.3,52,14
40,Miami,ACC,6.9,8,5,8-5,10.09,-2.09,2.9,1.6,63,13
41,UCLA,Pac-12,6.4,8,5,8-5,10.2,-2.2,4.1,11.1,28,13
42,Texas Tech,Big 12,4.9,7,6,7-6,9.36,-2.36,2.8,2.2,58,13
43,Pittsburgh,ACC,3.9,8,5,8-5,10.56,-2.56,2.2,5.9,48,13
44,West Virginia,Big 12,3.9,8,5,8-5,10.3,-2.3,1.5,11.1,27,13
45,San Diego State,Mountain West,3.0,11,3,11-3,12.98,-1.98,-8.7,7.1,41,14
46,Bowling Green,Mid-American,2.9,10,4,10-4,12.4,-2.4,-2.4,12.8,20,14
47,Georgia Southern,Sun Belt,2.8,9,4,9-4,11.24,-2.24,-7.2,2.2,57,13
48,Washington,Pac-12,2.5,7,6,7-6,9.98,-2.98,4.1,12.8,19,13
49,Western Michigan,Mid-American,1.6,8,5,8-5,10.79,-2.79,-2.1,6.2,44,13
50,Penn State,Big Ten,1.3,7,6,7-6,10.14,-3.14,4.0,4.4,51,13
51,Marshall,Conference USA,1.2,10,3,10-3,12.22,-2.22,-10.9,-1.3,79,13
52,Arizona State,Pac-12,1.0,6,7,6-7,9.71,-3.71,4.7,5.1,49,13
53,South Florida,American Athletic,0.9,8,5,8-5,11.14,-3.14,-2.1,7.4,39,13
54,Arizona,Pac-12,0.8,7,6,7-6,10.31,-3.31,0.3,-0.2,69,13
55,Arkansas State,Sun Belt,0.7,9,4,9-4,11.64,-2.64,-9.1,-4.4,86,13
56,Boise State,Mountain West,0.7,9,4,9-4,11.87,-2.87,-6.5,6.5,43,13
57,Texas,Big 12,0.7,5,7,5-7,8.5,-3.5,4.9,1.6,62,12
58,NC State,ACC,0.6,7,6,7-6,10.33,-3.33,-0.2,6.1,46,13
59,Louisiana Tech,Conference USA,0.4,9,4,9-4,11.75,-2.75,-9.1,1.9,60,13
60,Duke,ACC,0.4,8,5,8-5,11.44,-3.44,-2.3,-2.5,82,13
61,Virginia Tech,ACC,0.3,7,6,7-6,10.88,-3.88,0.8,2.7,55,13
62,Kansas State,Big 12,0.3,6,7,6-7,10.0,-4.0,2.2,-3.1,83,13
63,Southern Miss,Conference USA,0.3,9,5,9-5,12.28,-3.28,-9.1,4.7,50,14
64,Missouri,SEC,0.2,5,7,5-7,9.23,-4.23,3.6,-0.6,75,12
65,Northern Illinois,Mid-American,0.2,8,6,8-6,11.79,-3.79,-3.5,-0.4,73,14
66,Vanderbilt,SEC,0.1,4,8,4-8,8.73,-4.73,5.3,1.0,66,12
67,Ohio,Mid-American,0.1,8,5,8-5,11.74,-3.74,-6.3,-3.6,84,13
68,Air Force,Mountain West,0.1,8,6,8-6,12.11,-4.11,-5.3,1.5,64,14
69,Cincinnati,American Athletic,0.1,7,6,7-6,11.16,-4.16,-2.4,1.3,65,13
70,Kentucky,SEC,0.1,5,7,5-7,9.45,-4.45,0.7,-0.4,71,12
71,Akron,Mid-American,0.1,8,5,8-5,11.45,-3.45,-6.4,-5.3,89,13
72,Minnesota,Big Ten,0.1,6,7,6-7,10.28,-4.28,3.1,2.0,59,13
73,Illinois,Big Ten,0.1,5,7,5-7,9.57,-4.57,1.3,-1.0,77,12
74,New Mexico State,Sun Belt,0.0,3,9,3-9,10.59,-7.59,-8.1,-20.5,121,12
75,UNLV,Mountain West,0.0,3,9,3-9,10.54,-7.54,-5.5,-16.1,106,12
76,UL Monroe,Sun Belt,0.0,2,11,2-11,11.25,-9.25,-7.4,-20.5,120,13
77,UConn,American Athletic,0.0,6,7,6-7,11.38,-5.38,-3.2,-4.4,87,13
78,Eastern Michigan,Mid-American,0.0,1,11,1-11,10.5,-9.5,-5.2,-21.0,122,12
79,Tulsa,American Athletic,0.0,6,7,6-7,11.16,-5.16,-3.6,-5.3,90,13
80,UCF,American Athletic,0.0,0,12,0-12,10.29,-10.29,-2.6,-22.6,125,12
81,UTEP,Conference USA,0.0,5,7,5-7,10.96,-5.96,-10.9,-21.3,124,12
82,Tulane,American Athletic,0.0,3,9,3-9,10.55,-7.55,-4.3,-18.8,116,12
83,Troy,Sun Belt,0.0,4,8,4-8,10.45,-6.45,-7.3,-10.9,100,12
84,Florida Atlantic,Conference USA,0.0,3,9,3-9,10.92,-7.92,-7.5,-13.4,104,12
85,Florida International,Conference USA,0.0,5,7,5-7,11.16,-6.16,-10.5,-16.3,107,12
86,East Carolina,American Athletic,0.0,5,7,5-7,10.29,-5.29,-2.2,0.1,68,12
87,Colorado State,Mountain West,0.0,7,6,7-6,12.25,-5.25,-8.0,-8.6,96,13
88,UTSA,Conference USA,0.0,3,9,3-9,11.1,-8.1,-8.5,-17.1,111,12
89,Fresno State,Mountain West,0.0,3,9,3-9,10.15,-7.15,-3.3,-21.2,123,12
90,Utah State,Mountain West,0.0,6,7,6-7,11.31,-5.31,-4.1,-0.8,76,13
91,Colorado,Pac-12,0.0,4,9,4-9,10.38,-6.38,0.1,-2.3,81,13
92,Virginia,ACC,0.0,4,8,4-8,9.46,-5.46,3.1,-0.3,70,12
93,Wake Forest,ACC,0.0,3,9,3-9,9.02,-6.02,3.5,-6.8,92,12
94,Charlotte,Conference USA,0.0,2,10,2-10,11.4,-9.4,-9.4,-23.8,128,12
95,Central Michigan,Mid-American,0.0,7,6,7-6,11.48,-4.48,-4.6,-0.5,74,13
96,Buffalo,Mid-American,0.0,5,7,5-7,11.15,-6.15,-7.3,-7.1,93,12
97,Boston College,ACC,0.0,3,9,3-9,9.54,-6.54,0.3,1.7,61,12
98,Ball State,Mid-American,0.0,3,9,3-9,10.32,-7.32,-2.5,-16.7,108,12
99,Army,FBS Independents,0.0,2,10,2-10,11.14,-9.14,-9.7,-12.4,102,12
100,Texas State,Sun Belt,0.0,3,9,3-9,10.79,-7.79,-8.5,-23.3,127,12
101,Georgia Tech,ACC,0.0,3,9,3-9,8.93,-5.93,3.7,3.8,53,12
102,Georgia State,Sun Belt,0.0,6,7,6-7,12.08,-6.08,-11.0,-7.8,94,13
103,Purdue,Big Ten,0.0,2,10,2-10,9.76,-7.76,2.5,-8.0,95,12
104,North Texas,Conference USA,0.0,1,11,1-11,10.27,-9.27,-4.9,-22.7,126,12
105,Nevada,Mountain West,0.0,7,6,7-6,12.07,-5.07,-9.0,-8.8,97,13
106,Nebraska,Big Ten,0.0,6,7,6-7,10.99,-4.99,2.1,6.9,42,13
107,Middle Tennessee,Conference USA,0.0,7,6,7-6,11.12,-4.12,-5.8,-0.4,72,13
108,Miami (OH),Mid-American,0.0,3,9,3-9,10.74,-7.74,-5.7,-15.4,105,12
109,Massachusetts,Mid-American,0.0,3,9,3-9,10.41,-7.41,-4.9,-12.3,101,12
110,Old Dominion,Conference USA,0.0,5,7,5-7,11.09,-6.09,-9.5,-18.3,115,12
111,Maryland,Big Ten,0.0,3,9,3-9,8.6,-5.6,6.1,-2.2,80,12
112,Louisiana,Sun Belt,0.0,4,8,4-8,11.33,-7.33,-10.8,-16.8,109,12
113,Oregon State,Pac-12,0.0,2,10,2-10,8.51,-6.51,5.7,-9.1,98,12
