sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Ohio State,Big Ten,97.4,14,1,14-1,11.54,2.46,5.9,24.0,4,15
2,Alabama,SEC,95.2,12,2,12-2,9.39,2.61,9.0,30.0,1,14
3,Florida State,ACC,94.5,13,1,13-1,10.79,2.21,5.9,16.6,15,14
4,TCU,Big 12,90.6,12,1,12-1,10.23,1.77,3.3,24.9,3,13
5,Oregon,Pac-12,84.1,13,2,13-2,11.48,1.52,5.8,25.8,2,15
6,Baylor,Big 12,73.3,11,2,11-2,10.14,0.86,2.3,19.6,9,13
7,Mississippi State,SEC,72.2,10,3,10-3,9.19,0.81,5.8,20.4,7,13
8,Michigan State,Big Ten,67.9,11,2,11-2,10.42,0.58,1.0,20.1,8,13
9,Ole Miss,SEC,59.2,9,4,9-4,8.65,0.35,9.2,19.3,12,13
10,UCLA,Pac-12,57.3,10,3,10-3,9.66,0.34,9.6,14.6,19,13
11,Georgia,SEC,56.6,10,3,10-3,9.72,0.28,5.3,22.2,6,13
12,Missouri,SEC,52.9,11,3,11-3,10.85,0.15,4.7,12.9,23,14
13,Auburn,SEC,50.7,8,5,8-5,7.97,0.03,11.6,22.5,5,13
14,Clemson,ACC,48.7,10,3,10-3,10.02,-0.02,2.9,12.5,24,13
15,Georgia Tech,ACC,47.7,11,3,11-3,11.03,-0.03,4.6,19.6,10,14
16,Kansas State,Big 12,34.6,9,4,9-4,9.53,-0.53,5.9,16.8,13,13
17,Wisconsin,Big Ten,32.5,11,3,11-3,11.53,-0.53,1.5,16.2,16,14
18,Texas A&M,SEC,31.7,8,5,8-5,8.68,-0.68,7.2,8.8,32,13
19,Arizona,Pac-12,30.7,10,4,10-4,10.66,-0.66,5.7,8.7,34,14
20,LSU,SEC,29.6,8,5,8-5,8.79,-0.79,7.0,15.4,17,13
21,Arizona State,Pac-12,26.9,10,3,10-3,10.79,-0.79,3.0,11.1,28,13
22,Marshall,Conference USA,24.0,13,1,13-1,13.51,-0.51,-7.7,15.2,18,14
23,Utah,Pac-12,19.6,9,4,9-4,10.16,-1.16,4.3,7.5,36,13
24,Boise State,Mountain West,17.7,12,2,12-2,12.89,-0.89,-3.8,9.9,30,14
25,Arkansas,SEC,15.0,7,6,7-6,8.56,-1.56,10.2,19.3,11,13
26,USC,Pac-12,14.3,9,4,9-4,10.49,-1.49,5.2,14.4,22,13
27,Louisville,ACC,13.0,9,4,9-4,10.53,-1.53,3.2,14.4,21,13
28,Oklahoma,Big 12,9.2,8,5,8-5,9.9,-1.9,6.8,14.4,20,13
29,Nebraska,Big Ten,7.3,9,4,9-4,10.82,-1.82,1.2,10.6,29,13
30,Florida,SEC,6.8,7,5,7-5,8.92,-1.92,4.0,8.8,33,12
31,Stanford,Pac-12,5.5,8,5,8-5,10.21,-2.21,3.9,16.8,14,13
32,Memphis,American Athletic,5.4,10,3,10-3,11.62,-1.62,-6.8,2.2,55,13
33,Notre Dame,FBS Independents,4.9,8,5,8-5,10.33,-2.33,5.9,7.0,39,13
34,Minnesota,Big Ten,4.7,8,5,8-5,10.15,-2.15,3.4,6.6,40,13
35,West Virginia,Big 12,4.1,7,6,7-6,9.51,-2.51,7.2,12.4,26,13
36,Oklahoma State,Big 12,4.0,7,6,7-6,9.49,-2.49,5.9,2.7,52,13
37,Northern Illinois,Mid-American,3.7,11,3,11-3,12.75,-1.75,-7.9,-3.8,78,14
38,Duke,ACC,2.7,9,4,9-4,11.29,-2.29,-1.7,3.1,48,13
39,Colorado State,Mountain West,2.5,10,3,10-3,12.08,-2.08,-6.0,3.6,45,13
40,Tennessee,SEC,2.5,7,6,7-6,9.65,-2.65,5.8,7.2,37,13
41,Rutgers,Big Ten,2.4,8,5,8-5,10.5,-2.5,2.3,-0.3,64,13
42,South Carolina,SEC,1.6,7,6,7-6,10.07,-3.07,4.6,6.0,41,13
43,NC State,ACC,1.0,8,5,8-5,10.98,-2.98,0.2,5.3,43,13
44,Texas,Big 12,1.0,6,7,6-7,9.47,-3.47,7.7,8.3,35,13
45,Maryland,Big Ten,1.0,7,6,7-6,10.21,-3.21,4.0,0.6,60,13
46,Georgia Southern,Sun Belt,0.9,9,3,9-3,11.07,-2.07,-10.8,0.3,61,12
47,Cincinnati,American Athletic,0.9,9,4,9-4,11.49,-2.49,-3.7,3.4,46,13
48,Air Force,Mountain West,0.6,10,3,10-3,12.45,-2.45,-8.3,-2.2,75,13
49,Washington,Pac-12,0.4,8,6,8-6,11.61,-3.61,0.6,9.0,31,14
50,Louisiana Tech,Conference USA,0.2,9,5,9-5,12.14,-3.14,-3.4,11.2,27,14
51,Boston College,ACC,0.2,7,6,7-6,10.95,-3.95,2.0,7.0,38,13
52,Utah State,Mountain West,0.2,10,4,10-4,13.1,-3.1,-7.3,1.0,59,14
53,Virginia Tech,ACC,0.2,7,6,7-6,10.79,-3.79,2.9,5.9,42,13
54,UCF,American Athletic,0.2,9,4,9-4,12.09,-3.09,-7.4,-0.5,67,13
55,Kentucky,SEC,0.2,5,7,5-7,9.03,-4.03,3.8,-0.3,66,12
56,Louisiana,Sun Belt,0.2,9,4,9-4,11.79,-2.79,-8.0,-5.0,86,13
57,Toledo,Mid-American,0.1,9,4,9-4,12.36,-3.36,-8.6,-1.6,71,13
58,North Carolina,ACC,0.1,6,7,6-7,10.78,-4.78,3.4,-4.5,83,13
59,BYU,FBS Independents,0.1,8,5,8-5,11.9,-3.9,-3.6,2.9,50,13
60,California,Pac-12,0.1,5,7,5-7,9.44,-4.44,5.2,3.3,47,12
61,Miami,ACC,0.1,6,7,6-7,10.5,-4.5,4.0,12.5,25,13
62,Virginia,ACC,0.1,5,7,5-7,9.45,-4.45,3.9,4.3,44,12
63,Illinois,Big Ten,0.1,6,7,6-7,10.46,-4.46,3.5,-4.0,80,13
64,UAB,Conference USA,0.0,6,6,6-6,10.04,-4.04,-2.4,-1.7,72,12
65,Bowling Green,Mid-American,0.0,8,6,8-6,13.19,-5.19,-8.1,-13.3,111,14
66,Central Michigan,Mid-American,0.0,7,6,7-6,12.61,-5.61,-9.0,-2.0,73,13
67,Texas State,Sun Belt,0.0,7,5,7-5,11.81,-4.81,-12.9,-11.5,98,12
68,Texas Tech,Big 12,0.0,4,8,4-8,8.81,-4.81,6.1,1.9,56,12
69,Buffalo,Mid-American,0.0,5,6,5-6,10.47,-5.47,-13.0,-12.1,100,11
70,Syracuse,ACC,0.0,3,9,3-9,10.12,-7.12,2.6,-1.6,70,12
71,Temple,American Athletic,0.0,6,6,6-6,11.44,-5.44,-6.5,-7.2,91,12
72,Troy,Sun Belt,0.0,3,9,3-9,11.01,-8.01,-8.9,-18.4,120,12
73,Tulane,American Athletic,0.0,3,9,3-9,10.87,-7.87,-3.3,-13.3,110,12
74,Tulsa,American Athletic,0.0,2,10,2-10,11.15,-9.15,-5.2,-18.1,119,12
75,UNLV,Mountain West,0.0,2,11,2-11,12.28,-10.28,-6.1,-19.9,123,13
76,Ball State,Mid-American,0.0,5,7,5-7,11.64,-6.64,-11.6,-13.4,112,12
77,UConn,American Athletic,0.0,2,10,2-10,11.36,-9.36,-6.8,-19.4,122,12
78,UL Monroe,Sun Belt,0.0,4,8,4-8,10.97,-6.97,-6.6,-12.1,101,12
79,South Florida,American Athletic,0.0,4,8,4-8,10.94,-6.94,-4.8,-15.1,115,12
80,UTEP,Conference USA,0.0,7,6,7-6,11.81,-4.81,-5.3,-10.3,94,13
81,UTSA,Conference USA,0.0,4,8,4-8,11.09,-7.09,-4.3,-13.1,108,12
82,Army,FBS Independents,0.0,4,8,4-8,11.23,-7.23,-9.2,-16.6,117,12
83,Vanderbilt,SEC,0.0,3,9,3-9,9.31,-6.31,3.4,-11.9,99,12
84,Wake Forest,ACC,0.0,3,9,3-9,10.09,-7.09,1.0,-12.2,102,12
85,Washington State,Pac-12,0.0,3,9,3-9,9.38,-6.38,5.5,-0.7,69,12
86,Arkansas State,Sun Belt,0.0,7,6,7-6,12.21,-5.21,-9.4,-6.5,89,13
87,Western Kentucky,Conference USA,0.0,8,5,8-5,11.92,-3.92,-4.9,1.7,57,13
88,Western Michigan,Mid-American,0.0,8,5,8-5,12.56,-4.56,-10.3,-0.0,63,13
89,App State,Sun Belt,0.0,7,5,7-5,11.68,-4.68,-13.0,-3.1,77,12
90,Southern Miss,Conference USA,0.0,3,9,3-9,9.82,-6.82,-0.5,-9.2,93,12
91,San José State,Mountain West,0.0,3,9,3-9,10.74,-7.74,-5.0,-11.1,96,12
92,Colorado,Pac-12,0.0,2,10,2-10,9.38,-7.38,5.6,-2.9,76,12
93,Houston,American Athletic,0.0,8,5,8-5,12.44,-4.44,-9.6,-0.3,65,13
94,New Mexico State,Sun Belt,0.0,2,10,2-10,11.41,-9.41,-11.1,-25.6,126,12
95,New Mexico,Mountain West,0.0,4,8,4-8,11.24,-7.24,-6.4,-13.0,107,12
96,Nevada,Mountain West,0.0,7,6,7-6,12.16,-5.16,-5.4,-4.8,85,13
97,Akron,Mid-American,0.0,5,7,5-7,11.38,-6.38,-10.6,-15.3,116,12
98,Navy,FBS Independents,0.0,8,5,8-5,11.86,-3.86,-4.5,0.2,62,13
