sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Oregon,Big Ten,98.8,13,1,13-1,10.25,2.75,5.8,23.7,4,14
2,Ohio State,Big Ten,98.3,14,2,14-2,10.82,3.18,8.7,32.0,1,16
3,Notre Dame,FBS Independents,95.3,14,2,14-2,11.53,2.47,7.7,26.1,2,16
4,Georgia,SEC,91.4,11,3,11-3,8.89,2.11,9.6,19.3,9,14
5,Penn State,Big Ten,84.6,13,3,13-3,11.44,1.56,7.3,24.0,3,16
6,Texas,SEC,83.8,13,3,13-3,11.39,1.61,9.0,22.8,6,16
7,BYU,Big 12,75.0,11,2,11-2,10.0,1.0,3.9,12.8,23,13
8,Indiana,Big Ten,71.8,11,2,11-2,10.33,0.67,1.8,20.2,7,13
9,Tennessee,SEC,59.8,10,3,10-3,9.64,0.36,3.0,15.9,14,13
10,Illinois,Big Ten,54.5,10,3,10-3,9.81,0.19,3.8,7.8,42,13
11,LSU,SEC,47.8,9,4,9-4,9.06,-0.06,8.9,15.4,16,13
12,Arizona State,Big 12,46.4,11,3,11-3,11.07,-0.07,5.7,16.8,11,14
13,Iowa State,Big 12,46.2,11,3,11-3,11.08,-0.08,4.7,9.7,32,14
14,Boise State,Mountain West,44.6,12,2,12-2,12.12,-0.12,-3.9,9.3,35,14
15,Ole Miss,SEC,41.3,10,3,10-3,10.27,-0.27,1.9,23.4,5,13
16,Missouri,SEC,38.2,10,3,10-3,10.36,-0.36,2.9,8.1,41,13
17,Michigan,Big Ten,38.1,8,5,8-5,8.43,-0.43,10.7,11.3,27,13
18,SMU,ACC,31.3,11,3,11-3,11.58,-0.58,1.9,16.2,13,14
19,South Carolina,SEC,28.8,9,4,9-4,9.79,-0.79,5.6,15.8,15,13
20,Florida,SEC,27.6,8,5,8-5,8.9,-0.9,8.9,14.8,19,13
21,Alabama,SEC,26.8,9,4,9-4,9.89,-0.89,5.4,19.9,8,13
22,Texas A&M,SEC,22.7,8,5,8-5,9.13,-1.13,6.5,13.2,22,13
23,Miami,ACC,22.4,10,3,10-3,10.94,-0.94,-0.1,18.5,10,13
24,Clemson,ACC,21.1,10,4,10-4,11.07,-1.07,2.6,11.4,26,14
25,Army,American Athletic,19.1,12,2,12-2,12.76,-0.76,-7.4,7.1,43,14
26,Louisville,ACC,18.8,9,4,9-4,10.17,-1.17,4.3,14.9,18,13
27,Kansas State,Big 12,16.7,9,4,9-4,10.35,-1.35,3.9,15.3,17,13
28,Syracuse,ACC,12.9,10,3,10-3,11.39,-1.39,0.8,4.6,50,13
29,Colorado,Big 12,12.1,9,4,9-4,10.65,-1.65,3.5,16.5,12,13
30,Navy,American Athletic,9.4,10,3,10-3,11.4,-1.4,-3.3,5.1,48,13
31,Memphis,American Athletic,8.9,11,2,11-2,12.24,-1.24,-7.4,1.0,63,13
32,Duke,ACC,8.6,9,4,9-4,10.67,-1.67,0.1,1.7,58,13
33,USC,Big Ten,7.9,7,6,7-6,9.19,-2.19,9.7,14.0,21,13
34,TCU,Big 12,7.0,9,4,9-4,10.96,-1.96,1.6,10.2,31,13
35,UNLV,Mountain West,5.5,11,3,11-3,12.82,-1.82,-4.2,4.9,49,14
36,Marshall,Sun Belt,4.7,10,3,10-3,11.53,-1.53,-6.4,-0.6,66,13
37,Vanderbilt,SEC,4.7,7,6,7-6,9.57,-2.57,5.4,2.5,54,13
38,Baylor,Big 12,4.6,8,5,8-5,10.45,-2.45,3.3,10.8,29,13
39,Minnesota,Big Ten,4.2,8,5,8-5,10.48,-2.48,3.8,14.2,20,13
40,Iowa,Big Ten,3.6,8,5,8-5,10.39,-2.39,3.8,8.7,38,13
41,Oklahoma,SEC,3.0,6,7,6-7,8.91,-2.91,7.7,9.5,33,13
42,Texas Tech,Big 12,2.9,8,5,8-5,10.7,-2.7,3.0,6.3,45,13
43,Arkansas,SEC,2.5,7,6,7-6,9.86,-2.86,4.5,12.2,24,13
44,UCLA,Big Ten,2.0,5,7,5-7,8.12,-3.12,10.5,5.7,46,12
45,Nebraska,Big Ten,1.7,7,6,7-6,9.82,-2.82,4.2,8.5,39,13
46,Georgia Tech,ACC,1.5,7,6,7-6,9.95,-2.95,3.8,8.8,37,13
47,Washington,Big Ten,0.9,6,7,6-7,9.34,-3.34,5.5,9.4,34,13
48,Rutgers,Big Ten,0.8,7,6,7-6,10.57,-3.57,3.5,2.3,56,13
49,Ohio,Mid-American,0.7,11,3,11-3,13.42,-2.42,-9.9,2.2,57,14
50,Kansas,Big 12,0.7,5,7,5-7,8.77,-3.77,6.2,11.9,25,12
51,Tulane,American Athletic,0.4,9,5,9-5,12.34,-3.34,-2.8,11.2,28,14
52,Wisconsin,Big Ten,0.3,5,7,5-7,8.8,-3.8,4.8,4.0,51,12
53,Sam Houston,Conference USA,0.3,10,3,10-3,12.46,-2.46,-9.8,-8.4,98,13
54,West Virginia,Big 12,0.2,6,7,6-7,10.44,-4.44,4.7,-0.8,67,13
55,Kentucky,SEC,0.2,4,8,4-8,8.06,-4.06,7.2,3.2,53,12
56,Michigan State,Big Ten,0.1,5,7,5-7,8.85,-3.85,4.3,-1.2,70,12
57,Pittsburgh,ACC,0.1,7,6,7-6,11.1,-4.1,-0.9,1.1,62,13
58,Utah,Big 12,0.1,5,7,5-7,9.59,-4.59,3.5,5.2,47,12
59,Auburn,SEC,0.1,5,7,5-7,9.46,-4.46,3.3,10.5,30,12
60,Boston College,ACC,0.1,7,6,7-6,11.09,-4.09,0.8,1.5,60,13
61,Cincinnati,Big 12,0.1,5,7,5-7,9.39,-4.39,4.4,6.8,44,12
62,Louisiana,Sun Belt,0.1,10,4,10-4,13.19,-3.19,-8.6,-3.3,81,14
63,Texas State,Sun Belt,0.0,8,5,8-5,12.27,-4.27,-8.0,3.2,52,13
64,Western Michigan,Mid-American,0.0,6,7,6-7,11.63,-5.63,-7.7,-12.1,112,13
65,Western Kentucky,Conference USA,0.0,8,6,8-6,13.03,-5.03,-10.0,-9.9,101,14
66,Washington State,Pac-12,0.0,8,5,8-5,12.1,-4.1,-6.4,-2.4,76,13
67,Wake Forest,ACC,0.0,4,8,4-8,10.09,-6.09,1.2,-8.8,100,12
68,Virginia Tech,ACC,0.0,6,7,6-7,10.88,-4.88,4.1,8.3,40,13
69,Virginia,ACC,0.0,5,7,5-7,9.58,-4.58,2.6,-4.2,84,12
70,Utah State,Mountain West,0.0,4,8,4-8,10.94,-6.94,-6.5,-7.8,96,12
71,San Diego State,Mountain West,0.0,3,9,3-9,11.3,-8.3,-8.1,-18.4,127,12
72,San José State,Mountain West,0.0,7,6,7-6,12.49,-5.49,-8.5,-4.2,83,13
73,South Alabama,Sun Belt,0.0,7,6,7-6,12.17,-5.17,-8.1,1.3,61,13
74,South Florida,American Athletic,0.0,7,6,7-6,11.31,-4.31,-6.1,-5.4,88,13
75,Southern Miss,Sun Belt,0.0,1,11,1-11,11.36,-10.36,-5.3,-28.6,133,12
76,Stanford,ACC,0.0,3,9,3-9,9.28,-6.28,4.6,-5.9,90,12
77,UTSA,American Athletic,0.0,7,6,7-6,11.76,-4.76,-8.8,-2.5,77,13
78,UTEP,Conference USA,0.0,3,9,3-9,11.13,-8.13,-11.2,-17.0,124,12
79,UL Monroe,Sun Belt,0.0,5,7,5-7,10.56,-5.56,-4.5,-10.4,105,12
80,UConn,FBS Independents,0.0,9,4,9-4,12.5,-3.5,-9.6,-3.0,78,13
81,UCF,Big 12,0.0,4,8,4-8,9.36,-5.36,4.4,9.3,36,12
82,UAB,American Athletic,0.0,3,9,3-9,10.84,-7.84,-4.9,-10.1,102,12
83,Temple,American Athletic,0.0,3,9,3-9,10.82,-7.82,-3.8,-18.4,128,12
84,Tulsa,American Athletic,0.0,3,9,3-9,11.68,-8.68,-9.5,-27.5,132,12
85,Rice,American Athletic,0.0,4,8,4-8,10.99,-6.99,-3.8,-10.5,107,12
86,Troy,Sun Belt,0.0,4,8,4-8,11.3,-7.3,-7.9,-8.0,97,12
87,Toledo,Mid-American,0.0,8,5,8-5,12.6,-4.6,-8.9,-7.3,93,13
88,Air Force,Mountain West,0.0,5,7,5-7,11.22,-6.22,-7.2,-10.2,103,12
89,NC State,ACC,0.0,6,7,6-7,11.46,-5.46,-1.4,1.6,59,13
90,Purdue,Big Ten,0.0,1,11,1-11,7.83,-6.83,8.4,-13.2,115,12
91,Houston,Big 12,0.0,4,8,4-8,9.41,-5.41,7.0,-2.4,75,12
92,Georgia State,Sun Belt,0.0,3,9,3-9,11.18,-8.18,-4.9,-13.1,114,12
93,Georgia Southern,Sun Belt,0.0,8,5,8-5,11.72,-3.72,-4.2,-5.8,89,13
94,Fresno State,Mountain West,0.0,6,7,6-7,12.1,-6.1,-6.7,-4.5,85,13
95,Florida State,ACC,0.0,2,10,2-10,8.96,-6.96,6.2,-7.3,94,12
96,Florida International,Conference USA,0.0,4,8,4-8,11.25,-7.25,-13.4,-11.8,111,12
97,Florida Atlantic,American Athletic,0.0,3,9,3-9,11.57,-8.57,-9.3,-15.3,121,12
98,Eastern Michigan,Mid-American,0.0,5,7,5-7,11.47,-6.47,-10.5,-17.9,125,12
99,East Carolina,American Athletic,0.0,8,5,8-5,12.38,-4.38,-8.8,-4.5,86,13
100,Colorado State,Mountain West,0.0,8,5,8-5,11.72,-3.72,-6.3,-6.7,92,13
101,Coastal Carolina,Sun Belt,0.0,6,7,6-7,12.55,-6.55,-7.5,-11.7,110,13
102,Charlotte,American Athletic,0.0,5,7,5-7,10.63,-5.63,-3.0,-11.4,109,12
103,Central Michigan,Mid-American,0.0,4,8,4-8,11.47,-7.47,-9.1,-15.3,122,12
104,California,ACC,0.0,6,7,6-7,11.23,-5.23,-1.7,2.5,55,13
105,Buffalo,Mid-American,0.0,9,4,9-4,12.44,-3.44,-11.1,-10.4,104,13
106,Bowling Green,Mid-American,0.0,7,6,7-6,11.68,-4.68,-8.1,-1.9,71,13
107,Ball State,Mid-American,0.0,3,9,3-9,10.93,-7.93,-6.5,-18.4,126,12
108,Arkansas State,Sun Belt,0.0,8,5,8-5,11.96,-3.96,-7.3,-13.8,119,13
109,Arizona,Big 12,0.0,4,8,4-8,9.34,-5.34,4.1,-3.2,79,12
110,App State,Sun Belt,0.0,5,6,5-6,10.25,-5.25,-4.9,-10.4,106,11
111,Hawai'i,Mountain West,0.0,5,7,5-7,11.42,-6.42,-8.2,-10.5,108,12
112,Jacksonville State,Conference USA,0.0,9,5,9-5,13.36,-4.36,-12.6,-3.3,80,14
113,Oregon State,Pac-12,0.0,5,7,5-7,10.74,-5.74,-4.2,-12.3,113,12
114,James Madison,Sun Belt,0.0,9,4,9-4,12.69,-3.69,-11.5,0.2,64,13
115,Old Dominion,Sun Belt,0.0,5,7,5-7,11.01,-6.01,-2.9,-0.9,69,12
116,Oklahoma State,Big 12,0.0,3,9,3-9,9.01,-6.01,4.2,-4.0,82,12
117,Northwestern,Big Ten,0.0,4,8,4-8,9.06,-5.06,4.4,-5.2,87,12
118,Northern Illinois,Mid-American,0.0,8,5,8-5,11.87,-3.87,-7.8,-2.2,72,13
119,North Texas,American Athletic,0.0,6,7,6-7,11.98,-5.98,-6.1,-6.3,91,13
120,North Carolina,ACC,0.0,6,7,6-7,11.84,-5.84,-2.5,-0.9,68,13
121,New Mexico State,Conference USA,0.0,3,9,3-9,11.43,-8.43,-10.6,-23.3,130,12
122,New Mexico,Mountain West,0.0,5,7,5-7,11.48,-6.48,-9.8,-13.3,116,12
123,Nevada,Mountain West,0.0,3,10,3-10,11.56,-8.56,-3.5,-8.5,99,13
124,Akron,Mid-American,0.0,4,8,4-8,10.2,-6.2,-4.7,-13.6,118,12
125,Mississippi State,SEC,0.0,2,10,2-10,7.86,-5.86,8.0,-2.2,73,12
126,Middle Tennessee,Conference USA,0.0,3,9,3-9,11.0,-8.0,-9.6,-23.2,129,12
127,Miami (OH),Mid-American,0.0,9,5,9-5,12.71,-3.71,-6.0,-2.3,74,14
128,Massachusetts,FBS Independents,0.0,2,10,2-10,10.94,-8.94,-6.7,-16.1,123,12
129,Maryland,Big Ten,0.0,4,8,4-8,8.74,-4.74,5.5,-0.1,65,12
130,Louisiana Tech,Conference USA,0.0,5,8,5-8,12.24,-7.24,-12.1,-13.6,117,13
131,Liberty,Conference USA,0.0,8,4,8-4,11.9,-3.9,-15.2,-7.6,95,12
132,Kent State,Mid-American,0.0,0,12,0-12,10.4,-10.4,-5.1,-29.7,134,12
133,Kennesaw State,Conference USA,0.0,2,10,2-10,11.78,-9.78,-11.0,-27.0,131,12
134,Wyoming,Mountain West,0.0,3,9,3-9,10.81,-7.81,-4.8,-14.4,120,12
