sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
91,Memphis,Conference USA,0.0,2,10,2-10,11.05,-9.05,-6.2,-16.5,99,12
92,Miami (OH),Mid-American,0.0,2,10,2-10,11.18,-9.18,-7.0,-14.2,98,12
93,Michigan State,Big Ten,0.0,4,8,4-8,9.44,-5.44,0.7,0.9,49,12
94,Mississippi State,SEC,0.0,3,9,3-9,8.9,-5.9,2.6,-8.0,78,12
95,NC State,ACC,0.0,3,9,3-9,10.3,-7.3,-1.4,-3.7,65,12
96,Akron,Mid-American,0.0,5,7,5-7,11.07,-6.07,-7.9,-7.7,76,12
97,New Mexico,Mountain West,0.0,6,6,6-6,10.32,-4.32,-3.9,-3.5,63,12
98,North Carolina,ACC,0.0,3,9,3-9,9.5,-6.5,1.7,-9.7,85,12
99,Northern Illinois,Mid-American,0.0,7,5,7-5,10.68,-3.68,-9.5,-7.8,77,12
100,Northwestern,Big Ten,0.0,4,8,4-8,8.94,-4.94,1.0,-2.4,59,12
101,Ole Miss,SEC,0.0,4,8,4-8,9.08,-5.08,1.9,-7.3,75,12
102,SMU,Conference USA,0.0,6,6,6-6,11.07,-5.07,-8.4,-11.0,88,12
103,Wyoming,Mountain West,0.0,6,6,6-6,9.99,-3.99,-2.7,-2.3,58,12
