sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Florida,SEC,97.6,13,1,13-1,10.21,2.79,6.4,31.4,2,14
2,Oklahoma,Big 12,96.7,12,2,12-2,9.35,2.65,7.6,25.6,4,14
3,Utah,Mountain West,96.1,13,0,13-0,11.1,1.9,-1.8,13.4,13,13
4,Texas,Big 12,95.9,12,1,12-1,9.69,2.31,6.2,25.7,3,13
5,USC,Pac-10,88.3,12,1,12-1,10.38,1.62,2.9,31.4,1,13
6,Texas Tech,Big 12,85.9,11,2,11-2,9.55,1.45,2.9,20.3,6,13
7,Alabama,SEC,85.8,12,2,12-2,10.53,1.47,3.8,18.2,9,14
8,Penn State,Big Ten,76.4,11,2,11-2,10.04,0.96,2.0,20.0,7,13
9,Boise State,Western Athletic,70.0,12,1,12-1,11.42,0.58,-4.6,17.5,10,13
10,Ohio State,Big Ten,65.4,10,3,10-3,9.45,0.55,5.7,12.8,17,13
11,TCU,Mountain West,57.1,11,2,11-2,10.77,0.23,-1.5,21.8,5,13
12,Oregon,Pac-10,52.0,10,3,10-3,9.88,0.12,3.7,12.6,19,13
13,Georgia,SEC,45.2,10,3,10-3,10.1,-0.1,4.4,19.7,8,13
14,Oklahoma State,Big 12,35.5,9,4,9-4,9.47,-0.47,3.6,13.4,14,13
15,Missouri,Big 12,33.4,10,4,10-4,10.55,-0.55,4.0,12.9,15,14
16,Oregon State,Pac-10,29.5,9,4,9-4,9.7,-0.7,4.8,12.7,18,13
17,Ole Miss,SEC,25.3,9,4,9-4,9.81,-0.81,3.2,15.2,11,13
18,Cincinnati,Big East,23.2,11,3,11-3,11.84,-0.84,-1.4,4.7,40,14
19,Michigan State,Big Ten,18.6,9,4,9-4,10.2,-1.2,3.2,5.6,36,13
20,Nebraska,Big 12,13.1,9,4,9-4,10.36,-1.36,2.4,14.8,12,13
21,BYU,Mountain West,11.2,10,3,10-3,11.28,-1.28,-3.9,6.1,35,13
22,California,Pac-10,11.1,9,4,9-4,10.49,-1.49,2.3,7.8,29,13
23,Kansas,Big 12,11.1,8,5,8-5,9.57,-1.57,3.5,11.9,21,13
24,LSU,SEC,10.2,9,5,9-5,10.72,-1.72,1.5,10.3,23,14
25,Rice,Conference USA,10.1,10,3,10-3,11.31,-1.31,-4.0,2.7,47,13
26,Georgia Tech,ACC,8.8,9,4,9-4,10.77,-1.77,-0.2,7.0,30,13
27,Florida State,ACC,8.2,9,4,9-4,10.74,-1.74,1.0,12.9,16,13
28,Virginia Tech,ACC,8.2,10,4,10-4,11.86,-1.86,-0.1,6.6,34,14
29,Pittsburgh,Big East,6.7,9,4,9-4,11.01,-2.01,1.8,3.9,43,13
30,Iowa,Big Ten,6.0,9,4,9-4,11.04,-2.04,-0.3,12.6,20,13
31,Ball State,Mid-American,3.9,12,2,12-2,13.49,-1.49,-10.4,1.2,53,14
32,Northwestern,Big Ten,3.5,9,4,9-4,11.29,-2.29,-1.5,2.4,48,13
33,Tulsa,Conference USA,2.6,11,3,11-3,13.05,-2.05,-7.1,10.2,24,14
34,South Carolina,SEC,2.5,7,6,7-6,9.73,-2.73,5.0,6.8,33,13
35,Arizona,Pac-10,2.0,8,5,8-5,10.63,-2.63,-0.0,9.2,27,13
36,West Virginia,Big East,1.9,9,4,9-4,11.63,-2.63,-1.8,3.5,45,13
37,Vanderbilt,SEC,1.1,7,6,7-6,10.05,-3.05,4.1,-1.6,63,13
38,Wake Forest,ACC,0.9,8,5,8-5,11.23,-3.23,1.9,0.6,55,13
39,Maryland,ACC,0.7,8,5,8-5,11.35,-3.35,-0.8,-1.2,59,13
40,Air Force,Mountain West,0.7,8,5,8-5,10.99,-2.99,-1.7,-4.3,75,13
41,Arkansas,SEC,0.6,5,7,5-7,8.46,-3.46,6.0,5.6,37,12
42,Kentucky,SEC,0.5,7,6,7-6,10.2,-3.2,1.4,-2.0,65,13
43,Boston College,ACC,0.5,9,5,9-5,12.42,-3.42,-1.1,6.8,32,14
44,North Carolina,ACC,0.5,8,5,8-5,11.57,-3.57,-0.0,-1.4,60,13
45,Western Michigan,Mid-American,0.4,9,4,9-4,11.92,-2.92,-6.5,-5.0,78,13
46,Clemson,ACC,0.4,7,6,7-6,10.66,-3.66,0.8,5.6,38,13
47,Wisconsin,Big Ten,0.3,7,6,7-6,10.75,-3.75,0.1,11.7,22,13
48,Rutgers,Big East,0.2,8,5,8-5,11.64,-3.64,-2.8,5.0,39,13
49,Minnesota,Big Ten,0.2,7,6,7-6,10.89,-3.89,-0.1,-2.6,69,13
50,Stanford,Pac-10,0.2,5,7,5-7,8.84,-3.84,3.9,0.2,57,12
51,East Carolina,Conference USA,0.2,9,5,9-5,12.67,-3.67,-3.2,0.9,54,14
52,UConn,Big East,0.2,8,5,8-5,11.77,-3.77,-2.4,8.6,28,13
53,South Florida,Big East,0.2,8,5,8-5,11.68,-3.68,-2.6,9.3,26,13
54,Miami,ACC,0.2,7,6,7-6,10.76,-3.76,0.7,-1.4,61,13
55,Notre Dame,FBS Independents,0.1,7,6,7-6,11.07,-4.07,-0.5,-2.7,70,13
56,Colorado,Big 12,0.1,5,7,5-7,8.97,-3.97,3.4,-4.5,76,12
57,Arizona State,Pac-10,0.1,5,7,5-7,9.06,-4.06,2.1,1.8,50,12
58,Colorado State,Mountain West,0.1,7,6,7-6,11.03,-4.03,-0.8,-5.3,79,13
59,Auburn,SEC,0.1,5,7,5-7,9.47,-4.47,2.6,2.4,49,12
60,Troy,Sun Belt,0.1,8,5,8-5,11.51,-3.51,-5.7,3.6,44,13
61,Syracuse,Big East,0.0,3,9,3-9,9.95,-6.95,1.6,-13.6,104,12
62,Western Kentucky,FBS Independents,0.0,2,10,2-10,10.73,-8.73,-6.4,-21.2,119,12
63,Central Michigan,Mid-American,0.0,8,5,8-5,11.94,-3.94,-7.0,-4.6,77,13
64,Toledo,Mid-American,0.0,3,9,3-9,11.3,-8.3,-5.7,-14.3,106,12
65,Temple,Mid-American,0.0,5,7,5-7,10.86,-5.86,-5.5,-11.1,100,12
66,Southern Miss,Conference USA,0.0,7,6,7-6,11.86,-4.86,-4.0,1.5,52,13
67,Tennessee,SEC,0.0,5,7,5-7,9.29,-4.29,3.6,4.6,41,12
68,Buffalo,Mid-American,0.0,8,6,8-6,12.77,-4.77,-4.7,-7.0,87,14
69,Texas A&M,Big 12,0.0,4,8,4-8,9.06,-5.06,3.6,-8.3,92,12
70,Bowling Green,Mid-American,0.0,6,6,6-6,10.98,-4.98,-6.2,-3.8,73,12
71,Army,FBS Independents,0.0,3,9,3-9,11.44,-8.44,-8.4,-17.0,113,12
72,Utah State,Western Athletic,0.0,3,9,3-9,10.15,-7.15,-1.4,-11.6,102,12
73,Tulane,Conference USA,0.0,2,10,2-10,10.08,-8.08,-1.6,-19.6,116,12
74,Washington State,Pac-10,0.0,2,11,2-11,10.05,-8.05,4.0,-20.3,118,13
75,UAB,Conference USA,0.0,4,8,4-8,10.66,-6.66,-3.9,-10.7,97,12
76,Washington,Pac-10,0.0,0,12,0-12,8.63,-8.63,7.1,-15.9,111,12
77,UCF,Conference USA,0.0,4,8,4-8,10.84,-6.84,-4.0,-14.4,107,12
