sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Auburn,SEC,99.6,13,0,13-0,9.59,3.41,6.3,23.1,5,13
2,Oregon,Pac-10,97.7,12,0,12-0,9.59,2.41,1.5,24.8,2,12
3,Stanford,Pac-10,90.3,11,1,11-1,9.36,1.64,3.0,22.3,6,12
4,Arkansas,SEC,86.8,10,2,10-2,8.46,1.54,4.8,18.4,8,12
5,LSU,SEC,83.9,10,2,10-2,8.67,1.33,5.5,13.2,19,12
6,TCU,Mountain West,83.7,12,0,12-0,10.98,1.02,-5.2,24.6,3,12
7,Oklahoma,Big 12,78.2,11,2,11-2,9.84,1.16,6.0,15.4,14,13
8,Ohio State,Big Ten,71.2,11,1,11-1,10.31,0.69,-1.9,19.1,7,12
9,Wisconsin,Big Ten,70.9,11,1,11-1,10.32,0.68,-2.6,16.0,12,12
10,Nevada,Western Athletic,70.9,12,1,12-1,11.39,0.61,-5.1,11.2,23,13
11,Boise State,Western Athletic,65.5,11,1,11-1,10.52,0.48,-3.0,25.8,1,12
12,Virginia Tech,ACC,64.9,11,2,11-2,10.48,0.52,0.9,17.4,9,13
13,Michigan State,Big Ten,64.4,11,1,11-1,10.5,0.5,-2.2,6.8,36,12
14,Missouri,Big 12,53.2,10,2,10-2,9.86,0.14,0.7,10.1,25,12
15,Oklahoma State,Big 12,48.4,10,2,10-2,9.99,0.01,1.8,16.8,10,12
16,Alabama,SEC,45.4,9,3,9-3,9.12,-0.12,3.7,24.2,4,12
17,Texas A&M,Big 12,43.6,9,3,9-3,9.19,-0.19,4.0,16.5,11,12
18,South Carolina,SEC,42.6,9,4,9-4,9.24,-0.24,6.0,14.3,16,13
19,Utah,Mountain West,37.1,10,2,10-2,10.31,-0.31,-3.0,6.8,37,12
20,Nebraska,Big 12,29.9,10,3,10-3,10.64,-0.64,0.1,15.9,13,13
21,Mississippi State,SEC,26.4,8,4,8-4,8.82,-0.82,4.1,9.3,27,12
22,Florida State,ACC,17.4,9,4,9-4,10.3,-1.3,3.3,13.5,18,13
23,USC,Pac-10,12.9,8,5,8-5,9.59,-1.59,6.5,7.9,32,13
