sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,98.6,12,1,12-1,8.82,3.18,8.6,32.1,1,13
2,Florida State,ACC,97.4,13,0,13-0,10.59,2.41,4.2,17.8,14,13
3,Mississippi State,SEC,88.1,10,2,10-2,8.55,1.45,5.4,22.5,5,12
4,Baylor,Big 12,86.6,11,1,11-1,9.6,1.4,1.2,19.2,11,12
5,TCU,Big 12,85.9,11,1,11-1,9.62,1.38,2.4,22.4,6,12
6,Oregon,Pac-12,81.0,12,1,12-1,10.81,1.19,3.1,25.1,2,13
7,Ohio State,Big Ten,74.1,12,1,12-1,11.21,0.79,2.0,20.5,8,13
8,Auburn,SEC,71.3,8,4,8-4,7.19,0.81,12.0,23.6,3,12
9,Ole Miss,SEC,71.0,9,3,9-3,8.23,0.77,8.2,22.9,4,12
10,LSU,SEC,56.9,8,4,8-4,7.76,0.24,7.7,16.6,16,12
11,Kansas State,Big 12,54.6,9,3,9-3,8.84,0.16,5.5,18.4,13,12
12,Missouri,SEC,46.4,10,3,10-3,10.07,-0.07,4.5,12.8,24,13
13,Arizona,Pac-12,44.2,10,3,10-3,10.14,-0.14,4.9,8.9,34,13
14,Michigan State,Big Ten,43.2,10,2,10-2,10.14,-0.14,-1.1,20.1,9,12
15,Georgia,SEC,43.2,9,3,9-3,9.2,-0.2,4.3,21.6,7,12
16,UCLA,Pac-12,40.5,9,3,9-3,9.28,-0.28,8.5,12.7,25,12
17,Clemson,ACC,36.6,9,3,9-3,9.41,-0.41,2.0,10.1,29,12
18,Georgia Tech,ACC,32.3,10,3,10-3,10.56,-0.56,3.7,18.5,12,13
19,Texas A&M,SEC,28.3,7,5,7-5,7.77,-0.77,7.3,8.2,35,12
20,Marshall,Conference USA,21.3,12,1,12-1,12.57,-0.57,-8.2,14.5,20,13
21,Arizona State,Pac-12,18.8,9,3,9-3,10.11,-1.11,2.3,10.3,28,12
22,Oklahoma,Big 12,18.3,8,4,8-4,9.22,-1.22,6.5,16.8,15,12
23,Louisville,ACC,17.6,9,3,9-3,10.16,-1.16,1.7,14.7,19,12
24,Nebraska,Big Ten,14.7,9,3,9-3,10.19,-1.19,0.3,11.3,26,12
25,Boise State,Mountain West,14.3,11,2,11-2,11.94,-0.94,-3.8,9.8,30,13
26,Arkansas,SEC,14.2,6,6,6-6,7.53,-1.53,11.1,19.3,10,12
27,Wisconsin,Big Ten,13.9,10,3,10-3,11.26,-1.26,-0.4,15.6,17,13
28,Utah,Pac-12,12.6,8,4,8-4,9.51,-1.51,3.8,4.5,46,12
29,West Virginia,Big 12,11.2,7,5,7-5,8.66,-1.66,7.4,14.0,21,12
30,Colorado State,Mountain West,9.0,10,2,10-2,11.25,-1.25,-6.7,6.5,38,12
31,Northern Illinois,Mid-American,8.4,11,2,11-2,12.14,-1.14,-9.7,-3.5,80,13
