sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Georgia,SEC,99.3,13,0,13-0,9.77,3.23,4.7,30.8,1,13
2,Michigan,Big Ten,99.3,13,0,13-0,10.22,2.78,2.3,25.8,3,13
3,TCU,Big 12,96.9,12,1,12-1,9.35,2.65,6.0,19.1,9,13
4,Ohio State,Big Ten,90.9,11,1,11-1,9.34,1.66,4.3,26.7,2,12
5,Tennessee,SEC,84.9,10,2,10-2,8.66,1.34,4.4,22.7,5,12
6,Alabama,SEC,83.3,10,2,10-2,8.72,1.28,3.9,22.9,4,12
7,Penn State,Big Ten,73.1,10,2,10-2,9.22,0.78,4.8,20.1,8,12
8,Kansas State,Big 12,69.4,10,3,10-3,9.16,0.84,8.0,20.8,7,13
9,USC,Pac-12,64.8,11,2,11-2,10.46,0.54,2.2,13.3,16,13
10,LSU,SEC,56.1,9,4,9-4,8.74,0.26,7.0,17.6,11,13
11,Clemson,ACC,45.9,11,2,11-2,11.06,-0.06,-0.2,14.1,14,13
12,Tulane,American Athletic,40.5,11,2,11-2,11.21,-0.21,-1.9,9.9,29,13
13,Oregon,Pac-12,40.3,9,3,9-3,9.27,-0.27,2.9,13.6,15,12
14,Texas,Big 12,37.2,8,4,8-4,8.45,-0.45,8.7,21.3,6,12
15,Washington,Pac-12,36.1,10,2,10-2,10.36,-0.36,-1.7,11.2,23,12
16,Utah,Pac-12,35.6,10,3,10-3,10.47,-0.47,1.4,18.2,10,13
17,Mississippi State,SEC,33.5,8,4,8-4,8.54,-0.54,6.1,13.3,17,12
18,South Carolina,SEC,26.2,8,4,8-4,8.83,-0.83,4.0,5.4,47,12
19,Oregon State,Pac-12,24.1,9,3,9-3,9.86,-0.86,1.0,12.4,18,12
20,Florida State,ACC,23.1,9,3,9-3,9.91,-0.91,1.6,16.6,12,12
21,UCLA,Pac-12,15.6,9,3,9-3,10.2,-1.2,-0.7,10.1,27,12
22,Purdue,Big Ten,14.8,8,5,8-5,9.5,-1.5,5.1,6.3,43,13
23,Oklahoma State,Big 12,14.1,7,5,7-5,8.54,-1.54,5.9,3.5,53,12
24,UTSA,Conference USA,14.1,11,2,11-2,11.91,-0.91,-8.6,1.4,61,13
25,Texas Tech,Big 12,13.8,7,5,7-5,8.59,-1.59,7.4,11.9,19,12
26,Ole Miss,SEC,13.8,8,4,8-4,9.44,-1.44,3.7,11.2,22,12
27,Troy,Sun Belt,12.0,11,2,11-2,12.13,-1.13,-6.6,1.6,59,13
28,Kentucky,SEC,9.7,7,5,7-5,8.73,-1.73,4.4,8.8,34,12
29,NC State,ACC,8.8,8,4,8-4,9.8,-1.8,1.3,3.2,54,12
30,Iowa,Big Ten,8.2,7,5,7-5,8.79,-1.79,3.9,9.1,33,12
31,Minnesota,Big Ten,7.0,8,4,8-4,9.81,-1.81,-0.8,11.3,21,12
32,Notre Dame,FBS Independents,6.9,8,4,8-4,9.77,-1.77,2.5,9.2,31,12
33,Kansas,Big 12,6.2,6,6,6-6,8.36,-2.36,7.7,10.3,26,12
34,Illinois,Big Ten,6.0,8,4,8-4,9.89,-1.89,1.1,16.1,13,12
35,Florida,SEC,5.8,6,6,6-6,8.16,-2.16,7.5,10.0,28,12
36,Cincinnati,American Athletic,4.6,9,3,9-3,10.9,-1.9,-3.5,6.3,44,12
37,Maryland,Big Ten,4.4,7,5,7-5,9.01,-2.01,4.2,11.0,25,12
38,South Alabama,Sun Belt,4.2,10,2,10-2,11.44,-1.44,-10.3,1.6,58,12
39,North Carolina,ACC,4.0,9,4,9-4,11.29,-2.29,-0.3,3.1,55,13
40,Oklahoma,Big 12,3.7,6,6,6-6,8.62,-2.62,7.3,8.6,35,12
41,Baylor,Big 12,3.6,6,6,6-6,8.65,-2.65,5.6,9.1,32,12
42,Washington State,Pac-12,3.3,7,5,7-5,9.53,-2.53,1.9,6.3,41,12
43,Louisville,ACC,3.0,7,5,7-5,9.68,-2.68,4.3,11.3,20,12
44,UCF,American Athletic,2.7,9,4,9-4,11.45,-2.45,-1.4,6.3,42,13
45,Pittsburgh,ACC,2.5,8,4,8-4,10.33,-2.33,-1.1,11.1,24,12
46,Syracuse,ACC,2.5,7,5,7-5,9.71,-2.71,2.3,3.7,52,12
47,Missouri,SEC,2.4,6,6,6-6,8.56,-2.56,3.6,6.0,45,12
