sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Auburn,SEC,99.9,14,0,14-0,9.58,4.42,8.6,25.0,3,14
2,Oregon,Pac-10,95.6,12,1,12-1,9.73,2.27,4.0,24.8,4,13
3,Stanford,Pac-10,94.6,12,1,12-1,9.84,2.16,4.5,24.4,5,13
4,LSU,SEC,91.4,11,2,11-2,9.08,1.92,7.0,14.5,16,13
5,TCU,Mountain West,91.4,13,0,13-0,11.51,1.49,-3.3,23.7,6,13
6,Ohio State,Big Ten,83.1,12,1,12-1,10.81,1.19,-0.5,19.4,7,13
7,Arkansas,SEC,82.3,10,3,10-3,8.64,1.36,6.7,18.9,8,13
8,Oklahoma,Big 12,74.0,12,2,12-2,11.03,0.97,4.9,15.9,13,14
9,Nevada,Western Athletic,69.1,13,1,13-1,12.43,0.57,-5.1,11.4,24,14
10,Boise State,Western Athletic,65.6,12,1,12-1,11.49,0.51,-2.5,25.8,2,13
11,Wisconsin,Big Ten,58.1,11,2,11-2,10.71,0.29,-0.8,16.9,10,13
12,Oklahoma State,Big 12,57.0,11,2,11-2,10.7,0.3,2.8,17.3,9,13
13,Michigan State,Big Ten,56.5,11,2,11-2,10.75,0.25,0.2,5.4,40,13
14,Alabama,SEC,56.2,10,3,10-3,9.76,0.24,4.6,26.9,1,13
15,Virginia Tech,ACC,53.0,11,3,11-3,10.87,0.13,2.4,15.9,11,14
16,Mississippi State,SEC,35.0,9,4,9-4,9.5,-0.5,4.8,12.0,22,13
17,South Carolina,SEC,31.7,9,5,9-5,9.68,-0.68,7.5,15.9,12,14
18,Utah,Mountain West,30.4,10,3,10-3,10.58,-0.58,-0.7,6.6,36,13
19,Missouri,Big 12,27.6,10,3,10-3,10.74,-0.74,1.2,10.0,25,13
20,Florida State,ACC,25.5,10,4,10-4,10.95,-0.95,4.2,13.2,19,14
21,Texas A&M,Big 12,25.1,9,4,9-4,9.94,-0.94,4.3,15.7,14,13
22,USC,Pac-10,12.8,8,5,8-5,9.59,-1.59,6.9,8.4,31,13
23,NC State,ACC,11.5,9,4,9-4,10.68,-1.68,2.4,8.9,29,13
24,Nebraska,Big 12,11.3,10,4,10-4,11.58,-1.58,0.2,14.2,17,14
25,Washington,Pac-10,9.8,7,6,7-6,8.99,-1.99,9.6,2.8,51,13
26,Tulsa,Conference USA,9.3,10,3,10-3,11.49,-1.49,-5.4,3.4,47,13
27,Florida,SEC,7.7,8,5,8-5,9.97,-1.97,4.5,8.5,30,13
28,Maryland,ACC,5.2,9,4,9-4,11.11,-2.11,0.1,3.4,48,13
29,Oregon State,Pac-10,3.9,5,7,5-7,7.5,-2.5,11.8,5.4,39,12
30,Air Force,Mountain West,3.6,9,4,9-4,11.04,-2.04,-3.0,5.4,38,13
31,UCF,Conference USA,3.1,11,3,11-3,13.02,-2.02,-6.1,4.7,43,14
32,Arizona State,Pac-10,2.8,6,6,6-6,8.65,-2.65,4.4,14.1,18,12
33,West Virginia,Big East,2.7,9,4,9-4,11.41,-2.41,-1.7,12.8,20,13
34,North Carolina,ACC,2.3,8,5,8-5,10.73,-2.73,1.9,9.5,26,13
35,Notre Dame,FBS Independents,2.3,8,5,8-5,10.76,-2.76,3.6,7.6,33,13
36,Arizona,Pac-10,2.2,7,6,7-6,9.74,-2.74,5.5,15.3,15,13
37,Hawai'i,Western Athletic,1.9,10,4,10-4,12.32,-2.32,-4.0,9.1,27,14
38,Texas Tech,Big 12,1.9,8,5,8-5,10.74,-2.74,0.9,1.9,57,13
39,Iowa,Big Ten,1.8,8,5,8-5,10.76,-2.76,0.1,7.4,34,13
40,San Diego State,Mountain West,1.4,9,4,9-4,11.38,-2.38,-5.6,4.8,42,13
41,Miami,ACC,1.2,7,6,7-6,10.35,-3.35,3.9,11.5,23,13
42,Pittsburgh,Big East,1.2,8,5,8-5,11.17,-3.17,1.0,7.8,32,13
43,South Florida,Big East,1.1,8,5,8-5,11.09,-3.09,-1.1,0.9,60,13
44,Baylor,Big 12,0.9,7,6,7-6,10.14,-3.14,1.0,2.8,52,13
45,UConn,Big East,0.6,8,5,8-5,11.31,-3.31,-2.0,-3.0,71,13
46,Navy,FBS Independents,0.6,9,4,9-4,11.95,-2.95,-3.6,-0.7,65,13
47,Tennessee,SEC,0.5,6,7,6-7,9.54,-3.54,4.2,1.1,59,13
48,Fresno State,Western Athletic,0.5,8,5,8-5,11.11,-3.11,-1.4,-0.7,64,13
49,Michigan,Big Ten,0.4,7,6,7-6,10.64,-3.64,0.6,4.1,45,13
50,Northern Illinois,Mid-American,0.4,11,3,11-3,13.45,-2.45,-11.9,3.1,50,14
51,California,Pac-10,0.4,5,7,5-7,8.7,-3.7,6.3,4.9,41,12
52,Penn State,Big Ten,0.3,7,6,7-6,10.48,-3.48,1.5,0.8,62,13
53,Syracuse,Big East,0.2,8,5,8-5,11.71,-3.71,-4.3,2.4,54,13
54,Boston College,ACC,0.2,7,6,7-6,10.91,-3.91,0.8,-1.0,68,13
55,Georgia,SEC,0.2,6,7,6-7,10.03,-4.03,2.8,12.2,21,13
56,Miami (OH),Mid-American,0.2,10,4,10-4,13.04,-3.04,-10.1,-6.4,82,14
57,Clemson,ACC,0.1,6,7,6-7,10.22,-4.22,3.3,6.2,37,13
58,Illinois,Big Ten,0.1,7,6,7-6,11.29,-4.29,-0.7,9.1,28,13
59,Kentucky,SEC,0.1,6,7,6-7,10.3,-4.3,0.7,2.4,53,13
60,UCLA,Pac-10,0.1,4,8,4-8,8.62,-4.62,8.2,-0.9,67,12
61,BYU,Mountain West,0.1,7,6,7-6,10.84,-3.84,-1.9,3.3,49,13
62,Kansas State,Big 12,0.1,7,6,7-6,11.18,-4.18,-0.1,-0.4,63,13
63,Toledo,Mid-American,0.0,8,5,8-5,11.5,-3.5,-7.5,-10.0,91,13
64,Kansas,Big 12,0.0,3,9,3-9,9.88,-6.88,1.1,-16.0,110,12
65,Troy,Sun Belt,0.0,8,5,8-5,11.69,-3.69,-7.0,-3.6,76,13
66,UL Monroe,Sun Belt,0.0,5,7,5-7,9.94,-4.94,-3.6,-4.4,77,12
67,Ball State,Mid-American,0.0,4,8,4-8,11.57,-7.57,-13.3,-24.3,117,12
68,UAB,Conference USA,0.0,4,8,4-8,10.85,-6.85,-4.8,-9.0,89,12
69,Iowa State,Big 12,0.0,5,7,5-7,9.93,-4.93,2.0,-5.9,81,12
70,Texas,Big 12,0.0,5,7,5-7,9.84,-4.84,1.3,6.9,35,12
71,Indiana,Big Ten,0.0,5,7,5-7,10.04,-5.04,-2.2,-8.0,88,12
72,Kent State,Mid-American,0.0,5,7,5-7,11.64,-6.64,-11.9,-12.5,100,12
73,Tulane,Conference USA,0.0,4,8,4-8,11.32,-7.32,-5.4,-11.9,96,12
74,Minnesota,Big Ten,0.0,3,9,3-9,9.84,-6.84,1.7,-7.2,83,12
75,UNLV,Mountain West,0.0,2,11,2-11,10.14,-8.14,3.0,-18.0,113,13
76,UTEP,Conference USA,0.0,6,7,6-7,11.88,-5.88,-8.0,-15.4,108,13
77,Army,FBS Independents,0.0,7,6,7-6,12.15,-5.15,-6.6,-3.5,74,13
78,Utah State,Western Athletic,0.0,4,8,4-8,9.66,-5.66,-0.0,-9.3,90,12
79,Vanderbilt,SEC,0.0,2,10,2-10,9.59,-7.59,2.6,-13.2,103,12
