sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.9,14,1,14-1,9.66,4.34,8.7,35.3,1,15
2,Clemson,ACC,99.8,15,0,15-0,11.75,3.25,3.9,33.5,2,15
3,Notre Dame,FBS Independents,92.7,12,1,12-1,10.23,1.77,5.0,16.7,11,13
4,LSU,SEC,89.8,10,3,10-3,8.18,1.82,8.2,17.7,9,13
5,Ohio State,Big Ten,87.7,13,1,13-1,11.4,1.6,3.6,16.5,12,14
6,Georgia,SEC,81.9,11,3,11-3,9.64,1.36,7.4,27.2,3,14
7,Oklahoma,Big 12,81.0,12,2,12-2,10.75,1.25,7.4,21.0,6,14
8,Kentucky,SEC,77.3,10,3,10-3,8.93,1.07,5.7,12.3,19,13
9,Florida,SEC,76.7,10,3,10-3,8.95,1.05,5.7,19.1,7,13
10,Texas A&M,SEC,64.8,9,4,9-4,8.46,0.54,9.5,17.4,10,13
11,UCF,American Athletic,56.8,12,1,12-1,11.75,0.25,-4.7,13.8,16,13
12,Michigan,Big Ten,48.5,10,3,10-3,10.01,-0.01,5.1,21.1,5,13
13,Texas,Big 12,37.8,10,4,10-4,10.41,-0.41,7.4,11.6,22,14
14,Washington State,Pac-12,37.2,11,2,11-2,11.33,-0.33,-0.8,10.8,26,13
15,Syracuse,ACC,32.5,10,3,10-3,10.49,-0.49,-0.7,7.1,34,13
16,Auburn,SEC,31.8,8,5,8-5,8.61,-0.61,7.9,15.3,13,13
17,Mississippi State,SEC,26.1,8,5,8-5,8.92,-0.92,7.6,24.0,4,13
18,Fresno State,Mountain West,23.0,12,2,12-2,12.76,-0.76,-4.8,11.5,23,14
19,Penn State,Big Ten,21.5,9,4,9-4,10.1,-1.1,5.1,13.7,17,13
20,Washington,Pac-12,18.6,10,4,10-4,11.27,-1.27,2.7,14.0,15,14
21,Missouri,SEC,17.3,8,5,8-5,9.26,-1.26,7.5,18.4,8,13
22,Army,FBS Independents,15.5,11,2,11-2,11.89,-0.89,-7.3,6.4,39,13
23,Utah State,Mountain West,15.2,11,2,11-2,12.02,-1.02,-7.2,13.0,18,13
24,Iowa,Big Ten,14.2,9,4,9-4,10.44,-1.44,3.4,14.0,14,13
25,Cincinnati,American Athletic,13.8,11,2,11-2,12.04,-1.04,-7.2,8.3,30,13
26,Northwestern,Big Ten,13.7,9,5,9-5,10.68,-1.68,5.7,4.8,45,14
27,South Carolina,SEC,13.3,7,6,7-6,8.6,-1.6,7.2,6.8,37,13
28,Stanford,Pac-12,12.6,9,4,9-4,10.57,-1.57,2.0,6.8,36,13
29,Boise State,Mountain West,11.8,10,3,10-3,11.45,-1.45,-1.3,9.7,27,13
30,West Virginia,Big 12,10.5,8,4,8-4,9.7,-1.7,3.4,12.3,20,12
31,App State,Sun Belt,8.1,11,2,11-2,12.23,-1.23,-8.9,9.0,28,13
32,Iowa State,Big 12,5.6,8,5,8-5,10.3,-2.3,3.4,10.9,25,13
33,NC State,ACC,4.6,9,4,9-4,10.85,-1.85,-1.2,5.9,42,13
34,Oregon,Pac-12,4.1,9,4,9-4,11.25,-2.25,-2.0,5.0,44,13
35,Wisconsin,Big Ten,3.5,8,5,8-5,10.45,-2.45,2.3,12.1,21,13
36,Tennessee,SEC,3.1,5,7,5-7,7.65,-2.65,8.1,1.6,61,12
37,Utah,Pac-12,2.9,9,5,9-5,11.77,-2.77,2.3,11.0,24,14
38,Duke,ACC,2.4,8,5,8-5,10.59,-2.59,2.8,3.3,51,13
39,Troy,Sun Belt,2.2,10,3,10-3,12.1,-2.1,-8.4,-2.7,78,13
40,Georgia Southern,Sun Belt,2.0,10,3,10-3,11.7,-1.7,-8.0,-3.3,84,13
41,Michigan State,Big Ten,1.7,7,6,7-6,10.2,-3.2,5.1,6.3,40,13
42,UAB,Conference USA,1.4,11,3,11-3,13.09,-2.09,-9.2,2.7,54,14
43,Oklahoma State,Big 12,1.4,7,6,7-6,10.2,-3.2,3.4,7.8,32,13
44,TCU,Big 12,1.2,7,6,7-6,10.3,-3.3,3.7,2.4,56,13
45,Baylor,Big 12,0.9,7,6,7-6,10.35,-3.35,2.4,1.9,59,13
46,Boston College,ACC,0.8,7,5,7-5,10.0,-3.0,0.2,2.1,58,12
47,Pittsburgh,ACC,0.7,7,7,7-7,10.61,-3.61,5.2,8.3,29,14
48,Ole Miss,SEC,0.7,5,7,5-7,8.27,-3.27,6.2,7.4,33,12
49,Vanderbilt,SEC,0.6,6,7,6-7,9.49,-3.49,6.0,8.3,31,13
50,Minnesota,Big Ten,0.6,7,6,7-6,10.64,-3.64,3.2,3.1,52,13
51,Purdue,Big Ten,0.4,6,7,6-7,10.14,-4.14,6.5,5.7,43,13
52,Virginia,ACC,0.3,8,5,8-5,11.68,-3.68,-2.3,6.5,38,13
53,Wake Forest,ACC,0.3,7,6,7-6,10.64,-3.64,0.6,0.3,66,13
54,Kansas State,Big 12,0.2,5,7,5-7,9.06,-4.06,3.6,2.3,57,12
55,Arizona State,Pac-12,0.2,7,6,7-6,11.06,-4.06,0.8,3.7,50,13
56,Georgia Tech,ACC,0.2,7,6,7-6,10.37,-3.37,0.5,0.7,65,13
57,BYU,FBS Independents,0.1,7,6,7-6,10.94,-3.94,-1.9,4.1,48,13
58,Temple,American Athletic,0.1,8,5,8-5,11.8,-3.8,-5.9,2.5,55,13
59,Middle Tennessee,Conference USA,0.1,8,6,8-6,11.88,-3.88,-2.5,-2.0,73,14
60,Indiana,Big Ten,0.1,5,7,5-7,9.39,-4.39,5.0,0.7,64,12
61,Miami,ACC,0.1,7,6,7-6,11.19,-4.19,0.3,7.0,35,13
62,Maryland,Big Ten,0.1,5,7,5-7,9.24,-4.24,4.0,4.2,47,12
63,Florida State,ACC,0.1,5,7,5-7,9.17,-4.17,3.5,0.9,62,12
64,Buffalo,Mid-American,0.1,10,4,10-4,13.32,-3.32,-8.1,-2.4,75,14
65,Louisiana Tech,Conference USA,0.1,8,5,8-5,11.32,-3.32,-7.7,-6.4,94,13
66,Ohio,Mid-American,0.1,9,4,9-4,12.26,-3.26,-9.1,4.0,49,13
67,California,Pac-12,0.1,7,6,7-6,11.4,-4.4,-0.5,0.8,63,13
68,Texas Tech,Big 12,0.1,5,7,5-7,9.63,-4.63,3.7,4.2,46,12
69,Southern Miss,Conference USA,0.0,6,5,6-5,10.19,-4.19,-9.7,-3.8,88,11
70,South Alabama,Sun Belt,0.0,3,9,3-9,11.03,-8.03,-5.7,-20.1,126,12
71,South Florida,American Athletic,0.0,7,6,7-6,12.03,-5.03,-7.0,-10.4,99,13
72,Air Force,Mountain West,0.0,5,7,5-7,10.81,-5.81,-4.7,-1.2,72,12
73,Texas State,Sun Belt,0.0,3,9,3-9,11.59,-8.59,-10.9,-15.0,113,12
74,Toledo,Mid-American,0.0,7,6,7-6,12.23,-5.23,-8.2,-6.1,93,13
75,Tulane,American Athletic,0.0,7,6,7-6,11.76,-4.76,-5.0,-4.0,89,13
76,Tulsa,American Athletic,0.0,3,9,3-9,11.1,-8.1,-6.8,-11.5,105,12
77,San Diego State,Mountain West,0.0,7,6,7-6,11.66,-4.66,-4.1,-3.5,85,13
78,UCLA,Pac-12,0.0,3,9,3-9,9.47,-6.47,6.8,0.0,67,12
79,UConn,American Athletic,0.0,1,11,1-11,10.66,-9.66,-3.7,-28.6,130,12
80,UL Monroe,Sun Belt,0.0,6,6,6-6,10.92,-4.92,-7.5,-8.4,96,12
81,UNLV,Mountain West,0.0,4,8,4-8,10.89,-6.89,-5.7,-14.3,109,12
82,USC,Pac-12,0.0,5,7,5-7,9.96,-4.96,2.2,3.0,53,12
83,UTEP,Conference USA,0.0,1,11,1-11,11.63,-10.63,-10.9,-21.3,127,12
84,UTSA,Conference USA,0.0,3,9,3-9,11.26,-8.26,-5.9,-22.8,128,12
