sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,100.0,14,0,14-0,8.81,5.19,7.6,27.6,1,14
2,Florida,SEC,98.5,13,1,13-1,9.83,3.17,5.6,26.9,2,14
3,Boise State,Western Athletic,96.1,14,0,14-0,12.17,1.83,-4.8,17.6,5,14
4,Texas,Big 12,95.9,13,1,13-1,10.69,2.31,3.7,23.1,3,14
5,TCU,Mountain West,84.4,12,1,12-1,10.74,1.26,-1.7,22.8,4,13
6,Cincinnati,Big East,83.7,12,1,12-1,10.83,1.17,-0.2,8.9,26,13
7,Iowa,Big Ten,65.9,11,2,11-2,10.41,0.59,1.1,8.1,30,13
8,LSU,SEC,63.9,9,4,9-4,8.46,0.54,7.6,15.7,8,13
9,Georgia Tech,ACC,63.2,11,3,11-3,10.41,0.59,4.9,12.2,20,14
10,Ohio State,Big Ten,57.6,11,2,11-2,10.68,0.32,1.3,12.8,17,13
11,Virginia Tech,ACC,54.2,10,3,10-3,9.79,0.21,5.7,16.7,7,13
12,BYU,Mountain West,54.1,11,2,11-2,10.83,0.17,-0.8,14.5,11,13
13,Oregon,Pac-10,42.4,10,3,10-3,10.21,-0.21,3.8,14.4,12,13
14,Penn State,Big Ten,40.7,11,2,11-2,11.22,-0.22,-1.8,13.8,16,13
15,Arkansas,SEC,40.1,8,5,8-5,8.35,-0.35,7.3,14.7,10,13
16,Ole Miss,SEC,38.8,9,4,9-4,9.39,-0.39,3.2,15.7,9,13
17,Miami,ACC,31.9,9,4,9-4,9.67,-0.67,4.3,14.3,13,13
18,Oklahoma State,Big 12,30.3,9,4,9-4,9.71,-0.71,3.3,6.6,34,13
19,Georgia,SEC,30.2,8,5,8-5,8.79,-0.79,7.6,12.5,19,13
20,Nebraska,Big 12,27.0,10,4,10-4,10.82,-0.82,2.5,10.7,24,14
21,Utah,Mountain West,27.0,10,3,10-3,10.68,-0.68,-2.3,5.8,38,13
22,Auburn,SEC,25.4,8,5,8-5,8.98,-0.98,6.2,12.5,18,13
23,Oklahoma,Big 12,19.8,8,5,8-5,9.27,-1.27,5.6,17.3,6,13
24,Wisconsin,Big Ten,19.0,10,3,10-3,11.08,-1.08,-0.2,14.2,14,13
25,Texas Tech,Big 12,18.6,9,4,9-4,10.18,-1.18,1.2,14.1,15,13
26,USC,Pac-10,16.3,9,4,9-4,10.39,-1.39,1.3,5.7,39,13
27,Central Michigan,Mid-American,12.7,12,2,12-2,13.12,-1.12,-9.2,3.5,46,14
28,Clemson,ACC,12.6,9,5,9-5,10.69,-1.69,3.8,11.5,21,14
29,Pittsburgh,Big East,10.8,10,3,10-3,11.52,-1.52,-1.4,7.7,31,13
30,South Carolina,SEC,10.4,7,6,7-6,8.8,-1.8,6.2,11.2,22,13
31,Tennessee,SEC,9.5,7,6,7-6,8.81,-1.81,6.0,10.9,23,13
32,Kentucky,SEC,8.5,7,6,7-6,8.98,-1.98,5.2,3.3,49,13
33,West Virginia,Big East,6.4,9,4,9-4,11.03,-2.03,-0.1,4.7,42,13
34,Arizona,Pac-10,5.7,8,5,8-5,10.38,-2.38,1.4,5.7,40,13
35,Florida State,ACC,5.2,7,6,7-6,9.41,-2.41,5.2,8.2,29,13
36,Stanford,Pac-10,4.3,8,5,8-5,10.49,-2.49,1.4,7.4,32,13
37,North Carolina,ACC,4.2,8,5,8-5,10.43,-2.43,0.7,8.3,28,13
38,Houston,Conference USA,4.1,10,4,10-4,12.22,-2.22,-4.4,3.4,47,14
39,Oregon State,Pac-10,3.9,8,5,8-5,10.52,-2.52,0.2,6.7,33,13
40,Mississippi State,SEC,3.2,5,7,5-7,7.74,-2.74,8.4,10.6,25,12
41,Navy,FBS Independents,3.2,10,4,10-4,12.33,-2.33,-4.6,3.0,50,14
42,Boston College,ACC,3.2,8,5,8-5,10.6,-2.6,1.3,1.9,54,13
43,Middle Tennessee,Sun Belt,3.0,10,3,10-3,11.94,-1.94,-8.0,-3.7,76,13
44,California,Pac-10,2.9,8,5,8-5,10.73,-2.73,0.0,4.0,44,13
45,Missouri,Big 12,2.3,8,5,8-5,10.73,-2.73,0.8,2.0,52,13
46,Northwestern,Big Ten,1.8,8,5,8-5,10.87,-2.87,-1.3,3.4,48,13
47,UConn,Big East,1.7,8,5,8-5,10.96,-2.96,-0.4,0.5,59,13
48,East Carolina,Conference USA,1.3,9,5,9-5,11.98,-2.98,-2.3,3.5,45,14
49,Troy,Sun Belt,1.1,9,4,9-4,11.23,-2.23,-5.4,0.0,60,13
50,Rutgers,Big East,0.9,9,4,9-4,11.89,-2.89,-5.8,-3.4,74,13
51,South Florida,Big East,0.9,8,5,8-5,11.16,-3.16,-3.3,1.4,55,13
52,Air Force,Mountain West,0.8,8,5,8-5,10.94,-2.94,-2.9,6.4,36,13
53,Fresno State,Western Athletic,0.7,8,5,8-5,11.05,-3.05,-4.7,-0.2,62,13
54,UCLA,Pac-10,0.7,7,6,7-6,10.62,-3.62,1.5,2.8,51,13
55,Wyoming,Mountain West,0.5,7,6,7-6,10.37,-3.37,-0.3,-9.6,94,13
56,Texas A&M,Big 12,0.4,6,7,6-7,9.74,-3.74,4.3,8.3,27,13
57,Kansas State,Big 12,0.4,6,6,6-6,9.6,-3.6,-0.5,-1.5,67,12
58,SMU,Conference USA,0.3,8,5,8-5,11.27,-3.27,-5.2,-2.7,71,13
59,UCF,Conference USA,0.3,8,5,8-5,11.2,-3.2,-4.4,-4.6,83,13
60,Minnesota,Big Ten,0.2,6,7,6-7,10.39,-4.39,2.5,-0.2,61,13
61,Washington,Pac-10,0.2,5,7,5-7,9.42,-4.42,3.6,-0.7,63,12
62,Notre Dame,FBS Independents,0.1,6,6,6-6,10.34,-4.34,0.7,5.2,41,12
63,Michigan State,Big Ten,0.1,6,7,6-7,10.54,-4.54,1.2,1.9,53,13
64,Idaho,Western Athletic,0.1,8,5,8-5,11.62,-3.62,-5.1,-4.2,80,13
65,Iowa State,Big 12,0.1,7,6,7-6,11.13,-4.13,-1.2,-3.8,77,13
66,Temple,Mid-American,0.1,9,4,9-4,12.02,-3.02,-9.7,-8.3,92,13
67,NC State,ACC,0.1,5,7,5-7,9.63,-4.63,0.9,-2.0,69,12
68,Nevada,Western Athletic,0.1,8,5,8-5,11.68,-3.68,-5.5,6.5,35,13
69,Vanderbilt,SEC,0.0,2,10,2-10,8.2,-6.2,5.0,-3.8,78,12
70,Arkansas State,Sun Belt,0.0,4,8,4-8,11.03,-7.03,-9.1,-13.4,104,12
71,Arizona State,Pac-10,0.0,4,8,4-8,9.78,-5.78,-0.0,4.2,43,12
72,Colorado,Big 12,0.0,3,9,3-9,9.64,-6.64,2.8,-0.9,64,12
73,Toledo,Mid-American,0.0,5,7,5-7,11.07,-6.07,-7.1,-5.9,88,12
74,Western Michigan,Mid-American,0.0,5,7,5-7,11.37,-6.37,-9.0,-16.6,111,12
75,Buffalo,Mid-American,0.0,5,7,5-7,11.45,-6.45,-9.2,-10.4,97,12
76,Western Kentucky,Sun Belt,0.0,0,12,0-12,11.08,-11.08,-7.9,-21.6,116,12
77,Tulane,Conference USA,0.0,3,9,3-9,10.58,-7.58,-4.8,-17.4,112,12
78,Tulsa,Conference USA,0.0,5,7,5-7,10.47,-5.47,-5.4,-2.5,70,12
79,UAB,Conference USA,0.0,5,7,5-7,10.54,-5.54,-4.1,-1.0,66,12
80,Washington State,Pac-10,0.0,1,11,1-11,9.67,-8.67,3.7,-24.2,118,12
81,Utah State,Western Athletic,0.0,4,8,4-8,9.86,-5.86,-2.6,-10.8,100,12
82,Bowling Green,Mid-American,0.0,7,6,7-6,11.89,-4.89,-5.2,-6.7,89,13
83,UL Monroe,Sun Belt,0.0,6,6,6-6,10.57,-4.57,-7.5,-10.7,99,12
84,Wake Forest,ACC,0.0,5,7,5-7,9.72,-4.72,1.8,0.8,57,12
85,UNLV,Mountain West,0.0,5,7,5-7,9.79,-4.79,-0.3,-15.4,109,12
86,Army,FBS Independents,0.0,5,7,5-7,11.32,-6.32,-9.2,-14.3,107,12
87,Colorado State,Mountain West,0.0,3,9,3-9,9.9,-6.9,-1.2,-7.9,91,12
88,UTEP,Conference USA,0.0,4,8,4-8,10.66,-6.66,-5.5,-11.7,101,12
89,Ball State,Mid-American,0.0,2,10,2-10,11.21,-9.21,-9.5,-15.6,110,12
90,Virginia,ACC,0.0,3,9,3-9,8.92,-5.92,3.9,-1.6,68,12
91,Baylor,Big 12,0.0,4,8,4-8,8.96,-4.96,3.6,-4.3,81,12
92,Michigan,Big Ten,0.0,5,7,5-7,9.92,-4.92,-1.6,-2.8,73,12
93,Duke,ACC,0.0,5,7,5-7,9.71,-4.71,-0.9,-3.8,79,12
94,Eastern Michigan,Mid-American,0.0,0,12,0-12,10.79,-10.79,-6.4,-25.6,120,12
95,Miami (OH),Mid-American,0.0,1,11,1-11,10.63,-9.63,-3.4,-7.5,90,12
96,Memphis,Conference USA,0.0,2,10,2-10,10.41,-8.41,-2.0,-14.8,108,12
97,Maryland,ACC,0.0,2,10,2-10,10.11,-8.11,0.4,-2.8,72,12
98,Marshall,Conference USA,0.0,7,6,7-6,11.75,-4.75,-5.6,-5.2,85,13
99,Akron,Mid-American,0.0,3,9,3-9,10.95,-7.95,-7.6,-19.0,114,12
100,New Mexico,Mountain West,0.0,1,11,1-11,9.36,-8.36,0.6,-10.6,98,12
101,New Mexico State,Western Athletic,0.0,3,10,3-10,11.31,-8.31,-4.7,-24.5,119,13
102,Louisville,Big East,0.0,4,8,4-8,10.29,-6.29,-1.2,-9.9,95,12
103,North Texas,Sun Belt,0.0,2,10,2-10,10.88,-8.88,-8.9,-13.9,105,12
104,Northern Illinois,Mid-American,0.0,7,6,7-6,11.83,-4.83,-8.4,-3.6,75,13
105,Louisiana Tech,Western Athletic,0.0,4,8,4-8,9.73,-5.73,-3.3,0.7,58,12
106,Ohio,Mid-American,0.0,9,5,9-5,13.12,-4.12,-8.0,-10.4,96,14
107,Louisiana,Sun Belt,0.0,6,6,6-6,10.76,-4.76,-7.7,-14.2,106,12
108,Kent State,Mid-American,0.0,5,7,5-7,11.6,-6.6,-11.2,-12.5,102,12
109,Kansas,Big 12,0.0,5,7,5-7,9.43,-4.43,1.4,6.3,37,12
110,Indiana,Big Ten,0.0,4,8,4-8,9.9,-5.9,-1.3,-5.4,87,12
