sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,99.1,12,1,12-1,8.59,3.41,5.9,26.1,2,13
2,Georgia,SEC,95.7,12,1,12-1,9.67,2.33,3.9,30.0,1,13
3,Michigan,Big Ten,92.6,12,1,12-1,10.12,1.88,2.3,19.2,4,13
4,Cincinnati,American Athletic,92.0,13,0,13-0,11.57,1.43,-4.0,17.7,6,13
5,Ole Miss,SEC,89.1,10,2,10-2,8.23,1.77,6.1,15.0,10,12
6,Notre Dame,FBS Independents,85.3,11,1,11-1,9.59,1.41,3.8,17.3,7,12
7,Michigan State,Big Ten,75.3,10,2,10-2,9.07,0.93,2.8,8.0,40,12
8,Baylor,Big 12,72.4,11,2,11-2,10.14,0.86,1.7,10.6,25,13
9,Ohio State,Big Ten,68.5,10,2,10-2,9.3,0.7,3.0,23.3,3,12
10,Oklahoma State,Big 12,67.7,11,2,11-2,10.28,0.72,2.1,17.0,8,13
11,Oklahoma,Big 12,62.9,10,2,10-2,9.51,0.49,1.7,11.1,22,12
12,Oregon,Pac-12,62.6,10,3,10-3,9.53,0.47,4.2,10.3,27,13
13,BYU,FBS Independents,57.5,10,2,10-2,9.69,0.31,0.5,9.6,32,12
14,Iowa,Big Ten,54.2,10,3,10-3,9.82,0.18,4.2,3.8,52,13
15,Arkansas,SEC,53.6,8,4,8-4,7.86,0.14,6.0,14.2,13,12
16,Clemson,ACC,49.7,9,3,9-3,8.97,0.03,2.0,9.1,33,12
17,Louisiana,Sun Belt,47.5,12,1,12-1,11.98,0.02,-8.1,2.8,55,13
18,UTSA,Conference USA,43.2,12,1,12-1,12.08,-0.08,-6.8,2.1,60,13
19,San Diego State,Mountain West,42.9,11,2,11-2,11.16,-0.16,-2.5,3.2,54,13
20,Kentucky,SEC,42.6,9,3,9-3,9.19,-0.19,1.0,11.0,23,12
21,Pittsburgh,ACC,41.3,11,2,11-2,11.2,-0.2,-2.9,13.6,15,13
22,Utah,Pac-12,39.7,10,3,10-3,10.32,-0.32,2.5,18.4,5,13
23,Wake Forest,ACC,33.6,10,3,10-3,10.54,-0.54,0.6,8.8,35,13
24,NC State,ACC,28.7,9,3,9-3,9.71,-0.71,1.0,14.2,12,12
25,Purdue,Big Ten,27.4,8,4,8-4,8.8,-0.8,4.0,10.9,24,12
26,Texas A&M,SEC,24.8,8,4,8-4,8.91,-0.91,2.6,14.9,11,12
27,Houston,American Athletic,21.2,11,2,11-2,11.76,-0.76,-6.7,6.8,45,13
28,Mississippi State,SEC,20.3,7,5,7-5,8.22,-1.22,5.6,14.0,14,12
29,Wisconsin,Big Ten,18.4,8,4,8-4,9.23,-1.23,3.7,15.9,9,12
30,Auburn,SEC,15.5,6,6,6-6,7.49,-1.49,7.1,12.6,18,12
31,Fresno State,Mountain West,15.4,9,3,9-3,10.23,-1.23,-3.6,7.2,43,12
32,Utah State,Mountain West,12.4,10,3,10-3,11.4,-1.4,-3.3,2.3,59,13
33,LSU,SEC,12.0,6,6,6-6,7.77,-1.77,7.2,10.4,26,12
34,Tennessee,SEC,11.6,7,5,7-5,8.52,-1.52,3.2,11.7,21,12
35,UCLA,Pac-12,10.2,8,4,8-4,9.69,-1.69,3.4,12.1,20,12
36,Arizona State,Pac-12,9.5,8,4,8-4,9.66,-1.66,0.4,12.8,17,12
37,Minnesota,Big Ten,7.9,8,4,8-4,9.76,-1.76,0.7,7.8,41,12
38,Air Force,Mountain West,6.8,9,3,9-3,10.71,-1.71,-3.5,8.4,36,12
39,Miami,ACC,6.5,7,5,7-5,9.07,-2.07,2.8,6.1,46,12
40,Penn State,Big Ten,6.1,7,5,7-5,9.01,-2.01,2.2,12.5,19,12
41,Nevada,Mountain West,5.3,8,4,8-4,10.12,-2.12,-1.6,7.5,42,12
42,App State,Sun Belt,4.7,10,3,10-3,11.9,-1.9,-6.0,8.3,37,13
43,Washington State,Pac-12,4.0,7,5,7-5,9.4,-2.4,2.5,6.9,44,12
44,Oregon State,Pac-12,3.9,7,5,7-5,9.47,-2.47,2.1,9.7,31,12
45,Boise State,Mountain West,3.0,7,5,7-5,9.71,-2.71,2.5,9.7,30,12
46,Iowa State,Big 12,2.7,7,5,7-5,9.66,-2.66,0.6,13.5,16,12
47,South Carolina,SEC,2.6,6,6,6-6,8.7,-2.7,4.2,-0.3,69,12
48,Kansas State,Big 12,2.6,7,5,7-5,9.67,-2.67,1.4,9.0,34,12
49,Coastal Carolina,Sun Belt,2.2,10,2,10-2,11.55,-1.55,-14.0,4.9,51,12
50,UCF,American Athletic,2.2,8,4,8-4,10.34,-2.34,-4.3,-0.4,70,12
51,Army,FBS Independents,2.2,8,4,8-4,10.4,-2.4,-4.9,-0.6,72,12
52,Florida,SEC,1.7,6,6,6-6,8.75,-2.75,3.2,10.2,28,12
53,Missouri,SEC,1.3,6,6,6-6,8.93,-2.93,3.4,-1.9,77,12
54,SMU,American Athletic,1.2,8,4,8-4,10.56,-2.56,-3.3,2.1,61,12
55,Texas Tech,Big 12,1.0,6,6,6-6,9.36,-3.36,0.3,-0.7,73,12
56,UAB,Conference USA,0.9,8,4,8-4,10.45,-2.45,-4.7,5.1,50,12
57,Virginia,ACC,0.8,6,6,6-6,9.39,-3.39,1.1,2.6,56,12
58,West Virginia,Big 12,0.8,6,6,6-6,9.44,-3.44,1.9,2.3,58,12
59,Louisville,ACC,0.7,6,6,6-6,9.48,-3.48,1.9,8.1,38,12
60,North Carolina,ACC,0.6,6,6,6-6,9.41,-3.41,1.2,6.0,48,12
61,Maryland,Big Ten,0.6,6,6,6-6,9.3,-3.3,1.9,-1.0,75,12
62,East Carolina,American Athletic,0.5,7,5,7-5,10.31,-3.31,-2.7,0.5,67,12
63,Texas,Big 12,0.3,5,7,5-7,9.05,-4.05,3.6,6.1,47,12
64,Florida State,ACC,0.3,5,7,5-7,9.19,-4.19,2.3,8.0,39,12
65,Tulsa,American Athletic,0.2,6,6,6-6,9.4,-3.4,-1.7,-0.0,68,12
66,Northern Illinois,Mid-American,0.2,9,4,9-4,11.91,-2.91,-8.1,-9.7,102,13
67,Georgia State,Sun Belt,0.2,7,5,7-5,10.51,-3.51,-5.5,-2.5,80,12
68,TCU,Big 12,0.2,5,7,5-7,9.21,-4.21,2.7,-2.7,82,12
69,Syracuse,ACC,0.1,5,7,5-7,9.65,-4.65,1.3,1.5,63,12
70,Liberty,FBS Independents,0.1,7,5,7-5,10.74,-3.74,-6.2,2.4,57,12
