rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,srs,epa_rating,games,blend_weight
1,Ohio State,,29.4,6-1,6,1,46.8,13.9,24.2,32.9,7,1.0
2,Oregon,,23.6,8-0,8,0,39.6,15.6,23.1,24.0,7,1.0
3,Miami,,22.9,8-0,8,0,46.6,21.3,19.3,25.3,7,1.0
4,Notre Dame,,22.7,7-1,7,1,35.6,10.5,19.0,25.1,8,1.0
5,Alabama,,22.4,6-2,6,2,40.6,17.0,20.7,23.6,8,1.0
6,Ole Miss,,21.7,6-2,6,2,38.2,13.2,16.6,25.1,7,1.0
7,Penn State,,21.6,7-0,7,0,38.2,13.4,16.8,24.8,7,1.0
8,Georgia,,21.4,6-1,6,1,35.9,13.6,19.4,22.5,6,0.9
9,Indiana,,21.0,8-0,8,0,44.8,23.4,20.4,21.4,7,1.0
10,Kansas State,,19.7,7-1,7,1,39.6,16.9,15.2,22.7,7,1.0
11,Texas,,19.4,7-1,7,1,34.1,12.6,16.3,21.5,8,1.0
12,Tennessee,,18.0,6-1,6,1,31.8,11.6,14.3,20.3,6,0.9
13,LSU,,17.9,6-2,6,2,39.1,20.3,16.6,18.9,7,1.0
14,Colorado,,17.3,6-2,6,2,33.5,15.1,15.6,18.4,7,1.0
15,SMU,,16.8,7-1,7,1,34.0,15.6,14.3,18.4,7,1.0
16,Texas A&M,,16.7,7-1,7,1,33.5,16.2,15.8,17.3,7,1.0
17,USC,,15.9,4-4,4,4,38.0,19.6,12.0,18.4,8,1.0
18,Iowa State,,15.6,7-0,7,0,30.9,15.6,15.7,15.4,6,0.9
19,BYU,,15.3,8-0,8,0,33.3,19.1,17.0,14.2,7,1.0
20,Louisville,,14.1,5-3,5,3,38.5,22.0,10.5,16.5,7,1.0
21,South Carolina,,14.0,4-3,4,3,28.2,14.4,14.2,13.8,7,1.0
22,Boise State,,13.6,6-1,6,1,38.1,25.8,15.3,12.3,6,0.9
23,Arkansas,,12.9,5-3,5,3,34.5,16.9,5.9,17.6,7,1.0
24,Washington,,12.8,4-4,4,4,34.6,16.7,5.0,17.9,7,1.0
25,Florida,,12.2,4-3,4,3,34.0,20.1,8.9,13.9,6,0.9
26,Minnesota,,11.9,5-3,5,3,31.6,17.2,8.2,14.4,7,1.0
27,Virginia Tech,,11.6,5-3,5,3,28.2,18.1,14.0,10.0,8,1.0
28,Pittsburgh,,11.3,7-0,7,0,26.3,15.7,12.0,10.6,6,0.9
29,Arizona State,,11.2,5-2,5,2,35.1,19.1,4.0,16.0,7,1.0
30,Iowa,,10.9,5-3,5,3,31.4,21.3,12.0,10.1,7,1.0
31,Kansas,,10.8,2-6,2,6,37.9,23.8,5.9,14.1,7,1.0
