rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Notre Dame,FBS Independents,28.8,2-0,2,0,40.9,13.4,0.318,-0.183,0.437,0.388,30.9,27.5,2
2,Ohio State,Big Ten,27.7,1-1,1,1,41.6,14.8,0.338,-0.17,0.422,0.418,29.1,26.8,2
3,Indiana,Big Ten,26.2,2-0,2,0,41.5,15.9,0.337,-0.145,0.419,0.41,27.2,25.6,1
4,Georgia,SEC,24.0,2-0,2,0,37.3,13.7,0.255,-0.18,0.424,0.396,24.6,23.5,1
5,Texas,SEC,23.9,2-0,2,0,36.9,14.9,0.241,-0.166,0.44,0.413,26.6,22.1,2
6,Miami,ACC,22.4,2-0,2,0,37.4,16.5,0.255,-0.133,0.429,0.41,24.7,20.9,1
7,Alabama,SEC,22.1,2-0,2,0,33.9,12.7,0.183,-0.192,0.439,0.375,23.5,21.3,2
8,Texas A&M,SEC,21.7,2-0,2,0,34.1,14.2,0.191,-0.162,0.43,0.372,24.3,20.0,2
9,LSU,SEC,20.4,2-0,2,0,33.8,13.2,0.178,-0.17,0.448,0.35,20.2,20.6,2
10,Utah,Big 12,19.5,2-0,2,0,33.3,15.2,0.176,-0.155,0.429,0.401,21.5,18.1,1
11,Oregon,Big Ten,19.0,1-1,1,1,37.0,17.6,0.254,-0.114,0.411,0.411,18.3,19.4,2
12,Tennessee,SEC,18.4,2-0,2,0,35.0,17.8,0.215,-0.118,0.413,0.431,20.2,17.2,1
13,Ole Miss,SEC,17.2,2-0,2,0,40.4,24.2,0.3,0.011,0.457,0.416,18.6,16.2,2
14,Florida,SEC,17.1,2-0,2,0,35.2,19.8,0.209,-0.074,0.435,0.415,19.5,15.4,1
15,USC,Big Ten,16.9,3-0,3,0,40.6,24.0,0.285,0.012,0.499,0.403,17.3,16.6,3
16,Oklahoma,SEC,16.6,1-1,1,1,30.1,13.7,0.12,-0.176,0.415,0.384,17.0,16.4,2
17,Penn State,Big Ten,16.6,2-0,2,0,33.7,19.2,0.182,-0.075,0.433,0.394,19.8,14.5,2
18,Kansas State,Big 12,16.5,2-0,2,0,32.3,16.1,0.162,-0.134,0.418,0.391,17.0,16.2,1
19,SMU,ACC,16.5,2-0,2,0,35.1,18.0,0.204,-0.108,0.444,0.418,15.7,17.1,1
20,South Carolina,SEC,16.4,2-0,2,0,34.2,18.9,0.185,-0.081,0.451,0.395,18.0,15.3,1
21,BYU,Big 12,15.3,2-0,2,0,35.2,19.2,0.214,-0.086,0.425,0.42,14.3,16.0,1
22,Missouri,SEC,15.0,2-0,2,0,29.5,16.0,0.114,-0.139,0.403,0.4,17.4,13.5,1
23,Louisville,ACC,14.3,1-1,1,1,33.4,18.9,0.184,-0.096,0.414,0.428,13.9,14.5,1
24,Michigan,Big Ten,12.8,2-0,2,0,31.3,17.9,0.157,-0.103,0.384,0.401,12.0,13.4,2
25,Washington,Big Ten,12.4,2-0,2,0,30.8,18.0,0.131,-0.097,0.422,0.391,12.0,12.7,2
26,Texas Tech,Big 12,11.9,2-0,2,0,28.6,18.3,0.095,-0.092,0.407,0.396,14.3,10.2,1
27,Mississippi State,SEC,11.8,2-0,2,0,35.4,23.7,0.208,0.012,0.449,0.389,11.8,11.8,2
28,Auburn,SEC,11.5,2-0,2,0,28.1,17.2,0.077,-0.117,0.428,0.402,12.4,10.9,2
29,Virginia,ACC,11.0,2-0,2,0,27.2,16.1,0.064,-0.138,0.419,0.403,11.0,11.1,1
30,Boise State,Pac-12,10.8,1-1,1,1,31.7,20.7,0.154,-0.053,0.412,0.409,10.4,11.1,2
31,Pittsburgh,ACC,10.7,2-0,2,0,28.7,19.6,0.09,-0.062,0.423,0.38,13.0,9.1,2
32,UCLA,Big Ten,10.7,2-0,2,0,32.3,22.2,0.149,-0.017,0.447,0.39,11.5,10.1,2
33,Nebraska,Big Ten,10.4,2-0,2,0,35.2,27.0,0.211,0.071,0.431,0.402,13.8,8.1,2
34,Iowa,Big Ten,8.5,2-0,2,0,22.7,15.4,-0.017,-0.136,0.405,0.366,10.3,7.3,2
35,Virginia Tech,ACC,8.5,2-0,2,0,31.1,24.1,0.146,0.015,0.402,0.403,10.8,7.0,1
36,Kansas,Big 12,8.2,1-1,1,1,35.0,25.3,0.225,0.034,0.391,0.412,5.8,9.7,1
37,Baylor,Big 12,8.1,1-1,1,1,29.8,21.7,0.119,-0.037,0.403,0.415,8.2,8.1,1
38,Iowa State,Big 12,7.2,1-1,1,1,28.7,21.7,0.104,-0.035,0.391,0.414,7.6,7.0,1
39,Arizona,Big 12,7.1,1-1,1,1,31.4,25.0,0.147,0.019,0.411,0.434,8.1,6.4,1
40,Arkansas,SEC,6.9,1-1,1,1,34.3,26.0,0.21,0.036,0.392,0.437,4.9,8.3,1
41,UCF,Big 12,6.8,1-1,1,1,24.7,18.9,0.029,-0.088,0.388,0.41,8.2,5.8,1
42,Arizona State,Big 12,6.1,1-1,1,1,25.6,18.5,0.04,-0.096,0.403,0.411,4.7,7.1,1
43,Cincinnati,Big 12,6.1,2-0,2,0,30.8,25.8,0.139,0.039,0.404,0.423,7.9,5.0,1
