rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Notre Dame,FBS Independents,28.0,3-0,3,0,39.8,12.8,0.296,-0.217,0.456,0.348,29.4,27.0,3
2,Ohio State,Big Ten,26.2,2-1,2,1,37.9,12.6,0.263,-0.236,0.439,0.378,27.7,25.3,3
3,Georgia,SEC,24.7,3-0,3,0,38.7,15.7,0.285,-0.179,0.428,0.397,27.3,23.0,2
4,Alabama,SEC,23.9,3-0,3,0,36.5,13.1,0.227,-0.215,0.456,0.354,24.6,23.4,3
5,Indiana,Big Ten,23.6,3-0,3,0,38.0,14.4,0.274,-0.202,0.42,0.39,23.6,23.5,2
6,Texas,SEC,23.5,3-0,3,0,35.4,14.0,0.2,-0.207,0.468,0.381,26.6,21.4,3
7,LSU,SEC,21.0,2-1,2,1,34.9,12.7,0.183,-0.218,0.482,0.344,19.3,22.2,3
8,Utah,Big 12,20.2,3-0,3,0,33.0,14.6,0.164,-0.188,0.434,0.366,22.9,18.4,2
9,Ole Miss,SEC,20.0,3-0,3,0,43.4,23.8,0.35,-0.011,0.504,0.398,20.6,19.6,3
10,Miami,ACC,19.3,3-0,3,0,36.6,19.2,0.245,-0.113,0.422,0.415,22.2,17.4,2
11,Louisville,ACC,19.1,2-1,2,1,37.4,16.5,0.251,-0.153,0.447,0.378,16.3,20.9,2
12,Florida,SEC,17.7,3-0,3,0,38.6,22.1,0.278,-0.059,0.441,0.428,19.4,16.5,2
13,Oregon,Big Ten,17.4,2-1,2,1,34.4,17.6,0.199,-0.147,0.421,0.412,18.3,16.9,2
14,Kansas State,Big 12,16.6,3-0,3,0,35.9,18.5,0.221,-0.125,0.446,0.405,15.2,17.5,2
15,Penn State,Big Ten,16.5,3-0,3,0,31.7,17.6,0.166,-0.126,0.368,0.37,20.2,14.1,3
16,Tennessee,SEC,15.3,3-0,3,0,35.7,22.1,0.218,-0.063,0.441,0.438,17.9,13.6,2
17,Oklahoma,SEC,15.3,2-1,2,1,27.4,12.2,0.049,-0.243,0.432,0.375,15.4,15.2,3
18,BYU,Big 12,15.2,3-0,3,0,35.6,19.7,0.213,-0.101,0.447,0.409,14.0,15.9,2
19,Texas A&M,SEC,15.0,2-1,2,1,31.4,18.5,0.137,-0.118,0.423,0.395,18.1,12.9,3
20,Mississippi State,SEC,14.9,3-0,3,0,37.4,22.7,0.235,-0.012,0.482,0.347,15.2,14.7,3
21,South Carolina,SEC,14.1,2-1,2,1,35.0,21.4,0.194,-0.058,0.464,0.395,14.9,13.6,2
22,SMU,ACC,14.0,2-1,2,1,34.8,21.0,0.188,-0.071,0.465,0.403,14.3,13.7,2
23,Washington,Big Ten,13.7,3-0,3,0,31.7,16.4,0.136,-0.171,0.435,0.411,11.2,15.3,2
24,Missouri,SEC,13.7,3-0,3,0,30.0,15.5,0.114,-0.175,0.407,0.38,12.4,14.5,2
25,USC,Big Ten,13.2,4-0,4,0,40.1,27.6,0.268,0.055,0.535,0.431,14.3,12.4,4
26,Michigan,Big Ten,12.1,3-0,3,0,31.9,18.9,0.154,-0.101,0.402,0.368,10.8,13.0,3
27,Pittsburgh,ACC,11.0,3-0,3,0,29.4,19.4,0.088,-0.104,0.438,0.402,12.6,10.0,3
28,Nebraska,Big Ten,10.7,3-0,3,0,34.9,25.8,0.199,0.024,0.446,0.413,12.9,9.1,2
29,Boise State,Pac-12,10.6,2-1,2,1,31.7,20.9,0.149,-0.075,0.408,0.409,10.3,10.8,2
30,Texas Tech,Big 12,10.5,3-0,3,0,31.7,22.1,0.144,-0.052,0.418,0.411,11.9,9.6,2
31,UCLA,Big Ten,10.5,3-0,3,0,34.3,23.8,0.182,-0.021,0.453,0.421,10.5,10.5,3
32,Auburn,SEC,10.1,2-1,2,1,28.1,18.6,0.08,-0.114,0.391,0.387,11.1,9.4,3
33,Virginia Tech,ACC,9.8,3-0,3,0,36.7,28.5,0.234,0.069,0.449,0.441,12.2,8.2,2
34,Kentucky,SEC,9.6,2-1,2,1,29.9,19.0,0.095,-0.12,0.448,0.418,7.6,11.0,2
35,Duke,ACC,9.4,3-0,3,0,29.9,20.2,0.114,-0.087,0.399,0.404,9.1,9.6,3
36,Iowa State,Big 12,9.3,2-1,2,1,30.6,22.6,0.121,-0.043,0.42,0.415,11.2,8.0,2
37,Wisconsin,Big Ten,8.6,2-1,2,1,30.1,20.8,0.093,-0.076,0.463,0.404,7.4,9.3,2
38,Iowa,Big Ten,8.5,3-0,3,0,22.1,15.5,-0.05,-0.174,0.404,0.377,11.5,6.6,2
39,Kansas,Big 12,7.0,1-2,1,2,33.5,23.4,0.181,-0.02,0.42,0.401,2.4,10.1,2
40,Baylor,Big 12,6.7,2-1,2,1,31.2,24.9,0.131,-0.003,0.423,0.433,7.3,6.3,2
41,Virginia,ACC,6.4,2-1,2,1,27.2,20.4,0.051,-0.083,0.42,0.4,5.7,6.9,2
42,Arizona,Big 12,6.1,2-1,2,1,32.8,27.5,0.16,0.053,0.436,0.428,7.3,5.4,2
43,Northwestern,Big Ten,6.1,2-0,2,0,26.6,21.1,0.03,-0.078,0.438,0.425,7.0,5.5,1
44,Maryland,Big Ten,6.1,2-1,2,1,29.3,23.7,0.088,-0.019,0.434,0.411,6.7,5.7,2
45,Arkansas,SEC,5.7,1-2,1,2,34.8,27.4,0.207,0.04,0.42,0.457,3.2,7.4,2
46,Houston,Big 12,5.6,2-1,2,1,32.2,26.4,0.136,0.022,0.461,0.447,5.3,5.8,2
47,Florida State,ACC,5.5,1-2,1,2,34.1,29.9,0.189,0.108,0.432,0.419,7.5,4.2,3
48,Vanderbilt,SEC,5.4,3-0,3,0,30.9,24.4,0.13,0.001,0.41,0.402,4.0,6.4,2
49,UTSA,American Athletic,5.0,2-1,2,1,26.0,19.8,0.028,-0.097,0.412,0.407,3.3,6.1,2
50,James Madison,Sun Belt,4.9,3-0,3,0,26.1,21.2,0.032,-0.075,0.408,0.421,4.8,4.9,2
51,UCF,Big 12,4.5,2-1,2,1,24.1,21.1,0.0,-0.067,0.385,0.397,6.8,3.0,2
52,TCU,Big 12,4.4,2-1,2,1,24.9,20.9,0.016,-0.072,0.389,0.4,5.0,4.0,2
53,Cincinnati,Big 12,3.7,3-0,3,0,31.8,27.9,0.145,0.064,0.422,0.423,3.4,3.9,2
54,New Mexico,Mountain West,3.2,2-1,2,1,25.6,23.5,0.029,-0.011,0.392,0.384,4.7,2.1,2
55,Illinois,Big Ten,2.9,2-1,2,1,33.6,31.6,0.167,0.133,0.457,0.44,4.3,2.1,2
