rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,srs,epa_rating,games,blend_weight
1,Georgia,,29.2,9-0,9,0,43.1,11.7,25.9,31.4,8,1.0
2,Notre Dame,,28.9,8-1,8,1,45.0,15.1,27.3,29.9,9,1.0
3,Alabama,,26.8,9-0,9,0,38.2,7.6,21.1,30.6,9,1.0
4,Clemson,,25.9,8-1,8,1,39.6,11.2,22.2,28.4,9,1.0
5,Ohio State,,24.4,7-2,7,2,43.5,15.6,19.0,27.9,9,1.0
6,Oklahoma,,23.4,8-1,8,1,54.3,26.0,16.1,28.2,9,1.0
7,Penn State,,23.0,7-2,7,2,40.7,17.8,23.1,22.9,9,1.0
8,TCU,,22.0,8-1,8,1,34.3,10.1,18.7,24.1,8,1.0
9,Auburn,,21.9,7-2,7,2,35.5,12.5,20.2,23.0,8,1.0
10,Oklahoma State,,21.8,7-2,7,2,42.5,16.9,16.0,25.7,9,1.0
11,UCF,,21.6,8-0,8,0,40.1,18.3,21.3,21.8,7,1.0
12,Washington,,20.8,8-1,8,1,34.1,12.7,19.8,21.4,8,1.0
13,Wisconsin,,18.6,9-0,9,0,36.5,18.0,18.8,18.5,9,1.0
14,Miami,,18.2,8-0,8,0,35.6,16.6,17.1,19.0,7,1.0
15,Mississippi State,,16.4,7-2,7,2,31.8,13.7,14.0,18.1,8,1.0
16,Michigan,,16.3,7-2,7,2,29.9,11.4,13.0,18.5,9,1.0
17,Virginia Tech,,15.6,7-2,7,2,29.6,12.7,13.6,16.9,8,1.0
18,NC State,,14.6,6-3,6,3,37.7,21.6,12.3,16.1,8,1.0
19,USC,,14.2,8-2,8,2,37.4,22.4,13.0,15.0,10,1.0
20,Wake Forest,,14.2,5-4,5,4,36.3,20.1,11.3,16.2,8,1.0
21,Georgia Tech,,14.1,4-4,4,4,36.9,21.3,12.0,15.6,7,1.0
22,Iowa State,,13.9,6-3,6,3,31.3,17.9,14.6,13.4,8,1.0
23,Iowa,,13.3,6-3,6,3,30.7,18.7,15.4,11.9,9,1.0
24,Texas,,12.8,4-5,4,5,27.1,12.0,9.3,15.1,9,1.0
25,Michigan State,,12.6,7-2,7,2,29.6,16.2,11.4,13.4,9,1.0
26,Louisville,,11.4,5-4,5,4,45.2,29.6,5.2,15.6,8,1.0
27,West Virginia,,10.8,6-3,6,3,39.4,27.0,8.2,12.5,8,1.0
28,LSU,,10.6,6-3,6,3,35.5,22.7,7.3,12.8,8,1.0
29,Florida State,,9.8,3-5,3,5,30.7,17.4,4.6,13.2,8,1.0
30,Washington State,,9.8,8-2,8,2,25.0,13.9,7.9,11.1,9,1.0
31,Boston College,,8.5,5-4,5,4,28.2,19.2,7.6,9.1,9,1.0
32,Arizona,,8.3,6-3,6,3,41.1,31.1,5.8,10.0,8,1.0
33,Northwestern,,7.8,6-3,6,3,28.5,20.5,7.4,8.0,9,1.0
34,Purdue,,7.5,4-5,4,5,25.4,18.3,8.1,7.1,8,1.0
35,Syracuse,,7.2,4-5,4,5,31.1,22.9,5.6,8.2,8,1.0
36,South Florida,,7.1,8-1,8,1,26.2,20.4,9.2,5.7,8,1.0
37,Stanford,,6.7,6-3,6,3,33.4,27.4,7.7,6.0,9,1.0
38,Texas Tech,,6.4,4-5,4,5,36.0,26.8,2.1,9.2,8,1.0
39,South Carolina,,5.7,6-3,6,3,27.9,22.7,6.5,5.2,9,1.0
40,Missouri,,5.5,4-5,4,5,39.8,31.0,0.6,8.9,8,1.0
